Orthogroup	NEMVE	BRAFL
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099, bflo_13037, bflo_13533, bflo_03228, bflo_21287, bflo_03227, bflo_23657, bflo_04290, bflo_00094, bflo_17367, bflo_18222, bflo_07006, bflo_15449, bflo_00884, bflo_00880, bflo_00879, bflo_09101, bflo_09095, bflo_09111, bflo_09109, bflo_12588, bflo_17497, bflo_02368, bflo_17498, bflo_25563, bflo_06206, bflo_06205, bflo_25930, bflo_26131, bflo_26130, bflo_25287, bflo_00331, bflo_25393, bflo_26134, bflo_26137, bflo_25819, bflo_25402, bflo_11581, bflo_22671, bflo_22660, bflo_11130, bflo_17799, bflo_18344, bflo_04757, bflo_26393, bflo_11566, bflo_11880, bflo_08809, bflo_11571, bflo_18062, bflo_17796, bflo_17499, bflo_17810, bflo_17878, bflo_17798, bflo_17351, bflo_18490, bflo_10984
OG0000003	NEMVE24647	bflo_26614
OG0000003	NEMVE12390	bflo_26996
OG0000003	NEMVE10016	bflo_01321
OG0000003	NEMVE11690, NEMVE00834, NEMVE07052, NEMVE02766, NEMVE07217, NEMVE09924, NEMVE18387, NEMVE09321	bflo_26930, bflo_19434, bflo_27269
OG0000003	NEMVE00038	bflo_27439
OG0000003	NEMVE07480, NEMVE02898	bflo_09845
OG0000003	NEMVE19925	bflo_26004
OG0000003	NEMVE11042	bflo_18522
OG0000004	NEMVE08929	bflo_00546, bflo_11160
OG0000004	NEMVE08303, NEMVE11650, NEMVE08637, NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801, NEMVE09643	bflo_21581, bflo_07267
OG0000004	NEMVE12484	bflo_18067
OG0000004	NEMVE19262	bflo_05437
OG0000004	NEMVE10715, NEMVE21151	bflo_07950
OG0000004	NEMVE10453, NEMVE03460	bflo_24278
OG0000004	NEMVE02378	bflo_04032
OG0000004	NEMVE10612	bflo_21552, bflo_15225
OG0000005	NEMVE05730	bflo_10917
OG0000006	NEMVE02889	bflo_10484
OG0000006	NEMVE10951	bflo_06221
OG0000006	NEMVE12700, NEMVE08468	bflo_07660
OG0000006	NEMVE10906	bflo_22526
