Orthogroup	NEMVE	ASTMX
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	ASTMX13878, ASTMX20124, ASTMX02317, ASTMX15953, ASTMX15955, ASTMX15957, ASTMX15958, ASTMX15959, ASTMX15956, ASTMX22714, ASTMX20120, ASTMX19248, ASTMX14857, ASTMX14858, ASTMX14859, ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952, ASTMX12459, ASTMX12467, ASTMX12468, ASTMX01931, ASTMX12464, ASTMX20125
OG0000003	NEMVE08017	ASTMX16763
OG0000003	NEMVE03659	ASTMX04234
OG0000003	NEMVE11168, NEMVE03140, NEMVE05604	ASTMX21256
OG0000004	NEMVE02712, NEMVE03345	ASTMX09901
OG0000004	NEMVE08317	ASTMX13606
OG0000004	NEMVE10715, NEMVE21151	ASTMX17274
OG0000004	NEMVE02378	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273
OG0000005	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445	ASTMX14148, ASTMX14149, ASTMX13051, ASTMX18005, ASTMX12914, ASTMX04261, ASTMX08691, ASTMX01192, ASTMX08164
OG0000006	NEMVE02889	ASTMX20216
OG0000006	NEMVE10951	ASTMX00775
OG0000006	NEMVE12700, NEMVE08468	ASTMX03985, ASTMX00495, ASTMX16379
OG0000006	NEMVE10906	ASTMX12191, ASTMX07931
OG0000006	NEMVE21901	ASTMX15917, ASTMX06292, ASTMX15319
OG0000006	NEMVE02590	ASTMX03256, ASTMX09680
OG0000006	NEMVE03392	ASTMX14682, ASTMX19702
OG0000006	NEMVE16957	ASTMX21126, ASTMX03352
