Factor	Motif
TCONS_00053574	bZIP
TCONS_00042277	bHLH
TCONS_00042276	bHLH
TCONS_00042229	bHLH
TCONS_00010677	Nuclear_receptor
TCONS_00035035	Rel
TCONS_00003488	Rel
TCONS_00030912	Rel
TCONS_00042277	bHLH
TCONS_00042276	bHLH
TCONS_00042229	bHLH
TCONS_00024122	bHLH
TCONS_00052518	Forkhead
TCONS_00014249	Forkhead
TCONS_00008967	Forkhead
TCONS_00026068	Forkhead
TCONS_00009611	Forkhead
TCONS_00052512	Forkhead
TCONS_00008968	Forkhead
TCONS_00051149	Forkhead
TCONS_00008966	Forkhead
TCONS_00000865	bHLH
TCONS_00030276	bHLH
TCONS_00027932	Homeodomain
TCONS_00011052	Homeodomain
TCONS_00031212	Homeodomain
TCONS_00031189	Homeodomain
TCONS_00023551	Homeodomain
TCONS_00003496	Homeodomain
TCONS_00019983	C2H2_ZF_Homeodomain
TCONS_00016058	Nuclear_receptor
TCONS_00044893	AP-2
TCONS_00027129	C2H2_ZF
TCONS_00027932	Homeodomain
TCONS_00015347	Homeodomain
TCONS_00023129	Homeodomain
TCONS_00042787	Homeodomain
TCONS_00006015	Homeodomain
TCONS_00021207	Homeodomain
TCONS_00012810	Homeodomain
TCONS_00020803	Homeodomain
TCONS_00023551	Homeodomain
TCONS_00011052	Homeodomain
TCONS_00016646	Homeodomain
TCONS_00051388	Homeodomain
TCONS_00016143	Homeodomain
TCONS_00052518	Forkhead
TCONS_00014249	Forkhead
TCONS_00008967	Forkhead
TCONS_00011336	Forkhead
TCONS_00026068	Forkhead
TCONS_00009611	Forkhead
TCONS_00052512	Forkhead
TCONS_00008968	Forkhead
TCONS_00051149	Forkhead
TCONS_00008966	Forkhead
TCONS_00042821	Rel
TCONS_00015166	Rel
TCONS_00030912	Rel
TCONS_00017172	Rel
TCONS_00022442	Rel
TCONS_00029994	Homeodomain
TCONS_00045950	Homeodomain
TCONS_00031211	Homeodomain
TCONS_00031188	Homeodomain
TCONS_00027931	Homeodomain
TCONS_00048904	Homeodomain
TCONS_00005144	Mixed
TCONS_00005143	Mixed
TCONS_00003870	C2H2_ZF
TCONS_00006015	Homeodomain
TCONS_00016143	Homeodomain
TCONS_00000165	C2H2_ZF
TCONS_00020216	Sox
TCONS_00030624	Sox
TCONS_00028162	C2H2_ZF
TCONS_00039818	C2H2_ZF
TCONS_00039820	C2H2_ZF
TCONS_00026125	T-box
TCONS_00008648	T-box
TCONS_00005618	T-box
TCONS_00018803	T-box
TCONS_00005387	T-box
TCONS_00052518	Forkhead
TCONS_00014249	Forkhead
TCONS_00008967	Forkhead
TCONS_00026068	Forkhead
TCONS_00009611	Forkhead
TCONS_00052512	Forkhead
TCONS_00008968	Forkhead
TCONS_00051149	Forkhead
TCONS_00019620	Homeodomain
TCONS_00018976	SMAD
TCONS_00020362	SMAD
TCONS_00055099	RFX
TCONS_00020783	RFX
TCONS_00020784	RFX
TCONS_00020774	RFX
TCONS_00056016	RFX
TCONS_00056445	RFX
TCONS_00053533	RFX
TCONS_00010068	Homeodomain
TCONS_00049440	Homeodomain
TCONS_00010067	Homeodomain
TCONS_00023435	Ets
TCONS_00033864	Ets
TCONS_00034214	Ets
TCONS_00019578	Ets
TCONS_00006015	Homeodomain
TCONS_00027826	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032259	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00010493	Homeodomain
TCONS_00016143	Homeodomain
TCONS_00042488	CBF_NF-Y
TCONS_00010346	CBF_NF-Y
TCONS_00024002	CBF_NF-Y
TCONS_00030792	Homeodomain
TCONS_00032260	Homeodomain
TCONS_00015951	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00043771	Homeodomain
TCONS_00014809	Homeodomain
TCONS_00014810	Homeodomain
TCONS_00038300	Homeodomain
TCONS_00038275	Homeodomain
TCONS_00016080	Homeodomain
TCONS_00001049	T-box
TCONS_00007284	Mixed
TCONS_00010311	Mixed
TCONS_00010313	Mixed
TCONS_00011657	Mixed
TCONS_00026612	Homeodomain
TCONS_00009628	Homeodomain
TCONS_00026600	Homeodomain
TCONS_00009627	Homeodomain
TCONS_00043772	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00026711	Homeodomain
TCONS_00030938	IRF
TCONS_00011478	C2H2_ZF
TCONS_00001304	C2H2_ZF
TCONS_00018803	T-box
TCONS_00005387	T-box
TCONS_00033556	C2H2_ZF
TCONS_00010844	Homeodomain
TCONS_00010312	bZIP
TCONS_00010317	bZIP
TCONS_00010307	bZIP
TCONS_00010310	bZIP
TCONS_00010318	bZIP
TCONS_00000870	SMAD
TCONS_00053708	SMAD
TCONS_00026505	SMAD
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00042478	Homeodomain
TCONS_00032270	Homeodomain
TCONS_00032272	Homeodomain
TCONS_00016604	Myb_SANT
TCONS_00011580	Mixed
TCONS_00016058	Nuclear_receptor
TCONS_00002941	Nuclear_receptor
TCONS_00002946	Nuclear_receptor
TCONS_00002944	Nuclear_receptor
TCONS_00021994	Sox
TCONS_00013871	Sox
TCONS_00045354	Sox
TCONS_00011327	bHLH
TCONS_00046850	bHLH
TCONS_00019983	C2H2_ZF_Homeodomain
TCONS_00032267	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00026711	Homeodomain
TCONS_00016058	Nuclear_receptor
TCONS_00036467	Nuclear_receptor
TCONS_00036467	Nuclear_receptor
TCONS_00019811	Nuclear_receptor
TCONS_00009628	Homeodomain
TCONS_00026600	Homeodomain
TCONS_00022869	C2H2_ZF
TCONS_00042488	bHLH
TCONS_00035251	bHLH
TCONS_00049985	bHLH
TCONS_00041502	bHLH
TCONS_00048306	bHLH
TCONS_00030938	IRF
TCONS_00019139	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00017533	C2H2_ZF
TCONS_00030624	Sox
TCONS_00045354	Sox
TCONS_00026598	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00008464	bZIP
TCONS_00044893	AP-2
TCONS_00001141	C2H2_ZF
TCONS_00022983	C2H2_ZF
TCONS_00033865	C2H2_ZF
TCONS_00028502	C2H2_ZF
TCONS_00030468	CxC
TCONS_00007126	CxC
TCONS_00030792	Homeodomain
TCONS_00000855	Forkhead
TCONS_00002015	Forkhead
TCONS_00034949	Ets
TCONS_00023654	Ets
TCONS_00048577	Ets
TCONS_00019578	Ets
TCONS_00034215	Ets
TCONS_00033865	Ets
TCONS_00023435	Ets
TCONS_00033864	Ets
TCONS_00034214	Ets
TCONS_00017797	Ets
TCONS_00042950	Ets
TCONS_00001049	T-box
TCONS_00055221	CSL
TCONS_00011327	bHLH
TCONS_00019012	bHLH
TCONS_00008967	Forkhead
TCONS_00009611	Forkhead
TCONS_00008966	Forkhead
TCONS_00014249	Forkhead
TCONS_00011336	Forkhead
TCONS_00051149	Forkhead
TCONS_00052518	Forkhead
TCONS_00026068	Forkhead
TCONS_00049616	Forkhead
TCONS_00052512	Forkhead
TCONS_00000855	Forkhead
TCONS_00002015	Forkhead
TCONS_00008968	Forkhead
TCONS_00030938	C2H2_ZF
TCONS_00001141	C2H2_ZF
TCONS_00044845	bHLH
TCONS_00030552	bHLH
TCONS_00012881	bHLH
TCONS_00000865	bHLH
TCONS_00030276	bHLH
TCONS_00021994	Sox
TCONS_00020803	Homeodomain
TCONS_00019737	Homeodomain
TCONS_00026598	Homeodomain
TCONS_00049440	GATA
TCONS_00023435	GATA
TCONS_00006179	Homeodomain
TCONS_00009611	Forkhead
TCONS_00016106	Nuclear_receptor
TCONS_00026600	Homeodomain
TCONS_00009627	Homeodomain
TCONS_00007126	Mixed
TCONS_00041648	bHLH
TCONS_00020216	bHLH
TCONS_00044845	bHLH
TCONS_00000865	bHLH
TCONS_00031055	bHLH
TCONS_00030276	bHLH
TCONS_00049627	Nuclear_receptor
TCONS_00038647	bZIP
TCONS_00010306	bZIP
TCONS_00053574	bZIP
TCONS_00046710	C2H2_ZF
TCONS_00045709	C2H2_ZF
TCONS_00003894	C2H2_ZF
TCONS_00003900	C2H2_ZF
TCONS_00028162	C2H2_ZF
TCONS_00048898	Unknown
TCONS_00020167	STAT
TCONS_00049440	GATA
TCONS_00033865	GATA
TCONS_00017935	GATA
TCONS_00032477	C2H2_ZF
TCONS_00032482	C2H2_ZF
TCONS_00052093	AT_hook
TCONS_00038647	bZIP
TCONS_00025057	Ets
TCONS_00025528	Ets
TCONS_00025526	Ets
TCONS_00026840	Ets
TCONS_00006179	Unknown
TCONS_00034173	C2H2_ZF
TCONS_00008967	Forkhead
TCONS_00009611	Forkhead
TCONS_00014249	Forkhead
TCONS_00011336	Forkhead
TCONS_00051990	Forkhead
TCONS_00051989	Forkhead
TCONS_00051149	Forkhead
TCONS_00052518	Forkhead
TCONS_00026068	Forkhead
TCONS_00049616	Forkhead
TCONS_00052512	Forkhead
TCONS_00000855	Forkhead
TCONS_00002015	Forkhead
TCONS_00009689	Forkhead
TCONS_00008968	Forkhead
TCONS_00049440	GATA
TCONS_00011580	TBP
TCONS_00014868	TBP
TCONS_00022323	TBP
TCONS_00042618	TBP
TCONS_00010844	Homeodomain
TCONS_00027939	Homeodomain
TCONS_00038001	bHLH
TCONS_00002702	Nuclear_receptor
TCONS_00001951	Homeodomain_POU
TCONS_00042093	Homeodomain_POU
TCONS_00038040	TEA
TCONS_00019811	Nuclear_receptor
TCONS_00009390	HSF
TCONS_00014283	bZIP
TCONS_00008464	bZIP
TCONS_00051437	bHLH
TCONS_00034245	bHLH
TCONS_00034036	bHLH
TCONS_00034003	bHLH
TCONS_00034241	bHLH
TCONS_00020216	bHLH
TCONS_00053631	bHLH
TCONS_00055839	bHLH
TCONS_00026381	Mixed
TCONS_00007284	IRF
TCONS_00025057	Ets
TCONS_00025528	Ets
TCONS_00025526	Ets
TCONS_00026840	Ets
TCONS_00013871	Sox
TCONS_00027129	Mixed
TCONS_00027222	Mixed
TCONS_00001951	Homeodomain_POU
TCONS_00020167	STAT
TCONS_00028123	Nuclear_receptor
TCONS_00028111	Nuclear_receptor
TCONS_00016058	Nuclear_receptor
TCONS_00019811	Nuclear_receptor
TCONS_00010070	C2H2_ZF
TCONS_00007284	C2H2_ZF
TCONS_00028123	Nuclear_receptor
TCONS_00028111	Nuclear_receptor
TCONS_00002941	Nuclear_receptor
TCONS_00002946	Nuclear_receptor
TCONS_00002944	Nuclear_receptor
TCONS_00026612	Homeodomain
TCONS_00052518	Forkhead
TCONS_00014249	Forkhead
TCONS_00008967	Forkhead
TCONS_00026068	Forkhead
TCONS_00009611	Forkhead
TCONS_00052512	Forkhead
TCONS_00008968	Forkhead
TCONS_00051149	Forkhead
TCONS_00009628	Homeodomain
TCONS_00026600	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00020783	CBF_NF-Y
TCONS_00020784	CBF_NF-Y
TCONS_00020774	CBF_NF-Y
TCONS_00016080	CBF_NF-Y
TCONS_00024002	CBF_NF-Y
TCONS_00047299	CBF_NF-Y
TCONS_00007126	CBF_NF-Y
TCONS_00044915	CBF_NF-Y
TCONS_00010306	CBF_NF-Y
TCONS_00035251	CBF_NF-Y
TCONS_00049985	CBF_NF-Y
TCONS_00041502	CBF_NF-Y
TCONS_00020216	Mixed
TCONS_00007284	Mixed
TCONS_00010844	Homeodomain
TCONS_00032260	Homeodomain
TCONS_00023129	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00031212	Homeodomain
TCONS_00031189	Homeodomain
TCONS_00016646	Homeodomain
TCONS_00043771	Homeodomain
TCONS_00051388	Homeodomain
TCONS_00011327	bHLH
TCONS_00023654	bHLH
TCONS_00045275	Sox
TCONS_00021994	Sox
TCONS_00013871	Sox
TCONS_00042618	Unknown
TCONS_00020216	Unknown
TCONS_00048898	Unknown
TCONS_00002746	C2H2_ZF
TCONS_00047742	C2H2_ZF
TCONS_00052518	Forkhead
TCONS_00014249	Forkhead
TCONS_00008967	Forkhead
TCONS_00011336	Forkhead
TCONS_00026068	Forkhead
TCONS_00052512	Forkhead
TCONS_00009611	Forkhead
TCONS_00012754	Forkhead
TCONS_00051149	Forkhead
TCONS_00014283	bZIP
TCONS_00015347	Homeodomain
TCONS_00018960	Homeodomain
TCONS_00018945	Homeodomain
TCONS_00009611	Forkhead
TCONS_00016588	C2H2_ZF
TCONS_00015497	C2H2_ZF
TCONS_00011911	MADS_box
TCONS_00010677	Nuclear_receptor
TCONS_00020630	Grainyhead
TCONS_00009611	Forkhead
TCONS_00030369	MADS_box
TCONS_00010070	MADS_box
TCONS_00029005	MADS_box
TCONS_00016058	MADS_box
TCONS_00016058	Nuclear_receptor
TCONS_00026894	Nuclear_receptor
TCONS_00027809	Nuclear_receptor
TCONS_00016106	Nuclear_receptor
TCONS_00020355	Nuclear_receptor
TCONS_00028123	Nuclear_receptor
TCONS_00028111	Nuclear_receptor
TCONS_00049627	Nuclear_receptor
TCONS_00001051	T-box
TCONS_00047035	T-box
TCONS_00001049	T-box
TCONS_00007284	IRF
TCONS_00010346	Mixed
TCONS_00011478	Mixed
TCONS_00046710	C2H2_ZF
TCONS_00045709	C2H2_ZF
TCONS_00003894	C2H2_ZF
TCONS_00003900	C2H2_ZF
TCONS_00028162	C2H2_ZF
TCONS_00002937	C2H2_ZF
TCONS_00038040	TEA
TCONS_00024794	Ets
TCONS_00024754	Ets
TCONS_00022983	C2H2_ZF
TCONS_00049440	GATA
TCONS_00051388	Mixed
TCONS_00042821	Rel
TCONS_00015166	Rel
TCONS_00030912	Rel
TCONS_00017172	Rel
TCONS_00022442	Rel
TCONS_00010999	Rel
TCONS_00010346	THAP_finger
TCONS_00026894	Nuclear_receptor
TCONS_00027809	Nuclear_receptor
TCONS_00002746	C2H2_ZF
TCONS_00038647	bZIP
TCONS_00016601	bZIP
TCONS_00029005	MADS_box
TCONS_00002702	Nuclear_receptor
TCONS_00052518	Forkhead
TCONS_00014249	Forkhead
TCONS_00008967	Forkhead
TCONS_00011336	Forkhead
TCONS_00026068	Forkhead
TCONS_00009611	Forkhead
TCONS_00052512	Forkhead
TCONS_00051990	Forkhead
TCONS_00051989	Forkhead
TCONS_00051149	Forkhead
TCONS_00055099	RFX
TCONS_00020783	RFX
TCONS_00020784	RFX
TCONS_00020774	RFX
TCONS_00042488	RFX
TCONS_00053533	RFX
TCONS_00056455	CUT_Homeodomain
TCONS_00041477	CENPB
TCONS_00044443	CENPB
TCONS_00054787	CENPB
TCONS_00032112	CENPB
TCONS_00014249	Forkhead
TCONS_00052518	Forkhead
TCONS_00008967	Forkhead
TCONS_00011336	Forkhead
TCONS_00026068	Forkhead
TCONS_00009611	Forkhead
TCONS_00052512	Forkhead
TCONS_00051990	Forkhead
TCONS_00051989	Forkhead
TCONS_00009689	Forkhead
TCONS_00008968	Forkhead
TCONS_00051149	Forkhead
TCONS_00045489	GCM
TCONS_00010306	bZIP
TCONS_00005618	T-box
TCONS_00034173	Mixed
TCONS_00002092	Myb_SANT
TCONS_00046513	C2H2_ZF
TCONS_00003870	C2H2_ZF
TCONS_00014809	Homeodomain
TCONS_00014810	Homeodomain
TCONS_00029005	MADS_box
TCONS_00023654	Ets
TCONS_00042947	C2H2_ZF
TCONS_00003964	C2H2_ZF
TCONS_00054588	C2H2_ZF
TCONS_00041599	C2H2_ZF
TCONS_00030369	Paired_box
TCONS_00032260	Homeodomain
TCONS_00020801	Homeodomain
TCONS_00027510	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00045354	Sox
TCONS_00007126	E2F
TCONS_00030938	IRF
TCONS_00007284	IRF
TCONS_00051524	C2H2_ZF
TCONS_00009628	Homeodomain
TCONS_00026600	Homeodomain
TCONS_00031212	Homeodomain
TCONS_00031189	Homeodomain
TCONS_00030792	Homeodomain
TCONS_00053574	bZIP
TCONS_00010346	C2H2_ZF
TCONS_00003900	C2H2_ZF
TCONS_00003894	C2H2_ZF
TCONS_00021998	Sox
TCONS_00025066	Sox
TCONS_00021994	Sox
TCONS_00045354	Sox
TCONS_00052518	Forkhead
TCONS_00014249	Forkhead
TCONS_00008967	Forkhead
TCONS_00026068	Forkhead
TCONS_00009611	Forkhead
TCONS_00052512	Forkhead
TCONS_00029574	Forkhead
TCONS_00008968	Forkhead
TCONS_00051149	Forkhead
TCONS_00019811	Forkhead
TCONS_00001141	C2H2_ZF
TCONS_00051631	CSD
TCONS_00019983	C2H2_ZF_Homeodomain
TCONS_00022869	C2H2_ZF
TCONS_00004140	Nuclear_receptor
TCONS_00016106	Nuclear_receptor
TCONS_00020355	Nuclear_receptor
TCONS_00002941	Nuclear_receptor
TCONS_00002946	Nuclear_receptor
TCONS_00002944	Nuclear_receptor
TCONS_00028123	Nuclear_receptor
TCONS_00028111	Nuclear_receptor
TCONS_00049627	Nuclear_receptor
TCONS_00002347	Unknown
TCONS_00051708	Unknown
TCONS_00002035	Unknown
TCONS_00009199	C2H2_ZF
TCONS_00016080	Homeodomain
TCONS_00027932	Homeodomain
TCONS_00031212	Homeodomain
TCONS_00031189	Homeodomain
TCONS_00023551	Homeodomain
TCONS_00003496	Homeodomain
TCONS_00047742	C2H2_ZF
TCONS_00051388	Mixed
TCONS_00026894	Nuclear_receptor
TCONS_00027809	Nuclear_receptor
TCONS_00053631	Mixed
TCONS_00017780	Mixed
TCONS_00042093	Mixed
TCONS_00056448	Mixed
TCONS_00001951	Mixed
TCONS_00042478	Homeodomain
TCONS_00056455	CUT_Homeodomain
TCONS_00023654	Ets
TCONS_00049440	Ets
TCONS_00033865	Ets
TCONS_00010068	Homeodomain
TCONS_00016080	Homeodomain
TCONS_00046367	Homeodomain
TCONS_00028502	Mixed
TCONS_00038040	TEA
TCONS_00055840	bHLH
TCONS_00020630	Grainyhead
TCONS_00001343	bHLH
TCONS_00001344	bHLH
TCONS_00011327	bHLH
TCONS_00046850	bHLH
TCONS_00010067	Homeodomain
TCONS_00027129	Mixed
TCONS_00048898	Mixed
TCONS_00011911	MADS_box
TCONS_00044893	AP-2
TCONS_00021998	Sox
TCONS_00016601	bZIP
TCONS_00010677	Nuclear_receptor
TCONS_00011327	Mixed
TCONS_00030938	Mixed
TCONS_00001141	Mixed
TCONS_00018852	Homeodomain
TCONS_00020801	Homeodomain
TCONS_00027510	Homeodomain
TCONS_00003900	C2H2_ZF
TCONS_00003894	C2H2_ZF
TCONS_00002937	C2H2_ZF
TCONS_00027932	Homeodomain
TCONS_00023170	Homeodomain
TCONS_00025030	Homeodomain
TCONS_00025031	Homeodomain
TCONS_00042787	Homeodomain
TCONS_00021581	Homeodomain
TCONS_00012810	Homeodomain
TCONS_00031212	Homeodomain
TCONS_00031189	Homeodomain
TCONS_00016646	Homeodomain
TCONS_00023551	Homeodomain
TCONS_00011052	Homeodomain
TCONS_00003496	Homeodomain
TCONS_00051388	Homeodomain
TCONS_00011411	Homeodomain
TCONS_00010068	Homeodomain
TCONS_00011327	bHLH
TCONS_00035251	bHLH
TCONS_00049985	bHLH
TCONS_00041502	bHLH
TCONS_00024794	Ets
TCONS_00024754	Ets
TCONS_00020216	bHLH
TCONS_00038016	E2F
TCONS_00016080	Homeodomain
TCONS_00001174	Runt
TCONS_00001186	Runt
TCONS_00051437	bHLH
TCONS_00001174	Runt
TCONS_00001186	Runt
TCONS_00010677	Nuclear_receptor
TCONS_00027470	Nuclear_receptor
TCONS_00051388	Mixed
TCONS_00020167	STAT
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00032270	Homeodomain
TCONS_00032272	Homeodomain
TCONS_00010844	Homeodomain
TCONS_00038300	Homeodomain
TCONS_00038275	Homeodomain
TCONS_00046367	Homeodomain
TCONS_00021994	Unknown
TCONS_00028123	Nuclear_receptor
TCONS_00028111	Nuclear_receptor
TCONS_00002941	Nuclear_receptor
TCONS_00002946	Nuclear_receptor
TCONS_00002944	Nuclear_receptor
TCONS_00022983	C2H2_ZF
TCONS_00013871	Sox
TCONS_00034173	Mixed
TCONS_00011911	MADS_box
TCONS_00009611	Forkhead
TCONS_00029994	Homeodomain
TCONS_00045950	Homeodomain
TCONS_00031211	Homeodomain
TCONS_00031188	Homeodomain
TCONS_00027931	Homeodomain
TCONS_00048904	Homeodomain
TCONS_00034245	bHLH
TCONS_00034036	bHLH
TCONS_00034003	bHLH
TCONS_00034241	bHLH
TCONS_00053631	bHLH
TCONS_00018547	C2H2_ZF
TCONS_00024002	CBF_NF-Y
TCONS_00005269	C2H2_ZF
TCONS_00031629	Homeodomain
TCONS_00030792	Homeodomain
TCONS_00035251	bHLH
TCONS_00049985	bHLH
TCONS_00041502	bHLH
TCONS_00016080	Homeodomain
TCONS_00048577	Ets
TCONS_00034215	Ets
TCONS_00033865	Ets
TCONS_00027932	Homeodomain
TCONS_00031212	Homeodomain
TCONS_00031189	Homeodomain
TCONS_00011491	Homeodomain
TCONS_00020362	SMAD
TCONS_00001174	Runt
TCONS_00001186	Runt
TCONS_00057121	Mixed
TCONS_00025915	Mixed
TCONS_00009390	Mixed
TCONS_00022869	C2H2_ZF
TCONS_00013871	Sox
TCONS_00020355	Nuclear_receptor
TCONS_00003991	Nuclear_receptor
TCONS_00024248	Nuclear_receptor
TCONS_00030369	C2H2_ZF
TCONS_00039818	C2H2_ZF
TCONS_00039820	C2H2_ZF
TCONS_00053574	bZIP
TCONS_00051524	C2H2_ZF
TCONS_00001174	C2H2_ZF
TCONS_00001186	C2H2_ZF
TCONS_00027939	Homeodomain
TCONS_00022869	C2H2_ZF
TCONS_00008648	T-box
TCONS_00045502	Homeodomain
TCONS_00006179	Homeodomain
TCONS_00044893	AP-2
TCONS_00030912	Rel
TCONS_00001951	Homeodomain_POU
TCONS_00020805	Homeodomain
TCONS_00018960	Homeodomain
TCONS_00018945	Homeodomain
TCONS_00047631	C2H2_ZF
TCONS_00014283	bZIP
TCONS_00005618	T-box
TCONS_00010999	Rel
TCONS_00026711	Homeodomain
TCONS_00005618	T-box
TCONS_00010070	Mixed
TCONS_00007284	Mixed
TCONS_00017529	E2F
TCONS_00011327	bHLH
TCONS_00046850	bHLH
TCONS_00008734	Rel
TCONS_00026711	Homeodomain
TCONS_00002941	Nuclear_receptor
TCONS_00002946	Nuclear_receptor
TCONS_00002944	Nuclear_receptor
TCONS_00020630	Grainyhead
TCONS_00041694	bZIP
TCONS_00041695	bZIP
TCONS_00053431	bZIP
TCONS_00030949	bZIP
TCONS_00009390	bZIP
TCONS_00009456	bZIP
TCONS_00006235	CUT_Homeodomain
TCONS_00004140	Nuclear_receptor
TCONS_00013871	Sox
TCONS_00045275	Sox
TCONS_00013871	Sox
TCONS_00032270	Homeodomain
TCONS_00032272	Homeodomain
TCONS_00005618	T-box
TCONS_00026125	T-box
TCONS_00015347	Homeodomain
TCONS_00003496	Homeodomain
TCONS_00038647	bZIP
TCONS_00042488	bHLH
TCONS_00010942	Paired_box
TCONS_00030369	Paired_box
TCONS_00023129	Paired_box
TCONS_00037097	bZIP
TCONS_00028163	bZIP
TCONS_00030369	Paired_box
TCONS_00011478	C2H2_ZF
TCONS_00020362	SMAD
TCONS_00030369	Paired_box
TCONS_00010942	Paired_box
TCONS_00032260	Homeodomain
TCONS_00032259	Homeodomain
TCONS_00009456	bZIP
TCONS_00020817	Unknown
TCONS_00010999	Rel
TCONS_00009390	HSF
TCONS_00002937	C2H2_ZF
TCONS_00010493	Homeodomain
TCONS_00042478	Homeodomain
TCONS_00013726	Unknown
TCONS_00009375	C2H2_ZF
TCONS_00049616	Forkhead
TCONS_00017529	E2F
TCONS_00030938	IRF
TCONS_00030369	Homeodomain_Paired_box
TCONS_00009375	C2H2_ZF
TCONS_00014809	Homeodomain
TCONS_00014810	Homeodomain
TCONS_00054292	DM
TCONS_00023670	DM
TCONS_00051524	C2H2_ZF
TCONS_00001174	C2H2_ZF
TCONS_00001186	C2H2_ZF
TCONS_00009390	HSF
TCONS_00020216	bHLH
TCONS_00006235	CUT_Homeodomain
TCONS_00056455	CUT_Homeodomain
TCONS_00044645	bHLH
TCONS_00010677	Nuclear_receptor
TCONS_00033864	Ets
TCONS_00034214	Ets
TCONS_00034245	bHLH
TCONS_00034036	bHLH
TCONS_00034003	bHLH
TCONS_00034241	bHLH
TCONS_00053631	bHLH
TCONS_00003964	C2H2_ZF
TCONS_00054588	C2H2_ZF
TCONS_00041599	C2H2_ZF
TCONS_00020216	bHLH
TCONS_00030276	bHLH
TCONS_00018803	T-box
TCONS_00026125	T-box
TCONS_00011411	Homeodomain
TCONS_00010068	Homeodomain
TCONS_00022983	Homeodomain
TCONS_00020196	Homeodomain
TCONS_00041694	bZIP
TCONS_00041695	bZIP
TCONS_00032477	C2H2_ZF
TCONS_00032482	C2H2_ZF
TCONS_00019811	Nuclear_receptor
TCONS_00038647	bZIP
TCONS_00016601	bZIP
TCONS_00010677	Nuclear_receptor
TCONS_00016106	Nuclear_receptor
TCONS_00051524	C2H2_ZF
TCONS_00001174	C2H2_ZF
TCONS_00001186	C2H2_ZF
TCONS_00042417	SMAD
TCONS_00009733	C2H2_ZF
TCONS_00018209	Unknown
TCONS_00009611	Mixed
TCONS_00042488	bHLH
TCONS_00008464	bZIP
TCONS_00024794	Ets
TCONS_00024754	Ets
TCONS_00042983	C2H2_ZF
TCONS_00016601	bZIP
TCONS_00010070	Sox
TCONS_00021994	Sox
TCONS_00020355	Nuclear_receptor
TCONS_00002941	Nuclear_receptor
TCONS_00002946	Nuclear_receptor
TCONS_00002944	Nuclear_receptor
TCONS_00016080	Homeodomain
TCONS_00037097	bZIP
TCONS_00028163	bZIP
TCONS_00010068	Mixed
TCONS_00022983	Mixed
TCONS_00010311	bZIP
TCONS_00010313	bZIP
TCONS_00011657	bZIP
TCONS_00053574	bZIP
TCONS_00027939	Homeodomain
TCONS_00034949	Ets
TCONS_00048577	Ets
TCONS_00034215	Ets
TCONS_00020355	Nuclear_receptor
TCONS_00046367	Homeodomain
TCONS_00034949	Ets
TCONS_00048577	Ets
TCONS_00034215	Ets
TCONS_00010346	Ets
TCONS_00033865	Ets
TCONS_00033864	Ets
TCONS_00034214	Ets
TCONS_00027129	Ets
TCONS_00026505	Homeodomain
TCONS_00024114	Homeodomain
TCONS_00016058	Nuclear_receptor
TCONS_00049440	GATA
TCONS_00026598	Homeodomain
TCONS_00011411	Homeodomain
TCONS_00010068	Homeodomain
TCONS_00028123	Nuclear_receptor
TCONS_00028111	Nuclear_receptor
TCONS_00049627	Nuclear_receptor
TCONS_00048898	Unknown
TCONS_00042478	Homeodomain
TCONS_00032270	Homeodomain
TCONS_00032272	Homeodomain
TCONS_00008734	Rel
TCONS_00034949	Ets
TCONS_00023654	Ets
TCONS_00048577	Ets
TCONS_00019578	Ets
TCONS_00011478	Ets
TCONS_00034215	Ets
TCONS_00033865	Ets
TCONS_00023435	Ets
TCONS_00042950	Ets
TCONS_00015347	Homeodomain
TCONS_00027932	Homeodomain
TCONS_00026598	Homeodomain
TCONS_00006015	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00031212	Homeodomain
TCONS_00031189	Homeodomain
TCONS_00003496	Homeodomain
TCONS_00016143	Homeodomain
TCONS_00019983	C2H2_ZF
TCONS_00016106	Nuclear_receptor
TCONS_00023435	Ets
TCONS_00033865	Ets
TCONS_00030912	Rel
