Factor	Motif
TCONS_00011580	C2H2_ZF
TCONS_00030938	C2H2_ZF
TCONS_00003900	C2H2_ZF
TCONS_00042947	C2H2_ZF
TCONS_00010346	C2H2_ZF
TCONS_00054588	C2H2_ZF
TCONS_00003964	C2H2_ZF
TCONS_00041599	C2H2_ZF
TCONS_00003894	C2H2_ZF
TCONS_00016080	C2H2_ZF
TCONS_00018803	T-box
TCONS_00001049	T-box
TCONS_00010068	Homeodomain
TCONS_00010067	Homeodomain
TCONS_00045489	GCM
TCONS_00042093	Homeodomain_POU
TCONS_00001951	Homeodomain_POU
TCONS_00014283	bZIP
TCONS_00008464	bZIP
TCONS_00025066	Sox
TCONS_00045354	Sox
TCONS_00041694	Mixed
TCONS_00041695	Mixed
TCONS_00053431	Mixed
TCONS_00030949	Mixed
TCONS_00019811	Mixed
TCONS_00054648	C2H2_ZF
TCONS_00029994	Homeodomain
TCONS_00045950	Homeodomain
TCONS_00031211	Homeodomain
TCONS_00031188	Homeodomain
TCONS_00027931	Homeodomain
TCONS_00048904	Homeodomain
TCONS_00034263	SAND
TCONS_00001951	Homeodomain_POU
TCONS_00016058	Nuclear_receptor
TCONS_00049627	Nuclear_receptor
TCONS_00032264	Homeodomain
TCONS_00032260	Homeodomain
TCONS_00020805	Homeodomain
TCONS_00043772	Homeodomain
TCONS_00018960	Homeodomain
TCONS_00018945	Homeodomain
TCONS_00017786	Homeodomain
TCONS_00026910	Homeodomain
TCONS_00032259	Homeodomain
TCONS_00018852	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00043771	Homeodomain
TCONS_00049440	GATA
TCONS_00017935	GATA
TCONS_00011478	Mixed
TCONS_00010312	bHLH
TCONS_00010317	bHLH
TCONS_00010307	bHLH
TCONS_00010310	bHLH
TCONS_00010318	bHLH
TCONS_00048306	bHLH
TCONS_00035251	bHLH
TCONS_00049985	bHLH
TCONS_00041502	bHLH
TCONS_00008967	Forkhead
TCONS_00009611	Forkhead
TCONS_00014249	Forkhead
TCONS_00011336	Forkhead
TCONS_00051990	Forkhead
TCONS_00051989	Forkhead
TCONS_00012754	Forkhead
TCONS_00051149	Forkhead
TCONS_00052518	Forkhead
TCONS_00026068	Forkhead
TCONS_00052512	Forkhead
TCONS_00000855	Forkhead
TCONS_00002015	Forkhead
TCONS_00009689	Forkhead
TCONS_00008968	Forkhead
TCONS_00017529	E2F
TCONS_00007126	E2F
TCONS_00022906	E2F
TCONS_00005144	bZIP
TCONS_00005143	bZIP
TCONS_00009628	Homeodomain
TCONS_00026600	Homeodomain
TCONS_00026601	Homeodomain
TCONS_00052518	Forkhead
TCONS_00014249	Forkhead
TCONS_00008967	Forkhead
TCONS_00026068	Forkhead
TCONS_00009611	Forkhead
TCONS_00052512	Forkhead
TCONS_00008968	Forkhead
TCONS_00051149	Forkhead
TCONS_00032260	Homeodomain
TCONS_00027932	Homeodomain
TCONS_00026598	Homeodomain
TCONS_00017786	Homeodomain
TCONS_00032266	Homeodomain
