Orthogroup	HUMAN	YEAST
OG0000759	HUMAN17791, HUMAN17793, HUMAN17790, HUMAN17794, HUMAN27300, HUMAN27301, HUMAN17543	YEAST02878, YEAST05681
OG0000765	HUMAN07244	YEAST05027, YEAST03009, YEAST01404
OG0000768	HUMAN21056, HUMAN02829, HUMAN02830, HUMAN21054, HUMAN21055	YEAST02560, YEAST04269
OG0000772	HUMAN28705, HUMAN28706, HUMAN28704	YEAST04929
OG0000776	HUMAN22855, HUMAN23098, HUMAN29543, HUMAN30264	YEAST04571, YEAST00195, YEAST00312
OG0000777	HUMAN13332, HUMAN12179, HUMAN12178, HUMAN20209, HUMAN12177, HUMAN13333	YEAST06297, YEAST02627
OG0000779	HUMAN29418, HUMAN19017, HUMAN25627, HUMAN25628, HUMAN25626, HUMAN27878	YEAST03812
OG0000782	HUMAN01527, HUMAN13920, HUMAN14354, HUMAN13919, HUMAN01526, HUMAN09694	YEAST01393, YEAST05616
OG0000791	HUMAN06331, HUMAN27291, HUMAN27292, HUMAN06332, HUMAN18232	YEAST02375
OG0000794	HUMAN12200, HUMAN12197, HUMAN12195, HUMAN05033, HUMAN05029, HUMAN05034, HUMAN05035, HUMAN12194	YEAST04627
OG0000809	HUMAN01052, HUMAN01051, HUMAN15029, HUMAN15032, HUMAN15033, HUMAN15030, HUMAN23557, HUMAN15031	YEAST01998
OG0000817	HUMAN13385, HUMAN06596, HUMAN03169	YEAST00389
OG0000817	HUMAN27263	YEAST06112
OG0000824	HUMAN12193, HUMAN12192, HUMAN12199	YEAST01319, YEAST02883
OG0000828	HUMAN09906, HUMAN09908, HUMAN09907, HUMAN23682, HUMAN23683	YEAST00945, YEAST05476, YEAST00075
OG0000828	HUMAN07354	YEAST02290
OG0000837	HUMAN25283, HUMAN19289	YEAST06222
OG0000841	HUMAN11209, HUMAN11208, HUMAN28390, HUMAN28389, HUMAN25529	YEAST02416
OG0000847	HUMAN12189	YEAST02881, YEAST03544, YEAST06198
OG0000847	HUMAN19801, HUMAN10864	YEAST02530, YEAST00209
OG0000849	HUMAN01370, HUMAN01371, HUMAN01454, HUMAN04171	YEAST04475
OG0000850	HUMAN00998, HUMAN03431, HUMAN03430	YEAST04287
OG0000852	HUMAN01598, HUMAN13870, HUMAN18978, HUMAN18977, HUMAN13869	YEAST01266
OG0000855	HUMAN12462	YEAST04755
OG0000857	HUMAN15999, HUMAN24948, HUMAN05809, HUMAN04190, HUMAN16000, HUMAN04191	YEAST00309
OG0000868	HUMAN15364, HUMAN29668, HUMAN08901, HUMAN23128	YEAST06157
OG0000871	HUMAN30324, HUMAN03633	YEAST03857
OG0000872	HUMAN05054, HUMAN05052, HUMAN05051, HUMAN16344, HUMAN20384, HUMAN05053	YEAST03222, YEAST03741
OG0000875	HUMAN28345, HUMAN18108	YEAST00077
OG0000876	HUMAN02797, HUMAN06402, HUMAN19662, HUMAN02798	YEAST05556
OG0000879	HUMAN21910, HUMAN11932, HUMAN22026, HUMAN22025, HUMAN11931, HUMAN11933, HUMAN06283, HUMAN21911	YEAST06123
OG0000888	HUMAN01523, HUMAN14144, HUMAN17235, HUMAN14143	YEAST00288
OG0000889	HUMAN16803, HUMAN04560, HUMAN10862, HUMAN13087, HUMAN19799, HUMAN19800	YEAST00175
OG0000894	HUMAN22934, HUMAN20156, HUMAN25909	YEAST03763
OG0000896	HUMAN05088, HUMAN05089	YEAST02476
OG0000896	HUMAN02560, HUMAN04868	YEAST04923
OG0000898	HUMAN01291, HUMAN01290, HUMAN01289	YEAST06255, YEAST03431
OG0000905	HUMAN04252, HUMAN04253	YEAST00599
OG0000907	HUMAN01311, HUMAN28917, HUMAN28918, HUMAN28916	YEAST02193
OG0000913	HUMAN24104, HUMAN24103, HUMAN24106, HUMAN05337, HUMAN24105, HUMAN24107	YEAST03557, YEAST05101
OG0000914	HUMAN24959, HUMAN26794, HUMAN30514, HUMAN26792, HUMAN26791, HUMAN30512, HUMAN24958, HUMAN30513, HUMAN26793, HUMAN26790	YEAST04745
OG0000921	HUMAN02905, HUMAN17556, HUMAN17558, HUMAN17557, HUMAN17559, HUMAN24453, HUMAN02198	YEAST02526
OG0000925	HUMAN23362, HUMAN23363, HUMAN23364, HUMAN30631, HUMAN29752	YEAST05667, YEAST06025
OG0000932	HUMAN07156, HUMAN07155, HUMAN26747, HUMAN26746	YEAST03525
OG0000933	HUMAN18787, HUMAN04834, HUMAN08387, HUMAN18788	YEAST06306
OG0000934	HUMAN07465, HUMAN25721, HUMAN25723	YEAST02582, YEAST06252
OG0000934	HUMAN24974, HUMAN06158	YEAST05040
OG0000935	HUMAN14530, HUMAN10106, HUMAN01617, HUMAN01618, HUMAN06391, HUMAN06392, HUMAN06390, HUMAN17822	YEAST02843
OG0000943	HUMAN06082, HUMAN04648, HUMAN04649, HUMAN07383	YEAST03805
OG0000944	HUMAN07470, HUMAN27468, HUMAN30061	YEAST04878
OG0000954	HUMAN18210, HUMAN18209, HUMAN10206, HUMAN10205, HUMAN10272	YEAST05503, YEAST01249
OG0000955	HUMAN28653	YEAST00837
OG0000955	HUMAN22849	YEAST04295
OG0000963	HUMAN14179, HUMAN14180, HUMAN14181, HUMAN14182, HUMAN23351, HUMAN01011	YEAST03685, YEAST00482, YEAST01749
OG0000964	HUMAN15564, HUMAN15563	YEAST04606
OG0000965	HUMAN22507	YEAST02552
OG0000965	HUMAN08123	YEAST02050
OG0000967	HUMAN07448, HUMAN07447, HUMAN19350, HUMAN03396, HUMAN03397	YEAST05075
OG0000970	HUMAN15334, HUMAN19711, HUMAN30698	YEAST04028
OG0000982	HUMAN14333, HUMAN01637, HUMAN28757	YEAST01182
OG0000984	HUMAN23607, HUMAN02268, HUMAN02267	YEAST01493, YEAST00575
OG0000986	HUMAN03355, HUMAN17228	YEAST01481, YEAST04073
OG0000987	HUMAN02812, HUMAN02813, HUMAN06286, HUMAN19599	YEAST04734, YEAST02734
OG0000994	HUMAN25360, HUMAN17151, HUMAN17152	YEAST02360
OG0000996	HUMAN29968, HUMAN29969, HUMAN07481, HUMAN07480, HUMAN17651, HUMAN17650, HUMAN17652	YEAST00033
OG0001001	HUMAN29768, HUMAN11958, HUMAN29766, HUMAN30632, HUMAN29767	YEAST00341
OG0001003	HUMAN07373, HUMAN07372, HUMAN12090, HUMAN12092	YEAST00644
OG0001006	HUMAN10720, HUMAN10719, HUMAN23379, HUMAN14223, HUMAN00900	YEAST04513
OG0001016	HUMAN03017, HUMAN27202	YEAST00830
OG0001018	HUMAN19498, HUMAN08887	YEAST01172
OG0001024	HUMAN26241, HUMAN26240, HUMAN22736, HUMAN22737, HUMAN23893, HUMAN03150, HUMAN26239	YEAST01024, YEAST00308
OG0001033	HUMAN00952, HUMAN28581, HUMAN14253	YEAST02124
OG0001066	HUMAN01431, HUMAN20904, HUMAN20903, HUMAN01429, HUMAN16658	YEAST06311
OG0001075	HUMAN24569, HUMAN16597, HUMAN16596	YEAST05636
OG0001076	HUMAN22388, HUMAN07537, HUMAN07536, HUMAN22387	YEAST01570
OG0001081	HUMAN15960	YEAST04460
OG0001082	HUMAN18214, HUMAN18213, HUMAN06409, HUMAN06410	YEAST03919, YEAST02905, YEAST05331
OG0001094	HUMAN18720, HUMAN08291, HUMAN04909	YEAST03837
OG0001095	HUMAN06662, HUMAN17682, HUMAN20656, HUMAN20657, HUMAN17681	YEAST00773
OG0001101	HUMAN05769	YEAST03434
OG0001101	HUMAN29924, HUMAN29923, HUMAN21985, HUMAN02347	YEAST04701
OG0001108	HUMAN06470, HUMAN26420	YEAST06309
OG0001111	HUMAN08205, HUMAN08204, HUMAN00662, HUMAN15089, HUMAN23671, HUMAN19715	YEAST06003
OG0001113	HUMAN20232	YEAST05320
OG0001113	HUMAN13568, HUMAN13567, HUMAN13565, HUMAN13566	YEAST00954
OG0001114	HUMAN09738, HUMAN09739, HUMAN01816	YEAST00036, YEAST05811
OG0001124	HUMAN13636, HUMAN29856, HUMAN29855, HUMAN29854, HUMAN29853	YEAST02719
OG0001132	HUMAN28769	YEAST05421
OG0001133	HUMAN24838	YEAST04296
OG0001133	HUMAN23355	YEAST03271
OG0001134	HUMAN22209, HUMAN22213, HUMAN22214, HUMAN22217, HUMAN27443, HUMAN27400, HUMAN27370, HUMAN27444, HUMAN27369, HUMAN27401, HUMAN22215, HUMAN22216, HUMAN22200, HUMAN22207, HUMAN22208, HUMAN22205, HUMAN22199, HUMAN22204, HUMAN22202, HUMAN22198, HUMAN22201, HUMAN22203, HUMAN22206, HUMAN22212, HUMAN22210, HUMAN22211, HUMAN13466, HUMAN13465, HUMAN25963	YEAST05015
OG0001135	HUMAN12999, HUMAN12998, HUMAN10157, HUMAN10262, HUMAN10159, HUMAN10160, HUMAN10158, HUMAN10261	YEAST03641
OG0001136	HUMAN14242, HUMAN23717, HUMAN09626, HUMAN09622, HUMAN14245, HUMAN14244	YEAST05047, YEAST02997
OG0001140	HUMAN28111, HUMAN00689, HUMAN16613	YEAST03519
OG0001142	HUMAN04836, HUMAN04835	YEAST04001
OG0001163	HUMAN03540, HUMAN22604, HUMAN22605	YEAST02433
OG0001164	HUMAN20034, HUMAN20033	YEAST03454
OG0001171	HUMAN27880, HUMAN25618, HUMAN25619, HUMAN19014, HUMAN19015	YEAST04620, YEAST03578
OG0001175	HUMAN27761, HUMAN17515	YEAST00534
OG0001177	HUMAN13792, HUMAN13793, HUMAN13794, HUMAN26270	YEAST06137
OG0001179	HUMAN19099	YEAST00368, YEAST04831, YEAST02287
OG0001181	HUMAN12489, HUMAN02963, HUMAN12488	YEAST02051
OG0001184	HUMAN24892, HUMAN24891, HUMAN04448, HUMAN04447	YEAST01681
OG0001185	HUMAN24530, HUMAN24531, HUMAN00600, HUMAN25682, HUMAN25681	YEAST04969
OG0001186	HUMAN13742, HUMAN11615	YEAST04605, YEAST01886
OG0001191	HUMAN14236, HUMAN27561, HUMAN27560, HUMAN03181, HUMAN23867	YEAST04707
OG0001192	HUMAN29050	YEAST01898
OG0001197	HUMAN04807, HUMAN26126, HUMAN17925	YEAST01499
OG0001201	HUMAN19000, HUMAN28333	YEAST05452
OG0001204	HUMAN07266, HUMAN13045	YEAST05200
OG0001207	HUMAN13151	YEAST03225, YEAST00090
OG0001207	HUMAN13150, HUMAN17601	YEAST04258
OG0001210	HUMAN18754	YEAST05511
OG0001210	HUMAN21606	YEAST02318
OG0001212	HUMAN22840, HUMAN22841	YEAST03971
OG0001214	HUMAN02956, HUMAN02957, HUMAN06746, HUMAN06745, HUMAN06748, HUMAN06749, HUMAN06747	YEAST00577
OG0001216	HUMAN05988, HUMAN05987, HUMAN11890, HUMAN11427	YEAST00145
OG0001219	HUMAN18053, HUMAN24346, HUMAN01814, HUMAN09792, HUMAN09790, HUMAN24347	YEAST03867
OG0001236	HUMAN15304, HUMAN05859	YEAST03325, YEAST02687, YEAST03269
OG0001237	HUMAN10071, HUMAN01580, HUMAN23506	YEAST04380
OG0001238	HUMAN09752, HUMAN24272, HUMAN20738, HUMAN12789, HUMAN06408	YEAST04481
OG0001241	HUMAN18832	YEAST02002
OG0001241	HUMAN07799	YEAST03967, YEAST01074
OG0001243	HUMAN27651, HUMAN27653, HUMAN27652, HUMAN27650, HUMAN09639	YEAST00739, YEAST05004
OG0001249	HUMAN14397, HUMAN05364, HUMAN05363, HUMAN28497, HUMAN00860, HUMAN14396	YEAST01062, YEAST02067
OG0001250	HUMAN13009, HUMAN20055, HUMAN20056, HUMAN20057, HUMAN12131, HUMAN13011	YEAST02968, YEAST01339
OG0001251	HUMAN11600, HUMAN08159, HUMAN08158	YEAST01707
OG0001253	HUMAN20377, HUMAN24966, HUMAN20379, HUMAN24965	YEAST03998
OG0001254	HUMAN23638, HUMAN23637, HUMAN09380	YEAST04309
OG0001262	HUMAN29428, HUMAN24853	YEAST00911
OG0001263	HUMAN27745, HUMAN27744, HUMAN03309, HUMAN12942	YEAST00172
OG0001268	HUMAN20923, HUMAN22451, HUMAN29785, HUMAN29783	YEAST03495
OG0001270	HUMAN10267, HUMAN10268, HUMAN10266	YEAST01703
OG0001270	HUMAN10495	YEAST02398
OG0001271	HUMAN13162, HUMAN27281, HUMAN13161, HUMAN06386	YEAST05227, YEAST00662
OG0001278	HUMAN13574, HUMAN02569, HUMAN02570, HUMAN28347, HUMAN28348	YEAST01893
OG0001279	HUMAN15552, HUMAN15549, HUMAN09000, HUMAN02712	YEAST03070
OG0001280	HUMAN09972, HUMAN14369, HUMAN28522	YEAST00846
OG0001282	HUMAN11803, HUMAN21801	YEAST03744
OG0001284	HUMAN27206, HUMAN27205, HUMAN09392	YEAST00567, YEAST01498
OG0001286	HUMAN03915, HUMAN03916, HUMAN16346	YEAST00588, YEAST01486, YEAST03604
OG0001291	HUMAN27542, HUMAN22728, HUMAN03289	YEAST04453, YEAST04334
OG0001300	HUMAN21610, HUMAN07635, HUMAN30249	YEAST01098
OG0001302	HUMAN00934	YEAST02328
OG0001302	HUMAN28036	YEAST00299
OG0001310	HUMAN09336, HUMAN09337, HUMAN17449	YEAST00887
OG0001318	HUMAN16547, HUMAN16548, HUMAN21172, HUMAN21173	YEAST03712
OG0001319	HUMAN26676, HUMAN26675, HUMAN30310, HUMAN21541	YEAST01678
OG0001321	HUMAN01841, HUMAN09666, HUMAN14539	YEAST02280, YEAST01901
OG0001322	HUMAN03840, HUMAN15479, HUMAN15481	YEAST06128
OG0001324	HUMAN21900, HUMAN21901, HUMAN21897, HUMAN21898	YEAST00078
OG0001325	HUMAN22707, HUMAN22706, HUMAN22705, HUMAN22708, HUMAN22704, HUMAN22702, HUMAN22701, HUMAN22703	YEAST00793
OG0001326	HUMAN03521, HUMAN17368, HUMAN17367, HUMAN03603	YEAST05395
OG0001327	HUMAN05827, HUMAN05826, HUMAN05829, HUMAN06766, HUMAN06765, HUMAN02428	YEAST03176
OG0001332	HUMAN29020	YEAST03929, YEAST02705, YEAST00687
OG0001333	HUMAN20118, HUMAN10313	YEAST00728
OG0001341	HUMAN13955	YEAST06006
OG0001345	HUMAN21450, HUMAN21451, HUMAN21449	YEAST03613
OG0001353	HUMAN18781, HUMAN18886	YEAST00020, YEAST04041
OG0001363	HUMAN02206	YEAST06180
OG0001364	HUMAN18390, HUMAN26706, HUMAN18389	YEAST06038, YEAST00402
OG0001367	HUMAN19005, HUMAN13672, HUMAN16628, HUMAN16627	YEAST04688
OG0001368	HUMAN08634, HUMAN18786, HUMAN18785, HUMAN08633	YEAST01821
OG0001370	HUMAN10042, HUMAN18140	YEAST04067, YEAST05195, YEAST00897
OG0001371	HUMAN13498, HUMAN13497	YEAST00532, YEAST03976
OG0001372	HUMAN01152	YEAST00070
OG0001375	HUMAN25598, HUMAN00578, HUMAN00579	YEAST05499, YEAST05567
OG0001378	HUMAN27599, HUMAN03792, HUMAN24020, HUMAN22165, HUMAN24018	YEAST02300
OG0001379	HUMAN30001, HUMAN21524, HUMAN05168, HUMAN05167, HUMAN17620, HUMAN17658	YEAST04155
OG0001386	HUMAN12570, HUMAN20602	YEAST05114
OG0001397	HUMAN24255, HUMAN03558, HUMAN03597	YEAST05731
OG0001400	HUMAN12867, HUMAN17921, HUMAN26085, HUMAN26084	YEAST02931
OG0001409	HUMAN15650, HUMAN21360	YEAST00885, YEAST04659
OG0001410	HUMAN18250, HUMAN18249, HUMAN18248, HUMAN25904, HUMAN25903, HUMAN27965, HUMAN27967, HUMAN27966	YEAST05046
OG0001411	HUMAN22432, HUMAN22431	YEAST04834
OG0001412	HUMAN07098, HUMAN07099	YEAST04490
OG0001413	HUMAN07321, HUMAN07320, HUMAN07322, HUMAN10070	YEAST04294
OG0001414	HUMAN16822, HUMAN26311	YEAST06070, YEAST01920
OG0001415	HUMAN19750, HUMAN19752, HUMAN19751	YEAST04230
OG0001421	HUMAN15819, HUMAN15817, HUMAN15818, HUMAN08949, HUMAN04839, HUMAN08948, HUMAN02585	YEAST05252
OG0001422	HUMAN17890, HUMAN26120, HUMAN17892, HUMAN26121, HUMAN17893, HUMAN17891	YEAST05588, YEAST01363
OG0001424	HUMAN04853, HUMAN04852, HUMAN19657	YEAST01127
OG0001427	HUMAN18845, HUMAN13853, HUMAN16726	YEAST01885
OG0001428	HUMAN00193, HUMAN11816, HUMAN05892	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	HUMAN16816, HUMAN04840, HUMAN09331, HUMAN15891	YEAST01712
OG0001434	HUMAN25376	YEAST03991
OG0001437	HUMAN13733, HUMAN13731, HUMAN13732, HUMAN13730, HUMAN27963, HUMAN27962	YEAST01264, YEAST02900
OG0001445	HUMAN18716, HUMAN15579	YEAST01715
OG0001449	HUMAN16746	YEAST03188
OG0001449	HUMAN18160	YEAST05764
OG0001452	HUMAN23508, HUMAN10054, HUMAN01876, HUMAN10055	YEAST05900
OG0001454	HUMAN24123, HUMAN24124, HUMAN24121, HUMAN24122, HUMAN22861, HUMAN24125	YEAST01495, YEAST00573
OG0001456	HUMAN21607, HUMAN21609	YEAST00365
OG0001459	HUMAN15951, HUMAN15950, HUMAN06132	YEAST03073, YEAST03464
OG0001461	HUMAN26887	YEAST05255
OG0001468	HUMAN18215, HUMAN20670, HUMAN20673, HUMAN20674, HUMAN06709, HUMAN20671	YEAST03875, YEAST03904
OG0001469	HUMAN17357	YEAST02070
OG0001469	HUMAN25406	YEAST02765
OG0001470	HUMAN12347, HUMAN12346	YEAST00369, YEAST05375
OG0001472	HUMAN26528, HUMAN26527, HUMAN19245	YEAST03031
OG0001473	HUMAN20094, HUMAN20096, HUMAN20095	YEAST05711
OG0001474	HUMAN10737, HUMAN09370, HUMAN10738, HUMAN10739, HUMAN10736	YEAST01416, YEAST05312
OG0001478	HUMAN09291, HUMAN09290	YEAST01984
OG0001478	HUMAN20166	YEAST02078
OG0001479	HUMAN29190, HUMAN01339, HUMAN14506, HUMAN14504, HUMAN29189	YEAST01132
OG0001503	HUMAN15059	YEAST03032
OG0001503	HUMAN06046	YEAST02920
OG0001504	HUMAN18887	YEAST05406
OG0001505	HUMAN21797, HUMAN11901, HUMAN11900, HUMAN03341	YEAST03361
OG0001508	HUMAN04219, HUMAN15958, HUMAN15959	YEAST04143
OG0001515	HUMAN12421, HUMAN12420, HUMAN19953	YEAST03320
OG0001520	HUMAN00622, HUMAN16656	YEAST03872
OG0001520	HUMAN00623	YEAST02474, YEAST02313
OG0001524	HUMAN03522, HUMAN11149	YEAST03912
OG0001525	HUMAN07206, HUMAN07207	YEAST00757
OG0001527	HUMAN11843, HUMAN19884	YEAST00435
OG0001527	HUMAN19883, HUMAN19885, HUMAN11842, HUMAN28194	YEAST01395
OG0001529	HUMAN20862, HUMAN20863, HUMAN20865, HUMAN20919, HUMAN24918	YEAST01143
OG0001530	HUMAN03101, HUMAN22628, HUMAN22629	YEAST00643
OG0001546	HUMAN08266, HUMAN16844, HUMAN08267, HUMAN16843	YEAST03111
OG0001550	HUMAN02468, HUMAN20737, HUMAN02467	YEAST02405, YEAST05953
OG0001551	HUMAN08700, HUMAN02498	YEAST04817
OG0001553	HUMAN27760, HUMAN03319, HUMAN23794, HUMAN27759	YEAST05147, YEAST01586
OG0001557	HUMAN04310	YEAST04671
OG0001557	HUMAN26830, HUMAN26831, HUMAN04309	YEAST04551
OG0001558	HUMAN29505, HUMAN29504, HUMAN14496	YEAST04449
OG0001559	HUMAN02553, HUMAN08415, HUMAN04944, HUMAN02556, HUMAN04942	YEAST00445, YEAST02434
OG0001561	HUMAN24968, HUMAN20456, HUMAN24967, HUMAN20360	YEAST06176
OG0001564	HUMAN18398, HUMAN05132, HUMAN18397, HUMAN18396, HUMAN05131	YEAST05390
OG0001570	HUMAN16050, HUMAN16051	YEAST04678
OG0001573	HUMAN01295, HUMAN29048	YEAST03285
OG0001578	HUMAN27577, HUMAN27576, HUMAN03525	YEAST01872
OG0001580	HUMAN19240, HUMAN19239, HUMAN19238, HUMAN15241	YEAST06270
OG0001590	HUMAN09425, HUMAN09424	YEAST03476, YEAST00717, YEAST03955
OG0001594	HUMAN19429	YEAST03418
OG0001597	HUMAN26560, HUMAN26561, HUMAN26559, HUMAN03834, HUMAN03833, HUMAN03832	YEAST01702
OG0001603	HUMAN24754, HUMAN24819	YEAST02584
OG0001604	HUMAN22175, HUMAN12471, HUMAN12472	YEAST01428
OG0001605	HUMAN07945, HUMAN07944	YEAST04101
OG0001609	HUMAN07643, HUMAN21122, HUMAN07645	YEAST02739
OG0001610	HUMAN22869, HUMAN00777, HUMAN19044, HUMAN07487, HUMAN28094	YEAST00596, YEAST02062
OG0001612	HUMAN19504, HUMAN25319	YEAST01109
OG0001628	HUMAN16897, HUMAN16898	YEAST04790
OG0001653	HUMAN23274	YEAST01151
OG0001655	HUMAN29890, HUMAN23043, HUMAN29586, HUMAN29889	YEAST03354
OG0001657	HUMAN20003, HUMAN20005, HUMAN20004, HUMAN04603	YEAST00101, YEAST00944
OG0001663	HUMAN26903, HUMAN29828	YEAST05642
OG0001676	HUMAN03206	YEAST02848
OG0001676	HUMAN15070	YEAST06155
OG0001680	HUMAN16896, HUMAN08569, HUMAN08570, HUMAN08568, HUMAN15511, HUMAN15510	YEAST01119, YEAST04022
OG0001685	HUMAN22339	YEAST01147
OG0001687	HUMAN03234	YEAST05279
OG0001691	HUMAN10903, HUMAN07404	YEAST01315
OG0001704	HUMAN06407, HUMAN06567	YEAST01293
OG0001706	HUMAN30453, HUMAN05373, HUMAN30452	YEAST03424
OG0001707	HUMAN13776, HUMAN13775, HUMAN16739	YEAST06049, YEAST00407, YEAST04739
OG0001708	HUMAN25399, HUMAN25398, HUMAN01995, HUMAN01996	YEAST05744, YEAST05745
OG0001709	HUMAN23995	YEAST04440
OG0001713	HUMAN05026, HUMAN11446, HUMAN11444, HUMAN11445	YEAST04039
OG0001718	HUMAN08462, HUMAN25013, HUMAN25014	YEAST01537
OG0001721	HUMAN25291, HUMAN08491	YEAST04881, YEAST05253, YEAST00698
OG0001723	HUMAN30388, HUMAN21619, HUMAN30386, HUMAN29777	YEAST01435
OG0001727	HUMAN15860, HUMAN15859, HUMAN08259, HUMAN16842	YEAST04543
OG0001728	HUMAN09496, HUMAN23695	YEAST03347
OG0001730	HUMAN14924, HUMAN00990, HUMAN14923	YEAST00177
OG0001739	HUMAN30049, HUMAN30048, HUMAN06840, HUMAN06841, HUMAN06839, HUMAN03964	YEAST03760
OG0001745	HUMAN00586, HUMAN00585, HUMAN00587, HUMAN00584, HUMAN25534	YEAST01431
OG0001750	HUMAN03005, HUMAN06675, HUMAN17719	YEAST03628
OG0001754	HUMAN25325, HUMAN05304, HUMAN05305, HUMAN05303, HUMAN13962	YEAST03682
OG0001755	HUMAN05480	YEAST05131
OG0001756	HUMAN03565, HUMAN03566, HUMAN27757, HUMAN27756, HUMAN27755	YEAST00620
OG0001769	HUMAN03651, HUMAN08557, HUMAN08556, HUMAN08559	YEAST04726
OG0001770	HUMAN24382, HUMAN17425, HUMAN30193, HUMAN24381, HUMAN22894	YEAST02590
OG0001774	HUMAN18619, HUMAN30515, HUMAN30516	YEAST05166
OG0001775	HUMAN14353	YEAST05594
OG0001780	HUMAN19749, HUMAN30120	YEAST03768
OG0001781	HUMAN12741, HUMAN12740, HUMAN12739, HUMAN24740	YEAST01882
OG0001782	HUMAN23640, HUMAN03280	YEAST02421
OG0001785	HUMAN07812	YEAST02713
OG0001787	HUMAN19491, HUMAN19493, HUMAN19494, HUMAN19492, HUMAN25152, HUMAN25151, HUMAN00492	YEAST03546
OG0001792	HUMAN29333	YEAST04331
OG0001792	HUMAN15054	YEAST04595
OG0001793	HUMAN20623, HUMAN05697	YEAST02466
OG0001805	HUMAN06846, HUMAN06844, HUMAN04264, HUMAN06848	YEAST05496, YEAST01242
OG0001807	HUMAN12665, HUMAN12666, HUMAN12667	YEAST05464
OG0001808	HUMAN22069, HUMAN22068, HUMAN01110	YEAST01298
OG0001818	HUMAN08932, HUMAN25133	YEAST05902, YEAST04712
OG0001822	HUMAN20278, HUMAN04122, HUMAN02352, HUMAN02353, HUMAN04121	YEAST04378, YEAST01659
OG0001826	HUMAN18296, HUMAN30222	YEAST04777, YEAST01697, YEAST05781
OG0001828	HUMAN20552	YEAST04676
OG0001829	HUMAN11147, HUMAN11495, HUMAN11148	YEAST01613, YEAST00136, YEAST02008
OG0001831	HUMAN10191, HUMAN10190, HUMAN12366, HUMAN12368	YEAST00024
OG0001832	HUMAN29361, HUMAN10008, HUMAN10007, HUMAN01888, HUMAN10006	YEAST05376
OG0001846	HUMAN25244, HUMAN18589, HUMAN16677, HUMAN18592, HUMAN16676	YEAST05067
OG0001850	HUMAN27413, HUMAN27412, HUMAN27410, HUMAN27411	YEAST01913
OG0001852	HUMAN06722, HUMAN29789, HUMAN06720, HUMAN20898, HUMAN20900, HUMAN20899	YEAST03121
OG0001853	HUMAN18574, HUMAN28392, HUMAN18575	YEAST05176
OG0001857	HUMAN16699, HUMAN28241	YEAST04741
OG0001860	HUMAN03905, HUMAN03906, HUMAN03904, HUMAN16040	YEAST00188
OG0001861	HUMAN02516, HUMAN02475	YEAST05779, YEAST04773
OG0001863	HUMAN27302, HUMAN27303, HUMAN24744	YEAST03017
OG0001866	HUMAN25781, HUMAN25782, HUMAN25780, HUMAN19444	YEAST05095, YEAST05570
OG0001867	HUMAN13231, HUMAN25879, HUMAN25878, HUMAN13230	YEAST01669
OG0001873	HUMAN16810, HUMAN16807, HUMAN16808, HUMAN16809	YEAST00981, YEAST00267
OG0001875	HUMAN17871, HUMAN22698	YEAST04137
OG0001877	HUMAN08708, HUMAN25127, HUMAN02567	YEAST04134
OG0001886	HUMAN29265, HUMAN01236	YEAST03260
OG0001888	HUMAN14663, HUMAN28454, HUMAN28455	YEAST05749, YEAST01573
OG0001893	HUMAN24851, HUMAN24850	YEAST01023
OG0001894	HUMAN24228, HUMAN24227, HUMAN24229, HUMAN03619	YEAST00433
OG0001899	HUMAN08346	YEAST01210, YEAST04466
OG0001900	HUMAN15354, HUMAN15355	YEAST05053, YEAST00581
OG0001903	HUMAN25841, HUMAN25839, HUMAN25838, HUMAN25840	YEAST06020
OG0001913	HUMAN10068, HUMAN10067, HUMAN10069	YEAST05520
OG0001915	HUMAN30648, HUMAN29662	YEAST04791
OG0001917	HUMAN01077, HUMAN14777, HUMAN15018	YEAST01859
OG0001923	HUMAN14644, HUMAN14642, HUMAN14921, HUMAN14920	YEAST05881
OG0001926	HUMAN01202	YEAST02948
OG0001932	HUMAN21635, HUMAN29559	YEAST03770, YEAST03179
OG0001934	HUMAN10144, HUMAN27036	YEAST00877
OG0001935	HUMAN02626, HUMAN02627, HUMAN03611	YEAST00431
OG0001938	HUMAN04426	YEAST03931
OG0001940	HUMAN07394, HUMAN07393	YEAST04188, YEAST05646
OG0001943	HUMAN30102, HUMAN30614, HUMAN13678, HUMAN18947, HUMAN18949, HUMAN18948, HUMAN13677	YEAST02393, YEAST05966
OG0001945	HUMAN21241, HUMAN25293	YEAST01671
OG0001947	HUMAN20996, HUMAN06249, HUMAN06248, HUMAN20995	YEAST02570
OG0001951	HUMAN06387, HUMAN20627, HUMAN06388	YEAST00941, YEAST05396
OG0001952	HUMAN25420	YEAST04673, YEAST01990, YEAST00155
OG0001965	HUMAN13579, HUMAN13582, HUMAN13580, HUMAN13581, HUMAN13578, HUMAN13577	YEAST04582
OG0001968	HUMAN03672, HUMAN29233	YEAST04910
OG0001969	HUMAN23666, HUMAN23664, HUMAN23665, HUMAN14220, HUMAN14219	YEAST06173
OG0001972	HUMAN00080, HUMAN00081	YEAST01822, YEAST03363
OG0001985	HUMAN07334, HUMAN26445	YEAST04959
OG0001992	HUMAN25065, HUMAN25066, HUMAN09362	YEAST02679
OG0001998	HUMAN28974, HUMAN10909, HUMAN10908	YEAST00890
