Orthogroup	HUMAN	YEAST
OG0000250	HUMAN13350, HUMAN10058, HUMAN10059, HUMAN13349, HUMAN13351, HUMAN27668, HUMAN06114	YEAST04716
OG0000255	HUMAN30604, HUMAN30605, HUMAN04286	YEAST02822
OG0000256	HUMAN29239, HUMAN14982, HUMAN23740, HUMAN09481, HUMAN01743	YEAST00266
OG0000258	HUMAN16259, HUMAN13200, HUMAN10725, HUMAN13201, HUMAN08490, HUMAN21035, HUMAN02853, HUMAN08489, HUMAN16922	YEAST00118
OG0000260	HUMAN27590, HUMAN26833, HUMAN20959, HUMAN27591, HUMAN03777, HUMAN24200, HUMAN24199	YEAST04323
OG0000265	HUMAN06212	YEAST05674
OG0000265	HUMAN06211	YEAST03885, YEAST03714
OG0000272	HUMAN28095, HUMAN11703, HUMAN16604, HUMAN00549, HUMAN28096, HUMAN19042, HUMAN26465, HUMAN20035	YEAST02076, YEAST01066
OG0000273	HUMAN07421	YEAST05751
OG0000278	HUMAN07375	YEAST03847
OG0000278	HUMAN15042, HUMAN15043, HUMAN15041	YEAST03806
OG0000278	HUMAN16991	YEAST04060
OG0000278	HUMAN08210, HUMAN08208, HUMAN08211	YEAST01107
OG0000284	HUMAN01286, HUMAN01172, HUMAN24826, HUMAN14646, HUMAN01285, HUMAN28991	YEAST05621
OG0000289	HUMAN24512, HUMAN25207, HUMAN00853, HUMAN23391, HUMAN25308	YEAST00645
OG0000305	HUMAN06757, HUMAN06758, HUMAN28372, HUMAN28371, HUMAN18211, HUMAN06375, HUMAN06374	YEAST04899
OG0000308	HUMAN26518, HUMAN17798, HUMAN17796, HUMAN17797, HUMAN15356, HUMAN11053, HUMAN09346, HUMAN09345, HUMAN00635, HUMAN23142	YEAST02548
OG0000310	HUMAN29760, HUMAN29761	YEAST02635
OG0000312	HUMAN09558, HUMAN23442, HUMAN29892, HUMAN22837, HUMAN07566	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	HUMAN23081, HUMAN23082, HUMAN07848, HUMAN07849, HUMAN18542, HUMAN05865, HUMAN18541	YEAST05106
OG0000316	HUMAN23016, HUMAN03066, HUMAN23015, HUMAN23014, HUMAN23728, HUMAN14541	YEAST01673
OG0000317	HUMAN29302, HUMAN16638, HUMAN00781, HUMAN16611, HUMAN00683, HUMAN28101, HUMAN16612, HUMAN28103, HUMAN28102	YEAST01356
OG0000321	HUMAN01031, HUMAN28466, HUMAN10412, HUMAN07804, HUMAN21631, HUMAN30401, HUMAN30400, HUMAN07803, HUMAN21629	YEAST03264
OG0000323	HUMAN02811, HUMAN11502, HUMAN22842, HUMAN01778, HUMAN02810, HUMAN19638	YEAST02249
OG0000326	HUMAN00138, HUMAN21700, HUMAN21697, HUMAN21698, HUMAN11971, HUMAN00136, HUMAN21699, HUMAN00137, HUMAN00135, HUMAN00139	YEAST06268, YEAST05286
OG0000326	HUMAN00388, HUMAN00387, HUMAN00389	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000327	HUMAN01408, HUMAN02360, HUMAN01407, HUMAN02359, HUMAN01411	YEAST01354
OG0000334	HUMAN23299, HUMAN26236	YEAST05626
OG0000338	HUMAN13066, HUMAN19731, HUMAN19729, HUMAN13067, HUMAN19730, HUMAN10881, HUMAN18523, HUMAN18521	YEAST02967
OG0000338	HUMAN26174	YEAST04211
OG0000343	HUMAN25328, HUMAN25327, HUMAN05299	YEAST03024, YEAST02736
OG0000345	HUMAN23757, HUMAN23095, HUMAN03649	YEAST01884
OG0000352	HUMAN28462, HUMAN14440, HUMAN14836, HUMAN07060, HUMAN25510, HUMAN07061, HUMAN17429	YEAST04069
OG0000357	HUMAN04990, HUMAN07295, HUMAN10915, HUMAN27044, HUMAN28888, HUMAN29931, HUMAN29932	YEAST01925
OG0000359	HUMAN11476, HUMAN11475, HUMAN10684, HUMAN01488, HUMAN01487, HUMAN10921, HUMAN10920, HUMAN30482	YEAST02489
OG0000363	HUMAN02625, HUMAN24877, HUMAN07338, HUMAN07337, HUMAN24873, HUMAN26508	YEAST04081, YEAST05870
OG0000365	HUMAN05540, HUMAN21291, HUMAN01955, HUMAN21290, HUMAN14168, HUMAN14172, HUMAN14169, HUMAN01287, HUMAN14702, HUMAN14705, HUMAN14704	YEAST05831
OG0000367	HUMAN02861, HUMAN21458, HUMAN29832, HUMAN29831, HUMAN19257, HUMAN13779, HUMAN27433	YEAST02141, YEAST03746, YEAST03210
OG0000372	HUMAN22749, HUMAN00421, HUMAN23778, HUMAN18835, HUMAN16705	YEAST05988
OG0000373	HUMAN07152, HUMAN07150, HUMAN04999, HUMAN16793	YEAST02023
OG0000373	HUMAN16794	YEAST04495, YEAST01417
OG0000380	HUMAN22952, HUMAN24062, HUMAN28346, HUMAN22662, HUMAN05376, HUMAN28299, HUMAN10379, HUMAN18385, HUMAN04882, HUMAN18649	YEAST01047
OG0000385	HUMAN17828, HUMAN26509, HUMAN26510, HUMAN26041	YEAST03496
OG0000393	HUMAN07234, HUMAN27562	YEAST04072, YEAST04071
OG0000393	HUMAN13374, HUMAN27563	YEAST01302
OG0000397	HUMAN22189, HUMAN03732, HUMAN27717, HUMAN17188	YEAST05080
OG0000399	HUMAN08526, HUMAN09598, HUMAN16706, HUMAN01751, HUMAN09596, HUMAN14913	YEAST02160
OG0000400	HUMAN25403	YEAST05911
OG0000402	HUMAN26844, HUMAN27407, HUMAN03424, HUMAN19232, HUMAN08155	YEAST01657, YEAST01929
OG0000405	HUMAN23578, HUMAN01875, HUMAN10099, HUMAN23576, HUMAN23577, HUMAN15074, HUMAN15075	YEAST06055, YEAST00411
OG0000412	HUMAN03116	YEAST01894
OG0000412	HUMAN03115, HUMAN29280	YEAST04469
OG0000413	HUMAN15492, HUMAN09264, HUMAN18689, HUMAN15493	YEAST04905, YEAST05340
OG0000413	HUMAN22024, HUMAN05237, HUMAN30227	YEAST02838
