Orthogroup	HUMAN	NEMVE
OG0000005	HUMAN25098, HUMAN04828, HUMAN04827, HUMAN04760, HUMAN04761, HUMAN20683, HUMAN25811, HUMAN25812, HUMAN25813	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445
OG0000006	HUMAN20053	NEMVE02889
OG0000006	HUMAN30182, HUMAN30280, HUMAN21060	NEMVE10951
OG0000006	HUMAN00944	NEMVE12700, NEMVE08468
OG0000006	HUMAN29691	NEMVE10906
OG0000006	HUMAN01388, HUMAN06884, HUMAN04380	NEMVE21901
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640	NEMVE02590
OG0000006	HUMAN25905	NEMVE03392
OG0000006	HUMAN23524	NEMVE16957
OG0000006	HUMAN03111	NEMVE02351
OG0000006	HUMAN14338, HUMAN14017	NEMVE14647
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	NEMVE04712
OG0000006	HUMAN08856, HUMAN19716	NEMVE13538
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	NEMVE09477, NEMVE18497, NEMVE09475
OG0000006	HUMAN24331	NEMVE08464
OG0000006	HUMAN16426, HUMAN23135	NEMVE06135, NEMVE02315, NEMVE06121, NEMVE12414
OG0000007	HUMAN24418, HUMAN11538	NEMVE15003
OG0000007	HUMAN09570, HUMAN28803	NEMVE14764
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	NEMVE13570
OG0000007	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971	NEMVE06210
OG0000007	HUMAN28936, HUMAN00970	NEMVE02350, NEMVE21807
OG0000007	HUMAN24202, HUMAN17278, HUMAN03780	NEMVE09701, NEMVE03333
OG0000007	HUMAN21567	NEMVE03816
OG0000007	HUMAN28408, HUMAN24416, HUMAN24417, HUMAN11533	NEMVE16064
OG0000007	HUMAN13635	NEMVE09056
OG0000007	HUMAN12258, HUMAN07103	NEMVE09467
OG0000007	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	NEMVE03824
OG0000007	HUMAN25936, HUMAN13634	NEMVE09051
OG0000007	HUMAN13395	NEMVE03714
OG0000007	HUMAN00818, HUMAN00819, HUMAN05935	NEMVE09289
OG0000007	HUMAN08248	NEMVE05677
OG0000008	HUMAN14538, HUMAN01095	NEMVE06079, NEMVE05558
OG0000008	HUMAN26474	NEMVE19301, NEMVE04856, NEMVE05897
OG0000010	HUMAN11412, HUMAN11410, HUMAN11411, HUMAN11268	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791
OG0000010	HUMAN14278	NEMVE08421
OG0000010	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063
OG0000011	HUMAN08916	NEMVE10152
OG0000012	HUMAN11057, HUMAN11196, HUMAN11194, HUMAN11197, HUMAN11198, HUMAN11055, HUMAN11056, HUMAN11190	NEMVE09268, NEMVE05547
OG0000013	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977
OG0000014	HUMAN25476, HUMAN30053	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819
OG0000015	HUMAN22985	NEMVE01032, NEMVE12485, NEMVE00817
OG0000015	HUMAN24211, HUMAN00090, HUMAN24177, HUMAN22373, HUMAN09170, HUMAN25367, HUMAN25365, HUMAN21195	NEMVE09590, NEMVE09832, NEMVE01566
OG0000015	HUMAN09177	NEMVE03157, NEMVE03314
OG0000016	HUMAN26870	NEMVE12514, NEMVE12424, NEMVE01060
OG0000016	HUMAN11007, HUMAN11006, HUMAN21858	NEMVE10959
OG0000016	HUMAN03528	NEMVE18985
OG0000016	HUMAN07767	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763
OG0000016	HUMAN25103	NEMVE05675
OG0000016	HUMAN25104	NEMVE01836
OG0000019	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277, HUMAN22980	NEMVE10489
OG0000020	HUMAN08344	NEMVE05671
OG0000020	HUMAN00926	NEMVE18721
OG0000020	HUMAN02350, HUMAN02349	NEMVE14242
OG0000020	HUMAN28205, HUMAN16669, HUMAN00163, HUMAN17840, HUMAN05209, HUMAN21854, HUMAN21853	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862
