Orthogroup	HUMAN	NEMVE
OG0001274	HUMAN01186, HUMAN14450, HUMAN29306	NEMVE24783
OG0001275	HUMAN25461, HUMAN25459, HUMAN25460	NEMVE02957
OG0001275	HUMAN25458	NEMVE14795
OG0001276	HUMAN05158, HUMAN23988, HUMAN23987	NEMVE24658
OG0001278	HUMAN13574, HUMAN02569, HUMAN02570	NEMVE22456
OG0001278	HUMAN28347	NEMVE08441
OG0001279	HUMAN15552, HUMAN15549	NEMVE06730
OG0001280	HUMAN09972, HUMAN14369, HUMAN28522	NEMVE15111, NEMVE13261
OG0001281	HUMAN04721, HUMAN04723	NEMVE06870
OG0001282	HUMAN11803, HUMAN21801	NEMVE13494
OG0001284	HUMAN27205	NEMVE15039
OG0001284	HUMAN09392	NEMVE12745, NEMVE19495
OG0001285	HUMAN22105, HUMAN03724, HUMAN03727, HUMAN27715, HUMAN22104, HUMAN03725, HUMAN03726	NEMVE07034
OG0001287	HUMAN23780, HUMAN17479, HUMAN26326, HUMAN22569, HUMAN30270	NEMVE13851
OG0001288	HUMAN09745, HUMAN23493	NEMVE20273
OG0001290	HUMAN23738, HUMAN09455, HUMAN11087	NEMVE22813, NEMVE07506
OG0001291	HUMAN27542, HUMAN22728, HUMAN03289	NEMVE25091
OG0001293	HUMAN07380, HUMAN07387, HUMAN07382, HUMAN04647, HUMAN12393	NEMVE24929
OG0001294	HUMAN08609	NEMVE10810
OG0001295	HUMAN17913, HUMAN17912, HUMAN06527	NEMVE10114
OG0001296	HUMAN08945, HUMAN04788, HUMAN02472, HUMAN02470, HUMAN02471	NEMVE10339
OG0001297	HUMAN06849, HUMAN06850, HUMAN02321, HUMAN02322, HUMAN04265	NEMVE03104
OG0001300	HUMAN21610, HUMAN07635, HUMAN30249	NEMVE13700, NEMVE10660, NEMVE19269
OG0001302	HUMAN00934	NEMVE11902
OG0001302	HUMAN28036	NEMVE17610
OG0001304	HUMAN07987, HUMAN11035, HUMAN27849, HUMAN19007, HUMAN07988	NEMVE01937
OG0001305	HUMAN14853, HUMAN29257, HUMAN01234	NEMVE06825
OG0001306	HUMAN01015, HUMAN01014	NEMVE16218
OG0001306	HUMAN29260	NEMVE08625
OG0001308	HUMAN03202, HUMAN03203, HUMAN24361, HUMAN24360, HUMAN24359, HUMAN22496, HUMAN22495	NEMVE00513, NEMVE16301, NEMVE11684, NEMVE06230
OG0001309	HUMAN26186, HUMAN26187	NEMVE23002, NEMVE18542
OG0001310	HUMAN09337	NEMVE22452
OG0001310	HUMAN17449	NEMVE14637
OG0001311	HUMAN02788, HUMAN20553	NEMVE05964, NEMVE03793
OG0001312	HUMAN19586, HUMAN21384, HUMAN21385	NEMVE14791, NEMVE14787
OG0001317	HUMAN26503, HUMAN26504	NEMVE01591
OG0001317	HUMAN29334	NEMVE13378
OG0001318	HUMAN16547, HUMAN16548	NEMVE22575
OG0001318	HUMAN21172, HUMAN21173	NEMVE14651
OG0001319	HUMAN30310, HUMAN21541	NEMVE01465
OG0001320	HUMAN27988, HUMAN27989	NEMVE10295
OG0001320	HUMAN09292, HUMAN16855, HUMAN16856	NEMVE25688
OG0001321	HUMAN09666, HUMAN14539	NEMVE21741, NEMVE15029
OG0001322	HUMAN03840	NEMVE14406
OG0001322	HUMAN15479, HUMAN15481	NEMVE05068, NEMVE21787
OG0001323	HUMAN08572, HUMAN15462, HUMAN02685, HUMAN04964, HUMAN15463, HUMAN08571, HUMAN15461	NEMVE11887
OG0001324	HUMAN21897	NEMVE19268, NEMVE11187
OG0001326	HUMAN03521, HUMAN17368, HUMAN17367, HUMAN03603	NEMVE14355
OG0001327	HUMAN05826, HUMAN05829	NEMVE09298
OG0001327	HUMAN06766, HUMAN06765, HUMAN02428	NEMVE15997
OG0001329	HUMAN02833, HUMAN23067, HUMAN29619, HUMAN29617, HUMAN29618, HUMAN29616, HUMAN29615	NEMVE06386
OG0001330	HUMAN10847, HUMAN12308, HUMAN07235, HUMAN10846	NEMVE14535
OG0001331	HUMAN22233, HUMAN22231, HUMAN24247, HUMAN13998, HUMAN22232	NEMVE23983
OG0001332	HUMAN29020	NEMVE10338
OG0001335	HUMAN25775	NEMVE08654
OG0001335	HUMAN28637	NEMVE06061
OG0001337	HUMAN28621	NEMVE04512, NEMVE11126
OG0001337	HUMAN13008, HUMAN23397, HUMAN00896	NEMVE05602
OG0001339	HUMAN25156, HUMAN16668	NEMVE09406
OG0001339	HUMAN03666	NEMVE21011
OG0001341	HUMAN13955	NEMVE00960, NEMVE01284
OG0001344	HUMAN17092	NEMVE22371
OG0001345	HUMAN21450, HUMAN21451, HUMAN21449	NEMVE15150
OG0001348	HUMAN07855, HUMAN07854, HUMAN07853, HUMAN30397, HUMAN07856	NEMVE25188
OG0001350	HUMAN01020	NEMVE17281, NEMVE14117, NEMVE13044
OG0001351	HUMAN30584, HUMAN29755	NEMVE17590
OG0001352	HUMAN27857	NEMVE14525, NEMVE21813
OG0001353	HUMAN18781	NEMVE14778
OG0001353	HUMAN18886	NEMVE14645
OG0001354	HUMAN01464, HUMAN01976	NEMVE15993
OG0001354	HUMAN14805, HUMAN00966, HUMAN28999	NEMVE15994, NEMVE05871
OG0001355	HUMAN24307, HUMAN22136, HUMAN03703	NEMVE14405
OG0001356	HUMAN21113, HUMAN06242, HUMAN29863	NEMVE04630
OG0001357	HUMAN16834, HUMAN04831, HUMAN09251, HUMAN15455	NEMVE07199
OG0001358	HUMAN25707	NEMVE11838
OG0001360	HUMAN22743, HUMAN22745, HUMAN22744	NEMVE11479, NEMVE02997, NEMVE11480, NEMVE03456
OG0001362	HUMAN13462	NEMVE13199
OG0001363	HUMAN02206	NEMVE24406
OG0001364	HUMAN26706, HUMAN18389	NEMVE25546, NEMVE21006
OG0001367	HUMAN19005, HUMAN13672, HUMAN16628, HUMAN16627	NEMVE10311
OG0001368	HUMAN08634	NEMVE25218
OG0001368	HUMAN18786, HUMAN18785, HUMAN08633	NEMVE04773, NEMVE01407
OG0001369	HUMAN20946, HUMAN20945, HUMAN02425, HUMAN02423, HUMAN02424, HUMAN06739, HUMAN06737, HUMAN06738	NEMVE07342
OG0001370	HUMAN10042	NEMVE16952
OG0001370	HUMAN18140	NEMVE14662
OG0001371	HUMAN13498, HUMAN13497	NEMVE13180, NEMVE10017, NEMVE03671
OG0001372	HUMAN01152	NEMVE14621, NEMVE12678
OG0001373	HUMAN10734, HUMAN12051, HUMAN20117, HUMAN10735	NEMVE13198
OG0001375	HUMAN25598, HUMAN00578, HUMAN00579	NEMVE06380
OG0001376	HUMAN05736, HUMAN05737, HUMAN15337, HUMAN19374	NEMVE14506
OG0001377	HUMAN18646, HUMAN03684, HUMAN03683	NEMVE18187
OG0001378	HUMAN27599, HUMAN03792, HUMAN24020, HUMAN22165, HUMAN24018	NEMVE14996
OG0001379	HUMAN30001, HUMAN21524, HUMAN05168, HUMAN05167, HUMAN17620, HUMAN17658	NEMVE14262
OG0001380	HUMAN23909, HUMAN23910, HUMAN04086, HUMAN22347	NEMVE10957
OG0001381	HUMAN14335, HUMAN09185, HUMAN28764	NEMVE08816
OG0001382	HUMAN16046, HUMAN16047, HUMAN16048	NEMVE18444
OG0001383	HUMAN29253	NEMVE12649
OG0001383	HUMAN29249, HUMAN01927	NEMVE09447
OG0001384	HUMAN07653, HUMAN07663	NEMVE03030
OG0001388	HUMAN29687, HUMAN30613, HUMAN30096	NEMVE08765
OG0001389	HUMAN30191, HUMAN30192, HUMAN26892, HUMAN26891, HUMAN17427, HUMAN22895, HUMAN24383	NEMVE07341
OG0001390	HUMAN23162, HUMAN23163, HUMAN20780, HUMAN06879, HUMAN06878, HUMAN01390	NEMVE03437, NEMVE13301, NEMVE04594
OG0001394	HUMAN27467, HUMAN07471, HUMAN27466	NEMVE08699
OG0001395	HUMAN00543, HUMAN25836, HUMAN30091, HUMAN29663	NEMVE10872, NEMVE02945
OG0001397	HUMAN24255, HUMAN03558	NEMVE22946
OG0001397	HUMAN03597	NEMVE25397
OG0001398	HUMAN30494, HUMAN20842	NEMVE01787
OG0001399	HUMAN18963, HUMAN18962, HUMAN11037	NEMVE23382
OG0001401	HUMAN21621, HUMAN21620, HUMAN29769	NEMVE23498
OG0001402	HUMAN19950, HUMAN10942, HUMAN12422, HUMAN12423	NEMVE22752
OG0001403	HUMAN12235, HUMAN27256, HUMAN07228	NEMVE08195
OG0001404	HUMAN00261	NEMVE13694
OG0001405	HUMAN20770, HUMAN11517, HUMAN20772	NEMVE25349
OG0001406	HUMAN21841, HUMAN21842, HUMAN21839, HUMAN11946, HUMAN30432	NEMVE18633, NEMVE16331
OG0001407	HUMAN07194, HUMAN07195, HUMAN07192, HUMAN07190, HUMAN07188, HUMAN07189, HUMAN07285	NEMVE23925
OG0001408	HUMAN29375, HUMAN14479, HUMAN01329	NEMVE25885
OG0001409	HUMAN15650, HUMAN21360	NEMVE14897
OG0001410	HUMAN18249, HUMAN18248, HUMAN25904, HUMAN25903	NEMVE03165
OG0001410	HUMAN27965	NEMVE24971
OG0001411	HUMAN22432, HUMAN22431	NEMVE25920
OG0001412	HUMAN07098, HUMAN07099	NEMVE19652
OG0001413	HUMAN07320, HUMAN07322	NEMVE06553, NEMVE06540
OG0001413	HUMAN10070	NEMVE20094
OG0001414	HUMAN16822	NEMVE11734
OG0001415	HUMAN19750, HUMAN19752, HUMAN19751	NEMVE14658
OG0001416	HUMAN00172, HUMAN11820	NEMVE10436
OG0001417	HUMAN14062, HUMAN12487	NEMVE02519
OG0001418	HUMAN14784, HUMAN00927, HUMAN14783, HUMAN15009, HUMAN23427	NEMVE12090, NEMVE01985
OG0001419	HUMAN02692, HUMAN09220, HUMAN09218, HUMAN09217	NEMVE05935
OG0001420	HUMAN08488, HUMAN08485, HUMAN29818, HUMAN29817, HUMAN20933, HUMAN06265, HUMAN06264, HUMAN06263	NEMVE16749
OG0001421	HUMAN04839, HUMAN08948, HUMAN02585	NEMVE00612
OG0001422	HUMAN17890, HUMAN26120, HUMAN17892, HUMAN26121, HUMAN17893, HUMAN17891	NEMVE07209
OG0001423	HUMAN24902, HUMAN29347, HUMAN02230, HUMAN14689	NEMVE08632
OG0001424	HUMAN04853, HUMAN04852	NEMVE01171
OG0001424	HUMAN19657	NEMVE20550
OG0001425	HUMAN25779, HUMAN09840, HUMAN23345, HUMAN23344	NEMVE19543, NEMVE14280
OG0001427	HUMAN18845, HUMAN13853, HUMAN16726	NEMVE15208
OG0001428	HUMAN00193, HUMAN11816, HUMAN05892	NEMVE21876
OG0001430	HUMAN16816, HUMAN04840, HUMAN09331, HUMAN15891	NEMVE13108
OG0001431	HUMAN26191, HUMAN12528, HUMAN12527, HUMAN12529	NEMVE23887
OG0001432	HUMAN19311, HUMAN27870, HUMAN16749	NEMVE01898
OG0001433	HUMAN00642, HUMAN28267, HUMAN25243	NEMVE06558
OG0001434	HUMAN25376	NEMVE01045
OG0001437	HUMAN27963, HUMAN27962	NEMVE13628
OG0001438	HUMAN21820, HUMAN27731, HUMAN27733, HUMAN27732, HUMAN24291	NEMVE23399
OG0001439	HUMAN05538, HUMAN05539	NEMVE06751
OG0001440	HUMAN02970, HUMAN12486	NEMVE03715
OG0001442	HUMAN25443, HUMAN07589, HUMAN30010, HUMAN00813	NEMVE01347
OG0001445	HUMAN18716, HUMAN15579	NEMVE05296
OG0001446	HUMAN12296	NEMVE13345, NEMVE13458
OG0001447	HUMAN09319, HUMAN15576, HUMAN02582	NEMVE05648
OG0001449	HUMAN16746	NEMVE14841, NEMVE20272
OG0001449	HUMAN18160	NEMVE13482, NEMVE00941
OG0001450	HUMAN05768	NEMVE17373
OG0001451	HUMAN07097	NEMVE07224
OG0001451	HUMAN04374, HUMAN04373	NEMVE13777
OG0001452	HUMAN23508, HUMAN10054, HUMAN01876	NEMVE10972
OG0001452	HUMAN10055	NEMVE00042
OG0001453	HUMAN01855, HUMAN01856, HUMAN01854, HUMAN09711, HUMAN21615	NEMVE09283
OG0001453	HUMAN21614, HUMAN21616	NEMVE20748, NEMVE13069, NEMVE17083, NEMVE13062, NEMVE00149
OG0001454	HUMAN24125	NEMVE14180
OG0001455	HUMAN00999, HUMAN23381, HUMAN15013, HUMAN14678	NEMVE14951
OG0001456	HUMAN21609	NEMVE11079, NEMVE05799
OG0001459	HUMAN15951, HUMAN15950, HUMAN06132	NEMVE25233, NEMVE00289
OG0001460	HUMAN03122	NEMVE07626
OG0001461	HUMAN26887	NEMVE22415, NEMVE00568
OG0001462	HUMAN02581	NEMVE11473
OG0001463	HUMAN11278, HUMAN11277, HUMAN11276, HUMAN11625	NEMVE09388, NEMVE13964
OG0001464	HUMAN17749, HUMAN28956, HUMAN06437, HUMAN06436	NEMVE06290, NEMVE07201, NEMVE10766
OG0001465	HUMAN00436	NEMVE01540
OG0001466	HUMAN20834, HUMAN20833	NEMVE11395
OG0001466	HUMAN23853	NEMVE24631
OG0001467	HUMAN29474, HUMAN29473	NEMVE05171
OG0001467	HUMAN05267	NEMVE09380
OG0001468	HUMAN18215, HUMAN20670, HUMAN20673, HUMAN20674, HUMAN06709	NEMVE03519
OG0001469	HUMAN17357	NEMVE13119
OG0001469	HUMAN25406	NEMVE05710
OG0001470	HUMAN12346	NEMVE01457
OG0001472	HUMAN26528, HUMAN26527	NEMVE05967
OG0001472	HUMAN19245	NEMVE23386
OG0001473	HUMAN20094, HUMAN20096, HUMAN20095	NEMVE02159, NEMVE12413
OG0001474	HUMAN09370	NEMVE07106
OG0001474	HUMAN10738, HUMAN10739, HUMAN10736	NEMVE03081, NEMVE10570
OG0001475	HUMAN00232, HUMAN00233	NEMVE23631
OG0001476	HUMAN25765, HUMAN19427	NEMVE10280, NEMVE10281
OG0001477	HUMAN10645, HUMAN05918, HUMAN10651, HUMAN10648, HUMAN10647, HUMAN10646, HUMAN03461, HUMAN03460, HUMAN10649, HUMAN10650	NEMVE12181, NEMVE14548
OG0001478	HUMAN20166	NEMVE11979
OG0001479	HUMAN01339, HUMAN14506, HUMAN14504, HUMAN29189	NEMVE06797, NEMVE06784
OG0001480	HUMAN18069, HUMAN20722, HUMAN20724, HUMAN20721, HUMAN20723	NEMVE16556
OG0001482	HUMAN10795, HUMAN07131, HUMAN11775	NEMVE13241
OG0001483	HUMAN12748, HUMAN07904	NEMVE23590
OG0001484	HUMAN29782, HUMAN20929	NEMVE23070
OG0001485	HUMAN10085, HUMAN23594, HUMAN23593	NEMVE05976
OG0001486	HUMAN25054, HUMAN25055, HUMAN05819, HUMAN05818, HUMAN05067	NEMVE22710
OG0001487	HUMAN11646, HUMAN13747, HUMAN11647	NEMVE08786
OG0001488	HUMAN04092, HUMAN04094	NEMVE04734, NEMVE04737, NEMVE04775
OG0001488	HUMAN04093	NEMVE02200, NEMVE02146
OG0001489	HUMAN01073, HUMAN23289	NEMVE23571, NEMVE21444
OG0001492	HUMAN10841, HUMAN12245, HUMAN12244, HUMAN10843, HUMAN10842, HUMAN07105	NEMVE17956
OG0001493	HUMAN03318, HUMAN22769, HUMAN03129	NEMVE14619
OG0001495	HUMAN29635, HUMAN29702, HUMAN29695, HUMAN29694, HUMAN29703, HUMAN29696, HUMAN30419, HUMAN09160, HUMAN09187, HUMAN21896, HUMAN30065, HUMAN29940, HUMAN29941, HUMAN29903, HUMAN29939, HUMAN09161	NEMVE15483
OG0001496	HUMAN17133	NEMVE13319
OG0001500	HUMAN18402, HUMAN29893, HUMAN07602, HUMAN18404	NEMVE07759
OG0001502	HUMAN13214, HUMAN13217	NEMVE06315
OG0001503	HUMAN15059	NEMVE13535
OG0001503	HUMAN06046	NEMVE15019
OG0001504	HUMAN18887	NEMVE10459
OG0001505	HUMAN21797, HUMAN11901, HUMAN11900, HUMAN03341	NEMVE14234
OG0001506	HUMAN21790, HUMAN00091	NEMVE16287
OG0001507	HUMAN08598, HUMAN02657, HUMAN02656, HUMAN04900	NEMVE01058
OG0001508	HUMAN04219, HUMAN15958	NEMVE06884
OG0001509	HUMAN26764, HUMAN26757, HUMAN07197	NEMVE01491
OG0001509	HUMAN07903, HUMAN21589	NEMVE23903
OG0001510	HUMAN28447, HUMAN14672, HUMAN14673, HUMAN01094, HUMAN01092	NEMVE00716, NEMVE23759
OG0001511	HUMAN18319, HUMAN26693	NEMVE06177
OG0001512	HUMAN28786, HUMAN28785, HUMAN09917, HUMAN09920, HUMAN09919, HUMAN09918	NEMVE08553
OG0001513	HUMAN17774, HUMAN17773, HUMAN06636	NEMVE06330
OG0001516	HUMAN23268	NEMVE23626
OG0001517	HUMAN23303, HUMAN21286	NEMVE14577, NEMVE14581
OG0001518	HUMAN21520, HUMAN20795, HUMAN21522, HUMAN22033, HUMAN22032, HUMAN22031	NEMVE10672
OG0001519	HUMAN14377, HUMAN14392, HUMAN28529, HUMAN28530, HUMAN14393, HUMAN10026	NEMVE22706
OG0001520	HUMAN00622, HUMAN16656	NEMVE24027, NEMVE06996
OG0001521	HUMAN15053, HUMAN23542, HUMAN01808	NEMVE13756
OG0001522	HUMAN15759	NEMVE14033
OG0001523	HUMAN04118, HUMAN06164	NEMVE04670
OG0001524	HUMAN03522	NEMVE25396
OG0001524	HUMAN11149	NEMVE05484
OG0001525	HUMAN07206	NEMVE02407
OG0001526	HUMAN02271, HUMAN29404	NEMVE00906
OG0001527	HUMAN19883, HUMAN19885, HUMAN11842	NEMVE14422
OG0001527	HUMAN28194	NEMVE03078
OG0001528	HUMAN11910, HUMAN21992, HUMAN21991, HUMAN21990	NEMVE14401
OG0001529	HUMAN20862, HUMAN20863, HUMAN20865, HUMAN20919, HUMAN24918	NEMVE02084, NEMVE24342
OG0001530	HUMAN03101, HUMAN22628, HUMAN22629	NEMVE08975
OG0001531	HUMAN03428, HUMAN22234, HUMAN24248	NEMVE05034
OG0001532	HUMAN00046, HUMAN11888, HUMAN21869	NEMVE02971
OG0001533	HUMAN07789, HUMAN21380	NEMVE10443, NEMVE01320
OG0001534	HUMAN20220, HUMAN20221, HUMAN20219, HUMAN10541, HUMAN10540, HUMAN10538	NEMVE00470
OG0001536	HUMAN16818, HUMAN23182, HUMAN23181	NEMVE11894, NEMVE05661
OG0001538	HUMAN02566	NEMVE11486
OG0001546	HUMAN08266, HUMAN16844	NEMVE08644
OG0001550	HUMAN20737	NEMVE19108, NEMVE17874
OG0001551	HUMAN08700, HUMAN02498	NEMVE01664
OG0001552	HUMAN20977, HUMAN20976	NEMVE15633
OG0001552	HUMAN20982, HUMAN20983, HUMAN20978, HUMAN20979, HUMAN20980, HUMAN20981	NEMVE14070
OG0001553	HUMAN27760, HUMAN03319, HUMAN23794	NEMVE15083
OG0001554	HUMAN05332, HUMAN05331, HUMAN30019	NEMVE07256
OG0001557	HUMAN26830, HUMAN26831	NEMVE19058, NEMVE25522, NEMVE15026
OG0001558	HUMAN29505, HUMAN29504, HUMAN14496	NEMVE08767
OG0001559	HUMAN02553	NEMVE13708
OG0001559	HUMAN08415, HUMAN04944, HUMAN02556, HUMAN04942	NEMVE10463
OG0001560	HUMAN09969, HUMAN28514, HUMAN14375, HUMAN14373, HUMAN09968, HUMAN24574, HUMAN01892, HUMAN01891	NEMVE07241
OG0001561	HUMAN20456, HUMAN24967, HUMAN20360	NEMVE13680
OG0001562	HUMAN18910	NEMVE22143, NEMVE13576
OG0001563	HUMAN09891	NEMVE09315, NEMVE16630, NEMVE15254
OG0001564	HUMAN05132	NEMVE23916
OG0001564	HUMAN18396, HUMAN05131	NEMVE01813
OG0001567	HUMAN00268, HUMAN21826	NEMVE07133
OG0001568	HUMAN20082, HUMAN20081	NEMVE12145, NEMVE13029, NEMVE04566
OG0001569	HUMAN07886, HUMAN30285, HUMAN30286, HUMAN30287	NEMVE22103
OG0001571	HUMAN13804, HUMAN05679	NEMVE09690
OG0001571	HUMAN05678	NEMVE05898
OG0001572	HUMAN13726	NEMVE21698
OG0001572	HUMAN11626, HUMAN11627	NEMVE14084
OG0001573	HUMAN01295, HUMAN29048	NEMVE05590
OG0001574	HUMAN25927, HUMAN25926, HUMAN25928, HUMAN25929, HUMAN13261, HUMAN16297, HUMAN16298, HUMAN13262	NEMVE24808
OG0001575	HUMAN20049, HUMAN29793, HUMAN20511, HUMAN20510	NEMVE08150
OG0001576	HUMAN23520, HUMAN09989, HUMAN09990	NEMVE10771
OG0001577	HUMAN24294, HUMAN22109, HUMAN27707	NEMVE14595
OG0001578	HUMAN27577, HUMAN27576, HUMAN03525	NEMVE02073
OG0001580	HUMAN19240, HUMAN19239, HUMAN19238, HUMAN15241	NEMVE04880
OG0001581	HUMAN02526, HUMAN02524, HUMAN02525	NEMVE09495, NEMVE13982, NEMVE20122
OG0001582	HUMAN11711, HUMAN11710, HUMAN19935	NEMVE14586, NEMVE16677
OG0001583	HUMAN22254, HUMAN22253, HUMAN22251, HUMAN22252, HUMAN03577	NEMVE12298, NEMVE07434
OG0001584	HUMAN22038	NEMVE03502
OG0001589	HUMAN13366, HUMAN10236	NEMVE15586
OG0001590	HUMAN09424	NEMVE15049
OG0001591	HUMAN01764, HUMAN28618	NEMVE19630
OG0001592	HUMAN09531, HUMAN09657, HUMAN09656	NEMVE14685
OG0001593	HUMAN28942, HUMAN09707, HUMAN06299, HUMAN01587	NEMVE07459
OG0001594	HUMAN19429	NEMVE22378
OG0001596	HUMAN06207, HUMAN28876	NEMVE06150
OG0001597	HUMAN26560, HUMAN26561, HUMAN26559	NEMVE17805
OG0001597	HUMAN03834	NEMVE07623
OG0001599	HUMAN13429, HUMAN13426	NEMVE14138
OG0001600	HUMAN00788, HUMAN00787, HUMAN16635, HUMAN28233	NEMVE09547
OG0001602	HUMAN04443, HUMAN04442	NEMVE04820
OG0001604	HUMAN22175	NEMVE20359, NEMVE13990
OG0001604	HUMAN12471, HUMAN12472	NEMVE01133
OG0001605	HUMAN07945, HUMAN07944	NEMVE21422, NEMVE17315
OG0001606	HUMAN13929	NEMVE13096
OG0001606	HUMAN03753	NEMVE14918
OG0001609	HUMAN07643	NEMVE17441
OG0001609	HUMAN21122, HUMAN07645	NEMVE13471
OG0001610	HUMAN22869, HUMAN00777, HUMAN19044, HUMAN07487, HUMAN28094	NEMVE21979
OG0001611	HUMAN08978, HUMAN02546	NEMVE04740
OG0001612	HUMAN19504	NEMVE00995
OG0001612	HUMAN25319	NEMVE00916
OG0001613	HUMAN24818	NEMVE16939, NEMVE24133, NEMVE16791, NEMVE25459
OG0001614	HUMAN14358	NEMVE02024
OG0001614	HUMAN13572	NEMVE09707, NEMVE14265
OG0001615	HUMAN04414, HUMAN27016	NEMVE24769
OG0001617	HUMAN20425, HUMAN06149, HUMAN24916	NEMVE00005
OG0001619	HUMAN09460, HUMAN23739, HUMAN14529	NEMVE01643
OG0001620	HUMAN24752	NEMVE13453
OG0001620	HUMAN24750, HUMAN24751, HUMAN02052	NEMVE05238, NEMVE07316
OG0001621	HUMAN10405, HUMAN20233	NEMVE07688
OG0001623	HUMAN29366, HUMAN29367, HUMAN29184	NEMVE14145, NEMVE16772, NEMVE24030
OG0001624	HUMAN25539, HUMAN25540, HUMAN00624, HUMAN19275, HUMAN19274, HUMAN27856	NEMVE20306, NEMVE10312
OG0001625	HUMAN01087, HUMAN01088, HUMAN28505	NEMVE18968
OG0001627	HUMAN28211, HUMAN24158	NEMVE04823
OG0001628	HUMAN16897, HUMAN16898	NEMVE08310
OG0001629	HUMAN02287, HUMAN02285, HUMAN29146	NEMVE06795
OG0001630	HUMAN00267, HUMAN26732, HUMAN21622, HUMAN26733, HUMAN00265, HUMAN00266	NEMVE22382
OG0001632	HUMAN20860, HUMAN20348, HUMAN01354	NEMVE05187
OG0001633	HUMAN28383	NEMVE17622
OG0001634	HUMAN29106	NEMVE13518
OG0001634	HUMAN02620, HUMAN15581	NEMVE22588
OG0001635	HUMAN29596, HUMAN30204, HUMAN30203, HUMAN26031, HUMAN29595	NEMVE14440
OG0001636	HUMAN11118	NEMVE10668
OG0001638	HUMAN10802, HUMAN10801, HUMAN11783, HUMAN11785, HUMAN11784	NEMVE24596
OG0001639	HUMAN09764, HUMAN14138	NEMVE25389, NEMVE18846, NEMVE25390, NEMVE25391
OG0001641	HUMAN02994	NEMVE14484, NEMVE06204, NEMVE20026
OG0001642	HUMAN04974, HUMAN04971, HUMAN04972, HUMAN04973, HUMAN04975, HUMAN04979, HUMAN04977, HUMAN04978, HUMAN04976	NEMVE25922
OG0001643	HUMAN05730, HUMAN15333, HUMAN15332, HUMAN15331	NEMVE20743, NEMVE11046
OG0001644	HUMAN24567	NEMVE22640
OG0001646	HUMAN10878, HUMAN26744, HUMAN26256, HUMAN26257, HUMAN26258, HUMAN22061, HUMAN07154, HUMAN22062	NEMVE03206
OG0001651	HUMAN24385, HUMAN03098, HUMAN22631	NEMVE10191, NEMVE06095
OG0001652	HUMAN08985	NEMVE00956, NEMVE05109
OG0001653	HUMAN23274	NEMVE00904
OG0001654	HUMAN24521, HUMAN24522, HUMAN25677	NEMVE13324
OG0001655	HUMAN23043, HUMAN29586, HUMAN29889	NEMVE19053
OG0001656	HUMAN07544, HUMAN07542, HUMAN07543, HUMAN07548, HUMAN07549, HUMAN07550, HUMAN07547, HUMAN12664	NEMVE04660
OG0001657	HUMAN20003, HUMAN20005, HUMAN20004, HUMAN04603	NEMVE13455
OG0001658	HUMAN13848, HUMAN18839, HUMAN13849, HUMAN18840, HUMAN18841, HUMAN18838, HUMAN13850	NEMVE17963
OG0001659	HUMAN00545, HUMAN00546, HUMAN25769, HUMAN25774, HUMAN25773, HUMAN25771, HUMAN25770	NEMVE11319
OG0001660	HUMAN24142, HUMAN22382, HUMAN29625, HUMAN30126, HUMAN22381	NEMVE15239
OG0001661	HUMAN21509	NEMVE01351, NEMVE13539
OG0001662	HUMAN05309	NEMVE11251
OG0001662	HUMAN26391, HUMAN07388	NEMVE13811
OG0001663	HUMAN26903, HUMAN29828	NEMVE21018, NEMVE23853
OG0001664	HUMAN01079, HUMAN14776, HUMAN14775, HUMAN27769	NEMVE25426
OG0001665	HUMAN13477, HUMAN13476	NEMVE09117
OG0001665	HUMAN10572	NEMVE05163
OG0001666	HUMAN07809	NEMVE25558
OG0001667	HUMAN12734, HUMAN26001, HUMAN26000, HUMAN06279, HUMAN06280, HUMAN06278	NEMVE22928
OG0001668	HUMAN25853, HUMAN25854	NEMVE14155
OG0001670	HUMAN28663, HUMAN00915	NEMVE23427
OG0001671	HUMAN20911	NEMVE21602, NEMVE24836
OG0001672	HUMAN29688, HUMAN17876, HUMAN12952, HUMAN26575	NEMVE22147
OG0001673	HUMAN08249, HUMAN08251, HUMAN15858, HUMAN16851	NEMVE07546
OG0001674	HUMAN09862, HUMAN09861, HUMAN09864, HUMAN09865, HUMAN13900	NEMVE25306
OG0001675	HUMAN28279, HUMAN27610	NEMVE03414
OG0001676	HUMAN03206	NEMVE11180, NEMVE13897
OG0001676	HUMAN15070	NEMVE17801
OG0001677	HUMAN07349, HUMAN07350	NEMVE08811
OG0001682	HUMAN18147	NEMVE18688
OG0001683	HUMAN30085, HUMAN01479, HUMAN00558, HUMAN25314	NEMVE22487
OG0001685	HUMAN22339	NEMVE22402
OG0001686	HUMAN22500	NEMVE12538
OG0001686	HUMAN17160, HUMAN22501	NEMVE21686, NEMVE15921
OG0001687	HUMAN03234	NEMVE13557, NEMVE13398
OG0001688	HUMAN22303, HUMAN22304, HUMAN22302, HUMAN03992	NEMVE01983
OG0001689	HUMAN11738, HUMAN11739, HUMAN11737, HUMAN19915	NEMVE13426
OG0001690	HUMAN01169	NEMVE10364
OG0001691	HUMAN10903	NEMVE08246
OG0001692	HUMAN00929, HUMAN00928, HUMAN15010, HUMAN23437, HUMAN23438, HUMAN23439	NEMVE05217
OG0001694	HUMAN13459, HUMAN06928, HUMAN06927, HUMAN06925, HUMAN20957	NEMVE06291
