Orthogroup	HUMAN	ASTMX
OG0000000	HUMAN17898	ASTMX12031
OG0000000	HUMAN27579	ASTMX17267
OG0000000	HUMAN22230	ASTMX11612
OG0000000	HUMAN27580	ASTMX17266
OG0000000	HUMAN03523	ASTMX02801
OG0000000	HUMAN24243	ASTMX07975
OG0000000	HUMAN18756	ASTMX09511
OG0000000	HUMAN08319	ASTMX08520
OG0000001	HUMAN10622	ASTMX18932
OG0000001	HUMAN14514, HUMAN14515, HUMAN14863	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847
OG0000001	HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944	ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884
OG0000001	HUMAN14511	ASTMX07756
OG0000001	HUMAN10621, HUMAN10623	ASTMX07323
OG0000002	HUMAN22770	ASTMX13878
OG0000002	HUMAN03456, HUMAN03459, HUMAN03828, HUMAN03454, HUMAN03455, HUMAN03453, HUMAN15589, HUMAN15587, HUMAN15585, HUMAN15586, HUMAN15588	ASTMX20124
OG0000002	HUMAN04207	ASTMX19248
OG0000002	HUMAN01080	ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952
OG0000002	HUMAN20270	ASTMX20125
OG0000004	HUMAN27462, HUMAN27463, HUMAN27619	ASTMX09901
OG0000004	HUMAN13470	ASTMX21576
OG0000004	HUMAN27464	ASTMX13906
OG0000004	HUMAN22815	ASTMX22075
OG0000004	HUMAN05919, HUMAN05921	ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044
OG0000004	HUMAN01911	ASTMX18447
OG0000004	HUMAN26466	ASTMX15865, ASTMX13574
OG0000005	HUMAN23763, HUMAN23764	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021
OG0000005	HUMAN25098	ASTMX14148, ASTMX14149
OG0000005	HUMAN04760, HUMAN04761	ASTMX13051
OG0000005	HUMAN20683	ASTMX12914, ASTMX04261, ASTMX08691
OG0000005	HUMAN25811, HUMAN25812	ASTMX01192
OG0000005	HUMAN25813	ASTMX08164
OG0000005	HUMAN25469	ASTMX10242
OG0000005	HUMAN01465	ASTMX03244
OG0000006	HUMAN20053	ASTMX20216
OG0000006	HUMAN21060	ASTMX00775
OG0000006	HUMAN00944	ASTMX00495, ASTMX16379
OG0000006	HUMAN22351	ASTMX16363
OG0000006	HUMAN05133	ASTMX04345
OG0000006	HUMAN21718	ASTMX11700
OG0000006	HUMAN29537	ASTMX00138
OG0000006	HUMAN02118	ASTMX03791, ASTMX03123
OG0000006	HUMAN29691	ASTMX12191, ASTMX07931
OG0000006	HUMAN01388	ASTMX15917
OG0000006	HUMAN06884	ASTMX06292
OG0000006	HUMAN04380	ASTMX15319
