Orthogroup	HUMAN	DANRE
OG0000015	HUMAN09174	DANRE36515
OG0000015	HUMAN22369	DANRE04832, DANRE04831
OG0000015	HUMAN24183	DANRE20439, DANRE20441, DANRE20440
OG0000015	HUMAN30472	DANRE20520
OG0000015	HUMAN09173	DANRE36517, DANRE36516
OG0000015	HUMAN22372	DANRE06176
OG0000015	HUMAN24180, HUMAN24179, HUMAN24178	DANRE20442
OG0000015	HUMAN29611	DANRE42903, DANRE42902
OG0000015	HUMAN30168	DANRE07145, DANRE07146, DANRE07144
OG0000015	HUMAN23062	DANRE16271
OG0000015	HUMAN24113	DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	HUMAN11007, HUMAN11006	DANRE38616
OG0000016	HUMAN21858	DANRE13366
OG0000016	HUMAN10581	DANRE29900
OG0000016	HUMAN10583	DANRE29901, DANRE29903, DANRE29904, DANRE35774
OG0000016	HUMAN12987	DANRE03065, DANRE03064
OG0000016	HUMAN03528	DANRE04448
OG0000016	HUMAN07767	DANRE35611
OG0000016	HUMAN25103	DANRE02012
OG0000016	HUMAN25104	DANRE13447
OG0000016	HUMAN06120	DANRE31212, DANRE31213, DANRE31211
OG0000016	HUMAN04223	DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753
OG0000019	HUMAN06384	DANRE21114
OG0000019	HUMAN06385, HUMAN06383	DANRE39715
OG0000019	HUMAN12384	DANRE29948
OG0000019	HUMAN12385	DANRE29945, DANRE29947
OG0000019	HUMAN18277	DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	HUMAN26158	DANRE03458
OG0000020	HUMAN12659	DANRE10827, DANRE10826, DANRE10743
OG0000020	HUMAN08344	DANRE10670
OG0000020	HUMAN02350, HUMAN02349	DANRE40536
OG0000020	HUMAN28205	DANRE14742, DANRE09733
OG0000020	HUMAN16669	DANRE18650, DANRE10748
OG0000020	HUMAN00163	DANRE23011
OG0000020	HUMAN17840	DANRE42755
OG0000020	HUMAN21854	DANRE24424, DANRE24423, DANRE27995
OG0000020	HUMAN21853	DANRE27624, DANRE27625
OG0000020	HUMAN02145	DANRE27431, DANRE27432, DANRE27433
OG0000020	HUMAN30100	DANRE06741, DANRE06740
OG0000020	HUMAN07717, HUMAN22328	DANRE15747
OG0000020	HUMAN00010	DANRE22958, DANRE22959
OG0000020	HUMAN23847	DANRE06663, DANRE06664
OG0000020	HUMAN23024	DANRE15816
OG0000020	HUMAN22639	DANRE18984
OG0000020	HUMAN20816	DANRE27379
OG0000021	HUMAN20500	DANRE01661, DANRE22424
OG0000021	HUMAN30680, HUMAN30504	DANRE39795, DANRE39796
OG0000021	HUMAN20539	DANRE39722, DANRE22090
OG0000021	HUMAN05766	DANRE24996
OG0000021	HUMAN20499	DANRE01663, DANRE01662
OG0000021	HUMAN11054	DANRE38577
OG0000021	HUMAN23166	DANRE08977, DANRE08978, DANRE08976
OG0000021	HUMAN12331	DANRE08348
OG0000021	HUMAN04273	DANRE37717
OG0000021	HUMAN30251	DANRE02277
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	DANRE27401, DANRE27403, DANRE27400
OG0000021	HUMAN24068	DANRE20108
OG0000023	HUMAN19878, HUMAN19879	DANRE19492, DANRE40604
OG0000023	HUMAN08127, HUMAN08129	DANRE27752, DANRE38057
OG0000023	HUMAN11129	DANRE39283, DANRE25540
OG0000023	HUMAN18897	DANRE36925
OG0000023	HUMAN27999	DANRE26382, DANRE26381
OG0000023	HUMAN07398	DANRE19476, DANRE19477
OG0000023	HUMAN12427	DANRE07548, DANRE07547
OG0000023	HUMAN06585, HUMAN06584	DANRE01757
OG0000023	HUMAN05394	DANRE08271, DANRE08272, DANRE08270, DANRE08269
OG0000023	HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396	DANRE01246
OG0000023	HUMAN05404	DANRE08566, DANRE08567
OG0000023	HUMAN11050	DANRE38580
OG0000023	HUMAN19103	DANRE40368
OG0000026	HUMAN00402	DANRE36265
OG0000026	HUMAN16545	DANRE09875
OG0000026	HUMAN07669	DANRE42258
OG0000026	HUMAN21745	DANRE07529
OG0000027	HUMAN15899, HUMAN15933	DANRE10366, DANRE03058, DANRE03059, DANRE03061
OG0000027	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463	DANRE03471, DANRE22990, DANRE22989
OG0000027	HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471	DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009
OG0000027	HUMAN16847	DANRE02909
OG0000028	HUMAN22344	DANRE15903
OG0000028	HUMAN03982	DANRE08736, DANRE08737, DANRE20375
OG0000028	HUMAN09209	DANRE07178
OG0000028	HUMAN01776	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601
OG0000028	HUMAN09895	DANRE13468
OG0000028	HUMAN09894	DANRE13469, DANRE13470
OG0000028	HUMAN27765	DANRE15855
OG0000028	HUMAN27611	DANRE10772, DANRE17755, DANRE17756
OG0000028	HUMAN19281	DANRE02083
OG0000028	HUMAN27764	DANRE07180, DANRE07179, DANRE15853
OG0000028	HUMAN17889	DANRE35763
OG0000028	HUMAN09193, HUMAN09206	DANRE39088, DANRE39089, DANRE24974
OG0000029	HUMAN15611	DANRE22154
OG0000029	HUMAN05232, HUMAN14995	DANRE39912, DANRE39910, DANRE39911, DANRE39909
OG0000029	HUMAN11203	DANRE12668, DANRE12669
OG0000029	HUMAN18356	DANRE40256, DANRE22155
OG0000029	HUMAN17029	DANRE11325, DANRE16818, DANRE16817
OG0000029	HUMAN24898	DANRE41268, DANRE41269
OG0000029	HUMAN21852	DANRE26531, DANRE01944
OG0000029	HUMAN17820	DANRE42782
OG0000029	HUMAN02270	DANRE21814
OG0000029	HUMAN21749, HUMAN19538	DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154
OG0000030	HUMAN23234, HUMAN23233, HUMAN23232	DANRE34589, DANRE34588
OG0000030	HUMAN01740	DANRE14546, DANRE09884, DANRE09883
OG0000030	HUMAN28679	DANRE34902
OG0000030	HUMAN30219	DANRE38993
OG0000030	HUMAN06064	DANRE03619
OG0000031	HUMAN29956	DANRE20274, DANRE20275, DANRE20273
OG0000031	HUMAN17850	DANRE41496
OG0000031	HUMAN06489	DANRE37079
OG0000031	HUMAN17883	DANRE41454
OG0000031	HUMAN26042	DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	HUMAN12874	DANRE17238
OG0000031	HUMAN26043	DANRE13622, DANRE13623
OG0000031	HUMAN09203	DANRE26019
OG0000031	HUMAN28770	DANRE33954
OG0000031	HUMAN26979, HUMAN14235	DANRE35637, DANRE11621
OG0000031	HUMAN07725	DANRE16190, DANRE42316
OG0000031	HUMAN14922	DANRE27399, DANRE21472, DANRE14252
OG0000031	HUMAN22322	DANRE15746
OG0000031	HUMAN18121	DANRE42215, DANRE15380, DANRE42216
OG0000031	HUMAN02818, HUMAN02819	DANRE28106, DANRE23847, DANRE23848
OG0000032	HUMAN27902	DANRE24196, DANRE27892, DANRE27891
