Orthogroup	HUMAN	SCHMD
OG0000023	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403	SCHMD05376
OG0000026	HUMAN00402	SCHMD10899
OG0000026	HUMAN26724, HUMAN26725	SCHMD22460
OG0000027	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463, HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531
OG0000028	HUMAN09209	SCHMD01093
OG0000028	HUMAN01776, HUMAN09895, HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281, HUMAN27764, HUMAN17889	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	HUMAN09193, HUMAN09206	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000029	HUMAN15611	SCHMD10229, SCHMD16285, SCHMD03695, SCHMD08074, SCHMD15862
OG0000030	HUMAN23235, HUMAN23234, HUMAN23233, HUMAN23232	SCHMD17295
OG0000030	HUMAN01740, HUMAN28679	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000031	HUMAN17850, HUMAN06489, HUMAN17883, HUMAN26042, HUMAN12874	SCHMD16950
OG0000031	HUMAN26043	SCHMD11094
OG0000031	HUMAN26979, HUMAN14235	SCHMD00185
OG0000031	HUMAN21432, HUMAN07725, HUMAN14922, HUMAN14786, HUMAN07726, HUMAN22322	SCHMD17865
OG0000034	HUMAN09534	SCHMD15825
OG0000034	HUMAN07187	SCHMD11716
OG0000034	HUMAN10850, HUMAN11671, HUMAN07186, HUMAN11672, HUMAN11673	SCHMD13190, SCHMD26745
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247
OG0000034	HUMAN01831, HUMAN13891	SCHMD04875
OG0000034	HUMAN04988	SCHMD07081
OG0000035	HUMAN06576	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	HUMAN06812, HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844	SCHMD15627, SCHMD19701
OG0000035	HUMAN06190	SCHMD19700, SCHMD08604, SCHMD17446
OG0000036	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808
OG0000036	HUMAN11289	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086
OG0000037	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817, HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443	SCHMD19933
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538
OG0000037	HUMAN03689	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000038	HUMAN18259	SCHMD17582, SCHMD27730
OG0000038	HUMAN18258	SCHMD07372
OG0000039	HUMAN02107, HUMAN02110, HUMAN02111, HUMAN29023, HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450, HUMAN02444, HUMAN13199	SCHMD12270
OG0000040	HUMAN26641	SCHMD19421
OG0000040	HUMAN26646, HUMAN26642	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395
OG0000041	HUMAN01392	SCHMD16501, SCHMD03485, SCHMD03487
OG0000041	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	HUMAN19139, HUMAN27913	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	HUMAN30603, HUMAN30589, HUMAN30600	SCHMD29320
OG0000043	HUMAN05606, HUMAN01578, HUMAN24593, HUMAN24614, HUMAN02615, HUMAN24624, HUMAN24606, HUMAN01573, HUMAN01572, HUMAN24670, HUMAN24647, HUMAN24664, HUMAN24665, HUMAN24657, HUMAN24659, HUMAN24650, HUMAN24619, HUMAN01577, HUMAN06066	SCHMD00424
OG0000044	HUMAN24293	SCHMD06550
OG0000048	HUMAN29551	SCHMD13771, SCHMD03961
OG0000049	HUMAN05318	SCHMD16048
OG0000049	HUMAN05317	SCHMD25010, SCHMD17007
OG0000049	HUMAN26500	SCHMD22370
OG0000051	HUMAN22678	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000056	HUMAN14865	SCHMD18401, SCHMD20469
OG0000058	HUMAN17378, HUMAN03592	SCHMD04270
OG0000058	HUMAN23378	SCHMD06371, SCHMD12285, SCHMD12283, SCHMD15378, SCHMD12280, SCHMD21116, SCHMD21114, SCHMD24429, SCHMD12833, SCHMD06108, SCHMD02122
OG0000060	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988	SCHMD03062
OG0000061	HUMAN17964, HUMAN26554	SCHMD24930
OG0000061	HUMAN26139	SCHMD12952
OG0000061	HUMAN26138, HUMAN26137, HUMAN12821	SCHMD11039
