Orthogroup	HUMAN	SCHMD
OG0001115	HUMAN20514	SCHMD01425
OG0001116	HUMAN12509	SCHMD19491
OG0001116	HUMAN02936, HUMAN12508	SCHMD04023
OG0001117	HUMAN14034, HUMAN18813, HUMAN08156, HUMAN08157	SCHMD18856
OG0001121	HUMAN25819, HUMAN25818, HUMAN25820, HUMAN25821, HUMAN19588	SCHMD18066, SCHMD06995, SCHMD25343, SCHMD23015, SCHMD06994
OG0001123	HUMAN21519	SCHMD02756
OG0001124	HUMAN13636, HUMAN29856, HUMAN29855, HUMAN29854, HUMAN29853	SCHMD24013
OG0001126	HUMAN11886	SCHMD17193, SCHMD24674
OG0001126	HUMAN21463, HUMAN11885, HUMAN11887, HUMAN11884	SCHMD17192
OG0001128	HUMAN08898, HUMAN08899, HUMAN15801, HUMAN15800, HUMAN02562, HUMAN02561	SCHMD08323
OG0001129	HUMAN11361, HUMAN28007	SCHMD15504, SCHMD18282, SCHMD05846
OG0001130	HUMAN23634	SCHMD04030
OG0001133	HUMAN24838	SCHMD18643
OG0001133	HUMAN23355	SCHMD29299, SCHMD19714
OG0001135	HUMAN10157, HUMAN10262, HUMAN10159, HUMAN10160, HUMAN10158, HUMAN10261	SCHMD28946
OG0001136	HUMAN14242, HUMAN23717, HUMAN09626, HUMAN09622	SCHMD09640
OG0001136	HUMAN14245, HUMAN14244	SCHMD08874, SCHMD07287, SCHMD16997
OG0001137	HUMAN15474	SCHMD17448, SCHMD26312, SCHMD05464, SCHMD01243
OG0001138	HUMAN06608, HUMAN27335, HUMAN21562	SCHMD00170
OG0001139	HUMAN29573, HUMAN24969, HUMAN20297, HUMAN20298, HUMAN03896	SCHMD00334
OG0001140	HUMAN28111, HUMAN00689, HUMAN16613	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472
OG0001141	HUMAN28829	SCHMD02981, SCHMD09902, SCHMD11211, SCHMD15344, SCHMD18658
OG0001142	HUMAN04836, HUMAN04835	SCHMD12785, SCHMD19807, SCHMD09379
OG0001143	HUMAN26902, HUMAN09500, HUMAN09501, HUMAN28929, HUMAN01633	SCHMD05178
OG0001146	HUMAN21944, HUMAN21943, HUMAN21945, HUMAN00122, HUMAN11953, HUMAN11952	SCHMD06189
OG0001149	HUMAN24814, HUMAN01215	SCHMD16336, SCHMD29633
OG0001155	HUMAN28847, HUMAN28848, HUMAN28849	SCHMD01897
OG0001156	HUMAN06276, HUMAN06274, HUMAN12764, HUMAN26033, HUMAN18478, HUMAN18476	SCHMD11390
OG0001158	HUMAN19221, HUMAN13723, HUMAN13724	SCHMD01514, SCHMD06104, SCHMD00376
OG0001161	HUMAN09583, HUMAN28673	SCHMD27832, SCHMD10429, SCHMD10428
OG0001162	HUMAN05494, HUMAN05495, HUMAN05496, HUMAN05497, HUMAN19367	SCHMD04355, SCHMD04356
OG0001164	HUMAN20034, HUMAN20033	SCHMD22065
OG0001165	HUMAN25194	SCHMD11819
OG0001165	HUMAN29763	SCHMD07378, SCHMD22157, SCHMD03644, SCHMD08052, SCHMD12131
OG0001167	HUMAN08884	SCHMD08525, SCHMD06703, SCHMD13691
OG0001167	HUMAN08882, HUMAN08883, HUMAN17001	SCHMD08043, SCHMD04406
OG0001168	HUMAN19115	SCHMD13073
OG0001169	HUMAN05126	SCHMD01217
OG0001172	HUMAN03030, HUMAN18130	SCHMD19335
OG0001175	HUMAN27761, HUMAN17515	SCHMD18473
OG0001176	HUMAN14915	SCHMD08283
OG0001176	HUMAN09872, HUMAN01895, HUMAN14914	SCHMD14886
OG0001177	HUMAN13792	SCHMD07014
OG0001177	HUMAN13793	SCHMD07016, SCHMD07017, SCHMD07015
OG0001178	HUMAN01065	SCHMD07684
OG0001178	HUMAN30630, HUMAN29750	SCHMD13713
OG0001178	HUMAN01067	SCHMD13712, SCHMD07681
OG0001179	HUMAN19099	SCHMD26379
OG0001181	HUMAN12489, HUMAN02963, HUMAN12488	SCHMD21797
OG0001183	HUMAN12777	SCHMD25354, SCHMD18351, SCHMD24868, SCHMD15726, SCHMD18352, SCHMD01499, SCHMD23054, SCHMD29166, SCHMD15725, SCHMD02325
OG0001184	HUMAN24892, HUMAN24891	SCHMD12752
OG0001184	HUMAN04448, HUMAN04447	SCHMD29753, SCHMD15110, SCHMD23640
OG0001185	HUMAN24530, HUMAN24531, HUMAN00600, HUMAN25682, HUMAN25681	SCHMD23236
OG0001186	HUMAN13742	SCHMD20610
OG0001186	HUMAN11615	SCHMD05037
OG0001188	HUMAN16878	SCHMD05963, SCHMD14167
OG0001189	HUMAN19325, HUMAN16570, HUMAN27793	SCHMD17573, SCHMD27159, SCHMD05552
OG0001191	HUMAN14236	SCHMD00186
OG0001191	HUMAN27561	SCHMD08591
OG0001191	HUMAN27560, HUMAN03181, HUMAN23867	SCHMD11387
OG0001197	HUMAN04807	SCHMD06230
OG0001197	HUMAN26126, HUMAN17925	SCHMD16253
OG0001198	HUMAN20393	SCHMD25694, SCHMD06964
OG0001198	HUMAN03836	SCHMD04078
OG0001199	HUMAN25663	SCHMD17507, SCHMD14047
OG0001199	HUMAN27627, HUMAN27626	SCHMD17830
OG0001199	HUMAN27628	SCHMD16496
OG0001204	HUMAN07266, HUMAN13045	SCHMD08657, SCHMD22624, SCHMD10325
OG0001207	HUMAN13151	SCHMD02145, SCHMD05067, SCHMD08759, SCHMD15345
OG0001207	HUMAN13150, HUMAN17601	SCHMD07731
OG0001208	HUMAN17864, HUMAN26576	SCHMD11671, SCHMD13440, SCHMD22806
OG0001209	HUMAN27648	SCHMD22043, SCHMD28492
OG0001210	HUMAN18754	SCHMD19441
OG0001211	HUMAN17696	SCHMD16385, SCHMD14428
OG0001213	HUMAN03742	SCHMD01086
OG0001213	HUMAN07278, HUMAN07279	SCHMD23993, SCHMD21364, SCHMD26387, SCHMD21954, SCHMD22675
OG0001214	HUMAN02956, HUMAN02957	SCHMD22221
OG0001215	HUMAN26208, HUMAN26209, HUMAN17597, HUMAN06423	SCHMD25774
OG0001216	HUMAN11427	SCHMD13349
OG0001217	HUMAN29664, HUMAN25763	SCHMD18537
OG0001217	HUMAN00524, HUMAN25762	SCHMD21187, SCHMD21148
OG0001218	HUMAN05862, HUMAN00140, HUMAN11965	SCHMD03255
OG0001219	HUMAN18053, HUMAN24346, HUMAN01814, HUMAN09792, HUMAN09790	SCHMD09614, SCHMD00713
OG0001219	HUMAN24347	SCHMD10663
OG0001221	HUMAN08173, HUMAN08174, HUMAN08177, HUMAN08176, HUMAN08178, HUMAN08175, HUMAN08179, HUMAN08180	SCHMD16690
OG0001223	HUMAN27843, HUMAN11032, HUMAN07991, HUMAN19019, HUMAN11033	SCHMD08671
OG0001226	HUMAN19536, HUMAN30088, HUMAN25307, HUMAN00527, HUMAN00528	SCHMD21222
OG0001230	HUMAN00718	SCHMD04385, SCHMD04382, SCHMD28531
OG0001231	HUMAN08474	SCHMD05786, SCHMD07759, SCHMD03181, SCHMD13940, SCHMD03182
OG0001236	HUMAN15304	SCHMD08913, SCHMD03442
OG0001236	HUMAN05859	SCHMD14035
OG0001238	HUMAN09752, HUMAN24272, HUMAN20738, HUMAN12789, HUMAN06408	SCHMD09688
OG0001239	HUMAN21103	SCHMD22060
OG0001239	HUMAN26890	SCHMD22059, SCHMD04401, SCHMD16791
OG0001241	HUMAN18832, HUMAN18831	SCHMD04223
OG0001241	HUMAN07799	SCHMD16327
OG0001245	HUMAN03157	SCHMD24743, SCHMD24744
OG0001247	HUMAN27060	SCHMD06121
OG0001248	HUMAN18428, HUMAN27270, HUMAN27268	SCHMD28672, SCHMD29190, SCHMD17657
OG0001249	HUMAN28497, HUMAN00860, HUMAN14396	SCHMD01149
OG0001250	HUMAN13009, HUMAN20055, HUMAN20056, HUMAN20057, HUMAN12131	SCHMD08101, SCHMD04347
OG0001250	HUMAN13011	SCHMD05096
OG0001251	HUMAN11600, HUMAN08159, HUMAN08158	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715
OG0001254	HUMAN23638, HUMAN23637, HUMAN09380	SCHMD14258, SCHMD09217
OG0001256	HUMAN25828	SCHMD23608, SCHMD16589, SCHMD16774, SCHMD00239, SCHMD25518
OG0001261	HUMAN22947, HUMAN04078, HUMAN04079	SCHMD13436
OG0001262	HUMAN29428, HUMAN24853	SCHMD20011
OG0001263	HUMAN27745, HUMAN27744, HUMAN03309, HUMAN12942	SCHMD17470
OG0001264	HUMAN28020, HUMAN18861, HUMAN18860, HUMAN11601, HUMAN28023	SCHMD27230, SCHMD17432
OG0001266	HUMAN13676, HUMAN13675, HUMAN18946	SCHMD10438
OG0001267	HUMAN26403, HUMAN07336, HUMAN07335, HUMAN04653, HUMAN27474, HUMAN27478	SCHMD05399
OG0001268	HUMAN22451	SCHMD01057
OG0001271	HUMAN27281, HUMAN13161, HUMAN06386	SCHMD05357
OG0001272	HUMAN10856, HUMAN12263, HUMAN28972	SCHMD22716, SCHMD09459
OG0001273	HUMAN09957, HUMAN15061, HUMAN23537	SCHMD13838, SCHMD25918, SCHMD21739
OG0001275	HUMAN25461	SCHMD25163
OG0001275	HUMAN25458	SCHMD12521
OG0001278	HUMAN28348	SCHMD25706, SCHMD22381
OG0001279	HUMAN15552, HUMAN15549, HUMAN09000, HUMAN02712	SCHMD06836
OG0001280	HUMAN09972, HUMAN14369, HUMAN28522	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884
OG0001282	HUMAN11803, HUMAN21801	SCHMD08025
OG0001284	HUMAN27205	SCHMD09316
OG0001284	HUMAN09392	SCHMD00434
OG0001285	HUMAN03726	SCHMD13791
OG0001287	HUMAN23780, HUMAN17479, HUMAN26326, HUMAN22569, HUMAN30270	SCHMD07530
OG0001291	HUMAN27542, HUMAN22728, HUMAN03289	SCHMD20641, SCHMD11793
OG0001294	HUMAN08609	SCHMD26181, SCHMD17649, SCHMD26146, SCHMD20417, SCHMD20418
OG0001296	HUMAN08945, HUMAN04788, HUMAN02472, HUMAN02470, HUMAN02471	SCHMD20454, SCHMD11060
OG0001297	HUMAN06849, HUMAN06850, HUMAN02321, HUMAN02322, HUMAN04265	SCHMD10762
OG0001300	HUMAN21610, HUMAN07635, HUMAN30249	SCHMD00214, SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202
OG0001302	HUMAN00934	SCHMD13885
OG0001302	HUMAN28036	SCHMD08617, SCHMD27826
OG0001304	HUMAN07987, HUMAN11035, HUMAN27849, HUMAN19007	SCHMD13840
OG0001306	HUMAN01015, HUMAN01014	SCHMD04516
OG0001308	HUMAN03201	SCHMD08489
OG0001308	HUMAN03202, HUMAN03203, HUMAN24361, HUMAN24360, HUMAN24359, HUMAN22496, HUMAN22495	SCHMD08020
OG0001310	HUMAN09336, HUMAN09337	SCHMD19422
OG0001310	HUMAN17449	SCHMD09167
OG0001311	HUMAN02788	SCHMD05801
OG0001312	HUMAN19586, HUMAN21384, HUMAN21385	SCHMD02056, SCHMD02055
OG0001316	HUMAN22411, HUMAN07507	SCHMD15981
OG0001318	HUMAN16547, HUMAN16548	SCHMD07054
OG0001318	HUMAN21172, HUMAN21173	SCHMD16802
OG0001319	HUMAN30310, HUMAN21541	SCHMD14764
OG0001320	HUMAN27988, HUMAN27989	SCHMD01321, SCHMD01324, SCHMD01322
OG0001320	HUMAN09292, HUMAN16855, HUMAN16856	SCHMD05527
OG0001321	HUMAN09666	SCHMD23818
OG0001322	HUMAN03840, HUMAN15479, HUMAN15481	SCHMD09506
OG0001323	HUMAN08572, HUMAN15462, HUMAN02685, HUMAN04964, HUMAN15463, HUMAN08571, HUMAN15461	SCHMD14852, SCHMD22300
OG0001324	HUMAN21898	SCHMD06767
OG0001325	HUMAN22703	SCHMD05728
OG0001326	HUMAN03521, HUMAN17368, HUMAN17367, HUMAN03603	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423
OG0001327	HUMAN05827	SCHMD18386
OG0001327	HUMAN06766, HUMAN06765, HUMAN02428	SCHMD08653, SCHMD04846
OG0001329	HUMAN02833	SCHMD15324
OG0001331	HUMAN22233, HUMAN22231, HUMAN24247, HUMAN13998	SCHMD14545
OG0001332	HUMAN29020	SCHMD04204
OG0001333	HUMAN20118, HUMAN10313	SCHMD15673, SCHMD23155
OG0001335	HUMAN25775	SCHMD19167, SCHMD17337
OG0001335	HUMAN28637	SCHMD26447
OG0001337	HUMAN28621	SCHMD01703
OG0001337	HUMAN13008, HUMAN23397, HUMAN00896	SCHMD11229, SCHMD01704, SCHMD14444
OG0001339	HUMAN25156, HUMAN16668	SCHMD08909
OG0001341	HUMAN13955	SCHMD01188, SCHMD02608
OG0001348	HUMAN07855, HUMAN07854, HUMAN07853, HUMAN30397, HUMAN07856	SCHMD24331, SCHMD29399
OG0001350	HUMAN01020	SCHMD16735, SCHMD15485, SCHMD23052
OG0001350	HUMAN18742	SCHMD17071, SCHMD29804, SCHMD10618
OG0001351	HUMAN29755	SCHMD24241
OG0001353	HUMAN18886	SCHMD10586
OG0001354	HUMAN01464, HUMAN01976	SCHMD11475, SCHMD26080
OG0001354	HUMAN14805, HUMAN00966, HUMAN28999	SCHMD12063
OG0001355	HUMAN21593, HUMAN07898, HUMAN24307, HUMAN22136, HUMAN03703	SCHMD23781
OG0001356	HUMAN21113, HUMAN06242	SCHMD21598, SCHMD19916
OG0001357	HUMAN16834, HUMAN04831, HUMAN09251, HUMAN15455	SCHMD16921
OG0001359	HUMAN01772	SCHMD11507
OG0001362	HUMAN13462	SCHMD04122, SCHMD05643, SCHMD13617
OG0001363	HUMAN02206	SCHMD05287, SCHMD16288, SCHMD05291
OG0001364	HUMAN18390	SCHMD27572, SCHMD21273
OG0001367	HUMAN19005, HUMAN13672, HUMAN16628, HUMAN16627	SCHMD04624
OG0001368	HUMAN08634	SCHMD12524, SCHMD12925, SCHMD10124, SCHMD12523, SCHMD08134, SCHMD19303
OG0001368	HUMAN18786, HUMAN18785, HUMAN08633	SCHMD02343
OG0001369	HUMAN06738	SCHMD15727, SCHMD16208, SCHMD22520, SCHMD04521
OG0001370	HUMAN10042	SCHMD12004
OG0001370	HUMAN18140	SCHMD18225, SCHMD11963
OG0001371	HUMAN13498, HUMAN13497	SCHMD02523
OG0001372	HUMAN01152	SCHMD12353, SCHMD23970
OG0001375	HUMAN25598, HUMAN00578, HUMAN00579	SCHMD18333
OG0001376	HUMAN05736, HUMAN05737, HUMAN15337, HUMAN19374	SCHMD14191, SCHMD01800
OG0001378	HUMAN24020	SCHMD12504, SCHMD07107
OG0001383	HUMAN29253	SCHMD18571, SCHMD21036
OG0001383	HUMAN01927	SCHMD28197, SCHMD18572
OG0001385	HUMAN00708	SCHMD01908, SCHMD03151, SCHMD17215, SCHMD24251, SCHMD27846, SCHMD02887, SCHMD11624, SCHMD23448, SCHMD19127, SCHMD25605, SCHMD28267, SCHMD17606, SCHMD15084, SCHMD05289, SCHMD01079, SCHMD09083, SCHMD01371, SCHMD22024, SCHMD20763, SCHMD00169, SCHMD10113, SCHMD25905, SCHMD23599, SCHMD20992, SCHMD25254, SCHMD04155, SCHMD13353, SCHMD04418, SCHMD04625, SCHMD01016, SCHMD05445, SCHMD11800, SCHMD07275, SCHMD24250, SCHMD23891, SCHMD22262, SCHMD03886, SCHMD08662, SCHMD26442, SCHMD17996, SCHMD07274, SCHMD18437, SCHMD19128, SCHMD05290, SCHMD02781, SCHMD20262, SCHMD04634, SCHMD21900, SCHMD12522, SCHMD05458, SCHMD01372, SCHMD01080, SCHMD22023, SCHMD12942, SCHMD02783
OG0001388	HUMAN29687, HUMAN30613, HUMAN30096	SCHMD08532, SCHMD23425, SCHMD17454, SCHMD02828, SCHMD15156, SCHMD02831, SCHMD24634, SCHMD12999
OG0001389	HUMAN30191, HUMAN30192, HUMAN26892, HUMAN26891, HUMAN17427, HUMAN22895, HUMAN24383	SCHMD02031, SCHMD17776
OG0001394	HUMAN27467	SCHMD19657, SCHMD24757
OG0001394	HUMAN27466	SCHMD23211, SCHMD24249
OG0001397	HUMAN24255, HUMAN03558	SCHMD08548, SCHMD08095
OG0001399	HUMAN07651, HUMAN18963, HUMAN18962, HUMAN11037	SCHMD20091, SCHMD16432
OG0001400	HUMAN12867, HUMAN17921, HUMAN26085, HUMAN26084	SCHMD26317
OG0001401	HUMAN21621, HUMAN21620, HUMAN29769	SCHMD15712
OG0001402	HUMAN19950, HUMAN10942, HUMAN12422, HUMAN12423	SCHMD06853
OG0001404	HUMAN00261	SCHMD14853
OG0001406	HUMAN30431	SCHMD07383, SCHMD01809
OG0001406	HUMAN21841, HUMAN21842, HUMAN21839, HUMAN11946, HUMAN30432	SCHMD13359, SCHMD19152
OG0001409	HUMAN15650	SCHMD04792
OG0001410	HUMAN18249, HUMAN18248, HUMAN25904, HUMAN25903	SCHMD09832
OG0001410	HUMAN27965, HUMAN27967, HUMAN27966	SCHMD09687
OG0001411	HUMAN22432	SCHMD13416, SCHMD19137
OG0001412	HUMAN07098, HUMAN07099	SCHMD13223
OG0001413	HUMAN07320, HUMAN07322	SCHMD02827
OG0001413	HUMAN10070	SCHMD02718
OG0001414	HUMAN26311	SCHMD19649
OG0001416	HUMAN00172, HUMAN11820	SCHMD01722
OG0001417	HUMAN12487	SCHMD06429, SCHMD24380, SCHMD19840, SCHMD16804, SCHMD06430
OG0001421	HUMAN15819, HUMAN15817, HUMAN15818, HUMAN08949, HUMAN04839, HUMAN08948, HUMAN02585	SCHMD14208
OG0001422	HUMAN17890, HUMAN26120, HUMAN17892, HUMAN26121, HUMAN17893, HUMAN17891	SCHMD18897, SCHMD04981, SCHMD04982
OG0001425	HUMAN25779, HUMAN09840, HUMAN23345, HUMAN23344	SCHMD16287, SCHMD09188, SCHMD09187
OG0001426	HUMAN21982, HUMAN21981, HUMAN00034, HUMAN11906	SCHMD02033
OG0001427	HUMAN18845, HUMAN13853, HUMAN16726	SCHMD03939, SCHMD00575
OG0001428	HUMAN00193, HUMAN11816, HUMAN05892	SCHMD06125
OG0001429	HUMAN29656, HUMAN00568, HUMAN25640	SCHMD14421
OG0001430	HUMAN16816, HUMAN04840, HUMAN09331, HUMAN15891	SCHMD00026
OG0001432	HUMAN19311, HUMAN27870	SCHMD08255
OG0001432	HUMAN16749	SCHMD22173
OG0001433	HUMAN00642, HUMAN28267, HUMAN25243	SCHMD13899, SCHMD22723, SCHMD08627, SCHMD01242
OG0001434	HUMAN25376	SCHMD11795
OG0001438	HUMAN21820, HUMAN27731, HUMAN27733, HUMAN27732, HUMAN24291	SCHMD03715, SCHMD17114
OG0001439	HUMAN05538, HUMAN05539	SCHMD09059
OG0001440	HUMAN02970, HUMAN12486	SCHMD08958, SCHMD08957
OG0001445	HUMAN18716, HUMAN15579	SCHMD04082
OG0001447	HUMAN09319, HUMAN15576, HUMAN02582	SCHMD14223
OG0001449	HUMAN16746	SCHMD11900
OG0001449	HUMAN18160	SCHMD21822
OG0001450	HUMAN05768	SCHMD05057
OG0001451	HUMAN07097, HUMAN04374, HUMAN04373	SCHMD11378, SCHMD13989, SCHMD09385, SCHMD09340
OG0001453	HUMAN21615	SCHMD06884, SCHMD06825
OG0001454	HUMAN24123, HUMAN24124, HUMAN24121, HUMAN24122, HUMAN22861, HUMAN24125	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145
OG0001456	HUMAN21607, HUMAN21609	SCHMD22269, SCHMD26154
OG0001458	HUMAN23064, HUMAN30171, HUMAN29608, HUMAN29609	SCHMD07871
OG0001460	HUMAN03122	SCHMD10312, SCHMD23646
OG0001461	HUMAN26887	SCHMD13257
OG0001464	HUMAN17749, HUMAN28956, HUMAN06437, HUMAN06436	SCHMD20463
OG0001466	HUMAN23853	SCHMD12996, SCHMD13074
OG0001467	HUMAN29474, HUMAN29473	SCHMD12343
OG0001467	HUMAN05267	SCHMD19099
OG0001468	HUMAN18215, HUMAN20670, HUMAN20673, HUMAN20674, HUMAN06709	SCHMD00390
OG0001468	HUMAN20671	SCHMD12591
OG0001469	HUMAN17357	SCHMD09394
OG0001469	HUMAN25406	SCHMD24067, SCHMD10449
OG0001470	HUMAN12346	SCHMD02321
OG0001472	HUMAN26528, HUMAN26527	SCHMD12948
OG0001472	HUMAN19245	SCHMD13936, SCHMD13397, SCHMD27432
OG0001474	HUMAN10737	SCHMD07416
OG0001474	HUMAN09370	SCHMD07415
OG0001474	HUMAN10738, HUMAN10739, HUMAN10736	SCHMD11576, SCHMD26877
OG0001475	HUMAN00232, HUMAN00233	SCHMD01990, SCHMD01568, SCHMD01569, SCHMD13677, SCHMD05348
OG0001478	HUMAN09291	SCHMD26017
OG0001479	HUMAN29190	SCHMD08556
OG0001479	HUMAN01339, HUMAN14506, HUMAN14504, HUMAN29189	SCHMD12413, SCHMD08686
OG0001480	HUMAN18069, HUMAN20722, HUMAN20724, HUMAN20721, HUMAN20723	SCHMD13493
OG0001483	HUMAN12748, HUMAN07904	SCHMD00397
OG0001484	HUMAN29782, HUMAN20929	SCHMD14277
OG0001485	HUMAN10084	SCHMD18182
OG0001488	HUMAN04093	SCHMD21551
OG0001490	HUMAN08811	SCHMD08286, SCHMD07637
OG0001492	HUMAN10843, HUMAN10842	SCHMD23516, SCHMD26961, SCHMD25275, SCHMD13787, SCHMD04408, SCHMD08526, SCHMD03207, SCHMD22383, SCHMD21998, SCHMD05531, SCHMD02901, SCHMD18008, SCHMD25870, SCHMD01545, SCHMD02176, SCHMD21595, SCHMD22373, SCHMD22752, SCHMD09908, SCHMD16982, SCHMD26364, SCHMD01591
OG0001493	HUMAN22769, HUMAN03129	SCHMD11122
OG0001496	HUMAN17133	SCHMD04335
OG0001501	HUMAN08311, HUMAN08312, HUMAN18751	SCHMD02704
OG0001502	HUMAN13214, HUMAN13217	SCHMD06697
OG0001503	HUMAN15059	SCHMD25279, SCHMD19928
OG0001503	HUMAN06046	SCHMD25148
OG0001504	HUMAN18887	SCHMD05964
OG0001506	HUMAN21790, HUMAN00091	SCHMD04881
OG0001507	HUMAN08599	SCHMD00992
OG0001507	HUMAN08598, HUMAN02657, HUMAN02656, HUMAN04900	SCHMD00476, SCHMD00993
OG0001508	HUMAN04219, HUMAN15958	SCHMD22201, SCHMD18843, SCHMD16325, SCHMD15374
OG0001508	HUMAN15959	SCHMD10290
OG0001510	HUMAN14673	SCHMD18903
OG0001511	HUMAN18320, HUMAN18319, HUMAN26693	SCHMD14385
OG0001512	HUMAN28786, HUMAN28785, HUMAN09917, HUMAN09920, HUMAN09919, HUMAN09918	SCHMD25662, SCHMD20631, SCHMD17238, SCHMD26046, SCHMD14306, SCHMD08743, SCHMD08744, SCHMD14305, SCHMD08415, SCHMD00450
OG0001515	HUMAN12421, HUMAN12420, HUMAN19953	SCHMD18483
OG0001516	HUMAN23268	SCHMD07784
OG0001517	HUMAN23303, HUMAN21286	SCHMD13953, SCHMD02103, SCHMD04959, SCHMD27460
OG0001519	HUMAN14377, HUMAN14392, HUMAN28529, HUMAN28530, HUMAN14393, HUMAN10026	SCHMD01453, SCHMD11573
OG0001522	HUMAN15759, HUMAN08309, HUMAN15482, HUMAN25135	SCHMD06814
OG0001524	HUMAN03522	SCHMD08154
OG0001524	HUMAN11149	SCHMD06432
OG0001525	HUMAN07206	SCHMD22768, SCHMD18999, SCHMD19000, SCHMD08330
OG0001526	HUMAN29404	SCHMD16304
OG0001527	HUMAN19883, HUMAN19885, HUMAN11842	SCHMD05435
OG0001527	HUMAN28194	SCHMD08837
OG0001530	HUMAN22628	SCHMD11853
OG0001530	HUMAN22629	SCHMD11854, SCHMD11855
OG0001532	HUMAN00046, HUMAN11888, HUMAN21869	SCHMD11604
OG0001533	HUMAN07789, HUMAN21380	SCHMD16757, SCHMD04796
OG0001534	HUMAN20220, HUMAN20221, HUMAN20219, HUMAN10541, HUMAN10540, HUMAN10538	SCHMD13063
OG0001536	HUMAN23182, HUMAN23181	SCHMD04145
OG0001538	HUMAN02566	SCHMD03674
OG0001546	HUMAN08266, HUMAN16844	SCHMD23904
OG0001551	HUMAN08700, HUMAN02498	SCHMD21975
OG0001552	HUMAN20977, HUMAN20976	SCHMD26668
OG0001553	HUMAN27760, HUMAN03319, HUMAN23794, HUMAN27759	SCHMD15846, SCHMD15532, SCHMD10896, SCHMD19069, SCHMD06566
OG0001554	HUMAN05332, HUMAN05331, HUMAN30019	SCHMD11035
OG0001557	HUMAN26830, HUMAN26831, HUMAN04309	SCHMD13972
OG0001558	HUMAN29505, HUMAN29504, HUMAN14496	SCHMD18412, SCHMD28405
OG0001559	HUMAN08415, HUMAN04944, HUMAN02556, HUMAN04942	SCHMD02521
OG0001560	HUMAN09969, HUMAN28514, HUMAN14375, HUMAN14373, HUMAN09968, HUMAN24574, HUMAN01892, HUMAN01891	SCHMD19288, SCHMD02478
OG0001561	HUMAN24968, HUMAN20456, HUMAN24967, HUMAN20360	SCHMD21318
OG0001562	HUMAN18910	SCHMD12694, SCHMD20732, SCHMD29309
OG0001563	HUMAN09891	SCHMD18145
OG0001566	HUMAN25664, HUMAN29643	SCHMD02705
OG0001567	HUMAN00268, HUMAN21826	SCHMD03492, SCHMD11013, SCHMD12195
OG0001568	HUMAN20082, HUMAN20081	SCHMD04206
OG0001569	HUMAN07886, HUMAN30285, HUMAN30286, HUMAN30287	SCHMD19450
OG0001571	HUMAN13804, HUMAN05679	SCHMD26358
OG0001571	HUMAN05678	SCHMD20861, SCHMD22039
OG0001572	HUMAN13726	SCHMD04033
OG0001572	HUMAN11626, HUMAN11627	SCHMD14275, SCHMD14274
OG0001575	HUMAN20511	SCHMD13351
OG0001576	HUMAN23520, HUMAN09989, HUMAN09990	SCHMD23672
OG0001578	HUMAN27577, HUMAN27576, HUMAN03525	SCHMD10414
OG0001580	HUMAN19240, HUMAN19239, HUMAN19238, HUMAN15241	SCHMD08361, SCHMD16167, SCHMD15393
OG0001582	HUMAN11711	SCHMD10962, SCHMD17543, SCHMD18112
OG0001583	HUMAN22254, HUMAN22253, HUMAN22251, HUMAN22252, HUMAN03577	SCHMD16986, SCHMD12401, SCHMD16987, SCHMD12400, SCHMD11526
OG0001584	HUMAN07637	SCHMD00503
OG0001589	HUMAN13366, HUMAN10236	SCHMD27652, SCHMD23084
OG0001590	HUMAN09425	SCHMD09239
OG0001590	HUMAN09424	SCHMD09240
OG0001593	HUMAN28942, HUMAN09707, HUMAN06299, HUMAN01587, HUMAN01588	SCHMD12117, SCHMD02219, SCHMD12348, SCHMD22687
OG0001596	HUMAN06207, HUMAN28876	SCHMD09207
OG0001597	HUMAN03834	SCHMD15780, SCHMD26075
OG0001599	HUMAN13429	SCHMD24770
OG0001599	HUMAN13428	SCHMD16474
OG0001602	HUMAN04443	SCHMD00024
OG0001603	HUMAN24754	SCHMD10551
OG0001604	HUMAN12471, HUMAN12472	SCHMD02109
OG0001605	HUMAN07945, HUMAN07944	SCHMD09782
OG0001609	HUMAN07643	SCHMD16467
OG0001609	HUMAN21122, HUMAN07645	SCHMD16231, SCHMD10959, SCHMD10960
OG0001610	HUMAN22869, HUMAN00777, HUMAN19044, HUMAN07487, HUMAN28094	SCHMD03213
OG0001611	HUMAN08978, HUMAN02546	SCHMD04102, SCHMD12631
OG0001612	HUMAN19504	SCHMD18636, SCHMD18391
OG0001612	HUMAN25319	SCHMD14255, SCHMD22594
OG0001613	HUMAN24818	SCHMD05811
OG0001614	HUMAN14358	SCHMD04001
OG0001615	HUMAN04414, HUMAN27016	SCHMD14018
OG0001617	HUMAN20425, HUMAN06149, HUMAN24916	SCHMD05139
