Orthogroup	HUMAN	CAPO3
OG0001559	HUMAN02553, HUMAN08415, HUMAN04944, HUMAN02556, HUMAN04942	CAPO301785
OG0001561	HUMAN24968, HUMAN20456, HUMAN24967, HUMAN20360	CAPO301999
OG0001563	HUMAN09891	CAPO306378
OG0001564	HUMAN18396, HUMAN05131	CAPO301061
OG0001567	HUMAN00268, HUMAN21826	CAPO300948
OG0001568	HUMAN20082, HUMAN20081	CAPO301468
OG0001572	HUMAN13726	CAPO304756
OG0001572	HUMAN11626, HUMAN11627	CAPO304137
OG0001573	HUMAN01295, HUMAN29048	CAPO305125, CAPO303819
OG0001576	HUMAN23520, HUMAN09989, HUMAN09990	CAPO306270
OG0001578	HUMAN27577, HUMAN27576, HUMAN03525	CAPO300715
OG0001580	HUMAN19240, HUMAN19239, HUMAN19238, HUMAN15241	CAPO307900
OG0001581	HUMAN02526, HUMAN02524, HUMAN02525	CAPO306056
OG0001582	HUMAN11711, HUMAN11710, HUMAN19935	CAPO307073
OG0001583	HUMAN22254, HUMAN22253, HUMAN22251, HUMAN22252, HUMAN03577	CAPO306289
OG0001584	HUMAN07637, HUMAN22038	CAPO301068
OG0001589	HUMAN13366, HUMAN10236	CAPO303301, CAPO304004
OG0001590	HUMAN09425	CAPO306067
OG0001590	HUMAN09424	CAPO302386
OG0001593	HUMAN28942, HUMAN09707, HUMAN06299, HUMAN01587, HUMAN01588	CAPO305942
OG0001594	HUMAN19429	CAPO304243
OG0001597	HUMAN26560, HUMAN26561, HUMAN26559	CAPO302703
OG0001599	HUMAN13429, HUMAN13426, HUMAN13428	CAPO300887
OG0001600	HUMAN00788, HUMAN00787, HUMAN16635, HUMAN28233	CAPO305994
OG0001603	HUMAN24754, HUMAN24819	CAPO306228
OG0001604	HUMAN12471, HUMAN12472	CAPO303898
OG0001605	HUMAN07945, HUMAN07944	CAPO307473
OG0001609	HUMAN07643	CAPO304683
OG0001609	HUMAN21122, HUMAN07645	CAPO302057
OG0001610	HUMAN22869, HUMAN00777, HUMAN19044, HUMAN07487, HUMAN28094	CAPO301483
OG0001611	HUMAN08977, HUMAN08979, HUMAN08978, HUMAN02546	CAPO305038
OG0001612	HUMAN19504, HUMAN25319	CAPO302202
OG0001614	HUMAN14358	CAPO303895
OG0001614	HUMAN13572	CAPO307630
OG0001615	HUMAN04414, HUMAN27016	CAPO300749
OG0001617	HUMAN20425, HUMAN06149, HUMAN24916	CAPO302798
OG0001621	HUMAN10405, HUMAN20233	CAPO302875
OG0001622	HUMAN03730, HUMAN03729, HUMAN27716	CAPO302121
OG0001634	HUMAN29106	CAPO305688
OG0001634	HUMAN02620, HUMAN15581	CAPO305614
OG0001638	HUMAN10802, HUMAN10801, HUMAN11783, HUMAN11785, HUMAN11784	CAPO303528
OG0001641	HUMAN02994	CAPO303281
OG0001643	HUMAN01999	CAPO300422
OG0001643	HUMAN01998, HUMAN05730, HUMAN15333, HUMAN15332, HUMAN15331	CAPO306838
OG0001644	HUMAN24567, HUMAN16593	CAPO303665
OG0001652	HUMAN08985	CAPO302838
OG0001653	HUMAN23274	CAPO305118
OG0001655	HUMAN29890, HUMAN23043, HUMAN29586, HUMAN29889	CAPO302812
OG0001657	HUMAN20003, HUMAN20005, HUMAN20004, HUMAN04603	CAPO304165, CAPO303952
OG0001660	HUMAN24142, HUMAN22382, HUMAN29625, HUMAN30126, HUMAN22381	CAPO305930
OG0001661	HUMAN07166	CAPO302789
OG0001661	HUMAN21509	CAPO304920
OG0001663	HUMAN26903, HUMAN29828	CAPO301057
OG0001664	HUMAN01079, HUMAN14776, HUMAN14775, HUMAN27769	CAPO303152
OG0001665	HUMAN13477, HUMAN13476, HUMAN10572	CAPO302331
OG0001672	HUMAN29688, HUMAN17876, HUMAN12952, HUMAN26575	CAPO301880
OG0001673	HUMAN08249, HUMAN08251, HUMAN15858, HUMAN16851, HUMAN15857	CAPO305520
OG0001674	HUMAN09862, HUMAN09861, HUMAN09864, HUMAN09865, HUMAN13900	CAPO301357
OG0001675	HUMAN28279, HUMAN27610	CAPO307574
OG0001676	HUMAN03206	CAPO300524
OG0001676	HUMAN15070	CAPO305992
OG0001677	HUMAN07349, HUMAN07350	CAPO307978
OG0001684	HUMAN14785, HUMAN01201	CAPO300563
OG0001685	HUMAN22339	CAPO307707
OG0001686	HUMAN22500, HUMAN11161, HUMAN11160, HUMAN17160, HUMAN22501	CAPO307138
OG0001687	HUMAN03234	CAPO302907
OG0001688	HUMAN22303, HUMAN22304, HUMAN22302, HUMAN03992	CAPO300133
OG0001690	HUMAN01169	CAPO304820
OG0001691	HUMAN10903, HUMAN07404	CAPO307420
OG0001699	HUMAN12717, HUMAN12716, HUMAN27253	CAPO306472, CAPO300057
OG0001704	HUMAN06407, HUMAN06567	CAPO304434
OG0001706	HUMAN30453, HUMAN05373, HUMAN30452	CAPO301033
OG0001707	HUMAN13776, HUMAN13775, HUMAN16739	CAPO303836
OG0001708	HUMAN25399, HUMAN25398, HUMAN01995, HUMAN01996	CAPO303804
OG0001709	HUMAN23995	CAPO304969
OG0001711	HUMAN04935, HUMAN04934, HUMAN04933, HUMAN09017	CAPO301872
OG0001713	HUMAN05026	CAPO308041
OG0001713	HUMAN11446, HUMAN11444, HUMAN11445	CAPO302278
OG0001714	HUMAN20171, HUMAN20172	CAPO306669
OG0001714	HUMAN25119, HUMAN20173	CAPO300188
OG0001718	HUMAN08462, HUMAN25013, HUMAN25014	CAPO301559, CAPO301838
OG0001720	HUMAN12316, HUMAN04993, HUMAN07123	CAPO303957
OG0001721	HUMAN25291, HUMAN08491	CAPO302302
OG0001723	HUMAN30388, HUMAN21619, HUMAN30386, HUMAN29777	CAPO308089
OG0001724	HUMAN25295	CAPO306474
OG0001727	HUMAN15860, HUMAN15859, HUMAN08259, HUMAN16842	CAPO301729
OG0001730	HUMAN14924, HUMAN00990, HUMAN14923	CAPO303469
OG0001732	HUMAN30348, HUMAN07896, HUMAN21599, HUMAN21598, HUMAN21600	CAPO304710
OG0001733	HUMAN17168	CAPO306615
OG0001734	HUMAN04690, HUMAN04685, HUMAN04687, HUMAN04689, HUMAN04688	CAPO306594
OG0001735	HUMAN17857, HUMAN13129	CAPO301389
OG0001738	HUMAN07064, HUMAN07066, HUMAN03839, HUMAN03837, HUMAN07063, HUMAN07065, HUMAN03838	CAPO301655
OG0001739	HUMAN30049, HUMAN30048, HUMAN06840, HUMAN06841, HUMAN06839, HUMAN03964	CAPO304154
OG0001743	HUMAN29327	CAPO307541, CAPO302971
OG0001743	HUMAN29328, HUMAN29326	CAPO306128
OG0001746	HUMAN20303, HUMAN04189, HUMAN20301, HUMAN20300, HUMAN20302	CAPO306662
OG0001750	HUMAN03005, HUMAN06675, HUMAN17719	CAPO304954
OG0001755	HUMAN04349	CAPO300413
OG0001756	HUMAN03565, HUMAN03566	CAPO301153
OG0001756	HUMAN27757, HUMAN27756, HUMAN27755	CAPO306605
OG0001769	HUMAN03651	CAPO300754
OG0001769	HUMAN08557, HUMAN08556, HUMAN08559	CAPO306748
OG0001770	HUMAN24382, HUMAN17425, HUMAN30193, HUMAN24381, HUMAN22894	CAPO304551
OG0001772	HUMAN02529, HUMAN08892	CAPO303731
OG0001774	HUMAN18619, HUMAN30515, HUMAN30516	CAPO302411
OG0001775	HUMAN14353	CAPO300385, CAPO303998
OG0001778	HUMAN08145, HUMAN08147, HUMAN08146	CAPO303585
OG0001781	HUMAN12741, HUMAN12740, HUMAN12739	CAPO304059
OG0001781	HUMAN24740	CAPO306335
OG0001782	HUMAN23640	CAPO302329
OG0001783	HUMAN10327, HUMAN10326	CAPO302497
OG0001787	HUMAN19491, HUMAN19493, HUMAN19494, HUMAN19492, HUMAN25152, HUMAN25151, HUMAN00492	CAPO302384
OG0001789	HUMAN19923, HUMAN12300	CAPO303597
OG0001792	HUMAN29333	CAPO305067
OG0001792	HUMAN15054	CAPO302146
OG0001793	HUMAN20623	CAPO302934
OG0001793	HUMAN05697	CAPO300098
OG0001794	HUMAN19680	CAPO305037
OG0001797	HUMAN22063	CAPO305230
OG0001799	HUMAN11851, HUMAN07342, HUMAN05015, HUMAN07343	CAPO307439
OG0001800	HUMAN21427, HUMAN21429, HUMAN21428, HUMAN02409, HUMAN07046	CAPO302099, CAPO301494
OG0001801	HUMAN01406, HUMAN04138, HUMAN27053, HUMAN01453	CAPO301631
OG0001801	HUMAN04141, HUMAN04140	CAPO300406, CAPO302328, CAPO300564
OG0001802	HUMAN10430, HUMAN10427, HUMAN10426	CAPO307992
OG0001804	HUMAN11697, HUMAN11700, HUMAN11696, HUMAN11695, HUMAN11698, HUMAN19866	CAPO307706
OG0001805	HUMAN06844, HUMAN04264, HUMAN06848	CAPO301307
OG0001807	HUMAN12665, HUMAN12666, HUMAN12667	CAPO305640
OG0001808	HUMAN22068, HUMAN01110	CAPO300354
OG0001809	HUMAN29140, HUMAN02152, HUMAN02151, HUMAN02153, HUMAN02155, HUMAN02158, HUMAN02157, HUMAN02156, HUMAN02154	CAPO307543
OG0001811	HUMAN17818, HUMAN13153, HUMAN06398	CAPO304043
OG0001814	HUMAN12655, HUMAN12657, HUMAN26160, HUMAN26161	CAPO305508
OG0001816	HUMAN23426, HUMAN01145, HUMAN23425, HUMAN01146, HUMAN01144, HUMAN23424	CAPO300431
OG0001818	HUMAN08932, HUMAN25133	CAPO302088
OG0001819	HUMAN26303, HUMAN26302, HUMAN17758	CAPO307172
OG0001820	HUMAN03193, HUMAN22655, HUMAN22654, HUMAN22657, HUMAN03192	CAPO300515
OG0001822	HUMAN20278, HUMAN04122, HUMAN02352, HUMAN02353, HUMAN04121	CAPO301119
OG0001825	HUMAN28268, HUMAN25258, HUMAN28269, HUMAN28270	CAPO306238
OG0001827	HUMAN29268, HUMAN29270	CAPO303060
OG0001828	HUMAN20552	CAPO305081
OG0001830	HUMAN13769, HUMAN16621	CAPO300316
OG0001831	HUMAN10191, HUMAN10190, HUMAN12366, HUMAN12368	CAPO306824
OG0001832	HUMAN10008, HUMAN10007, HUMAN01888, HUMAN10006	CAPO300612
OG0001834	HUMAN18097, HUMAN02973	CAPO301512
OG0001849	HUMAN06580, HUMAN06581, HUMAN06579, HUMAN06583, HUMAN06578	CAPO303014
OG0001850	HUMAN27413, HUMAN27412, HUMAN27410, HUMAN27411	CAPO301689
OG0001851	HUMAN21496	CAPO303828
OG0001852	HUMAN29789, HUMAN06720, HUMAN20898, HUMAN20900, HUMAN20899	CAPO303604
OG0001857	HUMAN16699, HUMAN28241	CAPO306766
OG0001859	HUMAN02067, HUMAN02068	CAPO304942
OG0001860	HUMAN03905, HUMAN03906, HUMAN03904, HUMAN16040	CAPO306960
OG0001861	HUMAN02516	CAPO303333
OG0001861	HUMAN02475	CAPO306489
OG0001863	HUMAN24744	CAPO307080
OG0001864	HUMAN13784, HUMAN13785, HUMAN19255	CAPO300448
OG0001866	HUMAN25781, HUMAN25782, HUMAN25780, HUMAN19444	CAPO306683
OG0001867	HUMAN13231, HUMAN25879, HUMAN25878, HUMAN13230	CAPO302026
OG0001870	HUMAN28292, HUMAN00640, HUMAN25247	CAPO303422
OG0001871	HUMAN07522, HUMAN27482	CAPO300664
OG0001873	HUMAN16810, HUMAN16807, HUMAN16808, HUMAN16809	CAPO305494
OG0001875	HUMAN17871	CAPO303129
OG0001875	HUMAN22698	CAPO300770
OG0001877	HUMAN08708, HUMAN25127, HUMAN02567	CAPO305419
OG0001878	HUMAN07553, HUMAN29985, HUMAN27457, HUMAN27458	CAPO300594
OG0001879	HUMAN07208	CAPO302675
OG0001879	HUMAN06063	CAPO304068
OG0001882	HUMAN12928, HUMAN17839	CAPO302587
OG0001883	HUMAN10705, HUMAN10706, HUMAN10704, HUMAN20116, HUMAN13322, HUMAN13323	CAPO304395
OG0001886	HUMAN29265, HUMAN01236	CAPO301013
OG0001888	HUMAN14663, HUMAN28454, HUMAN28455	CAPO307373
OG0001894	HUMAN24228, HUMAN24227, HUMAN24229, HUMAN03619	CAPO300859, CAPO305070, CAPO302912, CAPO302464, CAPO305462
OG0001895	HUMAN19223	CAPO300178
OG0001898	HUMAN15350, HUMAN09326	CAPO303887
OG0001900	HUMAN17169, HUMAN15354, HUMAN15355, HUMAN15353	CAPO306468, CAPO308362
OG0001901	HUMAN22953, HUMAN04090, HUMAN04089	CAPO302174
OG0001903	HUMAN25841, HUMAN25839, HUMAN25838, HUMAN25840	CAPO301651
OG0001913	HUMAN10068, HUMAN10067, HUMAN10069	CAPO308270
OG0001914	HUMAN25807, HUMAN25808, HUMAN10542, HUMAN10543	CAPO308187
OG0001915	HUMAN30648, HUMAN29662	CAPO305922
OG0001916	HUMAN08379, HUMAN08376, HUMAN08378, HUMAN15612	CAPO304398
OG0001917	HUMAN01077, HUMAN14777, HUMAN15018	CAPO303937
OG0001919	HUMAN03322	CAPO300799
OG0001923	HUMAN14644, HUMAN14642, HUMAN14921, HUMAN14920	CAPO300364
OG0001926	HUMAN01202	CAPO308203
OG0001927	HUMAN23857, HUMAN03418	CAPO303832
OG0001928	HUMAN25622	CAPO303627
OG0001930	HUMAN16720, HUMAN10045, HUMAN09875, HUMAN09876, HUMAN09873, HUMAN14916	CAPO301567
OG0001932	HUMAN21635, HUMAN29559	CAPO304653
OG0001935	HUMAN02626, HUMAN02627, HUMAN03611	CAPO301339
OG0001937	HUMAN21397	CAPO301986
OG0001939	HUMAN18875, HUMAN18876, HUMAN11453	CAPO304703
OG0001940	HUMAN07394, HUMAN07393	CAPO307447
OG0001941	HUMAN18090, HUMAN20811	CAPO303660
OG0001943	HUMAN30102, HUMAN30614, HUMAN13678, HUMAN18947, HUMAN18949, HUMAN18948, HUMAN13677	CAPO304272
OG0001945	HUMAN21241, HUMAN25293	CAPO302125, CAPO302413
OG0001947	HUMAN20996, HUMAN06249, HUMAN06248	CAPO306182
OG0001947	HUMAN20995	CAPO302176
OG0001948	HUMAN15430, HUMAN15431, HUMAN08601, HUMAN02652, HUMAN04901	CAPO307548
OG0001949	HUMAN12315, HUMAN07122, HUMAN12313, HUMAN12314	CAPO303945
OG0001951	HUMAN06387, HUMAN20627, HUMAN06388	CAPO305792
OG0001953	HUMAN12007, HUMAN12009, HUMAN10575, HUMAN12011, HUMAN12010, HUMAN12008, HUMAN10577, HUMAN10576, HUMAN10578, HUMAN10574	CAPO306993
OG0001956	HUMAN13997, HUMAN13995, HUMAN09517	CAPO302405
OG0001957	HUMAN04994, HUMAN12320, HUMAN12321, HUMAN07092, HUMAN07091	CAPO307027
OG0001961	HUMAN06222, HUMAN02307	CAPO301591
OG0001963	HUMAN01746, HUMAN09665, HUMAN28531	CAPO304559
OG0001964	HUMAN17471, HUMAN17608, HUMAN17469, HUMAN17470, HUMAN17482, HUMAN17490, HUMAN17609	CAPO306144
OG0001965	HUMAN13579, HUMAN13582, HUMAN13580, HUMAN13581, HUMAN13578, HUMAN13577	CAPO305377
OG0001966	HUMAN14884, HUMAN01261	CAPO308069
OG0001968	HUMAN03672, HUMAN29233	CAPO303436
OG0001969	HUMAN23666, HUMAN23664, HUMAN23665, HUMAN14220, HUMAN14219	CAPO301897
OG0001972	HUMAN00080, HUMAN00081	CAPO302726
OG0001985	HUMAN07334, HUMAN26445	CAPO307425
OG0001988	HUMAN28137, HUMAN28138, HUMAN28140, HUMAN28139	CAPO301454
OG0001989	HUMAN06979, HUMAN24933	CAPO303699
OG0001992	HUMAN25065, HUMAN25066, HUMAN09362	CAPO301694
OG0001994	HUMAN07229, HUMAN12231	CAPO307422
OG0001997	HUMAN08836, HUMAN08834, HUMAN08837, HUMAN00575	CAPO301018
OG0001998	HUMAN28974, HUMAN10909, HUMAN10908	CAPO304168
OG0001999	HUMAN25970, HUMAN04679	CAPO303159
OG0002000	HUMAN23473	CAPO305912
OG0002001	HUMAN06657	CAPO301730, CAPO305766
OG0002003	HUMAN09340, HUMAN17505, HUMAN09339, HUMAN09338	CAPO306645
OG0002004	HUMAN01800	CAPO305661, CAPO300359
OG0002006	HUMAN12661	CAPO302881
OG0002007	HUMAN22823, HUMAN03290	CAPO301764
OG0002009	HUMAN24651	CAPO304107
OG0002010	HUMAN20263, HUMAN13434, HUMAN13440, HUMAN10451, HUMAN10452, HUMAN13438, HUMAN13437	CAPO303286
OG0002011	HUMAN19203, HUMAN08184	CAPO305222
OG0002014	HUMAN01361, HUMAN26801, HUMAN26800, HUMAN26799, HUMAN01362, HUMAN21111	CAPO305309
OG0002015	HUMAN20193, HUMAN20194, HUMAN10277, HUMAN20192	CAPO304377
OG0002016	HUMAN22594, HUMAN22595, HUMAN24384, HUMAN03045	CAPO300736, CAPO303360
OG0002019	HUMAN23213, HUMAN12701, HUMAN12700	CAPO303943, CAPO301189
OG0002020	HUMAN24224, HUMAN24223, HUMAN03621	CAPO301809, CAPO306607
OG0002024	HUMAN02179, HUMAN02180, HUMAN29178, HUMAN29177, HUMAN29179	CAPO300776
OG0002025	HUMAN10728	CAPO301502
OG0002026	HUMAN30074, HUMAN07690	CAPO307889, CAPO306582
OG0002027	HUMAN07656, HUMAN07655, HUMAN21805	CAPO307021
OG0002029	HUMAN19340, HUMAN19571, HUMAN19572	CAPO303181
OG0002030	HUMAN01108, HUMAN14623, HUMAN14622, HUMAN14998, HUMAN28476	CAPO303987
OG0002031	HUMAN12775, HUMAN26512	CAPO300135
OG0002032	HUMAN05596, HUMAN05597	CAPO304689
OG0002034	HUMAN11051, HUMAN11052, HUMAN09233, HUMAN23167	CAPO306318
OG0002042	HUMAN03199, HUMAN03198, HUMAN03197	CAPO300525
OG0002043	HUMAN00470, HUMAN00469, HUMAN27809	CAPO306649
OG0002061	HUMAN27409, HUMAN03425, HUMAN27408	CAPO307339
OG0002062	HUMAN09834, HUMAN14941, HUMAN14940	CAPO301382
OG0002063	HUMAN28682	CAPO302417
OG0002066	HUMAN16636, HUMAN28236	CAPO300576
OG0002067	HUMAN10471, HUMAN27448, HUMAN27449, HUMAN10470, HUMAN05101, HUMAN05100, HUMAN05102, HUMAN27447, HUMAN27451, HUMAN27446, HUMAN10469	CAPO302721
OG0002068	HUMAN15824, HUMAN15821, HUMAN15825, HUMAN15822, HUMAN08936, HUMAN15827, HUMAN15826, HUMAN08934, HUMAN08935, HUMAN08933, HUMAN15823	CAPO303650
OG0002069	HUMAN28251, HUMAN28252, HUMAN28249, HUMAN18933, HUMAN18934, HUMAN28250	CAPO306402
OG0002073	HUMAN23862, HUMAN23861, HUMAN20828, HUMAN18650	CAPO302333
OG0002074	HUMAN27012	CAPO304152
OG0002076	HUMAN06613, HUMAN20823	CAPO303117
OG0002078	HUMAN13179	CAPO302217
OG0002080	HUMAN07100, HUMAN12467	CAPO307474, CAPO307552
OG0002081	HUMAN07746	CAPO300584
OG0002084	HUMAN03437, HUMAN03435, HUMAN03436, HUMAN17130, HUMAN17131	CAPO300150
OG0002087	HUMAN29203	CAPO306536
OG0002093	HUMAN25025	CAPO304254
OG0002094	HUMAN20985	CAPO303399
OG0002097	HUMAN22005, HUMAN29689, HUMAN22006, HUMAN22007	CAPO302111
OG0002099	HUMAN18988	CAPO306675
OG0002101	HUMAN28559, HUMAN28561, HUMAN28560, HUMAN28558	CAPO307803
OG0002103	HUMAN04751, HUMAN30155, HUMAN30139, HUMAN30145, HUMAN30144	CAPO305235
OG0002106	HUMAN23038	CAPO300071
OG0002108	HUMAN17009, HUMAN25939, HUMAN08879	CAPO303834
OG0002122	HUMAN09148, HUMAN24144, HUMAN09147, HUMAN09151	CAPO300191
OG0002124	HUMAN28973	CAPO300980
OG0002129	HUMAN05263, HUMAN19676, HUMAN30581, HUMAN22903, HUMAN22904	CAPO305068
OG0002130	HUMAN16683	CAPO301943
OG0002131	HUMAN28897, HUMAN28898	CAPO302159
OG0002135	HUMAN00505, HUMAN01477, HUMAN25525	CAPO300616, CAPO300802
OG0002136	HUMAN24058, HUMAN22755, HUMAN03530, HUMAN03529	CAPO300292
OG0002137	HUMAN16869, HUMAN21685	CAPO306593
OG0002138	HUMAN06987, HUMAN06986	CAPO304101
OG0002140	HUMAN25637, HUMAN25635, HUMAN27866, HUMAN27867, HUMAN27865, HUMAN25636	CAPO300489
OG0002141	HUMAN07727, HUMAN22320, HUMAN22319	CAPO300491
OG0002144	HUMAN07163, HUMAN10788, HUMAN10789, HUMAN07164, HUMAN07161	CAPO308205
OG0002145	HUMAN06915, HUMAN06914	CAPO305963
OG0002146	HUMAN26928, HUMAN20884	CAPO303694
OG0002147	HUMAN21834, HUMAN21835, HUMAN21833	CAPO307247
OG0002148	HUMAN09309, HUMAN16972	CAPO301311
OG0002150	HUMAN23646, HUMAN10063	CAPO305991
OG0002151	HUMAN13474, HUMAN13473	CAPO300513
OG0002152	HUMAN29898, HUMAN29896, HUMAN06918, HUMAN24926	CAPO305214
OG0002156	HUMAN23074	CAPO307789
OG0002158	HUMAN24486, HUMAN24482, HUMAN24481, HUMAN24484, HUMAN24483	CAPO300426
OG0002159	HUMAN04258, HUMAN16343	CAPO301618
OG0002160	HUMAN30547, HUMAN30546, HUMAN08352, HUMAN30545, HUMAN30548, HUMAN30549, HUMAN30550	CAPO306354
OG0002166	HUMAN07297, HUMAN26751, HUMAN10918, HUMAN10916	CAPO300536
OG0002168	HUMAN28277, HUMAN28276, HUMAN28275, HUMAN17195	CAPO305846
OG0002169	HUMAN17132, HUMAN03434	CAPO305188, CAPO305186
OG0002170	HUMAN23741, HUMAN16364	CAPO306065
OG0002171	HUMAN18925, HUMAN08132, HUMAN18929	CAPO300657
OG0002172	HUMAN05082, HUMAN21374, HUMAN21373	CAPO300117
OG0002173	HUMAN23179, HUMAN01775, HUMAN09844, HUMAN09843	CAPO300163
OG0002177	HUMAN15512, HUMAN25741, HUMAN08516	CAPO303715
OG0002178	HUMAN24840	CAPO300762
OG0002179	HUMAN25017, HUMAN25015, HUMAN25016	CAPO301344
OG0002182	HUMAN26866, HUMAN01426, HUMAN26865, HUMAN26864	CAPO300304
OG0002184	HUMAN23481, HUMAN14768	CAPO302808
OG0002185	HUMAN11287, HUMAN11285, HUMAN11271	CAPO306894
OG0002187	HUMAN29354	CAPO303260
OG0002188	HUMAN18175	CAPO307308
OG0002189	HUMAN09640	CAPO302919, CAPO302901
OG0002190	HUMAN15760, HUMAN05616, HUMAN21255, HUMAN21256	CAPO305794
OG0002191	HUMAN20700, HUMAN06414, HUMAN17809	CAPO306349
OG0002193	HUMAN00932	CAPO307827, CAPO303661
OG0002194	HUMAN19741, HUMAN19740, HUMAN05114, HUMAN19742	CAPO306073
OG0002199	HUMAN03853, HUMAN05772, HUMAN05773	CAPO306236, CAPO308165
OG0002201	HUMAN11420, HUMAN11419, HUMAN11421, HUMAN24520	CAPO305256
OG0002202	HUMAN08958	CAPO305145
OG0002216	HUMAN26776	CAPO308083
OG0002217	HUMAN18668, HUMAN18667	CAPO303403
OG0002219	HUMAN16735, HUMAN16736, HUMAN16734	CAPO301953
OG0002222	HUMAN18518	CAPO300961
OG0002224	HUMAN03121, HUMAN26274	CAPO304952
OG0002225	HUMAN15442, HUMAN15441, HUMAN04945, HUMAN04946	CAPO301769
OG0002226	HUMAN14861, HUMAN14859, HUMAN22446	CAPO307804
OG0002227	HUMAN28363, HUMAN28362, HUMAN28361	CAPO307820, CAPO307799
OG0002228	HUMAN13403, HUMAN15939	CAPO301630, CAPO300068
OG0002229	HUMAN19714	CAPO308040
OG0002235	HUMAN17190, HUMAN24315, HUMAN24316, HUMAN27517	CAPO303035
OG0002237	HUMAN00596, HUMAN05367, HUMAN25446	CAPO306506
OG0002239	HUMAN01599	CAPO303809
OG0002239	HUMAN10125, HUMAN23236	CAPO301966
OG0002240	HUMAN21965, HUMAN21964, HUMAN21963	CAPO306707
OG0002241	HUMAN20013, HUMAN24854, HUMAN20014	CAPO303979
OG0002243	HUMAN24387, HUMAN17085	CAPO301335, CAPO300484
OG0002244	HUMAN30021, HUMAN30020, HUMAN28593	CAPO303840
OG0002245	HUMAN12770, HUMAN05328	CAPO302737
OG0002246	HUMAN09200, HUMAN01582, HUMAN23227, HUMAN23228	CAPO301929
OG0002251	HUMAN22625, HUMAN27738	CAPO302537
OG0002252	HUMAN06074, HUMAN13562, HUMAN13563, HUMAN13561, HUMAN10150, HUMAN10149	CAPO304306
OG0002255	HUMAN15235, HUMAN15234, HUMAN19154	CAPO301475, CAPO302337
OG0002257	HUMAN16801, HUMAN09320, HUMAN16802	CAPO303721
OG0002258	HUMAN22190	CAPO302229
OG0002261	HUMAN26610, HUMAN26609	CAPO303559
OG0002263	HUMAN21617	CAPO304694
OG0002264	HUMAN30321, HUMAN00757	CAPO304810
OG0002266	HUMAN13024, HUMAN13023, HUMAN13025	CAPO307392
OG0002270	HUMAN17941, HUMAN20351	CAPO302042
OG0002272	HUMAN28420	CAPO301905
OG0002279	HUMAN07773, HUMAN17618	CAPO304874
OG0002282	HUMAN14852, HUMAN24776, HUMAN24779, HUMAN24778, HUMAN24777	CAPO300014
OG0002284	HUMAN28860, HUMAN01016	CAPO304167
OG0002285	HUMAN26249, HUMAN26250, HUMAN26248, HUMAN26247, HUMAN03480	CAPO305012
OG0002287	HUMAN19237, HUMAN13819, HUMAN19236	CAPO306430
OG0002288	HUMAN22780, HUMAN23814	CAPO306855
OG0002292	HUMAN20567	CAPO308118, CAPO308288
OG0002292	HUMAN04304	CAPO301471
OG0002293	HUMAN25669, HUMAN29640, HUMAN00645, HUMAN25668	CAPO302207
OG0002294	HUMAN28915, HUMAN01132	CAPO300522
OG0002296	HUMAN03478, HUMAN03479	CAPO307746
OG0002297	HUMAN00943	CAPO307845
OG0002312	HUMAN03791, HUMAN24016	CAPO305339
OG0002316	HUMAN00675, HUMAN00674, HUMAN29642, HUMAN29641	CAPO302192
OG0002317	HUMAN08597, HUMAN15545, HUMAN02658, HUMAN04899	CAPO301129
OG0002318	HUMAN14764	CAPO302292
OG0002321	HUMAN17177	CAPO300390
OG0002322	HUMAN10133, HUMAN13407, HUMAN13408	CAPO300979
OG0002323	HUMAN26717, HUMAN26716	CAPO308299
OG0002324	HUMAN26593	CAPO301866
OG0002325	HUMAN15321, HUMAN15322, HUMAN19341, HUMAN19574	CAPO300458
OG0002326	HUMAN08506, HUMAN25742	CAPO302239
OG0002327	HUMAN30541, HUMAN23011, HUMAN21036, HUMAN30542	CAPO302954
OG0002330	HUMAN19770, HUMAN11705, HUMAN11704	CAPO300172
OG0002331	HUMAN19166, HUMAN14100, HUMAN14101	CAPO302246
OG0002332	HUMAN22581, HUMAN17089, HUMAN17088	CAPO300761
OG0002337	HUMAN07216, HUMAN13125, HUMAN07217	CAPO307155
OG0002340	HUMAN27845, HUMAN27848, HUMAN07989, HUMAN27846	CAPO307906
OG0002341	HUMAN03984	CAPO300617
OG0002343	HUMAN03892, HUMAN19683	CAPO303889
OG0002344	HUMAN11772, HUMAN07290, HUMAN07289	CAPO307434
OG0002345	HUMAN04408, HUMAN20313, HUMAN04406, HUMAN04409, HUMAN04407	CAPO304277
OG0002346	HUMAN20281, HUMAN04431, HUMAN04432	CAPO307106
OG0002348	HUMAN08458, HUMAN04091	CAPO302095
OG0002354	HUMAN13758, HUMAN19183, HUMAN19184	CAPO306383
OG0002356	HUMAN05813, HUMAN16034	CAPO305051
OG0002357	HUMAN25726	CAPO302341
OG0002358	HUMAN02384, HUMAN06090, HUMAN04218, HUMAN02383	CAPO307788
OG0002359	HUMAN09276, HUMAN09278, HUMAN09279, HUMAN09277	CAPO302128
OG0002361	HUMAN18700, HUMAN08727	CAPO304727
OG0002362	HUMAN14238, HUMAN28776, HUMAN09925, HUMAN14237	CAPO301902
OG0002363	HUMAN10308, HUMAN13337	CAPO302980
OG0002364	HUMAN11399, HUMAN11400	CAPO306488
OG0002367	HUMAN23440, HUMAN23441	CAPO304316
