Orthogroup	HUMAN	CAPO3
OG0000023	HUMAN03767, HUMAN05402, HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367, HUMAN12427, HUMAN06585, HUMAN06584, HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403, HUMAN11130	CAPO307690
OG0000029	HUMAN15611, HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029, HUMAN24898, HUMAN21852, HUMAN17820, HUMAN02270, HUMAN21749, HUMAN19538	CAPO307131
OG0000030	HUMAN23235, HUMAN23234, HUMAN23233, HUMAN23232	CAPO300110
OG0000030	HUMAN01740, HUMAN28679, HUMAN11978, HUMAN30219, HUMAN06064	CAPO305356, CAPO301638, CAPO307563
OG0000031	HUMAN26979, HUMAN14235	CAPO308265, CAPO303729, CAPO307573
OG0000031	HUMAN21432	CAPO302122
OG0000035	HUMAN06576, HUMAN09866, HUMAN06191, HUMAN03898, HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810, HUMAN06812, HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844, HUMAN04381, HUMAN04382, HUMAN04383, HUMAN06190	CAPO307346, CAPO308354
OG0000039	HUMAN02107, HUMAN02110, HUMAN02111	CAPO306958, CAPO306959
OG0000041	HUMAN01392, HUMAN16072, HUMAN04227, HUMAN06826, HUMAN01391, HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298, HUMAN19139, HUMAN27913, HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052	CAPO308025, CAPO306861
OG0000043	HUMAN30603, HUMAN30589, HUMAN30600	CAPO301478, CAPO305172
OG0000043	HUMAN05606, HUMAN01578, HUMAN24593, HUMAN24614, HUMAN02615, HUMAN24624, HUMAN24606, HUMAN01573, HUMAN01572, HUMAN24670, HUMAN24647, HUMAN24664, HUMAN24665, HUMAN24657, HUMAN24659, HUMAN24650, HUMAN24619, HUMAN01577, HUMAN06066	CAPO308256
OG0000048	HUMAN29550	CAPO305301
OG0000048	HUMAN11449	CAPO304823
OG0000049	HUMAN25699, HUMAN05316, HUMAN20965, HUMAN26499, HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433, HUMAN05318, HUMAN05317, HUMAN26500, HUMAN26913	CAPO304018
OG0000051	HUMAN22678, HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	CAPO307809, CAPO301249
OG0000054	HUMAN23119	CAPO302015
OG0000054	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964, HUMAN14898, HUMAN14897, HUMAN14905, HUMAN14906, HUMAN14899, HUMAN14896, HUMAN14895	CAPO303797
OG0000056	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194, HUMAN07396, HUMAN07395, HUMAN14865	CAPO305974, CAPO306012, CAPO306941
OG0000058	HUMAN21777, HUMAN00114, HUMAN30319, HUMAN14551, HUMAN17378, HUMAN03592	CAPO305595
OG0000058	HUMAN23378	CAPO307225
OG0000060	HUMAN25284, HUMAN24595, HUMAN24596, HUMAN24599, HUMAN24598, HUMAN24597, HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988	CAPO305373
OG0000062	HUMAN29104, HUMAN14474, HUMAN24841, HUMAN24843, HUMAN05951, HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195, HUMAN25285	CAPO300910
OG0000063	HUMAN14398, HUMAN28499, HUMAN00858, HUMAN21099, HUMAN00859, HUMAN28501, HUMAN18628, HUMAN03783, HUMAN03782	CAPO300270
OG0000066	HUMAN29798	CAPO308057
OG0000069	HUMAN13360, HUMAN02573, HUMAN06204	CAPO301523, CAPO305173
OG0000079	HUMAN14194, HUMAN14192	CAPO302518
OG0000082	HUMAN29167	CAPO304738
OG0000082	HUMAN23869	CAPO306626
OG0000082	HUMAN24823, HUMAN24822, HUMAN24821, HUMAN02032, HUMAN08513, HUMAN05645	CAPO300843
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	CAPO303061
OG0000085	HUMAN13119, HUMAN07215, HUMAN10861, HUMAN26172, HUMAN30084, HUMAN01484, HUMAN25335, HUMAN25334, HUMAN19734, HUMAN19733, HUMAN05027, HUMAN07214, HUMAN13120, HUMAN25832, HUMAN02095, HUMAN02096	CAPO303047
OG0000089	HUMAN21235, HUMAN29653, HUMAN25674, HUMAN25675	CAPO300386, CAPO300810, CAPO302098
OG0000096	HUMAN01418, HUMAN23507, HUMAN06774	CAPO301431
OG0000096	HUMAN06336, HUMAN27289	CAPO307955
OG0000096	HUMAN13889, HUMAN01832	CAPO307522
OG0000096	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866	CAPO300294
OG0000096	HUMAN04200, HUMAN04201, HUMAN16028, HUMAN21561	CAPO307017
OG0000101	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478, HUMAN22036, HUMAN22037, HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830	CAPO306858
OG0000103	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888, HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080	CAPO302453
OG0000106	HUMAN01590, HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978, HUMAN27844, HUMAN13103, HUMAN13104, HUMAN13105, HUMAN01589, HUMAN09602	CAPO300017
OG0000107	HUMAN24662	CAPO301524
OG0000110	HUMAN07521, HUMAN12253, HUMAN12252	CAPO300387
OG0000116	HUMAN18678	CAPO305622
OG0000119	HUMAN12951	CAPO301188, CAPO306668
OG0000119	HUMAN17875, HUMAN06568, HUMAN12949, HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779, HUMAN17940, HUMAN20669, HUMAN06569	CAPO304642
OG0000122	HUMAN12772, HUMAN27264, HUMAN18288, HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427	CAPO307824
OG0000124	HUMAN00442, HUMAN00443	CAPO302553
OG0000126	HUMAN22360, HUMAN22375, HUMAN24176, HUMAN09168	CAPO301836
OG0000126	HUMAN07866, HUMAN30407, HUMAN21845	CAPO302484
OG0000126	HUMAN07493, HUMAN22359, HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480	CAPO300572
OG0000128	HUMAN04854, HUMAN04855, HUMAN04482, HUMAN05330, HUMAN05329	CAPO306991, CAPO304956
OG0000129	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344, HUMAN16815, HUMAN16811, HUMAN05233, HUMAN30228, HUMAN18494, HUMAN18495	CAPO303361
OG0000137	HUMAN28180, HUMAN25590, HUMAN25594, HUMAN23088, HUMAN13481, HUMAN25150, HUMAN25149	CAPO305369
OG0000142	HUMAN02794, HUMAN11653, HUMAN13737, HUMAN29488, HUMAN14465, HUMAN24745, HUMAN24431, HUMAN24432, HUMAN19224	CAPO302031, CAPO302030
OG0000147	HUMAN24559, HUMAN27635	CAPO308132
OG0000147	HUMAN18714, HUMAN18712	CAPO304230
OG0000149	HUMAN23614, HUMAN23616, HUMAN23619, HUMAN10034, HUMAN23690, HUMAN22790	CAPO305206, CAPO306214
OG0000157	HUMAN28808, HUMAN14307, HUMAN14308, HUMAN28807, HUMAN14310	CAPO305956
OG0000157	HUMAN01369, HUMAN20932, HUMAN26487, HUMAN19863, HUMAN20935, HUMAN26485, HUMAN01368, HUMAN11058, HUMAN11059	CAPO305824
OG0000158	HUMAN02259, HUMAN02258	CAPO302924
OG0000160	HUMAN18884, HUMAN18883	CAPO301680
OG0000167	HUMAN19292, HUMAN19291, HUMAN00657, HUMAN00658, HUMAN18828, HUMAN27819, HUMAN27432, HUMAN00659, HUMAN00656, HUMAN25481, HUMAN00574, HUMAN18970, HUMAN13661, HUMAN25492	CAPO301364, CAPO303476
OG0000171	HUMAN23028, HUMAN22194, HUMAN26251, HUMAN03748, HUMAN18622, HUMAN03747, HUMAN26252, HUMAN12335, HUMAN06783, HUMAN06782, HUMAN03531, HUMAN22193, HUMAN23027	CAPO304813
OG0000174	HUMAN28400, HUMAN02927, HUMAN27541, HUMAN27540, HUMAN22731, HUMAN13871, HUMAN18009	CAPO304629
OG0000175	HUMAN27828, HUMAN27827	CAPO303513
OG0000175	HUMAN00274	CAPO303920
OG0000179	HUMAN03338	CAPO300694
OG0000179	HUMAN23712, HUMAN09621	CAPO303342
OG0000181	HUMAN06327, HUMAN02594	CAPO301108
OG0000181	HUMAN26916, HUMAN21065	CAPO302034
OG0000181	HUMAN07664, HUMAN21747	CAPO307692
OG0000181	HUMAN08369	CAPO300374
OG0000183	HUMAN15779, HUMAN08957, HUMAN04785, HUMAN02522	CAPO305638
