Orthogroup	APOSC_ok	STRPU_ok
OG0000017	APOSC_16019	STRPU_07242, STRPU_06186
OG0000017	APOSC_28296	STRPU_09345, STRPU_15645, STRPU_16606
OG0000017	APOSC_22083, APOSC_26544	STRPU_07365, STRPU_21602, STRPU_02591, STRPU_21499, STRPU_05279, STRPU_11947, STRPU_09821, STRPU_09502, STRPU_04559, STRPU_12605, STRPU_18356, STRPU_06474, STRPU_10720, STRPU_15670, STRPU_16836, STRPU_10719
OG0000017	APOSC_02943	STRPU_03647, STRPU_16727, STRPU_02546, STRPU_25300, STRPU_26746, STRPU_14779, STRPU_14777
OG0000017	APOSC_15991, APOSC_14206, APOSC_06737	STRPU_04020, STRPU_04133
OG0000017	APOSC_16567	STRPU_04021
OG0000017	APOSC_22360	STRPU_03902, STRPU_16459, STRPU_03570, STRPU_12313, STRPU_03243, STRPU_08248, STRPU_00491, STRPU_10677, STRPU_20978, STRPU_15661, STRPU_23626, STRPU_03877, STRPU_15842, STRPU_03876, STRPU_03569, STRPU_11160, STRPU_00513, STRPU_20404, STRPU_11779, STRPU_02604, STRPU_14263, STRPU_23627, STRPU_03875, STRPU_15841, STRPU_00925
OG0000017	APOSC_27877, APOSC_17687, APOSC_06955, APOSC_23186	STRPU_22904, STRPU_09791, STRPU_16605, STRPU_08988, STRPU_08586, STRPU_11525
OG0000019	APOSC_15479	STRPU_27424, STRPU_27423, STRPU_27421, STRPU_27422
OG0000019	APOSC_21840	STRPU_27112, STRPU_27113
OG0000019	APOSC_11237	STRPU_18936
OG0000019	APOSC_15494	STRPU_04750
OG0000019	APOSC_14801, APOSC_11507	STRPU_23414, STRPU_01023
OG0000019	APOSC_10943, APOSC_07328, APOSC_07329, APOSC_13030, APOSC_10924, APOSC_18630, APOSC_20315	STRPU_07346, STRPU_07741, STRPU_13585, STRPU_01603, STRPU_05485, STRPU_05487, STRPU_05486, STRPU_05488, STRPU_05444, STRPU_12138, STRPU_12181, STRPU_01261, STRPU_18209, STRPU_01263, STRPU_18207, STRPU_18206
OG0000020	APOSC_14708	STRPU_13949
OG0000020	APOSC_13376	STRPU_20580
OG0000020	APOSC_27693	STRPU_01068, STRPU_24239
OG0000020	APOSC_28648	STRPU_19028, STRPU_00464
OG0000020	APOSC_26550	STRPU_06549
OG0000020	APOSC_09964	STRPU_22232
OG0000020	APOSC_00691	STRPU_19861, STRPU_19888
OG0000020	APOSC_03094	STRPU_05007
OG0000020	APOSC_05461	STRPU_04309, STRPU_04336
OG0000020	APOSC_07853	STRPU_13832
OG0000020	APOSC_14067	STRPU_05521
OG0000020	APOSC_25230	STRPU_21977
OG0000021	APOSC_23251, APOSC_13950, APOSC_23254, APOSC_23253	STRPU_22366, STRPU_22365
OG0000021	APOSC_11990	STRPU_23367
OG0000021	APOSC_13612	STRPU_21162, STRPU_21171, STRPU_21172, STRPU_13957, STRPU_27306, STRPU_06572
OG0000021	APOSC_02202	STRPU_02205, STRPU_15603
OG0000021	APOSC_26674	STRPU_02204, STRPU_15604
OG0000021	APOSC_27384	STRPU_02212, STRPU_15595
OG0000021	APOSC_09814	STRPU_05427
OG0000021	APOSC_03399	STRPU_18709
OG0000021	APOSC_23486, APOSC_20200	STRPU_19932, STRPU_02595
OG0000021	APOSC_20201	STRPU_19514, STRPU_20213
OG0000021	APOSC_04995, APOSC_08508, APOSC_08509	STRPU_05298
OG0000021	APOSC_11901, APOSC_23082	STRPU_05227
OG0000023	APOSC_14758	STRPU_09714, STRPU_09758
OG0000023	APOSC_18948, APOSC_18947	STRPU_09970
OG0000023	APOSC_12992	STRPU_05490
OG0000023	APOSC_08983, APOSC_08982	STRPU_14357
OG0000023	APOSC_21557	STRPU_08363
OG0000023	APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870	STRPU_04156, STRPU_04890, STRPU_04760, STRPU_04888, STRPU_04889, STRPU_04887, STRPU_09969, STRPU_09989, STRPU_09988, STRPU_09968, STRPU_09990
OG0000023	APOSC_12268	STRPU_15044
OG0000023	APOSC_15754, APOSC_15753	STRPU_02240, STRPU_15564, STRPU_02241, STRPU_15563
OG0000023	APOSC_23115	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748
OG0000024	APOSC_07572	STRPU_03150
OG0000024	APOSC_01461, APOSC_26217, APOSC_01854, APOSC_01855, APOSC_18488, APOSC_05397, APOSC_28827, APOSC_12673, APOSC_17746, APOSC_17532, APOSC_17533, APOSC_28434, APOSC_09826, APOSC_02940, APOSC_15787, APOSC_15998, APOSC_01155	STRPU_14183, STRPU_00265
OG0000024	APOSC_26603, APOSC_13066, APOSC_21939, APOSC_21316	STRPU_07747
OG0000024	APOSC_23812	STRPU_07586
OG0000024	APOSC_21649	STRPU_06674, STRPU_07186, STRPU_02857
OG0000024	APOSC_21398	STRPU_18887
OG0000025	APOSC_07695, APOSC_28723, APOSC_05951, APOSC_03667, APOSC_14715, APOSC_08289, APOSC_16063, APOSC_22831, APOSC_28153, APOSC_04066, APOSC_17917, APOSC_10185	STRPU_09349
OG0000025	APOSC_25716	STRPU_08707
OG0000026	APOSC_25312	STRPU_24999
