Orthogroup	APOSC_ok	OWEFU
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431	OFUSG07929.1.p1
OG0000006	APOSC_25251, APOSC_25252	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	APOSC_19228	OFUSG10782.1.p1
OG0000006	APOSC_11581	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	APOSC_02745	OFUSG18090.1.p1
OG0000006	APOSC_10711	OFUSG08659.1.p1
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	APOSC_06790, APOSC_06791	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	APOSC_23470	OFUSG05485.1.p1
OG0000007	APOSC_19545	OFUSG09476.1.p1
OG0000007	APOSC_11262	OFUSG21527.1.p1
OG0000007	APOSC_11791	OFUSG09642.1.p1, OFUSG09693.1.p1
OG0000007	APOSC_29119	OFUSG13716.1.p1
OG0000007	APOSC_11745	OFUSG05364.1.p1
OG0000007	APOSC_20868	OFUSG04867.2.p1, OFUSG04867.1.p1
OG0000007	APOSC_21514	OFUSG23111.1.p1
OG0000007	APOSC_25152	OFUSG04768.1.p1
OG0000007	APOSC_15698	OFUSG08948.1.p1
OG0000007	APOSC_04562	OFUSG25429.1.p1
OG0000007	APOSC_09541, APOSC_09542	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	APOSC_10715	OFUSG10613.1.p1
OG0000007	APOSC_17950	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	APOSC_07482	OFUSG25241.1.p1
OG0000008	APOSC_02254, APOSC_22517	OFUSG25732.1.p1
OG0000008	APOSC_12318	OFUSG14096.1.p1
OG0000008	APOSC_29142	OFUSG20435.1.p1
OG0000008	APOSC_05395	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1
OG0000008	APOSC_25161	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1
OG0000010	APOSC_17642	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1
OG0000010	APOSC_12174	OFUSG05937.1.p1
OG0000012	APOSC_26906, APOSC_13089	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	APOSC_26545	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000012	APOSC_14826	OFUSG13750.1.p1, OFUSG26096.1.p1
OG0000013	APOSC_26024, APOSC_17612	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1
OG0000014	APOSC_12674, APOSC_23467, APOSC_12182, APOSC_12181, APOSC_04687, APOSC_28041, APOSC_18468, APOSC_13472	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
