Orthogroup	APOSC_ok	BRALA
OG0000001	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025, APOSC_02499, APOSC_01751, APOSC_07766	BRALA19588, BRALA19586
OG0000002	APOSC_17563	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586
OG0000002	APOSC_09040, APOSC_26016	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192
OG0000002	APOSC_26642	BRALA20754
OG0000002	APOSC_19154	BRALA27121
OG0000003	APOSC_09420	BRALA32340, BRALA28950
OG0000003	APOSC_06907, APOSC_24394	BRALA27165
OG0000003	APOSC_02274	BRALA34993, BRALA18601
OG0000003	APOSC_01247, APOSC_01039	BRALA05750
OG0000003	APOSC_20058	BRALA30232, BRALA07610
OG0000003	APOSC_22836	BRALA24754
OG0000003	APOSC_05500	BRALA31768, BRALA11276
OG0000003	APOSC_20479	BRALA02711, BRALA07070, BRALA31766, BRALA29565, BRALA07069, BRALA20351
OG0000003	APOSC_03822	BRALA14502
OG0000003	APOSC_06472	BRALA01914, BRALA01313, BRALA17936, BRALA23610
OG0000004	APOSC_03634	BRALA09016
OG0000004	APOSC_06431, APOSC_27025	BRALA16167
OG0000004	APOSC_21785	BRALA27667
OG0000004	APOSC_18755	BRALA08526
OG0000004	APOSC_02487, APOSC_00158	BRALA03961
OG0000005	APOSC_24691	BRALA25414, BRALA34368
OG0000005	APOSC_28430, APOSC_12554	BRALA00382
OG0000005	APOSC_26754	BRALA31589
OG0000005	APOSC_15445, APOSC_13185, APOSC_03153	BRALA15287
OG0000006	APOSC_21099	BRALA07705
OG0000006	APOSC_10640	BRALA06686
OG0000006	APOSC_17637	BRALA19242
OG0000006	APOSC_08216	BRALA06109
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431	BRALA07568, BRALA29276
OG0000006	APOSC_25251, APOSC_25252	BRALA22280
OG0000006	APOSC_19228	BRALA06185
OG0000006	APOSC_11581	BRALA17603
