Orthogroup	APOSC_ok	PFLAV
OG0000001	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025, APOSC_02499, APOSC_01751, APOSC_07766	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1
OG0000002	APOSC_17563	TCONS_00010137.p1
OG0000002	APOSC_00935	TCONS_00028990.p1, TCONS_00028992.p1
OG0000002	APOSC_18975, APOSC_26427, APOSC_18610, APOSC_20563, APOSC_04905	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1
OG0000002	APOSC_26642	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
OG0000002	APOSC_19154	TCONS_00048938.p1
OG0000003	APOSC_22070, APOSC_13273, APOSC_13272	TCONS_00052987.p1
OG0000003	APOSC_21853	TCONS_00043593.p1
OG0000003	APOSC_21855	TCONS_00012459.p1
OG0000003	APOSC_06907, APOSC_24394	TCONS_00053405.p1
OG0000003	APOSC_08634	TCONS_00013647.p1
OG0000003	APOSC_17084	TCONS_00013600.p1
OG0000003	APOSC_20058	TCONS_00031472.p1
OG0000003	APOSC_22147	TCONS_00006180.p1
OG0000003	APOSC_05500	TCONS_00005704.p1
OG0000003	APOSC_06472	TCONS_00013648.p1, TCONS_00013356.p1
OG0000004	APOSC_21785	TCONS_00030290.p1
OG0000004	APOSC_15566, APOSC_24597	TCONS_00015076.p1
OG0000004	APOSC_18755	TCONS_00028773.p1
OG0000005	APOSC_24691	TCONS_00020907.p1
OG0000005	APOSC_28430, APOSC_12554	TCONS_00033021.p1
