Orthogroup	APOSC_ok	DROME
OG0000008	APOSC_03242, APOSC_29070, APOSC_27667, APOSC_17515, APOSC_10880, APOSC_20061, APOSC_27050, APOSC_00282, APOSC_13323, APOSC_01481, APOSC_20641	DROME12246
OG0000008	APOSC_25161	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
OG0000010	APOSC_25939	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325
OG0000012	APOSC_26906, APOSC_13089	DROME14687, DROME14686
OG0000014	APOSC_12674, APOSC_23467, APOSC_12182, APOSC_12181, APOSC_04687, APOSC_28041, APOSC_18468, APOSC_13472	DROME05409, DROME03987
OG0000014	APOSC_00187	DROME14595, DROME14594
OG0000015	APOSC_28752	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329
OG0000015	APOSC_04279	DROME11913, DROME20981, DROME20982
OG0000016	APOSC_09217, APOSC_09216	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	APOSC_14883	DROME01609
OG0000020	APOSC_14708	DROME22108
OG0000020	APOSC_13376, APOSC_27693, APOSC_28648	DROME02490
OG0000020	APOSC_00691	DROME11466, DROME11467
OG0000020	APOSC_03094	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	APOSC_05461	DROME03151, DROME03150
OG0000020	APOSC_25230	DROME14454, DROME14455
OG0000021	APOSC_11990	DROME18320, DROME18321
OG0000021	APOSC_02202	DROME08269
OG0000021	APOSC_27384	DROME00802, DROME00801
OG0000021	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614	DROME08091
OG0000023	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982	DROME04919, DROME04917, DROME04918
OG0000023	APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343
OG0000028	APOSC_18684	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	APOSC_17838, APOSC_17839	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000029	APOSC_07574, APOSC_20436	DROME19091
OG0000030	APOSC_06833, APOSC_14874, APOSC_04381	DROME12966
OG0000030	APOSC_23944, APOSC_11647, APOSC_21982	DROME07429, DROME07428
OG0000030	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867	DROME15149
OG0000030	APOSC_18052, APOSC_19478	DROME11112, DROME11110, DROME11113, DROME11111
OG0000030	APOSC_12431, APOSC_12430	DROME12173, DROME12176
OG0000030	APOSC_25084, APOSC_18736, APOSC_12149	DROME06898
OG0000031	APOSC_14687	DROME19945
OG0000031	APOSC_14535	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	APOSC_17680	DROME09230
OG0000031	APOSC_02579	DROME05246
OG0000031	APOSC_06756, APOSC_06755	DROME16481
OG0000032	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044	DROME02386
OG0000032	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726	DROME01213
OG0000034	APOSC_28767, APOSC_28766	DROME20092, DROME20090, DROME20091
OG0000034	APOSC_00389	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	APOSC_10138	DROME13496
OG0000034	APOSC_10830	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	APOSC_00072	DROME03104, DROME03105
OG0000034	APOSC_15909	DROME20524
OG0000034	APOSC_25715	DROME11310, DROME11311
OG0000035	APOSC_21179	DROME11928
OG0000035	APOSC_27035	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	APOSC_25573	DROME19358, DROME19359
OG0000035	APOSC_08656, APOSC_21135, APOSC_21136	DROME17164, DROME17163
OG0000036	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667	DROME02324, DROME17378, DROME11305
OG0000036	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	APOSC_09580, APOSC_09579	DROME08695, DROME15640, DROME04516
OG0000038	APOSC_23718	DROME15543
OG0000038	APOSC_26556, APOSC_03113	DROME13535, DROME13441
OG0000038	APOSC_25222, APOSC_10656	DROME13993
OG0000039	APOSC_00666	DROME20351, DROME20350
OG0000039	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262	DROME03375, DROME03374, DROME03372, DROME03373
OG0000040	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331
OG0000041	APOSC_19034	DROME00693, DROME00694, DROME00695, DROME00691, DROME00692, DROME01788, DROME01789
OG0000041	APOSC_26184	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445
OG0000041	APOSC_00445	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
