Orthogroup	BRALA	PFLAV
OG0000001	BRALA14819	TCONS_00017174.p1, TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1
OG0000001	BRALA20490	TCONS_00034555.p1
OG0000001	BRALA27259	TCONS_00007091.p1
OG0000001	BRALA19588, BRALA19586	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1
OG0000002	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586	TCONS_00010137.p1
OG0000002	BRALA28279, BRALA02635, BRALA12500	TCONS_00009919.p1
OG0000002	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192	TCONS_00008473.p1, TCONS_00020039.p1
OG0000002	BRALA10501, BRALA20754	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
OG0000002	BRALA27121	TCONS_00048938.p1
OG0000003	BRALA03419	TCONS_00029636.p1, TCONS_00031471.p1
OG0000003	BRALA27165	TCONS_00053405.p1
OG0000003	BRALA07140	TCONS_00050879.p2, TCONS_00050883.p1, TCONS_00012447.p1, TCONS_00012446.p1, TCONS_00012449.p1, TCONS_00007936.p1
OG0000003	BRALA25224	TCONS_00043525.p1
OG0000003	BRALA30232, BRALA07610	TCONS_00031472.p1
OG0000003	BRALA02710	TCONS_00057090.p1
OG0000003	BRALA31768, BRALA11276	TCONS_00005704.p1
OG0000003	BRALA02712, BRALA07571	TCONS_00046526.p1
OG0000003	BRALA01314	TCONS_00019216.p1
OG0000004	BRALA27667	TCONS_00030290.p1
OG0000004	BRALA12395	TCONS_00005466.p1, TCONS_00006578.p1
OG0000004	BRALA08526	TCONS_00028773.p1
OG0000004	BRALA02003, BRALA02015	TCONS_00039987.p1
OG0000005	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1
OG0000005	BRALA25414, BRALA34368	TCONS_00020907.p1
OG0000005	BRALA00382	TCONS_00033021.p1
OG0000005	BRALA07928, BRALA04490, BRALA04489, BRALA08015, BRALA08013, BRALA16467, BRALA16464, BRALA31590, BRALA24865, BRALA24860, BRALA24861, BRALA00380, BRALA26703, BRALA00381	TCONS_00000145.p1, TCONS_00000206.p1, TCONS_00000207.p1, TCONS_00033023.p1, TCONS_00000205.p1, TCONS_00030166.p1, TCONS_00001299.p1, TCONS_00000147.p1, TCONS_00000148.p1, TCONS_00000146.p1, TCONS_00001300.p1, TCONS_00001301.p1, TCONS_00001373.p1, TCONS_00001651.p1, TCONS_00001649.p1, TCONS_00002069.p1, TCONS_00001653.p1, TCONS_00001650.p1, TCONS_00000614.p1, TCONS_00000615.p1, TCONS_00000478.p1, TCONS_00000616.p1, TCONS_00000763.p1, TCONS_00000762.p1, TCONS_00016309.p1, TCONS_00016308.p1, TCONS_00016304.p1, TCONS_00016313.p1, TCONS_00016314.p1, TCONS_00016315.p1, TCONS_00016303.p1, TCONS_00016305.p1, TCONS_00016301.p1, TCONS_00016293.p1, TCONS_00004018.p1
OG0000005	BRALA15288	TCONS_00028033.p1
OG0000005	BRALA15287	TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1
OG0000006	BRALA03676	TCONS_00016792.p1, TCONS_00023587.p1
OG0000006	BRALA27911	TCONS_00038043.p1
OG0000006	BRALA07705	TCONS_00023170.p1, TCONS_00025030.p1
OG0000006	BRALA17590	TCONS_00048904.p1
OG0000006	BRALA06686	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	BRALA19242	TCONS_00042787.p1
OG0000006	BRALA06109	TCONS_00021207.p1
OG0000006	BRALA23800	TCONS_00021581.p1
OG0000006	BRALA07568, BRALA29276	TCONS_00023551.p1
OG0000006	BRALA22280	TCONS_00003496.p1
OG0000006	BRALA06185	TCONS_00012810.p1
OG0000006	BRALA06182	TCONS_00013984.p1
OG0000006	BRALA06186	TCONS_00012809.p1
OG0000006	BRALA24212	TCONS_00021507.p1
OG0000006	BRALA17603	TCONS_00027932.p1
OG0000006	BRALA03602	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	BRALA17591	TCONS_00028953.p1
OG0000006	BRALA24372	TCONS_00030792.p1
OG0000006	BRALA34187	TCONS_00029994.p1
OG0000006	BRALA24993	TCONS_00011489.p1
