Orthogroup	BRALA	XENTR
OG0000020	BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869	XENTR15461, XENTR03248
OG0000020	BRALA14062	XENTR03249
OG0000020	BRALA27392	XENTR04697
OG0000020	BRALA11912	XENTR07864, XENTR11783
OG0000020	BRALA12599	XENTR15846
OG0000020	BRALA10628	XENTR15636
OG0000021	BRALA18963	XENTR17791, XENTR16377
OG0000021	BRALA18043	XENTR11123, XENTR16378
OG0000021	BRALA22428	XENTR12641, XENTR02936
OG0000021	BRALA30352	XENTR18096, XENTR01150
OG0000021	BRALA06012	XENTR13705
OG0000021	BRALA20360, BRALA20164	XENTR00007
OG0000021	BRALA20364, BRALA11803, BRALA20363, BRALA20361	XENTR13780, XENTR17333
OG0000022	BRALA04372	XENTR13499
OG0000023	BRALA34393, BRALA34449, BRALA33273	XENTR02017, XENTR13173, XENTR18800, XENTR18648
OG0000023	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062	XENTR00841
OG0000023	BRALA25437	XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784
OG0000023	BRALA29841, BRALA06984, BRALA06983	XENTR05209, XENTR05210
OG0000026	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918	XENTR07244, XENTR03079
OG0000027	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208
OG0000028	BRALA26965	XENTR03481
OG0000028	BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261	XENTR17263
OG0000028	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542	XENTR18279, XENTR05325
OG0000028	BRALA08547, BRALA15654	XENTR05326, XENTR17548, XENTR15539, XENTR18293
OG0000028	BRALA01199, BRALA17029, BRALA17030	XENTR17549, XENTR05379, XENTR05378
OG0000028	BRALA08523	XENTR10277, XENTR06737
OG0000029	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676	XENTR11755, XENTR10534
OG0000030	BRALA13442	XENTR08639
OG0000030	BRALA32573	XENTR14147
OG0000031	BRALA04543	XENTR05405, XENTR03766
OG0000031	BRALA04547	XENTR08553, XENTR05384, XENTR03164
OG0000031	BRALA04610	XENTR03163
OG0000031	BRALA05046	XENTR09319
OG0000031	BRALA16640	XENTR00229
OG0000031	BRALA09408	XENTR02595, XENTR11133
OG0000031	BRALA28311	XENTR12584, XENTR00918
OG0000032	BRALA10240	XENTR06599
OG0000032	BRALA11179, BRALA11177, BRALA09647	XENTR17016
OG0000032	BRALA04146, BRALA04145, BRALA04144, BRALA00632, BRALA09098, BRALA21017, BRALA21018, BRALA21016, BRALA22581, BRALA14174	XENTR03433
OG0000034	BRALA27570	XENTR14967, XENTR08246, XENTR04943
OG0000034	BRALA08751	XENTR11418, XENTR11419, XENTR10883, XENTR07417
OG0000034	BRALA08901, BRALA03079	XENTR01252, XENTR11199, XENTR07072, XENTR12065
OG0000034	BRALA17580	XENTR15456
OG0000034	BRALA08885	XENTR10156
OG0000034	BRALA23966, BRALA06594	XENTR16254
OG0000034	BRALA02412	XENTR08340
OG0000035	BRALA21367, BRALA35402	XENTR05239
OG0000035	BRALA13921	XENTR07648
OG0000035	BRALA29588	XENTR17453, XENTR14129, XENTR07651, XENTR11799
OG0000035	BRALA13915, BRALA22877	XENTR11381, XENTR11382, XENTR12076, XENTR01605
OG0000035	BRALA13917	XENTR13293, XENTR09857
OG0000036	BRALA03126, BRALA19967	XENTR16945, XENTR13571, XENTR05152
OG0000036	BRALA22400	XENTR07761
OG0000036	BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181	XENTR12415, XENTR07272
OG0000036	BRALA31321, BRALA06755, BRALA06753, BRALA18345	XENTR01038, XENTR15969
OG0000036	BRALA22402, BRALA22404	XENTR16237, XENTR16236, XENTR05174, XENTR07278
OG0000037	BRALA22282	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114
OG0000037	BRALA22275	XENTR16580, XENTR14770, XENTR03861
OG0000037	BRALA16015	XENTR10865, XENTR10696
OG0000037	BRALA16388	XENTR18131
OG0000038	BRALA15513, BRALA22708, BRALA13194	XENTR04197, XENTR04200
OG0000038	BRALA19648	XENTR04205
OG0000038	BRALA27417	XENTR04206
OG0000039	BRALA01170, BRALA17648, BRALA19632, BRALA19635	XENTR17227
OG0000039	BRALA31558	XENTR01241, XENTR01240, XENTR01239, XENTR01242
OG0000039	BRALA19542	XENTR17697
OG0000040	BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473
