Orthogroup	BRALA	HUMAN
OG0000690	BRALA29358	HUMAN30038
OG0000690	BRALA05018	HUMAN23985
OG0000691	BRALA03301	HUMAN27972, HUMAN11215
OG0000691	BRALA09683	HUMAN16622, HUMAN00463, HUMAN24570, HUMAN18866
OG0000692	BRALA07273, BRALA19399, BRALA17751, BRALA14654, BRALA12375, BRALA07885, BRALA05501, BRALA10172	HUMAN11735
OG0000693	BRALA18789	HUMAN00433, HUMAN11745
OG0000693	BRALA02763	HUMAN29182, HUMAN29183
OG0000694	BRALA10162	HUMAN02728, HUMAN02501, HUMAN17273
OG0000695	BRALA21788, BRALA13971, BRALA00498, BRALA12446	HUMAN08341, HUMAN15342, HUMAN15501, HUMAN04986, HUMAN25018
OG0000696	BRALA16043	HUMAN25700
OG0000696	BRALA19739	HUMAN02408
OG0000697	BRALA30467	HUMAN26804, HUMAN26803, HUMAN01360, HUMAN29864, HUMAN29865, HUMAN21104, HUMAN21106
OG0000698	BRALA26139	HUMAN04921, HUMAN08679, HUMAN08678
OG0000699	BRALA12181	HUMAN18295, HUMAN05213, HUMAN05214
OG0000700	BRALA08858	HUMAN06079, HUMAN03881
OG0000701	BRALA21677	HUMAN24288, HUMAN03226, HUMAN03225, HUMAN17194, HUMAN26260, HUMAN26261
OG0000702	BRALA28498	HUMAN14229, HUMAN13986, HUMAN09541
OG0000703	BRALA03871	HUMAN24282, HUMAN22696, HUMAN22695, HUMAN22697
OG0000706	BRALA20496	HUMAN02403, HUMAN02402
OG0000708	BRALA05296	HUMAN01283
OG0000708	BRALA10976	HUMAN06223, HUMAN30508, HUMAN30507
OG0000709	BRALA10837	HUMAN04953, HUMAN25132
OG0000710	BRALA16518	HUMAN23146, HUMAN11225
OG0000711	BRALA20784	HUMAN07022
OG0000711	BRALA02434	HUMAN04234, HUMAN06823
OG0000711	BRALA02091	HUMAN03946
OG0000712	BRALA19423	HUMAN24190, HUMAN30314, HUMAN05265, HUMAN23072
OG0000713	BRALA06138, BRALA11673, BRALA17981, BRALA30637, BRALA04689, BRALA04690	HUMAN11949, HUMAN30095, HUMAN30094, HUMAN29680, HUMAN29681
OG0000715	BRALA17045	HUMAN17781, HUMAN06635, HUMAN06633, HUMAN20618, HUMAN20620
OG0000716	BRALA35786, BRALA32595, BRALA32592	HUMAN29657, HUMAN29658, HUMAN25164
OG0000717	BRALA10082	HUMAN02062
OG0000718	BRALA29518	HUMAN01467, HUMAN15637, HUMAN01962, HUMAN01963, HUMAN15306, HUMAN07484
OG0000720	BRALA08022	HUMAN23733, HUMAN09669, HUMAN09667
OG0000721	BRALA14964	HUMAN19959
OG0000722	BRALA24668, BRALA24667	HUMAN09223, HUMAN02691, HUMAN04759, HUMAN04418, HUMAN27014
OG0000723	BRALA24351, BRALA08031, BRALA10480, BRALA03115	HUMAN21074, HUMAN10317, HUMAN10400, HUMAN10399
OG0000725	BRALA28873	HUMAN01233
OG0000725	BRALA35334	HUMAN06087, HUMAN06085, HUMAN06086, HUMAN04133
OG0000725	BRALA34432	HUMAN04340
OG0000726	BRALA09055	HUMAN03025, HUMAN03026, HUMAN03027, HUMAN03023, HUMAN03018, HUMAN03024, HUMAN03021, HUMAN18123, HUMAN18124, HUMAN06404
OG0000730	BRALA23680	HUMAN06577, HUMAN17989
OG0000730	BRALA23679	HUMAN26220, HUMAN17582, HUMAN06664, HUMAN06663
OG0000732	BRALA05974	HUMAN30214, HUMAN18534, HUMAN18537, HUMAN18535, HUMAN18536
OG0000732	BRALA01121	HUMAN14638, HUMAN14637, HUMAN14636, HUMAN01096
OG0000733	BRALA13293	HUMAN08500, HUMAN04842, HUMAN02482
OG0000733	BRALA13301	HUMAN08921, HUMAN08918, HUMAN25076
OG0000734	BRALA10056	HUMAN29415, HUMAN29414, HUMAN01343, HUMAN01342
OG0000735	BRALA12877	HUMAN25549, HUMAN25550, HUMAN18959, HUMAN28130, HUMAN28133
OG0000736	BRALA00292	HUMAN20622, HUMAN06476
OG0000738	BRALA08653	HUMAN19112, HUMAN19111, HUMAN14030
OG0000738	BRALA24442, BRALA24444, BRALA24440, BRALA24441, BRALA24445	HUMAN19299, HUMAN28176
OG0000740	BRALA07389	HUMAN18572, HUMAN28388
OG0000740	BRALA17954	HUMAN22675
OG0000743	BRALA06285	HUMAN10614, HUMAN16281, HUMAN13445
OG0000743	BRALA06284	HUMAN10624, HUMAN10625, HUMAN13443
OG0000744	BRALA03822, BRALA06789, BRALA03324	HUMAN00289, HUMAN00292, HUMAN00290, HUMAN00281, HUMAN07979, HUMAN27970, HUMAN18870
OG0000745	BRALA06045	HUMAN16914, HUMAN16913, HUMAN16912
OG0000748	BRALA10606	HUMAN12918, HUMAN12919
OG0000749	BRALA28914	HUMAN25082, HUMAN04939, HUMAN04940, HUMAN04938, HUMAN08964, HUMAN08965, HUMAN08966, HUMAN08963
OG0000750	BRALA14527	HUMAN08524
OG0000750	BRALA15208, BRALA27083, BRALA15212	HUMAN24690, HUMAN24689, HUMAN24092
OG0000751	BRALA07411	HUMAN26069, HUMAN21913
OG0000751	BRALA07933	HUMAN29824, HUMAN14197, HUMAN14196, HUMAN14195
OG0000752	BRALA11552	HUMAN03702
OG0000752	BRALA28831	HUMAN29677, HUMAN29676, HUMAN29675
OG0000752	BRALA05171	HUMAN00918, HUMAN14778
OG0000753	BRALA27046	HUMAN09485
OG0000753	BRALA21594	HUMAN02007, HUMAN05622, HUMAN05621
OG0000755	BRALA12515	HUMAN08181, HUMAN24591
OG0000756	BRALA05619, BRALA10089, BRALA00887, BRALA14420, BRALA14421, BRALA05618, BRALA08548	HUMAN24074
OG0000757	BRALA34310	HUMAN10800
OG0000757	BRALA14460	HUMAN18080
OG0000758	BRALA13715	HUMAN00461, HUMAN00462, HUMAN28238, HUMAN16598
OG0000759	BRALA30577	HUMAN27300, HUMAN27301, HUMAN17543
OG0000760	BRALA20315	HUMAN05782, HUMAN21049
OG0000761	BRALA23656	HUMAN29145, HUMAN14464, HUMAN02283
OG0000762	BRALA04595, BRALA07093	HUMAN06537, HUMAN17947, HUMAN17946, HUMAN26153
OG0000763	BRALA13502	HUMAN01779, HUMAN23673, HUMAN15002, HUMAN23674
OG0000764	BRALA20638	HUMAN01181
OG0000765	BRALA25961	HUMAN01542, HUMAN07243
OG0000765	BRALA10305	HUMAN07244
OG0000766	BRALA15635	HUMAN01845, HUMAN01843, HUMAN14280, HUMAN23727
OG0000767	BRALA12056, BRALA12057	HUMAN09350, HUMAN18691, HUMAN18692
OG0000768	BRALA25731	HUMAN02829, HUMAN02830, HUMAN21054, HUMAN21055
OG0000772	BRALA03708	HUMAN28705, HUMAN28706, HUMAN28704
OG0000774	BRALA01367	HUMAN01303
OG0000774	BRALA12795	HUMAN29842
OG0000775	BRALA21814, BRALA18421, BRALA18562, BRALA18561, BRALA08287	HUMAN07094
OG0000776	BRALA29300	HUMAN23098, HUMAN29543, HUMAN30264
OG0000777	BRALA06536	HUMAN13333
OG0000778	BRALA20992, BRALA09413, BRALA00256, BRALA00257, BRALA00259	HUMAN00118, HUMAN21684, HUMAN00117
OG0000779	BRALA02587	HUMAN29418
OG0000779	BRALA01807	HUMAN19017, HUMAN25627, HUMAN25628, HUMAN25626, HUMAN27878
OG0000780	BRALA00744	HUMAN12283, HUMAN12282
OG0000781	BRALA05140, BRALA12327, BRALA12336	HUMAN25364
OG0000782	BRALA18203	HUMAN13919, HUMAN01526, HUMAN09694
OG0000784	BRALA06052, BRALA25550	HUMAN21806, HUMAN07657
OG0000784	BRALA17554, BRALA16289, BRALA22376, BRALA25588	HUMAN19259
OG0000787	BRALA03891	HUMAN24287, HUMAN27681, HUMAN24285, HUMAN03250, HUMAN22686
OG0000788	BRALA02413	HUMAN04411, HUMAN04410, HUMAN27018
OG0000788	BRALA32315	HUMAN28674, HUMAN01749, HUMAN14357
OG0000790	BRALA12655, BRALA12650, BRALA09236, BRALA09235, BRALA12669, BRALA28591, BRALA28595, BRALA28593, BRALA04265, BRALA25758, BRALA23300, BRALA10748, BRALA20036, BRALA04241, BRALA12652, BRALA25569, BRALA28594	HUMAN02458, HUMAN14409, HUMAN14408, HUMAN14410
OG0000791	BRALA14451	HUMAN27291, HUMAN27292, HUMAN06332, HUMAN18232
OG0000792	BRALA04682	HUMAN26127
OG0000792	BRALA33683	HUMAN17927, HUMAN17926
OG0000792	BRALA32297	HUMAN07120, HUMAN07119
OG0000793	BRALA17595	HUMAN01813, HUMAN23530, HUMAN23529, HUMAN09808, HUMAN09807, HUMAN09806, HUMAN14239, HUMAN09819, HUMAN09820
OG0000794	BRALA27101, BRALA27102	HUMAN05033, HUMAN05029
OG0000795	BRALA22731	HUMAN30438, HUMAN30437, HUMAN30436
OG0000798	BRALA22751	HUMAN12996, HUMAN10260
OG0000799	BRALA07756	HUMAN03572, HUMAN03573, HUMAN24207, HUMAN24208, HUMAN24205, HUMAN22273, HUMAN22272, HUMAN22274, HUMAN17345, HUMAN17346, HUMAN24206
OG0000802	BRALA01136, BRALA01137, BRALA01138	HUMAN01155, HUMAN01153, HUMAN01154, HUMAN14855, HUMAN01190, HUMAN01189, HUMAN14331, HUMAN14330, HUMAN15853, HUMAN15854, HUMAN08400, HUMAN08401, HUMAN23294
OG0000805	BRALA11113, BRALA11112, BRALA05953, BRALA05905, BRALA05906, BRALA22453	HUMAN29084, HUMAN29083, HUMAN24786, HUMAN24785, HUMAN02138, HUMAN21807
OG0000809	BRALA05348	HUMAN01052, HUMAN01051, HUMAN15029, HUMAN15032, HUMAN15033, HUMAN15030, HUMAN23557
OG0000809	BRALA05349	HUMAN15031
OG0000810	BRALA00801	HUMAN00991, HUMAN00992
OG0000810	BRALA10599	HUMAN21423, HUMAN20624, HUMAN20625
OG0000811	BRALA22490	HUMAN20400
OG0000813	BRALA03660	HUMAN03259, HUMAN22179
OG0000814	BRALA04143	HUMAN09482
OG0000814	BRALA03045	HUMAN26312
OG0000815	BRALA11706	HUMAN07837
OG0000815	BRALA04544	HUMAN17849, HUMAN02971
OG0000816	BRALA20882	HUMAN04902, HUMAN17010, HUMAN15773
OG0000816	BRALA03932	HUMAN22732, HUMAN03583
OG0000817	BRALA00540	HUMAN13385, HUMAN06596
OG0000817	BRALA03663	HUMAN03169
OG0000817	BRALA17018	HUMAN27263
OG0000818	BRALA13068	HUMAN25966, HUMAN13463, HUMAN15929, HUMAN15930, HUMAN15928
OG0000819	BRALA07696, BRALA07697	HUMAN04360
OG0000819	BRALA34137	HUMAN12285, HUMAN12284
OG0000820	BRALA14102	HUMAN06271, HUMAN06272
OG0000822	BRALA23399, BRALA23400	HUMAN06077, HUMAN06076
OG0000824	BRALA12514	HUMAN12192, HUMAN12199
OG0000825	BRALA11858	HUMAN17393, HUMAN24372
OG0000825	BRALA13831, BRALA13832, BRALA13834, BRALA13833	HUMAN06887
OG0000826	BRALA19087	HUMAN18961
OG0000827	BRALA18118, BRALA02359, BRALA13523, BRALA16833, BRALA30597, BRALA00958	HUMAN28623
OG0000828	BRALA04441	HUMAN09906, HUMAN09908, HUMAN09907, HUMAN23682, HUMAN23683
OG0000828	BRALA34346	HUMAN07354
OG0000829	BRALA16337, BRALA16336	HUMAN09769, HUMAN09770, HUMAN23704
OG0000829	BRALA16335	HUMAN03517, HUMAN27574, HUMAN17189
OG0000830	BRALA06400	HUMAN10228, HUMAN10227, HUMAN13475, HUMAN20103, HUMAN20104
OG0000830	BRALA34995	HUMAN04465
OG0000831	BRALA05105	HUMAN00865, HUMAN00861
OG0000831	BRALA03242, BRALA07443, BRALA01790, BRALA01791	HUMAN21218, HUMAN17251
OG0000832	BRALA08098, BRALA08100, BRALA04511, BRALA15197, BRALA18694	HUMAN01034
OG0000833	BRALA05134	HUMAN14526, HUMAN14694, HUMAN28569, HUMAN00981
OG0000834	BRALA06902	HUMAN26293, HUMAN06471, HUMAN12572, HUMAN26292, HUMAN18196, HUMAN18197, HUMAN18198, HUMAN18199, HUMAN18200
OG0000836	BRALA01673, BRALA04302, BRALA08044, BRALA08045	HUMAN09550
OG0000838	BRALA18308, BRALA23852, BRALA23853	HUMAN01404, HUMAN07009
OG0000838	BRALA27651, BRALA27650, BRALA29963, BRALA29962	HUMAN07011, HUMAN16347
OG0000841	BRALA03274	HUMAN11209, HUMAN11208, HUMAN28390, HUMAN28389, HUMAN25529
OG0000842	BRALA00081	HUMAN11438, HUMAN28733, HUMAN28739, HUMAN28726, HUMAN17591, HUMAN12703, HUMAN27200
OG0000845	BRALA12426	HUMAN29728, HUMAN30115, HUMAN25768, HUMAN30116
OG0000845	BRALA12338	HUMAN05320
OG0000847	BRALA27576	HUMAN12189
OG0000847	BRALA19376	HUMAN19801, HUMAN10864
OG0000848	BRALA26804	HUMAN07569, HUMAN22921, HUMAN23842
OG0000849	BRALA35105	HUMAN01370
OG0000849	BRALA28673	HUMAN01371
OG0000850	BRALA22071, BRALA00654	HUMAN00998
OG0000850	BRALA25841	HUMAN03430
OG0000851	BRALA11776	HUMAN17389, HUMAN22898
OG0000852	BRALA26844	HUMAN01598
OG0000852	BRALA03113	HUMAN18978, HUMAN18977, HUMAN13869
OG0000856	BRALA04525	HUMAN05022, HUMAN05021, HUMAN05020
OG0000857	BRALA08900	HUMAN24948, HUMAN05809, HUMAN04190
OG0000858	BRALA12759	HUMAN27046, HUMAN27045
OG0000858	BRALA08811	HUMAN19566, HUMAN05690
OG0000859	BRALA01935	HUMAN01835, HUMAN09993, HUMAN23491, HUMAN14489
OG0000860	BRALA18427	HUMAN14477, HUMAN29300, HUMAN01277
OG0000861	BRALA27568, BRALA35442, BRALA35813, BRALA33885, BRALA34210, BRALA27569, BRALA16109, BRALA15763, BRALA31723, BRALA31507, BRALA21095, BRALA30990, BRALA33002, BRALA16677	HUMAN28119, HUMAN28117
OG0000863	BRALA11555	HUMAN25393
OG0000866	BRALA04845	HUMAN26002
OG0000868	BRALA34175	HUMAN29668, HUMAN08901
OG0000869	BRALA33856	HUMAN00016
OG0000870	BRALA18901	HUMAN13265
OG0000871	BRALA08980	HUMAN30324
OG0000871	BRALA16416	HUMAN03633
OG0000872	BRALA02222	HUMAN05052, HUMAN05051
OG0000874	BRALA11822	HUMAN22955, HUMAN04088
OG0000874	BRALA03146	HUMAN20636
OG0000875	BRALA10301	HUMAN28345
OG0000875	BRALA09033	HUMAN18108
OG0000876	BRALA11284	HUMAN02798
OG0000877	BRALA03177, BRALA03178	HUMAN20047
OG0000877	BRALA03179	HUMAN18986, HUMAN18987
OG0000878	BRALA02339, BRALA02338, BRALA02340	HUMAN04661, HUMAN04660
OG0000878	BRALA02341	HUMAN26944
OG0000878	BRALA04723	HUMAN26167
OG0000879	BRALA05982	HUMAN11932, HUMAN22026, HUMAN22025, HUMAN11931, HUMAN11933
OG0000879	BRALA20286, BRALA33717, BRALA33372, BRALA20287	HUMAN06283, HUMAN21911
OG0000880	BRALA09318	HUMAN25037
OG0000881	BRALA10038	HUMAN24746
OG0000881	BRALA27657	HUMAN12291
OG0000882	BRALA21924	HUMAN24494, HUMAN24493, HUMAN19192, HUMAN25186, HUMAN00713
OG0000883	BRALA07960	HUMAN09654, HUMAN15097
OG0000887	BRALA10243	HUMAN19125
OG0000887	BRALA09188	HUMAN02796
OG0000888	BRALA15051	HUMAN01523, HUMAN14144
OG0000888	BRALA24377	HUMAN17235
OG0000889	BRALA25124	HUMAN16803
OG0000889	BRALA07192	HUMAN04560, HUMAN10862, HUMAN13087, HUMAN19799, HUMAN19800
OG0000893	BRALA25869, BRALA17380, BRALA24437	HUMAN20939, HUMAN20942, HUMAN26905, HUMAN26904, HUMAN20941
OG0000894	BRALA16945	HUMAN22934
OG0000894	BRALA06371	HUMAN20156, HUMAN25909
OG0000895	BRALA04351, BRALA04319	HUMAN14000, HUMAN13999
OG0000895	BRALA14632	HUMAN23630, HUMAN10073
OG0000896	BRALA17653	HUMAN05088, HUMAN05089
OG0000896	BRALA22494	HUMAN02560, HUMAN04868
OG0000897	BRALA28132	HUMAN20369
OG0000897	BRALA21067, BRALA20480, BRALA17997, BRALA21102	HUMAN01428
OG0000897	BRALA15321	HUMAN20370
OG0000898	BRALA22391, BRALA22392, BRALA05142	HUMAN01291, HUMAN01290, HUMAN01289
OG0000900	BRALA04925, BRALA04944, BRALA04941, BRALA04922, BRALA04938, BRALA04932, BRALA04942, BRALA04933, BRALA04921, BRALA04934, BRALA04923	HUMAN01356, HUMAN02358, HUMAN07002, HUMAN04444, HUMAN16078
OG0000904	BRALA03360	HUMAN03047, HUMAN24362, HUMAN30132, HUMAN03200
OG0000906	BRALA02532	HUMAN24852, HUMAN29427
OG0000907	BRALA01339	HUMAN01311
OG0000908	BRALA30688	HUMAN03690, HUMAN27510
OG0000909	BRALA24516	HUMAN25146, HUMAN25145, HUMAN19496, HUMAN00496
OG0000911	BRALA24856	HUMAN12682, HUMAN12683
OG0000911	BRALA35518	HUMAN18001, HUMAN18002
OG0000912	BRALA21702	HUMAN17095, HUMAN17096, HUMAN03635, HUMAN03636, HUMAN24298, HUMAN22119
OG0000912	BRALA14998	HUMAN11740
OG0000913	BRALA19448	HUMAN24104, HUMAN24103, HUMAN24106, HUMAN05337
OG0000914	BRALA20034	HUMAN30513, HUMAN26793
OG0000915	BRALA15366	HUMAN30522, HUMAN20445, HUMAN01514, HUMAN01508, HUMAN02420, HUMAN06732
OG0000916	BRALA01182, BRALA18434, BRALA01142, BRALA21246, BRALA01181	HUMAN01193, HUMAN01192, HUMAN01191
OG0000921	BRALA09094	HUMAN17556, HUMAN17558, HUMAN17557, HUMAN17559
OG0000921	BRALA21805	HUMAN02198
OG0000923	BRALA04563	HUMAN17831
OG0000923	BRALA07148	HUMAN06654, HUMAN17698
OG0000925	BRALA25852	HUMAN23362, HUMAN23363, HUMAN23364
OG0000925	BRALA14244	HUMAN30631, HUMAN29752
OG0000926	BRALA25512	HUMAN25003
OG0000927	BRALA33718	HUMAN21812, HUMAN30637, HUMAN30636, HUMAN29567, HUMAN30015, HUMAN11917, HUMAN21813
OG0000928	BRALA14602	HUMAN14950, HUMAN14947, HUMAN14948, HUMAN09734
OG0000929	BRALA27977	HUMAN07498, HUMAN07497, HUMAN25465, HUMAN00572
OG0000931	BRALA30526	HUMAN18621
OG0000932	BRALA23597	HUMAN26746
OG0000933	BRALA17397	HUMAN18788
OG0000934	BRALA15692	HUMAN07465, HUMAN25721, HUMAN25723
OG0000934	BRALA23860	HUMAN24974, HUMAN06158
OG0000935	BRALA20990	HUMAN14530, HUMAN10106, HUMAN01617, HUMAN01618, HUMAN06391, HUMAN06392, HUMAN06390, HUMAN17822
OG0000938	BRALA02654	HUMAN21959, HUMAN04773, HUMAN04774, HUMAN04772, HUMAN04771, HUMAN04769
OG0000938	BRALA00825, BRALA00820, BRALA00821, BRALA00822, BRALA00823, BRALA11718, BRALA00824	HUMAN22973
OG0000940	BRALA20177	HUMAN29044, HUMAN29045
OG0000943	BRALA26880	HUMAN04649, HUMAN07383
OG0000944	BRALA16973	HUMAN07470, HUMAN27468, HUMAN30061
OG0000945	BRALA12545	HUMAN11233
OG0000946	BRALA08785	HUMAN02309
OG0000946	BRALA02095, BRALA02094	HUMAN03947, HUMAN07023
OG0000947	BRALA00543	HUMAN17713, HUMAN20687
OG0000947	BRALA00290	HUMAN20621
OG0000949	BRALA16910	HUMAN29456, HUMAN24815, HUMAN30599, HUMAN19495, HUMAN00495, HUMAN25148, HUMAN25147
OG0000951	BRALA16820	HUMAN01583, HUMAN09204
OG0000951	BRALA35165	HUMAN25650
OG0000952	BRALA08202	HUMAN23779, HUMAN22570
OG0000952	BRALA08201	HUMAN24186, HUMAN22573, HUMAN22572
OG0000953	BRALA06546, BRALA01379, BRALA01377, BRALA01378, BRALA09955, BRALA28717, BRALA21206	HUMAN23240
OG0000953	BRALA27297	HUMAN28290, HUMAN28289, HUMAN00190
OG0000954	BRALA34235, BRALA35344	HUMAN18210, HUMAN18209
OG0000954	BRALA10453	HUMAN10206, HUMAN10205, HUMAN10272
OG0000955	BRALA00782	HUMAN28653
OG0000955	BRALA16596	HUMAN09438
OG0000955	BRALA22745	HUMAN22849
OG0000957	BRALA14646	HUMAN14343, HUMAN23229
OG0000958	BRALA02128, BRALA02127, BRALA02129	HUMAN28882, HUMAN05775, HUMAN05774
OG0000960	BRALA12453	HUMAN11354, HUMAN28219, HUMAN28220
OG0000963	BRALA03591	HUMAN14179, HUMAN14180, HUMAN14181, HUMAN14182
OG0000963	BRALA20733	HUMAN23351, HUMAN01011
OG0000964	BRALA26663	HUMAN15564, HUMAN15563
OG0000965	BRALA04013	HUMAN22507
OG0000965	BRALA03357	HUMAN08123
OG0000966	BRALA30500	HUMAN12399, HUMAN12400, HUMAN07294, HUMAN07293
OG0000967	BRALA11137	HUMAN07448, HUMAN07447, HUMAN19350
OG0000967	BRALA03874	HUMAN03396, HUMAN03397
OG0000968	BRALA14943	HUMAN06994, HUMAN04278
OG0000969	BRALA14830, BRALA07388, BRALA07383	HUMAN26507
OG0000970	BRALA07314	HUMAN19711, HUMAN30698
OG0000971	BRALA04896	HUMAN17931
OG0000971	BRALA04974, BRALA04973	HUMAN18274
OG0000972	BRALA07302, BRALA07303	HUMAN19914, HUMAN05358, HUMAN07389
OG0000972	BRALA06799	HUMAN27539
OG0000973	BRALA18440, BRALA27410, BRALA27413, BRALA35354, BRALA33440, BRALA27395, BRALA18435	HUMAN24825
OG0000974	BRALA08524, BRALA00836	HUMAN24126
OG0000976	BRALA11565, BRALA11563, BRALA11570, BRALA11571	HUMAN17462
OG0000978	BRALA19988	HUMAN23161, HUMAN19104, HUMAN11274, HUMAN09230
OG0000979	BRALA11494, BRALA16484, BRALA16483, BRALA16486, BRALA12541, BRALA12544	HUMAN03626, HUMAN03625
OG0000981	BRALA17579	HUMAN23534, HUMAN23535
OG0000984	BRALA13541	HUMAN23607
OG0000984	BRALA10027	HUMAN02268, HUMAN02267
OG0000985	BRALA03927	HUMAN17533
OG0000987	BRALA15995	HUMAN02812, HUMAN02813, HUMAN06286, HUMAN19599
OG0000988	BRALA10034	HUMAN29197, HUMAN29196, HUMAN29296, HUMAN29297, HUMAN02183
OG0000992	BRALA13132	HUMAN13425, HUMAN05365
OG0000992	BRALA29385	HUMAN00480, HUMAN25362, HUMAN00479, HUMAN00478
OG0000993	BRALA00562	HUMAN18155
OG0000994	BRALA12870	HUMAN25360
OG0000994	BRALA16394	HUMAN17151, HUMAN17152
OG0000995	BRALA13943, BRALA13941	HUMAN12107, HUMAN12112, HUMAN20124, HUMAN20123, HUMAN12108, HUMAN12110, HUMAN12111, HUMAN12109
OG0000996	BRALA14195	HUMAN29968, HUMAN29969, HUMAN07481, HUMAN07480, HUMAN17651, HUMAN17650, HUMAN17652
OG0000997	BRALA11907	HUMAN03989
OG0000999	BRALA08770	HUMAN16037, HUMAN05058, HUMAN20396
OG0001000	BRALA29242	HUMAN29732, HUMAN30113, HUMAN25791
OG0001001	BRALA14860	HUMAN29768
OG0001001	BRALA14859	HUMAN11958
OG0001001	BRALA05897	HUMAN29766, HUMAN30632, HUMAN29767
OG0001002	BRALA17196, BRALA18350, BRALA01976	HUMAN21505, HUMAN16097, HUMAN04437
OG0001002	BRALA35638	HUMAN21506
OG0001003	BRALA07286	HUMAN07373, HUMAN07372, HUMAN12090
OG0001005	BRALA24042	HUMAN21015
OG0001006	BRALA19471	HUMAN10719
OG0001006	BRALA06003	HUMAN23379, HUMAN14223, HUMAN00900
OG0001008	BRALA24730	HUMAN06853, HUMAN06852, HUMAN04267
OG0001009	BRALA13978	HUMAN25680, HUMAN00474
OG0001011	BRALA07056, BRALA07076	HUMAN05319
OG0001011	BRALA01113, BRALA01112	HUMAN28502, HUMAN07763
OG0001013	BRALA25040, BRALA34547	HUMAN06060
OG0001015	BRALA21974	HUMAN20176, HUMAN20174, HUMAN26299, HUMAN26298, HUMAN25884, HUMAN25885, HUMAN25882
OG0001016	BRALA14145	HUMAN03017
OG0001018	BRALA35275, BRALA04664, BRALA06928, BRALA14350	HUMAN19498
OG0001018	BRALA13325	HUMAN08887
OG0001021	BRALA20548	HUMAN08794, HUMAN08793, HUMAN08791
OG0001021	BRALA10130	HUMAN08792
OG0001022	BRALA16207	HUMAN30208, HUMAN26689, HUMAN07618, HUMAN30205, HUMAN30207, HUMAN30206
OG0001023	BRALA20751	HUMAN05807, HUMAN04131, HUMAN24949, HUMAN15956, HUMAN05808
OG0001024	BRALA23987	HUMAN26241, HUMAN26240, HUMAN22736, HUMAN22737, HUMAN23893, HUMAN03150, HUMAN26239
OG0001026	BRALA11115	HUMAN10167, HUMAN10166, HUMAN12354
OG0001027	BRALA19076	HUMAN29295
OG0001027	BRALA06875, BRALA06471, BRALA06470, BRALA06472	HUMAN06083
OG0001028	BRALA32878, BRALA13434	HUMAN14304, HUMAN09715, HUMAN09716, HUMAN28814, HUMAN28812
OG0001029	BRALA03377, BRALA03376	HUMAN11011, HUMAN08233
OG0001030	BRALA15099	HUMAN14248, HUMAN14247, HUMAN09965
OG0001030	BRALA10822	HUMAN09016, HUMAN18699
OG0001031	BRALA06708	HUMAN03538
OG0001031	BRALA11517, BRALA31101, BRALA16794, BRALA30770	HUMAN22650
OG0001032	BRALA31425	HUMAN01331, HUMAN14460, HUMAN14458, HUMAN14461, HUMAN14454, HUMAN29217, HUMAN14453, HUMAN29218, HUMAN29214, HUMAN29215, HUMAN29216
OG0001033	BRALA06800	HUMAN22499, HUMAN17164
OG0001033	BRALA23440	HUMAN00952, HUMAN28581, HUMAN14253
OG0001039	BRALA06810	HUMAN19739, HUMAN19738, HUMAN19737
OG0001039	BRALA20039	HUMAN07041
OG0001042	BRALA11036	HUMAN29925, HUMAN20525, HUMAN05764
OG0001046	BRALA11238	HUMAN10290, HUMAN10289, HUMAN10288, HUMAN20197, HUMAN20196, HUMAN20198, HUMAN20195, HUMAN15923, HUMAN15922, HUMAN13448
OG0001047	BRALA06024	HUMAN05210, HUMAN05236, HUMAN30004
OG0001048	BRALA04010	HUMAN17075, HUMAN17078, HUMAN17076, HUMAN03099, HUMAN03100, HUMAN22630
OG0001049	BRALA08587	HUMAN21821
OG0001049	BRALA19576	HUMAN21566, HUMAN00206
OG0001050	BRALA23081, BRALA05944	HUMAN25173, HUMAN10022, HUMAN01869
OG0001051	BRALA23415, BRALA15643, BRALA31931, BRALA12809	HUMAN29588, HUMAN30210, HUMAN29587
OG0001052	BRALA06640	HUMAN03137, HUMAN03136
OG0001052	BRALA03851, BRALA06631	HUMAN22593
OG0001053	BRALA17006	HUMAN12525, HUMAN26150, HUMAN06551, HUMAN17942
OG0001053	BRALA06712	HUMAN23827, HUMAN22798, HUMAN03229
OG0001054	BRALA16705	HUMAN16260, HUMAN13202
OG0001057	BRALA13576, BRALA13575	HUMAN21639, HUMAN05349, HUMAN29980, HUMAN21638, HUMAN21640, HUMAN02106, HUMAN30588
OG0001058	BRALA18889	HUMAN01956, HUMAN05750
OG0001059	BRALA16690	HUMAN13851, HUMAN13852, HUMAN16703
OG0001060	BRALA22460	HUMAN20265
OG0001062	BRALA01158	HUMAN14494, HUMAN01209, HUMAN01211
OG0001063	BRALA22627	HUMAN16934, HUMAN16936, HUMAN16935
OG0001065	BRALA12034, BRALA12035	HUMAN09272, HUMAN02537
OG0001066	BRALA03613	HUMAN01431, HUMAN20904, HUMAN20903, HUMAN01429
OG0001067	BRALA09702	HUMAN29563, HUMAN29562, HUMAN29564, HUMAN29560, HUMAN29561
OG0001067	BRALA11812, BRALA30598, BRALA16834	HUMAN29571
OG0001068	BRALA15808	HUMAN05952
OG0001072	BRALA23228, BRALA23227	HUMAN07095
OG0001072	BRALA29817	HUMAN27023, HUMAN27024
OG0001075	BRALA09682	HUMAN16597
