Orthogroup	BRALA	HUMAN
OG0000014	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456	HUMAN11875, HUMAN11876
OG0000014	BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196	HUMAN03416
OG0000014	BRALA14079	HUMAN01394
OG0000014	BRALA28626, BRALA28625, BRALA28624	HUMAN25476, HUMAN30053
OG0000014	BRALA09953, BRALA20835, BRALA21213, BRALA14270	HUMAN13227
OG0000015	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858	HUMAN24211, HUMAN00090
OG0000015	BRALA22448	HUMAN24177, HUMAN22373, HUMAN09170
OG0000015	BRALA22447	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	BRALA18748, BRALA15755, BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113
OG0000016	BRALA34743	HUMAN26870
OG0000016	BRALA00485	HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	BRALA32113, BRALA10406	HUMAN10581, HUMAN10583, HUMAN12987
OG0000016	BRALA12120, BRALA09688	HUMAN07767
OG0000016	BRALA24127	HUMAN25103
OG0000016	BRALA22170	HUMAN06120, HUMAN04223
OG0000019	BRALA00002	HUMAN06384
OG0000019	BRALA16757, BRALA35055, BRALA10428	HUMAN00033, HUMAN05851, HUMAN10700, HUMAN10699, HUMAN10698
OG0000019	BRALA00404, BRALA00405	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277
OG0000019	BRALA23253, BRALA16935, BRALA16938, BRALA16161, BRALA13485, BRALA13484, BRALA13482, BRALA33941, BRALA13483, BRALA08371, BRALA00611, BRALA01467, BRALA08352, BRALA01468, BRALA26666, BRALA08383, BRALA00610, BRALA13160	HUMAN22980
OG0000020	BRALA12010	HUMAN26158
OG0000020	BRALA28177, BRALA04365	HUMAN22329, HUMAN20815
OG0000020	BRALA09135	HUMAN12659
OG0000020	BRALA27241	HUMAN26061
OG0000020	BRALA28848	HUMAN08344
OG0000020	BRALA05608	HUMAN00926
OG0000020	BRALA18984	HUMAN02350, HUMAN02349
OG0000020	BRALA21902, BRALA16840	HUMAN16669
OG0000020	BRALA05743, BRALA25854, BRALA14414	HUMAN00163
OG0000020	BRALA16287	HUMAN17840
OG0000020	BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869	HUMAN05209, HUMAN21854
OG0000020	BRALA14062	HUMAN21853
OG0000020	BRALA27392	HUMAN02145
OG0000020	BRALA11912	HUMAN30100, HUMAN07717, HUMAN22328
OG0000020	BRALA12599	HUMAN22639
OG0000020	BRALA10628	HUMAN20816
OG0000021	BRALA18963	HUMAN20500
OG0000021	BRALA18043	HUMAN20539, HUMAN05765, HUMAN05766, HUMAN20499
OG0000021	BRALA22428	HUMAN11054, HUMAN23166
OG0000021	BRALA30352	HUMAN12331
OG0000021	BRALA06012	HUMAN04273
OG0000021	BRALA20360, BRALA20164	HUMAN00882, HUMAN00880, HUMAN00881
OG0000021	BRALA20364, BRALA11803, BRALA20363, BRALA20361	HUMAN24068
OG0000023	BRALA34393, BRALA34449, BRALA33273	HUMAN03767
OG0000023	BRALA29325, BRALA12288	HUMAN05402
OG0000023	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062	HUMAN19878, HUMAN19879
OG0000023	BRALA25437	HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000023	BRALA29841, BRALA06984, BRALA06983	HUMAN06585, HUMAN06584
OG0000023	BRALA33103	HUMAN11130
OG0000026	BRALA11498	HUMAN16545
OG0000026	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918	HUMAN07669, HUMAN21745
