Orthogroup	BRALA	OWEFU
OG0000005	BRALA00625, BRALA18455, BRALA18454, BRALA18460, BRALA18459, BRALA12234	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1
OG0000005	BRALA25414, BRALA34368	OFUSG15197.1.p1, OFUSG15195.1.p1
OG0000005	BRALA15288, BRALA15287	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1
OG0000006	BRALA27911	OFUSG11531.1.p1
OG0000006	BRALA06686	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	BRALA19242	OFUSG02905.1.p1
OG0000006	BRALA06109	OFUSG14509.1.p1
OG0000006	BRALA23800	OFUSG14428.1.p1
OG0000006	BRALA07568, BRALA29276	OFUSG07929.1.p1
OG0000006	BRALA22280	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	BRALA06185	OFUSG10782.1.p1
OG0000006	BRALA24212	OFUSG14810.1.p1
OG0000006	BRALA17603	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	BRALA30843	OFUSG07465.1.p1
OG0000006	BRALA03602	OFUSG21061.1.p1, OFUSG18090.1.p1
OG0000006	BRALA17591	OFUSG08659.1.p1
OG0000006	BRALA24372	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	BRALA24993	OFUSG11740.1.p1
OG0000006	BRALA24994	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	BRALA22628	OFUSG11470.1.p1
OG0000007	BRALA13447, BRALA13448	OFUSG09476.1.p1
OG0000007	BRALA20872, BRALA20870	OFUSG21527.1.p1
OG0000007	BRALA09541	OFUSG09642.1.p1, OFUSG09693.1.p1
OG0000007	BRALA11149	OFUSG23682.1.p1
OG0000007	BRALA03260	OFUSG05364.1.p1
OG0000007	BRALA20579	OFUSG04867.2.p1, OFUSG04867.1.p1
OG0000007	BRALA03286	OFUSG23111.1.p1
OG0000007	BRALA03282	OFUSG04768.1.p1
OG0000007	BRALA08350	OFUSG09682.1.p1, OFUSG09683.1.p1
OG0000007	BRALA25787	OFUSG08948.1.p1
OG0000007	BRALA26097	OFUSG25429.1.p1
OG0000007	BRALA22487	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	BRALA18647	OFUSG10613.1.p1
