Orthogroup	BRALA	BRAFL
OG0000001	BRALA21156	bflo_22963, bflo_15401, bflo_01765, bflo_21469
OG0000001	BRALA19588	bflo_24437
OG0000001	BRALA19586	bflo_24440
OG0000002	BRALA19734	bflo_10743
OG0000002	BRALA28971	bflo_14897
OG0000002	BRALA13962	bflo_23881
OG0000002	BRALA24414	bflo_05739
OG0000002	BRALA24243	bflo_21182
OG0000002	BRALA17824	bflo_13707, bflo_13715, bflo_17652
OG0000002	BRALA28952, BRALA33640, BRALA28951, BRALA34586	bflo_09097, bflo_09099
OG0000002	BRALA28279, BRALA02635	bflo_13037
OG0000002	BRALA12500	bflo_13533
OG0000002	BRALA02394	bflo_03228
OG0000002	BRALA02393, BRALA12208	bflo_21287
OG0000002	BRALA06193, BRALA06192	bflo_23657
OG0000002	BRALA12524	bflo_04290
OG0000002	BRALA04416	bflo_00094
OG0000002	BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429	bflo_17367
OG0000002	BRALA22142	bflo_00884
OG0000002	BRALA19929	bflo_09101
OG0000002	BRALA19930	bflo_09095
OG0000002	BRALA32338	bflo_09111, bflo_09109
OG0000002	BRALA20554	bflo_12588
OG0000002	BRALA21492	bflo_17497, bflo_02368
OG0000002	BRALA22510	bflo_17498
OG0000002	BRALA17577, BRALA01102, BRALA16253, BRALA11862	bflo_25563
OG0000002	BRALA13544, BRALA13542	bflo_06206, bflo_06205
OG0000002	BRALA01271	bflo_25930
OG0000002	BRALA00868	bflo_26131
OG0000002	BRALA05067, BRALA24317, BRALA30805, BRALA05068, BRALA05069	bflo_26130, bflo_25287, bflo_00331, bflo_25393, bflo_26134, bflo_26137, bflo_25819, bflo_25402
OG0000002	BRALA16745	bflo_11581, bflo_22671
OG0000002	BRALA10425	bflo_22660
OG0000002	BRALA30468	bflo_11130
OG0000002	BRALA24331	bflo_17799, bflo_18344
OG0000002	BRALA13772	bflo_04757
OG0000002	BRALA12787	bflo_26393, bflo_11566, bflo_11880
OG0000002	BRALA28959	bflo_08809
OG0000002	BRALA12788	bflo_11571
OG0000002	BRALA22141, BRALA22208, BRALA01522, BRALA21191, BRALA02619	bflo_18062
OG0000002	BRALA12358, BRALA12505	bflo_17796, bflo_17499, bflo_17810, bflo_17878, bflo_17798, bflo_17351
OG0000002	BRALA16485	bflo_18490
OG0000002	BRALA09406	bflo_10984
OG0000003	BRALA32340	bflo_09100
OG0000003	BRALA28950	bflo_09110
OG0000003	BRALA33939, BRALA01916	bflo_26615, bflo_04790
OG0000003	BRALA11277	bflo_02237
OG0000003	BRALA03419	bflo_26996
OG0000003	BRALA35907	bflo_01321
OG0000003	BRALA34993, BRALA18601	bflo_23600
OG0000003	BRALA30232	bflo_24207, bflo_19873, bflo_26986
OG0000003	BRALA07610	bflo_08714
OG0000003	BRALA19933, BRALA07599	bflo_26930
OG0000003	BRALA23550	bflo_19434, bflo_27269
OG0000003	BRALA10124	bflo_15766
OG0000003	BRALA07070	bflo_22230
OG0000003	BRALA07069	bflo_26929
OG0000003	BRALA20351	bflo_27439
OG0000003	BRALA23384	bflo_09845
OG0000003	BRALA02712, BRALA07571	bflo_26599, bflo_26600, bflo_26598
OG0000003	BRALA23910	bflo_18522
OG0000003	BRALA16566	bflo_19532
OG0000004	BRALA16461, BRALA23965, BRALA02945, BRALA09920, BRALA16460	bflo_00546, bflo_11160
OG0000004	BRALA16167	bflo_21581, bflo_07267
OG0000004	BRALA27667	bflo_07498, bflo_20660
OG0000004	BRALA12395	bflo_18067
OG0000004	BRALA08526	bflo_05437
OG0000004	BRALA14376	bflo_17240
OG0000004	BRALA14386, BRALA13197, BRALA34097, BRALA08699	bflo_00410
OG0000004	BRALA33844	bflo_24214
OG0000004	BRALA26617	bflo_24400, bflo_08125, bflo_09695, bflo_01777
OG0000004	BRALA03918	bflo_07914
OG0000004	BRALA15703	bflo_11205, bflo_09686, bflo_00121
OG0000004	BRALA13601	bflo_21986
OG0000004	BRALA02003, BRALA02015	bflo_04032
OG0000005	BRALA11141	bflo_16145
OG0000005	BRALA20236	bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838
OG0000005	BRALA24049, BRALA24867	bflo_00488
OG0000005	BRALA34270	bflo_17905
OG0000005	BRALA18306, BRALA18305, BRALA22610	bflo_09935
OG0000005	BRALA18416	bflo_16770
OG0000005	BRALA00625	bflo_26492
OG0000005	BRALA18454	bflo_15868
OG0000005	BRALA18460, BRALA18459	bflo_16776
OG0000005	BRALA12234	bflo_21372
OG0000005	BRALA25414, BRALA34368	bflo_13407
OG0000005	BRALA15577, BRALA04488	bflo_07266
OG0000005	BRALA07928	bflo_08461
OG0000005	BRALA04490	bflo_08460
OG0000005	BRALA04489	bflo_07020
OG0000005	BRALA08015, BRALA08013	bflo_07656
OG0000005	BRALA16467	bflo_13613, bflo_13706
OG0000005	BRALA16464	bflo_13036
OG0000005	BRALA31590	bflo_00914
OG0000005	BRALA24865	bflo_00505
OG0000005	BRALA24860	bflo_00504
OG0000005	BRALA24861	bflo_00482
OG0000005	BRALA00380	bflo_00815
OG0000005	BRALA26703	bflo_19551
OG0000005	BRALA00381	bflo_26509
OG0000005	BRALA15287	bflo_10917
OG0000006	BRALA27911	bflo_03612
OG0000006	BRALA07705	bflo_10484
OG0000006	BRALA17590	bflo_06221
OG0000006	BRALA06686	bflo_07660
OG0000006	BRALA19242	bflo_14856, bflo_15258
OG0000006	BRALA06109	bflo_22120
OG0000006	BRALA23800	bflo_22526
OG0000006	BRALA07568	bflo_10066
OG0000006	BRALA29276	bflo_10065
OG0000006	BRALA22280	bflo_12576
OG0000006	BRALA06185	bflo_23572
OG0000006	BRALA06182	bflo_23665
OG0000006	BRALA06186	bflo_23603
OG0000006	BRALA24212	bflo_22579
OG0000006	BRALA17603	bflo_06220
OG0000006	BRALA30843	bflo_09963
OG0000006	BRALA03602	bflo_08237
OG0000006	BRALA17591	bflo_06222
OG0000006	BRALA24372	bflo_08431
OG0000006	BRALA24993	bflo_22598
OG0000006	BRALA24994	bflo_15412
OG0000006	BRALA22628	bflo_10980
OG0000007	BRALA03259	bflo_13266
OG0000007	BRALA13447, BRALA13448	bflo_05651
OG0000007	BRALA20872	bflo_16444
OG0000007	BRALA20870	bflo_15598
OG0000007	BRALA09541	bflo_06255
OG0000007	BRALA01304	bflo_25903
OG0000007	BRALA08592	bflo_24652, bflo_24653, bflo_24651, bflo_24654
OG0000007	BRALA31416	bflo_10207
OG0000007	BRALA11149	bflo_23632
OG0000007	BRALA03260	bflo_13761
OG0000007	BRALA20579	bflo_13742
OG0000007	BRALA03286	bflo_13892
OG0000007	BRALA03282	bflo_13084
OG0000007	BRALA08350	bflo_00716
OG0000007	BRALA09316	bflo_12223
OG0000007	BRALA25787	bflo_16800
OG0000007	BRALA26097	bflo_12369
OG0000007	BRALA14947	bflo_21087
OG0000007	BRALA22487	bflo_23309
OG0000007	BRALA06491	bflo_23091
OG0000007	BRALA18647	bflo_23283
OG0000007	BRALA23348	bflo_09771
OG0000007	BRALA05625	bflo_24497
OG0000007	BRALA30788	bflo_11392
OG0000008	BRALA16035	bflo_25964, bflo_01367, bflo_00741
OG0000008	BRALA05591	bflo_24920
OG0000008	BRALA27338	bflo_04328
