Orthogroup	DANRE	BRAFL
OG0000013	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	DANRE37898, DANRE35206, DANRE12526, DANRE12528, DANRE12527	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941
OG0000014	DANRE11299, DANRE03520	bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893
OG0000014	DANRE40391	bflo_18525, bflo_05141
OG0000014	DANRE17251, DANRE43403	bflo_04326, bflo_04339, bflo_04331
OG0000014	DANRE03675, DANRE03674, DANRE43177, DANRE29871	bflo_06816
OG0000015	DANRE07037, DANRE07036, DANRE03906, DANRE05961, DANRE41277, DANRE41276	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473
OG0000015	DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443	bflo_14872
OG0000015	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442	bflo_14874
OG0000015	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	bflo_24142, bflo_23928, bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970
