Orthogroup	DANRE	CAPO3
OG0000029	DANRE22154, DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326, DANRE41268, DANRE41269, DANRE26531, DANRE01944, DANRE42782, DANRE35736, DANRE21814, DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154	CAPO307131
OG0000030	DANRE34589, DANRE34588	CAPO300110
OG0000030	DANRE16388, DANRE16389, DANRE14546, DANRE09884, DANRE09883, DANRE34902, DANRE34483, DANRE34482, DANRE08390, DANRE08389, DANRE38993, DANRE28596, DANRE28594, DANRE28595, DANRE03619, DANRE41079, DANRE41078, DANRE08391, DANRE03978	CAPO305356, CAPO301638, CAPO307563
OG0000031	DANRE11621	CAPO303729
OG0000031	DANRE02768, DANRE23382	CAPO302122
OG0000035	DANRE23313, DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654, DANRE31052, DANRE25078, DANRE12998, DANRE12997, DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988, DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761, DANRE12947, DANRE38221, DANRE38222, DANRE38223, DANRE12948	CAPO307346, CAPO308354
OG0000039	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252	CAPO306958, CAPO306959
OG0000041	DANRE24726, DANRE30701, DANRE29584, DANRE29586, DANRE29583, DANRE29585, DANRE24718, DANRE38473, DANRE38474, DANRE38475, DANRE25228, DANRE30702, DANRE30703, DANRE30699, DANRE30704, DANRE30700, DANRE40396, DANRE40397, DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441, DANRE36805, DANRE27215, DANRE24076, DANRE27216, DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635	CAPO308025, CAPO306861
OG0000043	DANRE34152, DANRE37439, DANRE26092, DANRE39503, DANRE26159, DANRE37409, DANRE26051, DANRE26163, DANRE26169, DANRE26151, DANRE26095, DANRE26087, DANRE26064, DANRE26052, DANRE26099, DANRE37454, DANRE26078, DANRE37464, DANRE37436, DANRE37400, DANRE26085, DANRE39508, DANRE39495, DANRE26174, DANRE26166, DANRE37432, DANRE37396, DANRE37457, DANRE37467, DANRE37447, DANRE37451, DANRE37448, DANRE37433, DANRE37458, DANRE37440, DANRE37415, DANRE37395, DANRE00964	CAPO308256
OG0000048	DANRE16164, DANRE16166, DANRE16167, DANRE16163	CAPO305301
