Orthogroup	DANRE	CAPO3
OG0000915	DANRE23018, DANRE23019, DANRE22768, DANRE22767, DANRE30961, DANRE30962, DANRE36707, DANRE36706, DANRE02290, DANRE12496, DANRE12495	CAPO306555
OG0000921	DANRE41397, DANRE41396	CAPO300272
OG0000921	DANRE23828	CAPO306351
OG0000925	DANRE00252, DANRE00256, DANRE00255, DANRE00250, DANRE00254, DANRE00253, DANRE00251, DANRE37121, DANRE37119, DANRE42422, DANRE42421, DANRE42420, DANRE37120	CAPO304563
OG0000928	DANRE27687, DANRE27688, DANRE21003, DANRE24965, DANRE24966, DANRE39163	CAPO301245
OG0000929	DANRE20492, DANRE38022, DANRE24269, DANRE35282, DANRE35283, DANRE35284, DANRE38021, DANRE38020, DANRE18912, DANRE18914, DANRE18915, DANRE15012, DANRE15013, DANRE15014, DANRE15011	CAPO303494
OG0000931	DANRE07056, DANRE07059, DANRE04201, DANRE04200, DANRE04199, DANRE20176, DANRE35253, DANRE11180, DANRE11181, DANRE07058, DANRE07057, DANRE20174, DANRE20173, DANRE20175	CAPO303586
OG0000932	DANRE07573, DANRE07574	CAPO306783
OG0000933	DANRE11215, DANRE20009, DANRE38011, DANRE38009, DANRE05655, DANRE05654, DANRE05656, DANRE38010, DANRE38008, DANRE38007	CAPO304170
OG0000934	DANRE41926, DANRE41925, DANRE41924, DANRE41923, DANRE17314, DANRE17315	CAPO306946, CAPO300619
OG0000934	DANRE20665, DANRE40437, DANRE31439	CAPO304006
OG0000935	DANRE20955, DANRE28333, DANRE28334, DANRE12377, DANRE12378, DANRE37563, DANRE37564, DANRE08991, DANRE13968, DANRE13967, DANRE21030, DANRE42779	CAPO307401
OG0000944	DANRE24388, DANRE24387, DANRE01130, DANRE01129, DANRE06809, DANRE06354, DANRE33796, DANRE33797	CAPO304090
OG0000952	DANRE19203, DANRE20478, DANRE20479, DANRE19201, DANRE19202, DANRE06605, DANRE06606, DANRE06604, DANRE19204, DANRE19206, DANRE19205	CAPO300179
OG0000954	DANRE35837	CAPO303535
OG0000954	DANRE29087	CAPO305800
OG0000955	DANRE16947, DANRE34598	CAPO303429
OG0000955	DANRE12313	CAPO301514
OG0000955	DANRE06010	CAPO308190
OG0000960	DANRE38907, DANRE38906, DANRE38905, DANRE12544, DANRE12542, DANRE12541, DANRE12543, DANRE36890	CAPO304728
OG0000963	DANRE21554, DANRE21556, DANRE28340, DANRE21555, DANRE40847, DANRE23590	CAPO303990
OG0000965	DANRE07376	CAPO305928
OG0000965	DANRE37868	CAPO302148
OG0000967	DANRE03536, DANRE03535, DANRE11311, DANRE11310, DANRE11308, DANRE11309	CAPO304786
OG0000970	DANRE33493, DANRE19214	CAPO301807
OG0000974	DANRE20581	CAPO306940
OG0000978	DANRE27024, DANRE37180, DANRE24849, DANRE24850, DANRE27022, DANRE27023, DANRE27021, DANRE37039, DANRE37040, DANRE40773, DANRE40772, DANRE38576	CAPO306307
OG0000982	DANRE21553, DANRE28338, DANRE28339, DANRE14101, DANRE09208, DANRE39834, DANRE00506, DANRE00508, DANRE00507, DANRE00509	CAPO301371
OG0000984	DANRE19378, DANRE19379, DANRE19380, DANRE19381, DANRE21816, DANRE21815, DANRE21817	CAPO307940
OG0000985	DANRE04256, DANRE05103, DANRE05104, DANRE00260, DANRE00259, DANRE00261, DANRE06266, DANRE06267, DANRE06268	CAPO304864
OG0000986	DANRE00161, DANRE05005, DANRE00295, DANRE00296, DANRE00297, DANRE35316, DANRE35315	CAPO305058
OG0000987	DANRE23844, DANRE23846, DANRE23845, DANRE28109, DANRE28108, DANRE28110, DANRE36582, DANRE23126, DANRE02985, DANRE02984, DANRE42848, DANRE42847, DANRE02986	CAPO306365
OG0000992	DANRE03991, DANRE30488, DANRE30487, DANRE03990, DANRE03996, DANRE03997, DANRE03994, DANRE10562, DANRE10561, DANRE12136	CAPO308244
OG0000993	DANRE13216	CAPO303930
OG0000994	DANRE17301	CAPO306999
OG0000996	DANRE33745, DANRE33744, DANRE06309, DANRE24287, DANRE26741, DANRE26742, DANRE26739, DANRE26738, DANRE26740	CAPO304603
OG0000997	DANRE20114, DANRE20115	CAPO306501
OG0000999	DANRE29607, DANRE29608, DANRE24716, DANRE38934, DANRE38936, DANRE25765, DANRE25766, DANRE12419, DANRE12421, DANRE12420	CAPO303484, CAPO302236
OG0001006	DANRE15473, DANRE40023, DANRE00151, DANRE27457	CAPO308145
OG0001009	DANRE10781, DANRE14714, DANRE14715	CAPO305830
OG0001015	DANRE36830, DANRE28847, DANRE28849, DANRE28848, DANRE28850	CAPO304771
OG0001016	DANRE23809, DANRE23808	CAPO300038
OG0001016	DANRE24167, DANRE28181, DANRE24165, DANRE24166	CAPO302596
OG0001018	DANRE11146, DANRE11145	CAPO305732
OG0001024	DANRE07373, DANRE04817, DANRE04816, DANRE06260, DANRE03283, DANRE11210, DANRE11211, DANRE41223	CAPO300862
OG0001033	DANRE34683, DANRE19218, DANRE35345	CAPO305083
OG0001033	DANRE02095, DANRE40162	CAPO300376
OG0001036	DANRE22470, DANRE22471, DANRE22469, DANRE10595, DANRE15083, DANRE15084, DANRE10596, DANRE07130	CAPO301917
OG0001037	DANRE39620, DANRE39624, DANRE39622, DANRE39623, DANRE39619, DANRE34192, DANRE39621, DANRE34191, DANRE34188, DANRE34189, DANRE34190, DANRE26737, DANRE39625, DANRE26734, DANRE26735, DANRE26736, DANRE24510	CAPO306107
OG0001039	DANRE33581, DANRE33582, DANRE33583, DANRE35466	CAPO305080
OG0001042	DANRE40759, DANRE40758, DANRE40284, DANRE02474, DANRE02475, DANRE22411, DANRE22410, DANRE12329, DANRE12330, DANRE12328, DANRE31604, DANRE31603	CAPO301530
OG0001044	DANRE37591, DANRE37590, DANRE37589, DANRE19002	CAPO305401, CAPO306389
OG0001046	DANRE29998, DANRE15431, DANRE15430, DANRE43288, DANRE29165, DANRE30394, DANRE02971, DANRE02969, DANRE02970	CAPO304357
OG0001048	DANRE33726, DANRE33727, DANRE05406, DANRE03103, DANRE05407, DANRE19307, DANRE19308, DANRE20140, DANRE20141, DANRE20142	CAPO306868
OG0001049	DANRE22854, DANRE22853, DANRE30738	CAPO306151
OG0001049	DANRE07752, DANRE23213	CAPO305769
OG0001050	DANRE40771, DANRE17632, DANRE37651, DANRE36467, DANRE25249, DANRE25251, DANRE25250, DANRE09895, DANRE09896	CAPO306760
OG0001060	DANRE07143, DANRE07142	CAPO307547, CAPO305773, CAPO307224, CAPO305772, CAPO301879
OG0001060	DANRE30655	CAPO302777
OG0001062	DANRE28653, DANRE16543, DANRE21837, DANRE21838, DANRE26303, DANRE23617	CAPO300111
OG0001066	DANRE39946, DANRE40457, DANRE39945, DANRE22302, DANRE40512, DANRE36839	CAPO305156
OG0001069	DANRE41652	CAPO301006, CAPO306010, CAPO301236, CAPO307600, CAPO303893, CAPO304221, CAPO306089, CAPO305429, CAPO304894, CAPO305587, CAPO303313
OG0001072	DANRE34212, DANRE34213, DANRE33687, DANRE33686, DANRE30991	CAPO304331
OG0001073	DANRE07147, DANRE07148, DANRE02614	CAPO307880
OG0001075	DANRE09111, DANRE09112, DANRE09110, DANRE09113, DANRE09109, DANRE18111, DANRE18112, DANRE18109, DANRE18110, DANRE11682	CAPO305658
OG0001076	DANRE01059, DANRE01061, DANRE08511, DANRE08513, DANRE08512, DANRE01060, DANRE08514, DANRE17848, DANRE17845, DANRE17846, DANRE17844	CAPO306580
OG0001078	DANRE33231, DANRE33234, DANRE33233, DANRE33232, DANRE22373, DANRE22374, DANRE22372, DANRE36986, DANRE29517, DANRE24790, DANRE24791, DANRE39097, DANRE39096, DANRE39098	CAPO300211
OG0001082	DANRE01614	CAPO306944
OG0001083	DANRE11162, DANRE03313, DANRE06572, DANRE11816, DANRE11815	CAPO306339
OG0001085	DANRE36752, DANRE36751, DANRE22295, DANRE39750, DANRE39751, DANRE02426, DANRE30868, DANRE30869, DANRE02298, DANRE02297, DANRE02296	CAPO305936
OG0001092	DANRE01084, DANRE01083, DANRE08553, DANRE08554, DANRE15919, DANRE15921, DANRE15920, DANRE01082, DANRE15922	CAPO303664
OG0001095	DANRE37105, DANRE37106, DANRE21368, DANRE21367, DANRE14978	CAPO303064
OG0001096	DANRE36317, DANRE41555, DANRE41553, DANRE41554	CAPO308143
OG0001101	DANRE43023, DANRE43024	CAPO301529
OG0001104	DANRE12309, DANRE12308, DANRE15094, DANRE18450, DANRE18449, DANRE18448	CAPO306923
OG0001106	DANRE37557, DANRE37558, DANRE26118, DANRE26117, DANRE26119	CAPO307850
OG0001108	DANRE22562, DANRE36536, DANRE36537, DANRE22561, DANRE22563, DANRE07648, DANRE07647, DANRE07649, DANRE07646, DANRE07645	CAPO300863
OG0001113	DANRE29306	CAPO302840
OG0001113	DANRE36120	CAPO304589
OG0001116	DANRE03948, DANRE42044, DANRE42046, DANRE42047, DANRE26874, DANRE28973, DANRE28974	CAPO303103
OG0001120	DANRE20475, DANRE06618, DANRE06617, DANRE35418, DANRE42918, DANRE42917, DANRE06970, DANRE06969, DANRE06968, DANRE06971	CAPO300555
OG0001121	DANRE05588, DANRE05587, DANRE16591, DANRE16590, DANRE16589	CAPO305030
OG0001123	DANRE23983	CAPO305010
OG0001124	DANRE03040, DANRE01476	CAPO307326
OG0001126	DANRE37911	CAPO301067
OG0001126	DANRE02473	CAPO308119
OG0001128	DANRE11570, DANRE11571, DANRE13253, DANRE13252, DANRE00033, DANRE18370, DANRE18369, DANRE18368, DANRE18366, DANRE18367	CAPO301710
OG0001129	DANRE12805, DANRE38100, DANRE10144, DANRE09107	CAPO306230
OG0001130	DANRE00191, DANRE00192	CAPO305636
OG0001132	DANRE00495, DANRE00494, DANRE00496	CAPO303538
OG0001133	DANRE14565	CAPO302577
OG0001133	DANRE00326, DANRE00325	CAPO300360
OG0001134	DANRE30384, DANRE03544, DANRE03543	CAPO304261
OG0001135	DANRE43114, DANRE28908, DANRE28907, DANRE28967, DANRE28968	CAPO304787
OG0001136	DANRE40170, DANRE40169, DANRE26964, DANRE26965, DANRE39095, DANRE39094	CAPO301949
OG0001137	DANRE34399, DANRE07711, DANRE07714, DANRE07715, DANRE07713, DANRE07712, DANRE07710, DANRE34398	CAPO308164
OG0001139	DANRE16147, DANRE16148, DANRE25097, DANRE30941, DANRE30942	CAPO300537
OG0001140	DANRE14735, DANRE14736, DANRE12076, DANRE12078	CAPO308326
OG0001142	DANRE38005, DANRE38003	CAPO304790
OG0001143	DANRE25849, DANRE30754, DANRE30755, DANRE13212, DANRE15627, DANRE09922	CAPO304300
OG0001144	DANRE23119, DANRE23118, DANRE36574, DANRE36575, DANRE36573, DANRE41447, DANRE41446, DANRE09531, DANRE09530, DANRE14316, DANRE14317	CAPO307577
OG0001146	DANRE36295, DANRE36291, DANRE36297, DANRE36294, DANRE36292, DANRE36293, DANRE36296, DANRE41104, DANRE41105, DANRE33875, DANRE33874	CAPO300511
OG0001149	DANRE14289, DANRE14290, DANRE14288, DANRE43370, DANRE43369	CAPO305549
OG0001156	DANRE36530, DANRE22268, DANRE29205, DANRE29204, DANRE42727, DANRE42726	CAPO306962
OG0001158	DANRE24675, DANRE36872, DANRE23963, DANRE23962, DANRE24676, DANRE36873	CAPO302639
OG0001160	DANRE31338, DANRE39872, DANRE20664, DANRE20663	CAPO304743
OG0001161	DANRE38331, DANRE38329, DANRE38330, DANRE25997, DANRE00207, DANRE00210, DANRE00209	CAPO301112
OG0001163	DANRE04351, DANRE05359	CAPO301684, CAPO307755, CAPO304886
OG0001167	DANRE11150, DANRE38292, DANRE38291, DANRE05260, DANRE05261	CAPO307849
OG0001168	DANRE14763, DANRE14762, DANRE01595, DANRE14764, DANRE01592, DANRE09690, DANRE09691, DANRE01594, DANRE01593, DANRE25534, DANRE25535	CAPO301546
OG0001169	DANRE28707, DANRE08936, DANRE08937	CAPO301751
OG0001170	DANRE07719, DANRE07718, DANRE33792, DANRE33791, DANRE23256, DANRE23257	CAPO302766
OG0001171	DANRE24329, DANRE23282, DANRE23283, DANRE23281, DANRE14514, DANRE14513, DANRE09798, DANRE09799, DANRE22398, DANRE22399, DANRE22400	CAPO300420
OG0001175	DANRE40566, DANRE40568, DANRE40567, DANRE40616, DANRE40615, DANRE00572, DANRE40617	CAPO304133, CAPO306812
OG0001179	DANRE39019, DANRE37036, DANRE37035	CAPO300184
OG0001181	DANRE23910, DANRE23911, DANRE26674, DANRE26675, DANRE03474, DANRE29972, DANRE29971	CAPO301983
OG0001183	DANRE24698, DANRE29477, DANRE29478, DANRE29479, DANRE29476, DANRE29483, DANRE29481, DANRE29482, DANRE29480, DANRE24697	CAPO301096
OG0001184	DANRE14296, DANRE14295	CAPO306392
OG0001185	DANRE10091, DANRE10087, DANRE10090, DANRE10088, DANRE10089, DANRE05149, DANRE05150	CAPO303366
OG0001186	DANRE26898, DANRE26897, DANRE26189	CAPO302303
OG0001186	DANRE39141	CAPO307451
OG0001188	DANRE20180, DANRE20181, DANRE37779, DANRE37780, DANRE05645, DANRE02573, DANRE11351, DANRE11352, DANRE05646	CAPO300558
OG0001196	DANRE14067, DANRE14066, DANRE34121, DANRE34124, DANRE34123, DANRE34122, DANRE08119, DANRE08109, DANRE08110, DANRE08111, DANRE08114, DANRE08117, DANRE08118, DANRE08116, DANRE08115, DANRE08113, DANRE08112, DANRE14065	CAPO301570
OG0001197	DANRE19964, DANRE19965	CAPO306552
OG0001199	DANRE11652, DANRE11653, DANRE18330, DANRE18331	CAPO305690
OG0001201	DANRE12519, DANRE22352, DANRE22354, DANRE02404, DANRE02405, DANRE24906, DANRE22353, DANRE22355, DANRE12520, DANRE24918	CAPO302220
OG0001207	DANRE42063	CAPO305627
OG0001207	DANRE24209, DANRE29571, DANRE35692	CAPO302093
OG0001208	DANRE35541, DANRE41476, DANRE41472, DANRE41473, DANRE09739, DANRE09738, DANRE43074	CAPO300830
OG0001210	DANRE18802, DANRE18801, DANRE18800	CAPO300919
OG0001213	DANRE04387, DANRE43203, DANRE04388	CAPO304729
OG0001213	DANRE01516, DANRE01514, DANRE01515	CAPO303632
OG0001214	DANRE24143	CAPO304780
OG0001215	DANRE27329, DANRE27330, DANRE35594, DANRE35595, DANRE41572, DANRE41571, DANRE41573, DANRE35593, DANRE35592, DANRE41574, DANRE23354, DANRE23355, DANRE36527, DANRE36526	CAPO302583
OG0001216	DANRE39374, DANRE33871, DANRE09303, DANRE26030	CAPO307997
OG0001217	DANRE24420, DANRE19883, DANRE19884, DANRE24419, DANRE33785, DANRE17425, DANRE17426, DANRE11461	CAPO306810
OG0001218	DANRE13767, DANRE09982, DANRE13766, DANRE13765, DANRE02525, DANRE02526, DANRE37945	CAPO307457
OG0001221	DANRE38048, DANRE38049	CAPO307765
OG0001226	DANRE07724, DANRE07723, DANRE07722, DANRE06318, DANRE23264, DANRE23266, DANRE23265, DANRE14194	CAPO307936
OG0001232	DANRE29418, DANRE29417	CAPO304224
OG0001233	DANRE37927, DANRE37928	CAPO303591
OG0001234	DANRE37290, DANRE37291, DANRE09490, DANRE09491, DANRE13560, DANRE13559, DANRE38545, DANRE38546, DANRE09492	CAPO307897
OG0001241	DANRE22500, DANRE22501	CAPO303368
OG0001241	DANRE16085, DANRE06905	CAPO304888
OG0001247	DANRE22419, DANRE31091, DANRE31090, DANRE01633, DANRE22417, DANRE22418, DANRE22416, DANRE22420, DANRE22415, DANRE34005, DANRE34004, DANRE34002, DANRE34006, DANRE34003	CAPO303193, CAPO307423
OG0001248	DANRE35929, DANRE35927, DANRE35928, DANRE24637, DANRE23456	CAPO303079
OG0001249	DANRE15846, DANRE26785, DANRE35515, DANRE20943	CAPO306922
OG0001250	DANRE29340, DANRE29339, DANRE29338, DANRE03569, DANRE03568, DANRE03567, DANRE30537	CAPO302323
OG0001251	DANRE24093, DANRE24095, DANRE24092, DANRE24094	CAPO302019
OG0001252	DANRE30251, DANRE30252, DANRE26714, DANRE24514, DANRE24513, DANRE24515, DANRE28344, DANRE28343, DANRE28342, DANRE28345, DANRE21559, DANRE21558, DANRE21560	CAPO300016
OG0001253	DANRE30836, DANRE12545, DANRE39815, DANRE39814, DANRE22552, DANRE30835, DANRE30834, DANRE40361, DANRE01742, DANRE01743, DANRE01744	CAPO306156
OG0001254	DANRE00247, DANRE00249, DANRE39065, DANRE25611, DANRE25612	CAPO307546
OG0001261	DANRE23743, DANRE15935, DANRE15934, DANRE23744, DANRE42389	CAPO302839
OG0001263	DANRE33573, DANRE05204, DANRE05205, DANRE03253, DANRE03252, DANRE29681, DANRE29682	CAPO301777
OG0001267	DANRE15701, DANRE15702, DANRE35017, DANRE01548, DANRE34033, DANRE16499, DANRE16498	CAPO307578
OG0001268	DANRE36957, DANRE15799, DANRE22870, DANRE22871	CAPO303692
OG0001270	DANRE24812	CAPO306176
OG0001270	DANRE29397	CAPO304393
OG0001271	DANRE03359, DANRE27363, DANRE38820, DANRE38819, DANRE38817, DANRE38818, DANRE27361, DANRE27362, DANRE27360, DANRE03360, DANRE21111	CAPO302779
OG0001272	DANRE29978, DANRE03166, DANRE07917, DANRE20323, DANRE06556, DANRE06559, DANRE06557, DANRE06558	CAPO305566
OG0001273	DANRE02106, DANRE02107, DANRE28331, DANRE34837, DANRE34836, DANRE34838	CAPO301889
OG0001274	DANRE26549, DANRE16882, DANRE16883, DANRE16884, DANRE33262, DANRE33263, DANRE33261	CAPO308194
OG0001276	DANRE01207, DANRE01206	CAPO302888
OG0001278	DANRE30403, DANRE02994, DANRE02993, DANRE02995, DANRE18880, DANRE18879	CAPO306229
OG0001279	DANRE13251, DANRE13250, DANRE00031, DANRE00032, DANRE10695, DANRE04800, DANRE16827	CAPO302733
OG0001280	DANRE25620, DANRE25621, DANRE37606, DANRE37604, DANRE37605, DANRE28151, DANRE40113, DANRE40112, DANRE37607, DANRE16017, DANRE23707, DANRE16016	CAPO300326
OG0001281	DANRE13146, DANRE13147, DANRE01268, DANRE05291, DANRE38128, DANRE38129	CAPO304088, CAPO303543
OG0001282	DANRE42333, DANRE34496, DANRE34495, DANRE42332, DANRE42331, DANRE27101, DANRE24465, DANRE24464	CAPO303595
OG0001284	DANRE24158, DANRE09932, DANRE14552, DANRE25929	CAPO300970
OG0001285	DANRE05323, DANRE00630	CAPO304179
OG0001286	DANRE38943, DANRE38941, DANRE38942, DANRE25785, DANRE25786, DANRE25784, DANRE29610, DANRE29611, DANRE03205	CAPO303892
OG0001287	DANRE20476, DANRE07347, DANRE20477, DANRE42919, DANRE06963, DANRE06964	CAPO302822, CAPO304538
OG0001288	DANRE34317, DANRE25733, DANRE34315, DANRE34318, DANRE34316	CAPO302651
OG0001289	DANRE11856, DANRE11855, DANRE00880, DANRE05727, DANRE03954, DANRE03953, DANRE03955, DANRE03952	CAPO306071
OG0001290	DANRE00524, DANRE00528, DANRE00526, DANRE00527, DANRE12301, DANRE12302, DANRE12674, DANRE37304, DANRE37305, DANRE37303, DANRE37306, DANRE37307, DANRE37309, DANRE37308	CAPO302574
OG0001291	DANRE00618, DANRE00617, DANRE34030, DANRE34031, DANRE34032, DANRE06257, DANRE06256, DANRE20027, DANRE20028, DANRE20029	CAPO300695
OG0001294	DANRE05496, DANRE18837, DANRE18836, DANRE05494	CAPO304223
OG0001295	DANRE41427, DANRE35768, DANRE35767, DANRE23445, DANRE03881, DANRE29254, DANRE29255, DANRE14273	CAPO306210
OG0001296	DANRE11527, DANRE38121, DANRE38122, DANRE38123, DANRE38120, DANRE22225, DANRE22224	CAPO308260
OG0001297	DANRE30717, DANRE22459, DANRE22458, DANRE22460, DANRE37013, DANRE37014, DANRE37702	CAPO305437
OG0001300	DANRE26543, DANRE26542, DANRE42930, DANRE42928, DANRE42929, DANRE06398, DANRE06399	CAPO303702, CAPO301019, CAPO300154
OG0001302	DANRE35522	CAPO302654
OG0001302	DANRE09810	CAPO302215
OG0001304	DANRE27746, DANRE27745, DANRE38594, DANRE38595, DANRE26905, DANRE26906, DANRE36903, DANRE36902	CAPO302419
OG0001305	DANRE16549, DANRE16550, DANRE28651, DANRE28652, DANRE34203, DANRE36227, DANRE36226, DANRE26925	CAPO304488
OG0001308	DANRE05117, DANRE05116, DANRE06233, DANRE34680	CAPO300432
OG0001309	DANRE37164, DANRE20017, DANRE20016, DANRE27311	CAPO300871
OG0001310	DANRE12016, DANRE12017	CAPO305405
OG0001310	DANRE11088, DANRE11087, DANRE35906	CAPO300151
OG0001311	DANRE14576, DANRE08602, DANRE10133, DANRE13609, DANRE13617	CAPO300585
OG0001312	DANRE33358, DANRE24238, DANRE24239, DANRE33360, DANRE33361	CAPO304811
OG0001317	DANRE30986, DANRE30985, DANRE30984, DANRE35107, DANRE35108, DANRE35106, DANRE35109, DANRE35103, DANRE35110, DANRE35111, DANRE35113, DANRE35112	CAPO302225
OG0001318	DANRE03829	CAPO306280
OG0001318	DANRE41846, DANRE16169	CAPO303315
OG0001319	DANRE05988, DANRE33830, DANRE06762, DANRE06763, DANRE27088, DANRE27087, DANRE24474, DANRE42476	CAPO304915
OG0001320	DANRE24902	CAPO307498
OG0001320	DANRE18723, DANRE18722, DANRE05778	CAPO304958
OG0001321	DANRE12728, DANRE28335, DANRE21547, DANRE21546, DANRE10456	CAPO301358
OG0001322	DANRE07737	CAPO302022
OG0001323	DANRE43273, DANRE11172, DANRE04362, DANRE11171, DANRE19992, DANRE37489, DANRE05619	CAPO301735
OG0001324	DANRE16093, DANRE16095, DANRE16098, DANRE16097, DANRE16094, DANRE16096	CAPO302080
OG0001325	DANRE07084, DANRE07085, DANRE07086, DANRE04852, DANRE04851, DANRE04853, DANRE07195, DANRE07194	CAPO304115
OG0001326	DANRE05749, DANRE05748, DANRE43139, DANRE01553, DANRE33552, DANRE33553, DANRE33551, DANRE05304, DANRE16141	CAPO306149
OG0001327	DANRE25508, DANRE25510, DANRE25509, DANRE31148, DANRE31147, DANRE02284	CAPO305568
OG0001330	DANRE03150, DANRE03151, DANRE29159, DANRE29160, DANRE08275, DANRE20391, DANRE20390, DANRE33586, DANRE33587, DANRE20387	CAPO304584, CAPO300112
OG0001332	DANRE16331, DANRE38071	CAPO305487
OG0001333	DANRE00100, DANRE03587	CAPO301191
OG0001335	DANRE25894	CAPO300740, CAPO306508
OG0001344	DANRE00281	CAPO308153
OG0001345	DANRE40478, DANRE40477	CAPO306177
OG0001348	DANRE41949, DANRE41948, DANRE16560, DANRE16561, DANRE16562, DANRE06898, DANRE06897, DANRE06899	CAPO304908
OG0001350	DANRE26476, DANRE26475	CAPO305116, CAPO303054
OG0001350	DANRE23566	CAPO307484
OG0001352	DANRE41231, DANRE39193, DANRE20952	CAPO303801
OG0001353	DANRE22526, DANRE22525, DANRE28302, DANRE28301, DANRE22523, DANRE22524	CAPO303379
OG0001355	DANRE26753, DANRE13285, DANRE34884, DANRE15252, DANRE20243, DANRE15599, DANRE15597, DANRE40954, DANRE00104, DANRE00105	CAPO307732
OG0001358	DANRE18167, DANRE01240, DANRE08401, DANRE08402, DANRE07002, DANRE10816, DANRE18163, DANRE18164, DANRE18166, DANRE18165	CAPO302204
OG0001359	DANRE21737, DANRE28265, DANRE13462, DANRE13460, DANRE13461, DANRE09599	CAPO303726
OG0001361	DANRE25433, DANRE37698, DANRE30944	CAPO307400
OG0001364	DANRE00727, DANRE00728, DANRE37949, DANRE28112	CAPO307249
OG0001366	DANRE15379, DANRE23791, DANRE23792, DANRE28166, DANRE28165, DANRE15378, DANRE42121, DANRE42120	CAPO302707
OG0001367	DANRE35489, DANRE35487, DANRE35488, DANRE27264, DANRE27263, DANRE18747, DANRE18746, DANRE11545, DANRE11547	CAPO304628
OG0001370	DANRE12902, DANRE12901	CAPO305064
OG0001370	DANRE42207, DANRE42206	CAPO306956
OG0001372	DANRE36486, DANRE36487, DANRE36488, DANRE36489	CAPO301063
OG0001373	DANRE03670, DANRE03669, DANRE29075, DANRE30104, DANRE30103, DANRE04357, DANRE04358, DANRE03631	CAPO300734
OG0001378	DANRE39692, DANRE00586, DANRE00587, DANRE04190, DANRE04191, DANRE15660, DANRE20427, DANRE07393, DANRE06565, DANRE06566	CAPO302717
OG0001379	DANRE26946, DANRE36264, DANRE36263, DANRE06960, DANRE06961, DANRE06962, DANRE01201, DANRE01199, DANRE01200	CAPO304865
OG0001382	DANRE29511, DANRE29512, DANRE29509, DANRE29510	CAPO306735
OG0001383	DANRE19422, DANRE19418, DANRE19419, DANRE19420, DANRE19421, DANRE11521	CAPO300442
OG0001386	DANRE03392, DANRE03393, DANRE03394, DANRE03391, DANRE14264	CAPO305078
OG0001387	DANRE42643, DANRE42642, DANRE21385, DANRE42641, DANRE21258, DANRE21259, DANRE40217	CAPO306110, CAPO306288
OG0001397	DANRE07349, DANRE05010, DANRE04061, DANRE04062	CAPO306119
OG0001399	DANRE19814, DANRE36899, DANRE36900, DANRE36901, DANRE26137	CAPO304148
OG0001400	DANRE14343, DANRE03875, DANRE03874, DANRE03873, DANRE41416, DANRE41417, DANRE14344, DANRE09550	CAPO305841
OG0001404	DANRE29412, DANRE29413, DANRE41083	CAPO302450
OG0001405	DANRE15536	CAPO302942
OG0001406	DANRE22189, DANRE22190, DANRE37991, DANRE37992, DANRE06530, DANRE06531, DANRE06529	CAPO305604
OG0001408	DANRE19547, DANRE19548, DANRE19549, DANRE24542, DANRE24541, DANRE24540, DANRE26730, DANRE26731, DANRE26728, DANRE26729, DANRE24539	CAPO304468
OG0001409	DANRE09251, DANRE09250, DANRE13818, DANRE13817, DANRE13819, DANRE16638, DANRE41648	CAPO300832
OG0001410	DANRE30066, DANRE30065	CAPO304381
OG0001410	DANRE24024	CAPO303461
OG0001411	DANRE17922, DANRE17923, DANRE17924	CAPO301653
OG0001412	DANRE34214, DANRE35250, DANRE35249, DANRE35251	CAPO304843
OG0001413	DANRE35337	CAPO300375
OG0001414	DANRE16711	CAPO301834
OG0001414	DANRE04939	CAPO303273
OG0001415	DANRE33647, DANRE33648, DANRE41471	CAPO307087
OG0001416	DANRE43206, DANRE43207, DANRE02789, DANRE02788, DANRE23231, DANRE23232, DANRE02791, DANRE02790	CAPO300753
OG0001418	DANRE16726, DANRE28677, DANRE28678, DANRE36406, DANRE02103, DANRE02104, DANRE27063	CAPO300218
OG0001420	DANRE05459, DANRE05458, DANRE40331, DANRE40438, DANRE40439, DANRE02659, DANRE02658, DANRE36962, DANRE30671, DANRE30668, DANRE30672	CAPO304723, CAPO308198, CAPO308234, CAPO305541, CAPO307813
OG0001422	DANRE09528, DANRE09527, DANRE41453	CAPO308345, CAPO303120
OG0001423	DANRE10401, DANRE10402, DANRE40608, DANRE40609, DANRE40125, DANRE40126, DANRE35639, DANRE35640, DANRE28883, DANRE28884	CAPO301310
OG0001424	DANRE22605, DANRE22606, DANRE42572, DANRE42573	CAPO304776
OG0001425	DANRE11642, DANRE18590, DANRE18588, DANRE18587, DANRE18589, DANRE25170, DANRE00361, DANRE34566	CAPO302275, CAPO302850
OG0001426	DANRE22196, DANRE22198, DANRE26468, DANRE01765, DANRE01763, DANRE01764, DANRE22197, DANRE23464, DANRE23465, DANRE37899, DANRE37900, DANRE08922, DANRE08923	CAPO302841
OG0001427	DANRE40320, DANRE40321, DANRE22541, DANRE22540, DANRE22539, DANRE40322, DANRE24655, DANRE24656, DANRE24657, DANRE24658, DANRE30640, DANRE30639, DANRE11704	CAPO302723
OG0001428	DANRE22947, DANRE22948, DANRE23679, DANRE36635, DANRE23678, DANRE13768	CAPO303027
OG0001430	DANRE18427, DANRE00904, DANRE07242, DANRE11523, DANRE11522, DANRE13324, DANRE35076	CAPO300562
OG0001431	DANRE27312, DANRE13762, DANRE13761, DANRE40955, DANRE04339	CAPO308230
OG0001437	DANRE27147, DANRE27146	CAPO304955
