Orthogroup	DANRE	APOSJ_ok
OG0000002	DANRE16673	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870, APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873
OG0000002	DANRE23574	APOSJ_21931
OG0000003	DANRE05700	APOSJ_07491, APOSJ_53718
OG0000004	DANRE31040	APOSJ_60995
OG0000004	DANRE41389, DANRE41390	APOSJ_09445
OG0000005	DANRE17266	APOSJ_58392, APOSJ_58393
OG0000005	DANRE11160	APOSJ_43564, APOSJ_43561
OG0000006	DANRE40167, DANRE35529, DANRE26614, DANRE26613	APOSJ_14510
OG0000006	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940	APOSJ_43757
OG0000006	DANRE18291, DANRE26970, DANRE26971, DANRE18292	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178
OG0000006	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917
OG0000006	DANRE30064, DANRE15483	APOSJ_52128
OG0000006	DANRE30060	APOSJ_22887
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	APOSJ_25002
OG0000006	DANRE05395	APOSJ_24425, APOSJ_24424
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	APOSJ_38154
OG0000006	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329	APOSJ_46492
OG0000007	DANRE26275, DANRE17982	APOSJ_59584
OG0000007	DANRE38320, DANRE26009, DANRE40798, DANRE40799	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	APOSJ_59909
OG0000007	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143	APOSJ_46494
OG0000007	DANRE07035, DANRE20085, DANRE04871, DANRE04210	APOSJ_04151
OG0000007	DANRE12664	APOSJ_32909
OG0000007	DANRE26277, DANRE17981, DANRE12992, DANRE12991	APOSJ_33751
OG0000007	DANRE08320, DANRE33659	APOSJ_45510, APOSJ_50337
OG0000007	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	DANRE30028, DANRE03038, DANRE28801	APOSJ_06582, APOSJ_20594
OG0000007	DANRE30495, DANRE03657, DANRE03658	APOSJ_16847, APOSJ_57982, APOSJ_16846
OG0000007	DANRE02453, DANRE09326, DANRE09325	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	APOSJ_55940, APOSJ_55941
OG0000008	DANRE34310, DANRE39865	APOSJ_61175
OG0000008	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452	APOSJ_50496
OG0000010	DANRE39463, DANRE39462	APOSJ_03628
OG0000011	DANRE22618, DANRE32639, DANRE19908, DANRE03442	APOSJ_09282
OG0000012	DANRE38177, DANRE38176	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160
OG0000012	DANRE12655, DANRE12656, DANRE12659	APOSJ_20422
OG0000013	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838	APOSJ_50056, APOSJ_01943
OG0000014	DANRE17251, DANRE43403	APOSJ_28331, APOSJ_28332
OG0000014	DANRE03675, DANRE03674, DANRE43177, DANRE29871	APOSJ_23867, APOSJ_22503
OG0000015	DANRE15829, DANRE07077	APOSJ_33839
OG0000015	DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443	APOSJ_09441, APOSJ_10165
OG0000015	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442	APOSJ_53813, APOSJ_50846, APOSJ_50844
OG0000016	DANRE38616, DANRE06628, DANRE06627, DANRE13366	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457
OG0000016	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064	APOSJ_40020
OG0000016	DANRE35611	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717
OG0000016	DANRE02012	APOSJ_31207
OG0000016	DANRE13447	APOSJ_03790
OG0000016	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753	APOSJ_11248
OG0000018	DANRE32666	APOSJ_03375
OG0000018	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094	APOSJ_27177, APOSJ_35802, APOSJ_41144, APOSJ_61457, APOSJ_61458, APOSJ_62289, APOSJ_61461, APOSJ_61462, APOSJ_41143, APOSJ_61459, APOSJ_65410, APOSJ_56262, APOSJ_12569, APOSJ_25320, APOSJ_04276, APOSJ_51121, APOSJ_05958
OG0000018	DANRE13954, DANRE13946	APOSJ_04828, APOSJ_32266, APOSJ_22620, APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914
OG0000019	DANRE29946, DANRE21114, DANRE41681	APOSJ_25021
OG0000019	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	APOSJ_49365
OG0000020	DANRE10827, DANRE10826, DANRE10743	APOSJ_03215
OG0000020	DANRE10670	APOSJ_60863, APOSJ_38143, APOSJ_60862
OG0000020	DANRE30414	APOSJ_45822, APOSJ_45820, APOSJ_45821
OG0000020	DANRE27431, DANRE27432, DANRE27433	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910
OG0000020	DANRE06741, DANRE06740, DANRE15747	APOSJ_51246, APOSJ_35639
OG0000020	DANRE22958, DANRE22959	APOSJ_08125, APOSJ_51104
OG0000020	DANRE06663, DANRE06664	APOSJ_16758
OG0000020	DANRE18984	APOSJ_64610, APOSJ_31490
OG0000020	DANRE27379	APOSJ_45120
OG0000021	DANRE01661, DANRE22424, DANRE31606, DANRE31605	APOSJ_47375, APOSJ_47376
OG0000021	DANRE39795, DANRE39796, DANRE22480	APOSJ_00267, APOSJ_00268, APOSJ_01716
OG0000021	DANRE33712, DANRE33711, DANRE33342, DANRE33343	APOSJ_56015, APOSJ_08859
OG0000021	DANRE37717, DANRE02277	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745
OG0000021	DANRE27401, DANRE27403, DANRE27400	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488
