Orthogroup	APOSJ_ok	ASTMX
OG0000024	APOSJ_61540, APOSJ_61541, APOSJ_41584, APOSJ_02508, APOSJ_02509, APOSJ_01723, APOSJ_49604, APOSJ_49606, APOSJ_49600, APOSJ_49609, APOSJ_01726, APOSJ_10812, APOSJ_01728, APOSJ_49603, APOSJ_01724, APOSJ_01725, APOSJ_49605, APOSJ_49608, APOSJ_49607, APOSJ_49602, APOSJ_01727, APOSJ_64694, APOSJ_36208, APOSJ_60045, APOSJ_60046, APOSJ_60043, APOSJ_60042, APOSJ_60044, APOSJ_60041, APOSJ_50597, APOSJ_50596, APOSJ_59030, APOSJ_52499, APOSJ_21171, APOSJ_52500, APOSJ_52498, APOSJ_22830, APOSJ_21196	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426
OG0000026	APOSJ_39679, APOSJ_39682	ASTMX06810
OG0000026	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353	ASTMX12978
OG0000028	APOSJ_13359, APOSJ_13358	ASTMX01721, ASTMX15155, ASTMX14212
OG0000029	APOSJ_26876, APOSJ_26877, APOSJ_64430	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545
OG0000029	APOSJ_01736, APOSJ_00280, APOSJ_39397, APOSJ_49234, APOSJ_49235, APOSJ_49236, APOSJ_02895, APOSJ_39949	ASTMX12065, ASTMX05431, ASTMX02396, ASTMX13116, ASTMX01708
OG0000030	APOSJ_05001, APOSJ_01764, APOSJ_30576	ASTMX22473
OG0000030	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348	ASTMX13784, ASTMX06816, ASTMX18369
OG0000030	APOSJ_46611, APOSJ_46610	ASTMX02378, ASTMX18821
OG0000030	APOSJ_24666, APOSJ_08058	ASTMX22293
OG0000031	APOSJ_02555, APOSJ_52808, APOSJ_02551, APOSJ_02552, APOSJ_02553, APOSJ_02550, APOSJ_02554, APOSJ_02549	ASTMX05563
OG0000031	APOSJ_37355	ASTMX17418, ASTMX22504, ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065
OG0000031	APOSJ_56428	ASTMX08659, ASTMX04771
OG0000031	APOSJ_58452	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571
OG0000031	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293	ASTMX06525
OG0000031	APOSJ_07842, APOSJ_07841	ASTMX11402, ASTMX09693, ASTMX17541
OG0000031	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162	ASTMX03912, ASTMX00105
OG0000031	APOSJ_01762	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725
