Orthogroup	APOSJ_ok	OWEFU
OG0000003	APOSJ_33662	OFUSG21334.1.p1
OG0000003	APOSJ_41535, APOSJ_46680, APOSJ_41536	OFUSG05190.1.p1, OFUSG05194.1.p1
OG0000003	APOSJ_07491, APOSJ_53718	OFUSG12884.1.p1
OG0000003	APOSJ_28104, APOSJ_21473, APOSJ_28537	OFUSG26297.1.p1
OG0000003	APOSJ_36444	OFUSG01752.1.p1
OG0000003	APOSJ_22527	OFUSG18436.1.p1, OFUSG18438.1.p1
OG0000003	APOSJ_41438	OFUSG05924.1.p1
OG0000003	APOSJ_11759	OFUSG18791.1.p1, OFUSG23315.1.p1
OG0000003	APOSJ_38353	OFUSG03893.1.p1
OG0000003	APOSJ_10992, APOSJ_60978	OFUSG02265.1.p1
OG0000004	APOSJ_09445	OFUSG24712.2.p1, OFUSG24712.1.p1, OFUSG20755.1.p1, OFUSG20753.1.p1, OFUSG20754.1.p1, OFUSG14752.1.p1
OG0000005	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667	OFUSG15197.1.p1, OFUSG15195.1.p1
OG0000005	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100, APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1
OG0000005	APOSJ_12734	OFUSG26276.1.p1
OG0000005	APOSJ_43564, APOSJ_43561	OFUSG20119.1.p1, OFUSG08484.1.p1
OG0000006	APOSJ_14510	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	APOSJ_43757	OFUSG02905.1.p1
OG0000006	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178	OFUSG25514.1.p1
OG0000006	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917	OFUSG07929.1.p1
OG0000006	APOSJ_52128	OFUSG10782.1.p1
OG0000006	APOSJ_25002	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	APOSJ_24425, APOSJ_24424	OFUSG21061.1.p1
OG0000006	APOSJ_38154	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	APOSJ_46492	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000007	APOSJ_54414, APOSJ_55946, APOSJ_54415	OFUSG09476.1.p1
OG0000007	APOSJ_59909	OFUSG21527.1.p1
OG0000007	APOSJ_46494	OFUSG13716.1.p1
OG0000007	APOSJ_32909	OFUSG05364.1.p1
OG0000007	APOSJ_33751	OFUSG04768.1.p1
OG0000007	APOSJ_45510, APOSJ_50337	OFUSG25429.1.p1
OG0000007	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	APOSJ_16847, APOSJ_57982, APOSJ_16846	OFUSG10613.1.p1
OG0000007	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	APOSJ_55940, APOSJ_55941	OFUSG25241.1.p1
OG0000008	APOSJ_26935, APOSJ_25092, APOSJ_24812	OFUSG25732.1.p1
