Orthogroup	APOSJ_ok	XENTR
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160	XENTR00246, XENTR14489, XENTR13810, XENTR10002
OG0000012	APOSJ_20422	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256
OG0000013	APOSJ_50056, APOSJ_01943	XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527
OG0000014	APOSJ_28331, APOSJ_28332	XENTR09147, XENTR00681
OG0000014	APOSJ_23867, APOSJ_22503	XENTR14500
OG0000015	APOSJ_33839	XENTR05642
OG0000015	APOSJ_09441, APOSJ_10165	XENTR15573, XENTR12597, XENTR03461, XENTR00415
OG0000015	APOSJ_53813, APOSJ_50846, APOSJ_50844	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914
OG0000016	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457	XENTR10586, XENTR06233
OG0000016	APOSJ_40020	XENTR01362, XENTR01363, XENTR07382
OG0000016	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717	XENTR12717
OG0000016	APOSJ_31207	XENTR17802
OG0000016	APOSJ_11248	XENTR18390
OG0000018	APOSJ_27177, APOSJ_35802, APOSJ_41144, APOSJ_61457, APOSJ_61458, APOSJ_62289, APOSJ_61461, APOSJ_61462, APOSJ_41143, APOSJ_61459, APOSJ_65410, APOSJ_56262, APOSJ_12569, APOSJ_25320, APOSJ_04276, APOSJ_51121, APOSJ_05958	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010
OG0000018	APOSJ_04828	XENTR19110
OG0000018	APOSJ_32266, APOSJ_22620, APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914	XENTR19228, XENTR16288, XENTR15347, XENTR15469
OG0000019	APOSJ_25021	XENTR14707
OG0000019	APOSJ_49365	XENTR07225, XENTR02749, XENTR04194
OG0000020	APOSJ_03215	XENTR18565
OG0000020	APOSJ_60863, APOSJ_38143, APOSJ_60862	XENTR14576
OG0000020	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223	XENTR00311
OG0000020	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910	XENTR04697
OG0000020	APOSJ_51246, APOSJ_35639	XENTR07864, XENTR11783
OG0000020	APOSJ_08125, APOSJ_51104	XENTR08063
OG0000020	APOSJ_64610, APOSJ_31490	XENTR15846
OG0000020	APOSJ_45120	XENTR15636
