Orthogroup	APOSJ_ok	SCHMD
OG0000016	APOSJ_06716, APOSJ_06717	SCHMD16694
OG0000016	APOSJ_31207	SCHMD02183
OG0000016	APOSJ_03790	SCHMD09773, SCHMD05700
OG0000017	APOSJ_28721, APOSJ_28719, APOSJ_49266, APOSJ_49264, APOSJ_55396, APOSJ_52652, APOSJ_52651, APOSJ_34254, APOSJ_34253, APOSJ_34255, APOSJ_34251, APOSJ_33972, APOSJ_33973, APOSJ_11055, APOSJ_26995, APOSJ_52034, APOSJ_55397, APOSJ_23379, APOSJ_28720, APOSJ_26588, APOSJ_61685, APOSJ_22123, APOSJ_22488, APOSJ_51045, APOSJ_60423, APOSJ_44747, APOSJ_44744, APOSJ_23056, APOSJ_23055, APOSJ_44745, APOSJ_53147, APOSJ_53142, APOSJ_44746, APOSJ_14598, APOSJ_13335, APOSJ_55839, APOSJ_55837, APOSJ_29917, APOSJ_29916, APOSJ_52476, APOSJ_39857, APOSJ_39853, APOSJ_39852, APOSJ_05386, APOSJ_05387, APOSJ_05389, APOSJ_58711, APOSJ_65196, APOSJ_65197, APOSJ_65193, APOSJ_65192, APOSJ_65178, APOSJ_42099, APOSJ_33478, APOSJ_05390, APOSJ_65198, APOSJ_65190, APOSJ_65189, APOSJ_58712, APOSJ_45809, APOSJ_06985, APOSJ_32437, APOSJ_32436, APOSJ_43655, APOSJ_43652, APOSJ_43651, APOSJ_43650, APOSJ_43653, APOSJ_43649, APOSJ_52033, APOSJ_20546, APOSJ_34527, APOSJ_34526, APOSJ_34525, APOSJ_05990, APOSJ_02995	SCHMD13346
OG0000020	APOSJ_03215	SCHMD00005
OG0000020	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	APOSJ_55570, APOSJ_22670, APOSJ_48399, APOSJ_48398, APOSJ_48401, APOSJ_48402, APOSJ_48404, APOSJ_26218	SCHMD05055, SCHMD22715, SCHMD07894
OG0000021	APOSJ_16640, APOSJ_16638	SCHMD10526, SCHMD19498
OG0000021	APOSJ_00001	SCHMD09793, SCHMD07893
OG0000023	APOSJ_53525	SCHMD14075
OG0000026	APOSJ_59563	SCHMD10899
OG0000026	APOSJ_00259, APOSJ_43475	SCHMD22460
OG0000028	APOSJ_19821, APOSJ_19822, APOSJ_19823, APOSJ_19820	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	APOSJ_13110	SCHMD22912, SCHMD03422
OG0000028	APOSJ_13359, APOSJ_13358	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000029	APOSJ_32485	SCHMD11804, SCHMD02858, SCHMD00228, SCHMD00039, SCHMD09250, SCHMD09249
OG0000029	APOSJ_26876, APOSJ_26877, APOSJ_64430	SCHMD21600, SCHMD23194, SCHMD18727
OG0000030	APOSJ_05001	SCHMD15689, SCHMD26547
OG0000030	APOSJ_62915	SCHMD17827
OG0000030	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000030	APOSJ_26580	SCHMD20495, SCHMD12490
OG0000030	APOSJ_46611, APOSJ_46610	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579
OG0000030	APOSJ_24666, APOSJ_08058, APOSJ_64332	SCHMD25391
OG0000030	APOSJ_45466	SCHMD25427
OG0000031	APOSJ_56428, APOSJ_58452	SCHMD16950
OG0000031	APOSJ_20577, APOSJ_26215, APOSJ_20578, APOSJ_62690, APOSJ_62709, APOSJ_00509, APOSJ_07842, APOSJ_07841	SCHMD00185
OG0000031	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162, APOSJ_01762	SCHMD17865
OG0000031	APOSJ_44849, APOSJ_44847, APOSJ_44846, APOSJ_44844	SCHMD04192
OG0000032	APOSJ_64832, APOSJ_02133, APOSJ_54563, APOSJ_04185, APOSJ_04186, APOSJ_04184	SCHMD05709, SCHMD01866
OG0000034	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193, APOSJ_42839, APOSJ_42842, APOSJ_42843	SCHMD13190, SCHMD26745
OG0000034	APOSJ_09404, APOSJ_13545, APOSJ_44168	SCHMD11160, SCHMD18247
OG0000034	APOSJ_60565, APOSJ_21305	SCHMD04875
OG0000034	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607	SCHMD07081
OG0000035	APOSJ_39487, APOSJ_39488, APOSJ_39486, APOSJ_39485, APOSJ_39489	SCHMD06303
OG0000035	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311	SCHMD15627, SCHMD19701
OG0000036	APOSJ_40313, APOSJ_57892, APOSJ_57894	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086
OG0000037	APOSJ_15752, APOSJ_50446, APOSJ_19669, APOSJ_19640, APOSJ_63529, APOSJ_64474, APOSJ_63530, APOSJ_40888, APOSJ_40889	SCHMD19933
OG0000037	APOSJ_41930, APOSJ_41929	SCHMD00542, SCHMD17538
OG0000037	APOSJ_19984, APOSJ_19985, APOSJ_59245	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000037	APOSJ_34355, APOSJ_34356, APOSJ_34354, APOSJ_05458, APOSJ_62847, APOSJ_62846, APOSJ_62845, APOSJ_62844, APOSJ_05457, APOSJ_05456, APOSJ_05455, APOSJ_05454, APOSJ_05453, APOSJ_05452, APOSJ_06751, APOSJ_24879	SCHMD26619
OG0000038	APOSJ_08121, APOSJ_08120	SCHMD17582, SCHMD27730
OG0000038	APOSJ_07933, APOSJ_58733	SCHMD07372
OG0000038	APOSJ_44502	SCHMD00416, SCHMD02854, SCHMD10875, SCHMD25466, SCHMD05088, SCHMD12852, SCHMD01036
OG0000039	APOSJ_36538, APOSJ_23775, APOSJ_06567, APOSJ_23948, APOSJ_63713, APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535, APOSJ_19644, APOSJ_19642, APOSJ_19643	SCHMD12270
OG0000041	APOSJ_07883	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	APOSJ_00247	SCHMD22231, SCHMD13559, SCHMD17541, SCHMD21245, SCHMD24303, SCHMD14104, SCHMD15881, SCHMD26428, SCHMD20308, SCHMD01472, SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	APOSJ_56130	SCHMD11455
OG0000044	APOSJ_55841	SCHMD06706
OG0000048	APOSJ_10763, APOSJ_10766, APOSJ_11623	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000048	APOSJ_57709, APOSJ_52242, APOSJ_26999, APOSJ_65398	SCHMD19708, SCHMD13779
OG0000049	APOSJ_51843	SCHMD02961, SCHMD14840
OG0000049	APOSJ_34401	SCHMD26352
