Orthogroup	APOSJ_ok	AENJA_ok
OG0000008	APOSJ_61175	AENJA_24404, AENJA_14450
OG0000008	APOSJ_06622, APOSJ_23604	AENJA_21421, AENJA_04271
OG0000008	APOSJ_50496	AENJA_00959
OG0000009	APOSJ_54833	AENJA_20987, AENJA_03242, AENJA_20470, AENJA_24892
OG0000009	APOSJ_06477	AENJA_01292, AENJA_04656, AENJA_14742
OG0000009	APOSJ_35477, APOSJ_51988	AENJA_25388
OG0000009	APOSJ_29156	AENJA_03345
OG0000009	APOSJ_63159	AENJA_13762
OG0000009	APOSJ_30497	AENJA_13658, AENJA_07747
OG0000009	APOSJ_61304, APOSJ_61303	AENJA_00113, AENJA_11818
OG0000009	APOSJ_29154, APOSJ_51316, APOSJ_52243, APOSJ_47374, APOSJ_18606	AENJA_13717, AENJA_06400
OG0000009	APOSJ_39287, APOSJ_35475, APOSJ_39288, APOSJ_15578, APOSJ_23189, APOSJ_35473, APOSJ_29155	AENJA_25347
OG0000009	APOSJ_56664	AENJA_03229, AENJA_08449, AENJA_02891, AENJA_01343
OG0000009	APOSJ_18180, APOSJ_18179	AENJA_09256
OG0000009	APOSJ_60169	AENJA_12983
OG0000009	APOSJ_58002	AENJA_26815, AENJA_17953
OG0000009	APOSJ_59244, APOSJ_59242, APOSJ_53515, APOSJ_34367, APOSJ_61174, APOSJ_31715, APOSJ_13125, APOSJ_50535, APOSJ_31719, APOSJ_17359, APOSJ_50547, APOSJ_60011, APOSJ_17353, APOSJ_13127, APOSJ_13126, APOSJ_48325, APOSJ_48328, APOSJ_59469, APOSJ_48329, APOSJ_58890, APOSJ_48326, APOSJ_49841, APOSJ_49842, APOSJ_49840, APOSJ_49839, APOSJ_49838, APOSJ_42589, APOSJ_39562	AENJA_22062
OG0000009	APOSJ_24430	AENJA_04430, AENJA_13761, AENJA_01619, AENJA_12594, AENJA_08938
OG0000009	APOSJ_08607, APOSJ_33774, APOSJ_21638	AENJA_12021, AENJA_05571
OG0000009	APOSJ_59241, APOSJ_38923	AENJA_23978, AENJA_05392, AENJA_05099
OG0000009	APOSJ_07511, APOSJ_07512, APOSJ_44793, APOSJ_07510	AENJA_00189
OG0000009	APOSJ_42413, APOSJ_58003, APOSJ_57999	AENJA_22152
OG0000010	APOSJ_03628	AENJA_15586, AENJA_16004, AENJA_09141
OG0000010	APOSJ_38780, APOSJ_21761	AENJA_00347
OG0000011	APOSJ_29863	AENJA_16502
OG0000011	APOSJ_42157, APOSJ_42159, APOSJ_64504	AENJA_19273, AENJA_01290
OG0000011	APOSJ_18989	AENJA_08483, AENJA_20159, AENJA_01152
OG0000011	APOSJ_09282	AENJA_03543, AENJA_24193
OG0000011	APOSJ_37350	AENJA_06710
OG0000011	APOSJ_06721	AENJA_18099
OG0000011	APOSJ_60676	AENJA_11078, AENJA_01925, AENJA_24659, AENJA_13168
OG0000011	APOSJ_16662, APOSJ_58824, APOSJ_37653, APOSJ_37652, APOSJ_55526	AENJA_02877, AENJA_17352
OG0000011	APOSJ_01874, APOSJ_41471	AENJA_20291, AENJA_06516, AENJA_22650
OG0000011	APOSJ_25283, APOSJ_25285	AENJA_17241, AENJA_22685, AENJA_26020
OG0000011	APOSJ_31966, APOSJ_35318	AENJA_21439
OG0000011	APOSJ_21982	AENJA_21547
OG0000011	APOSJ_27428	AENJA_23170
OG0000011	APOSJ_62277	AENJA_23691
OG0000011	APOSJ_00009, APOSJ_00010, APOSJ_61177, APOSJ_59189, APOSJ_34393, APOSJ_49591	AENJA_24664
OG0000011	APOSJ_58988, APOSJ_31311	AENJA_01682
OG0000011	APOSJ_57622, APOSJ_64527, APOSJ_57621, APOSJ_52511, APOSJ_52510, APOSJ_52509	AENJA_22850
OG0000011	APOSJ_60286	AENJA_21026
OG0000011	APOSJ_57608	AENJA_24133, AENJA_12015
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902	AENJA_21729, AENJA_07862, AENJA_07861
OG0000012	APOSJ_08161, APOSJ_08160	AENJA_02014
