Orthogroup	YEAST	DANRE
OG0000031	YEAST02238	DANRE20274, DANRE20275, DANRE20273, DANRE20694, DANRE41496, DANRE35535, DANRE23155, DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505, DANRE17238, DANRE13622, DANRE13623, DANRE26516, DANRE26019, DANRE33954, DANRE35637, DANRE11621, DANRE02768, DANRE23382, DANRE20276, DANRE16190, DANRE42316, DANRE27399, DANRE21472, DANRE14252, DANRE16189, DANRE42315, DANRE15746, DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848
OG0000034	YEAST04436, YEAST05550, YEAST05115	DANRE28945, DANRE28944, DANRE35039, DANRE35040, DANRE39926, DANRE00143, DANRE39455, DANRE35041, DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357, DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947, DANRE14484, DANRE09880, DANRE38036, DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613, DANRE04100, DANRE25182
OG0000036	YEAST02545, YEAST02806	DANRE37867, DANRE38271, DANRE14697, DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623, DANRE07186, DANRE30853, DANRE11991, DANRE38630
OG0000037	YEAST03227	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287, DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383, DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607, DANRE11315
OG0000038	YEAST04422, YEAST04379	DANRE04612, DANRE23404, DANRE23403, DANRE01760, DANRE23402, DANRE01550, DANRE01549, DANRE41583, DANRE35588, DANRE35587, DANRE41585, DANRE41586, DANRE35591, DANRE40533, DANRE23401, DANRE41584, DANRE23400, DANRE15348
OG0000043	YEAST00224, YEAST01200	DANRE34152, DANRE37439, DANRE26092, DANRE39503, DANRE26159, DANRE37409, DANRE26051, DANRE26163, DANRE26169, DANRE26151, DANRE26095, DANRE26087, DANRE26064, DANRE26052, DANRE26099, DANRE37454, DANRE26078, DANRE37464, DANRE37436, DANRE37400, DANRE26085, DANRE39508, DANRE39495, DANRE26174, DANRE26166, DANRE37432, DANRE37396, DANRE37457, DANRE37467, DANRE37447, DANRE37451, DANRE37448, DANRE37433, DANRE37458, DANRE37440, DANRE37415, DANRE37395, DANRE00964, DANRE43265
OG0000048	YEAST05020	DANRE06169
OG0000048	YEAST05707	DANRE16165, DANRE16164, DANRE16166, DANRE16167, DANRE16163, DANRE08312, DANRE01208, DANRE01209, DANRE06170, DANRE08212, DANRE08213, DANRE08214, DANRE33718, DANRE19398, DANRE24176, DANRE24175, DANRE27247, DANRE27248, DANRE24174, DANRE24603, DANRE05500, DANRE08311, DANRE38354, DANRE14945, DANRE10170, DANRE10169, DANRE17556, DANRE05472, DANRE26183
OG0000054	YEAST01385	DANRE06791, DANRE15743, DANRE09041, DANRE09042, DANRE04360
OG0000055	YEAST01199, YEAST00225	DANRE24633, DANRE26054, DANRE39498, DANRE26047, DANRE26089, DANRE26053, DANRE39510, DANRE39505, DANRE39493, DANRE39490, DANRE26176, DANRE37402, DANRE26086, DANRE26057, DANRE26058, DANRE26171, DANRE26168, DANRE37434, DANRE37411, DANRE37465, DANRE37408, DANRE37417, DANRE37462, DANRE37455, DANRE37449, DANRE37437, DANRE37430, DANRE37398, DANRE26061, DANRE26102, DANRE00963, DANRE26066, DANRE26162, DANRE26083, DANRE26079, DANRE26046, DANRE37399, DANRE26075
OG0000058	YEAST02989	DANRE01466, DANRE01467
OG0000058	YEAST02120	DANRE03528, DANRE15448, DANRE15450, DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527, DANRE30014, DANRE15447
OG0000069	YEAST03661	DANRE26091
OG0000069	YEAST05172	DANRE24751, DANRE34404, DANRE30153, DANRE08957, DANRE08956
OG0000079	YEAST05330	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662, DANRE00163, DANRE00164, DANRE00165, DANRE19082, DANRE19083, DANRE06228, DANRE06227, DANRE06226, DANRE06225, DANRE06229, DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813, DANRE33383, DANRE01827, DANRE01825, DANRE01824, DANRE01826
OG0000082	YEAST03287	DANRE33308
OG0000082	YEAST04267, YEAST01834, YEAST03359	DANRE06377
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	DANRE29360, DANRE29355, DANRE39683, DANRE29357, DANRE40398, DANRE00971, DANRE00969, DANRE00972, DANRE00973, DANRE08030, DANRE08710
OG0000082	YEAST04992, YEAST00735	DANRE08031, DANRE29358, DANRE29356, DANRE29359, DANRE00970
