Orthogroup	YEAST	AENJA_ok
OG0000055	YEAST01199, YEAST00225	AENJA_19390, AENJA_19388, AENJA_19387
OG0000058	YEAST02989	AENJA_23345
OG0000058	YEAST02120	AENJA_12354, AENJA_14024, AENJA_26534, AENJA_10634
OG0000069	YEAST03661	AENJA_15982
OG0000079	YEAST05330	AENJA_16186, AENJA_02482, AENJA_17442, AENJA_11789, AENJA_10507, AENJA_05095
OG0000082	YEAST04267, YEAST01834, YEAST03359	AENJA_25747
OG0000082	YEAST04992, YEAST00735	AENJA_11460
OG0000095	YEAST02993	AENJA_19114, AENJA_16573, AENJA_22915, AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173, AENJA_25126, AENJA_11793, AENJA_23676
OG0000096	YEAST02643	AENJA_25727
OG0000096	YEAST05104, YEAST05564	AENJA_21947, AENJA_08423, AENJA_09240, AENJA_14053
OG0000103	YEAST02873	AENJA_10812, AENJA_14367
OG0000113	YEAST00378, YEAST01351, YEAST05581	AENJA_14458, AENJA_02203, AENJA_09826
OG0000116	YEAST04456	AENJA_23563, AENJA_23564, AENJA_17822
OG0000122	YEAST04928	AENJA_09263, AENJA_26721, AENJA_14198, AENJA_09459, AENJA_22788
OG0000124	YEAST05021	AENJA_03116, AENJA_25792
OG0000124	YEAST04122	AENJA_09769, AENJA_03187
OG0000127	YEAST06208	AENJA_11132, AENJA_20308, AENJA_04153, AENJA_17569, AENJA_00497, AENJA_11687
OG0000128	YEAST01398, YEAST05967, YEAST05716	AENJA_21735
OG0000132	YEAST06016	AENJA_18042
OG0000137	YEAST01851, YEAST00637	AENJA_26083, AENJA_25528, AENJA_11173, AENJA_09533, AENJA_20614
OG0000142	YEAST02122	AENJA_25989, AENJA_18497, AENJA_26251, AENJA_06608, AENJA_26249, AENJA_21733, AENJA_26417, AENJA_16857, AENJA_18146
OG0000157	YEAST02851	AENJA_07142
OG0000158	YEAST05568	AENJA_06739, AENJA_12334
OG0000160	YEAST04194	AENJA_20383, AENJA_06959, AENJA_13005
OG0000175	YEAST00850, YEAST04327	AENJA_10259, AENJA_12556, AENJA_06264, AENJA_00936, AENJA_00556, AENJA_05120, AENJA_10260
OG0000179	YEAST01123, YEAST04430	AENJA_05305
OG0000179	YEAST02911, YEAST01281	AENJA_25279, AENJA_14465
OG0000179	YEAST04108, YEAST03346	AENJA_09174, AENJA_18216
OG0000181	YEAST00824, YEAST00771	AENJA_08843, AENJA_22272, AENJA_05116, AENJA_18867, AENJA_18892, AENJA_04368, AENJA_08840
OG0000186	YEAST00336	AENJA_22491, AENJA_16129, AENJA_06752, AENJA_06753, AENJA_16122, AENJA_22490
OG0000194	YEAST01410	AENJA_10642, AENJA_01834
OG0000195	YEAST03414	AENJA_16048, AENJA_12573, AENJA_10227, AENJA_02703
OG0000211	YEAST04964	AENJA_25447, AENJA_09895, AENJA_19821, AENJA_00791, AENJA_02934, AENJA_21143, AENJA_10795
OG0000221	YEAST05872	AENJA_18945, AENJA_16769, AENJA_12084
OG0000222	YEAST01460	AENJA_10919, AENJA_15540
OG0000225	YEAST06146	AENJA_04793, AENJA_18668
OG0000227	YEAST05815	AENJA_15989, AENJA_15987, AENJA_15991
OG0000228	YEAST04750	AENJA_00460, AENJA_20374, AENJA_10515
OG0000233	YEAST03726, YEAST03241, YEAST03242	AENJA_15984, AENJA_01071, AENJA_13806, AENJA_04371
OG0000238	YEAST06340, YEAST03834	AENJA_24755, AENJA_14161, AENJA_03329, AENJA_17228
OG0000240	YEAST03827	AENJA_19535, AENJA_20534, AENJA_20529, AENJA_20532
OG0000240	YEAST04973	AENJA_09344
OG0000242	YEAST00734	AENJA_14245, AENJA_12414, AENJA_02018, AENJA_25996
OG0000246	YEAST01746, YEAST01747	AENJA_23370, AENJA_10538, AENJA_10539, AENJA_20530, AENJA_11679, AENJA_05856, AENJA_05857, AENJA_05854, AENJA_23980, AENJA_21766
OG0000250	YEAST04716	AENJA_21466, AENJA_01564, AENJA_18922, AENJA_05431, AENJA_25579
OG0000255	YEAST02822	AENJA_11302, AENJA_23771, AENJA_05199, AENJA_03525, AENJA_17033, AENJA_10693, AENJA_10691, AENJA_10694, AENJA_20407, AENJA_04940, AENJA_17159, AENJA_07356
OG0000256	YEAST00266	AENJA_24528, AENJA_04595, AENJA_22679, AENJA_05370, AENJA_07601, AENJA_13004
OG0000258	YEAST00118	AENJA_04201, AENJA_21764, AENJA_08669
OG0000260	YEAST04323	AENJA_02917, AENJA_18084, AENJA_23444
