Orthogroup	YEAST	MOUSE
OG0000031	YEAST02238	MOUSE55187, MOUSE36273, MOUSE08529, MOUSE36272, MOUSE44530, MOUSE26385, MOUSE14840, MOUSE26448, MOUSE08530, MOUSE05256, MOUSE08528, MOUSE08527, MOUSE44529, MOUSE20731, MOUSE39309, MOUSE01505, MOUSE40719, MOUSE40720, MOUSE13006, MOUSE13005, MOUSE48656, MOUSE48889, MOUSE13007, MOUSE36274, MOUSE36271, MOUSE08580, MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579, MOUSE13008
OG0000034	YEAST04436, YEAST05550, YEAST05115	MOUSE19646, MOUSE47179, MOUSE42232, MOUSE23593, MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539, MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011, MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176, MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105, MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480, MOUSE11491, MOUSE11490, MOUSE20059
OG0000036	YEAST02545, YEAST02806	MOUSE49437, MOUSE12248, MOUSE49436, MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708, MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439, MOUSE29724, MOUSE29725, MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723, MOUSE49438, MOUSE43709
OG0000037	YEAST03227	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306, MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378, MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631, MOUSE21441
OG0000038	YEAST04422, YEAST04379	MOUSE08557, MOUSE14647, MOUSE14644, MOUSE14645, MOUSE41992, MOUSE41494, MOUSE22591, MOUSE22592, MOUSE41278
OG0000043	YEAST00224, YEAST01200	MOUSE50973, MOUSE30821, MOUSE03684, MOUSE08835, MOUSE08851, MOUSE08821, MOUSE08919, MOUSE08930, MOUSE08911, MOUSE08914, MOUSE08826, MOUSE08830, MOUSE08838, MOUSE08904, MOUSE30826, MOUSE30825, MOUSE08848, MOUSE08949, MOUSE30822, MOUSE41815, MOUSE41814
OG0000048	YEAST05020	MOUSE07450
OG0000048	YEAST05707	MOUSE55730, MOUSE04650, MOUSE04652, MOUSE07448, MOUSE07449, MOUSE07453, MOUSE07451, MOUSE07452, MOUSE42201, MOUSE42202, MOUSE06701, MOUSE42203, MOUSE49641, MOUSE49640, MOUSE49639
OG0000054	YEAST01385	MOUSE48109, MOUSE48108, MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534, MOUSE17454, MOUSE17455, MOUSE17434, MOUSE17435, MOUSE17438, MOUSE48638, MOUSE17453, MOUSE17439, MOUSE17441, MOUSE17440, MOUSE17433, MOUSE48639
OG0000055	YEAST01199, YEAST00225	MOUSE08948, MOUSE08913, MOUSE08852, MOUSE08839, MOUSE08834, MOUSE08820, MOUSE08827, MOUSE08840, MOUSE03681, MOUSE08929, MOUSE08849, MOUSE30823, MOUSE08833, MOUSE08832, MOUSE08831, MOUSE08906, MOUSE08823, MOUSE08917, MOUSE08912, MOUSE08920, MOUSE30831
