Orthogroup	YEAST	SCHMD
OG0000031	YEAST02238	SCHMD13256, SCHMD12427, SCHMD00978, SCHMD16950, SCHMD11094, SCHMD25186, SCHMD09915, SCHMD00185, SCHMD17865, SCHMD04192
OG0000034	YEAST04436, YEAST05550, YEAST05115	SCHMD15825, SCHMD15098, SCHMD05313, SCHMD26718, SCHMD02114, SCHMD11716, SCHMD29000, SCHMD05446, SCHMD13190, SCHMD26745, SCHMD23183, SCHMD04895, SCHMD14042, SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247, SCHMD04875, SCHMD07081, SCHMD15143, SCHMD18175
OG0000036	YEAST02545, YEAST02806	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808, SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086, SCHMD10087, SCHMD20124, SCHMD27854
OG0000037	YEAST03227	SCHMD19933, SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538, SCHMD03362, SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781, SCHMD26619
OG0000038	YEAST04422, YEAST04379	SCHMD04793, SCHMD13832, SCHMD06296, SCHMD12453, SCHMD04080, SCHMD01643, SCHMD10382, SCHMD07371, SCHMD17597, SCHMD29313, SCHMD17236, SCHMD15854, SCHMD12777, SCHMD01231, SCHMD16560, SCHMD21443, SCHMD06293, SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983, SCHMD01619, SCHMD00416, SCHMD02854, SCHMD10875, SCHMD25466, SCHMD05088, SCHMD12852, SCHMD01036, SCHMD28404, SCHMD14596, SCHMD16257, SCHMD14597, SCHMD04461, SCHMD04816, SCHMD04460
OG0000043	YEAST00224, YEAST01200	SCHMD29320, SCHMD14186, SCHMD13218, SCHMD11361, SCHMD08066, SCHMD05570, SCHMD05172, SCHMD24343, SCHMD10917, SCHMD15077, SCHMD11820, SCHMD11455, SCHMD00424, SCHMD17991, SCHMD07284, SCHMD04436, SCHMD10964, SCHMD10708, SCHMD11041, SCHMD12622, SCHMD10248, SCHMD06829, SCHMD01198, SCHMD04068, SCHMD29206, SCHMD09758
OG0000048	YEAST05020	SCHMD13771, SCHMD03961
OG0000048	YEAST05707	SCHMD28788, SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319, SCHMD19708, SCHMD13779
OG0000055	YEAST01199, YEAST00225	SCHMD04709, SCHMD09327, SCHMD16164, SCHMD24926, SCHMD03916, SCHMD04434, SCHMD04437, SCHMD01197, SCHMD14415, SCHMD22203, SCHMD17892, SCHMD29195
OG0000058	YEAST02989	SCHMD04270
OG0000058	YEAST02120	SCHMD13465, SCHMD06371, SCHMD12285, SCHMD12283, SCHMD15378, SCHMD12280, SCHMD21116, SCHMD21114, SCHMD24429, SCHMD12833, SCHMD06108, SCHMD02122, SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402, SCHMD01787, SCHMD01785, SCHMD00036, SCHMD00040, SCHMD20412, SCHMD11329
OG0000069	YEAST05172	SCHMD05798, SCHMD12262
OG0000079	YEAST05330	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114, SCHMD16559, SCHMD24052, SCHMD18199, SCHMD06941, SCHMD04736
OG0000082	YEAST03287	SCHMD05824, SCHMD03263, SCHMD10119
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	SCHMD29028, SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460, SCHMD03363
OG0000082	YEAST04992, YEAST00735	SCHMD24007, SCHMD15475, SCHMD16819, SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892, SCHMD23210, SCHMD16400
OG0000095	YEAST02993	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942, SCHMD01761
OG0000096	YEAST02643	SCHMD07497, SCHMD07496, SCHMD15232, SCHMD27275, SCHMD07753, SCHMD17840, SCHMD18607
OG0000096	YEAST05104, YEAST05564	SCHMD10033
OG0000103	YEAST02873	SCHMD29081, SCHMD19673, SCHMD08147
OG0000107	YEAST05173	SCHMD04920, SCHMD23362, SCHMD21301, SCHMD11381, SCHMD05934, SCHMD11257
OG0000113	YEAST00378, YEAST01351, YEAST05581	SCHMD06629, SCHMD02664
OG0000114	YEAST00703	SCHMD28859
OG0000114	YEAST00479, YEAST02386	SCHMD14331, SCHMD20678, SCHMD12740, SCHMD12417, SCHMD24462
OG0000116	YEAST04456	SCHMD19106, SCHMD19105
OG0000122	YEAST04928	SCHMD00543, SCHMD16641, SCHMD09849, SCHMD16640, SCHMD09850, SCHMD00544
OG0000124	YEAST05021	SCHMD10270, SCHMD10271
OG0000124	YEAST01581, YEAST05113	SCHMD11964
OG0000124	YEAST03767	SCHMD20871, SCHMD16822
OG0000124	YEAST04122	SCHMD08774
OG0000126	YEAST04685	SCHMD00122, SCHMD06495, SCHMD00127
OG0000126	YEAST00053	SCHMD01816, SCHMD27922
OG0000127	YEAST06208	SCHMD21110, SCHMD03781, SCHMD07478, SCHMD18620
OG0000128	YEAST01398, YEAST05967, YEAST05716	SCHMD29825
OG0000132	YEAST06016	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000137	YEAST01851, YEAST00637	SCHMD05813, SCHMD08865, SCHMD09251, SCHMD04306, SCHMD09558, SCHMD29744
OG0000142	YEAST02122	SCHMD07405, SCHMD02973, SCHMD14341, SCHMD09826, SCHMD07726, SCHMD03243, SCHMD14394, SCHMD01440, SCHMD00718, SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364, SCHMD29515, SCHMD28730, SCHMD18761, SCHMD19018, SCHMD17308
OG0000157	YEAST02851	SCHMD24948
OG0000158	YEAST05568	SCHMD09856, SCHMD18936, SCHMD09898, SCHMD12271, SCHMD07912, SCHMD04352, SCHMD15100, SCHMD15049
OG0000160	YEAST04194	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430
OG0000175	YEAST00850, YEAST04327	SCHMD23748, SCHMD18438, SCHMD03520, SCHMD18439, SCHMD17544
OG0000179	YEAST01123, YEAST04430	SCHMD11075
OG0000179	YEAST02911, YEAST01281	SCHMD01320, SCHMD00307
OG0000181	YEAST00824, YEAST00771	SCHMD27609, SCHMD12097, SCHMD28522, SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328, SCHMD20053, SCHMD26119, SCHMD11453
OG0000186	YEAST00336	SCHMD16812, SCHMD07850, SCHMD22114, SCHMD12081, SCHMD11605, SCHMD01519, SCHMD14176, SCHMD06313, SCHMD24594
OG0000194	YEAST01410	SCHMD11912, SCHMD12565
OG0000195	YEAST03414	SCHMD06851, SCHMD06771, SCHMD25463, SCHMD25751, SCHMD25464, SCHMD06740, SCHMD19007, SCHMD24767, SCHMD19839, SCHMD22974, SCHMD25501
OG0000211	YEAST04964	SCHMD21436, SCHMD10115
OG0000221	YEAST05872	SCHMD10720
OG0000222	YEAST01460	SCHMD11897, SCHMD07455, SCHMD07456, SCHMD08503, SCHMD08501, SCHMD21613, SCHMD21612, SCHMD08502
OG0000225	YEAST06146	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161, SCHMD18925, SCHMD18924
OG0000227	YEAST05815	SCHMD25908, SCHMD05741, SCHMD05742, SCHMD06927, SCHMD26170, SCHMD05353, SCHMD25852, SCHMD04380
OG0000228	YEAST04750	SCHMD07563, SCHMD07561, SCHMD07562, SCHMD11296
OG0000233	YEAST03726, YEAST03241, YEAST03242	SCHMD05000, SCHMD19540, SCHMD06716, SCHMD01146, SCHMD07435, SCHMD22145
OG0000238	YEAST03835	SCHMD12600
OG0000238	YEAST06340, YEAST03834	SCHMD22146, SCHMD14066
OG0000240	YEAST03827	SCHMD06226, SCHMD00582
OG0000242	YEAST00734	SCHMD01201, SCHMD06951, SCHMD14093, SCHMD12559, SCHMD20260
OG0000246	YEAST01746, YEAST01747	SCHMD28687, SCHMD29623, SCHMD29618, SCHMD29765, SCHMD02140, SCHMD16891, SCHMD17961, SCHMD12289, SCHMD12291, SCHMD13657, SCHMD12290
OG0000250	YEAST04716	SCHMD07715, SCHMD11126, SCHMD11127, SCHMD28677, SCHMD05190, SCHMD00165, SCHMD03762, SCHMD05189
OG0000255	YEAST02822	SCHMD14618, SCHMD25034
OG0000256	YEAST00266	SCHMD06220
OG0000258	YEAST00118	SCHMD19345, SCHMD00959
OG0000260	YEAST04323	SCHMD00232, SCHMD09054, SCHMD09053, SCHMD00231
OG0000265	YEAST05674	SCHMD06448, SCHMD11031, SCHMD25284
OG0000265	YEAST03885, YEAST03714	SCHMD18240, SCHMD09007
OG0000272	YEAST02076, YEAST01066	SCHMD00882, SCHMD10954, SCHMD00985, SCHMD14678, SCHMD17164, SCHMD13324, SCHMD08067
OG0000278	YEAST04060	SCHMD04708, SCHMD14538
OG0000284	YEAST05621	SCHMD23360, SCHMD08213
OG0000289	YEAST00645	SCHMD14014, SCHMD14418, SCHMD14417, SCHMD14015, SCHMD16163, SCHMD23289, SCHMD16353, SCHMD29502, SCHMD19194, SCHMD19219, SCHMD13163, SCHMD22750
OG0000305	YEAST04899	SCHMD22293, SCHMD19077, SCHMD01974, SCHMD04764, SCHMD01975
OG0000308	YEAST02548	SCHMD28268, SCHMD26369, SCHMD14069, SCHMD01003, SCHMD00895
OG0000310	YEAST02635	SCHMD09298, SCHMD11775, SCHMD12443
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	SCHMD10213, SCHMD21295, SCHMD02452
OG0000313	YEAST05106	SCHMD03134
OG0000313	YEAST02950	SCHMD20212
OG0000313	YEAST05526	SCHMD00975, SCHMD00972
OG0000315	YEAST03248	SCHMD15459
OG0000315	YEAST01921, YEAST01710	SCHMD23953
OG0000315	YEAST04684	SCHMD01939
OG0000316	YEAST01673	SCHMD10536, SCHMD22735, SCHMD10615, SCHMD19154
OG0000317	YEAST01356	SCHMD21750, SCHMD18883, SCHMD04765, SCHMD15845, SCHMD18547
OG0000321	YEAST03264	SCHMD10046, SCHMD04699, SCHMD05278
OG0000323	YEAST02249	SCHMD20297, SCHMD05058, SCHMD04045, SCHMD21571, SCHMD14125
OG0000326	YEAST06268, YEAST05286	SCHMD05388, SCHMD24730
OG0000326	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	SCHMD29727
OG0000338	YEAST02967	SCHMD23566, SCHMD22193, SCHMD20089
OG0000338	YEAST04211	SCHMD17969
OG0000343	YEAST03024, YEAST02736	SCHMD10731, SCHMD08099
OG0000345	YEAST01884	SCHMD02998, SCHMD15266
OG0000352	YEAST04069	SCHMD07814, SCHMD03216
OG0000357	YEAST01925	SCHMD22062, SCHMD19961, SCHMD01155, SCHMD28129, SCHMD14037
OG0000363	YEAST04081, YEAST05870	SCHMD01296, SCHMD20653, SCHMD29224, SCHMD24626, SCHMD24587, SCHMD26634
OG0000365	YEAST05831	SCHMD07482, SCHMD07483, SCHMD10185, SCHMD02742, SCHMD22496, SCHMD22435, SCHMD28326
OG0000367	YEAST02141, YEAST03746, YEAST03210	SCHMD09947, SCHMD00568
OG0000372	YEAST05988	SCHMD09703, SCHMD26866, SCHMD11546, SCHMD21831, SCHMD11336, SCHMD21198, SCHMD11338, SCHMD21647, SCHMD16554, SCHMD19665
OG0000373	YEAST02023	SCHMD12690, SCHMD02964, SCHMD08646, SCHMD00201, SCHMD13176, SCHMD08271, SCHMD14501, SCHMD16786
OG0000373	YEAST04495, YEAST01417	SCHMD23955
OG0000373	YEAST05964	SCHMD12688, SCHMD08645
OG0000380	YEAST01047	SCHMD09055, SCHMD03673, SCHMD17481, SCHMD28671, SCHMD13240, SCHMD12384, SCHMD20188, SCHMD16383, SCHMD27479, SCHMD25719, SCHMD10844, SCHMD21526, SCHMD01720, SCHMD16935, SCHMD05875, SCHMD04175, SCHMD20868
OG0000385	YEAST03496	SCHMD15490, SCHMD02711, SCHMD02709, SCHMD02710, SCHMD19251, SCHMD20652, SCHMD23399, SCHMD15491
OG0000393	YEAST01302	SCHMD10497
OG0000397	YEAST05080	SCHMD20119, SCHMD04641
OG0000399	YEAST02160	SCHMD00926, SCHMD06729, SCHMD23058, SCHMD03563, SCHMD24680, SCHMD10909, SCHMD09432, SCHMD23059
OG0000400	YEAST05911	SCHMD00908, SCHMD12218, SCHMD04896, SCHMD24156, SCHMD11940
OG0000402	YEAST01657, YEAST01929	SCHMD10342, SCHMD12760, SCHMD14530, SCHMD02881, SCHMD11412
OG0000405	YEAST06055, YEAST00411	SCHMD26927, SCHMD22788, SCHMD20823
OG0000412	YEAST00099	SCHMD08477, SCHMD08474
OG0000412	YEAST04469	SCHMD26267, SCHMD21996, SCHMD18753, SCHMD11584
OG0000413	YEAST04905, YEAST05340	SCHMD18816, SCHMD03327, SCHMD18461, SCHMD19663, SCHMD03328
OG0000413	YEAST02838	SCHMD18817, SCHMD28614, SCHMD22416
OG0000419	YEAST05989	SCHMD20590, SCHMD23181, SCHMD17261, SCHMD26157
OG0000420	YEAST03886	SCHMD23004
OG0000424	YEAST03563	SCHMD27748, SCHMD06039, SCHMD02613, SCHMD06040, SCHMD02614, SCHMD02615, SCHMD01853, SCHMD01880, SCHMD16600, SCHMD13568
OG0000426	YEAST03440	SCHMD02251
OG0000426	YEAST03848, YEAST01121	SCHMD20249
OG0000427	YEAST02655, YEAST02439	SCHMD07526, SCHMD14108, SCHMD05143, SCHMD05142, SCHMD07527
OG0000431	YEAST04014	SCHMD00614
OG0000433	YEAST06177, YEAST00117	SCHMD05136, SCHMD22817, SCHMD15295, SCHMD25465, SCHMD24790
OG0000437	YEAST03074, YEAST02073	SCHMD15978, SCHMD13458, SCHMD13578, SCHMD05773, SCHMD23206, SCHMD08272, SCHMD05769
OG0000442	YEAST05012	SCHMD12679, SCHMD07580
OG0000444	YEAST01115, YEAST04019	SCHMD00767, SCHMD00766
OG0000445	YEAST03068	SCHMD29179
OG0000450	YEAST04709, YEAST05909	SCHMD15839, SCHMD21713, SCHMD25409, SCHMD13515
OG0000461	YEAST00120	SCHMD06358
OG0000467	YEAST01593, YEAST04241, YEAST05317	SCHMD03209
OG0000467	YEAST03162	SCHMD17174, SCHMD20889, SCHMD15139, SCHMD03258, SCHMD22899, SCHMD16369
OG0000469	YEAST02179, YEAST05440	SCHMD15597
OG0000469	YEAST02333	SCHMD09418
OG0000474	YEAST02384	SCHMD05095
OG0000476	YEAST03038	SCHMD25720, SCHMD19904, SCHMD04015, SCHMD17256, SCHMD07489, SCHMD04014
OG0000479	YEAST04139	SCHMD16083, SCHMD11165, SCHMD10108, SCHMD14823, SCHMD04174
OG0000480	YEAST05750	SCHMD19204, SCHMD14582, SCHMD09535
