Orthogroup	YEAST	SCHMD
OG0000889	YEAST00175	SCHMD00830, SCHMD04643, SCHMD02281, SCHMD02130
OG0000894	YEAST03763	SCHMD05374, SCHMD26280, SCHMD11594, SCHMD05061
OG0000896	YEAST02476	SCHMD08034
OG0000896	YEAST04923	SCHMD03189
OG0000905	YEAST00599	SCHMD01394, SCHMD17642, SCHMD19023, SCHMD01395
OG0000907	YEAST02193	SCHMD20214, SCHMD15966, SCHMD20213, SCHMD25072, SCHMD03616, SCHMD11090
OG0000913	YEAST03557, YEAST05101	SCHMD10820, SCHMD18663, SCHMD25146, SCHMD27220
OG0000914	YEAST04745	SCHMD13079, SCHMD10834, SCHMD13078
OG0000921	YEAST02526	SCHMD07722, SCHMD16276, SCHMD16275, SCHMD23625, SCHMD29422
OG0000925	YEAST05667, YEAST06025	SCHMD01205, SCHMD18689, SCHMD00501, SCHMD05937
OG0000932	YEAST03525	SCHMD01739, SCHMD13731, SCHMD13730, SCHMD01738
OG0000933	YEAST06306	SCHMD17143, SCHMD03632, SCHMD07102, SCHMD01828, SCHMD29251, SCHMD08939, SCHMD02882, SCHMD28308, SCHMD17968, SCHMD28525, SCHMD13327, SCHMD17140, SCHMD17141
OG0000934	YEAST02582, YEAST06252	SCHMD07111, SCHMD08216
OG0000935	YEAST02843	SCHMD09505, SCHMD18565, SCHMD18664
OG0000943	YEAST03805	SCHMD26109, SCHMD19076
OG0000944	YEAST05455	SCHMD28902
OG0000944	YEAST04878	SCHMD15750, SCHMD08364, SCHMD27347
OG0000954	YEAST05503, YEAST01249	SCHMD05029, SCHMD08968, SCHMD13763, SCHMD29586, SCHMD05469, SCHMD02974
OG0000955	YEAST00837	SCHMD06645, SCHMD03890, SCHMD04591
OG0000963	YEAST03685, YEAST00482, YEAST01749	SCHMD22298, SCHMD11708, SCHMD04476
OG0000965	YEAST02050	SCHMD22316, SCHMD15133, SCHMD13697, SCHMD12517
OG0000967	YEAST05075	SCHMD11342, SCHMD26265, SCHMD04568, SCHMD05844, SCHMD03950
OG0000970	YEAST04028	SCHMD05308
OG0000982	YEAST01182	SCHMD26054, SCHMD08717, SCHMD22914
OG0000984	YEAST01493, YEAST00575	SCHMD02865, SCHMD00646
OG0000986	YEAST01481, YEAST04073	SCHMD25195, SCHMD27305, SCHMD22933, SCHMD10755, SCHMD11238, SCHMD09897
OG0000987	YEAST04734, YEAST02734	SCHMD03090, SCHMD13202, SCHMD12033, SCHMD17704, SCHMD13203, SCHMD12032, SCHMD16148, SCHMD13314, SCHMD17705
OG0000994	YEAST02360	SCHMD25226, SCHMD16609, SCHMD05568, SCHMD07286, SCHMD05567, SCHMD20950, SCHMD23497, SCHMD16610, SCHMD07202, SCHMD11541, SCHMD07203, SCHMD16602, SCHMD10604
OG0001001	YEAST00341	SCHMD07357, SCHMD07356
OG0001003	YEAST00644	SCHMD21687, SCHMD24830, SCHMD24829, SCHMD21686
OG0001005	YEAST03721	SCHMD01144
OG0001005	YEAST04253, YEAST02546	SCHMD03527
OG0001006	YEAST04513	SCHMD17048, SCHMD11571
OG0001016	YEAST00830	SCHMD05206, SCHMD23273, SCHMD15080, SCHMD25548, SCHMD21254
OG0001018	YEAST01172	SCHMD08153
OG0001024	YEAST01024, YEAST00308	SCHMD01762, SCHMD03107
OG0001033	YEAST02124	SCHMD10492
OG0001064	YEAST00458	SCHMD00355, SCHMD00354, SCHMD28345
OG0001066	YEAST06311	SCHMD24046, SCHMD10767
OG0001075	YEAST05636	SCHMD20153, SCHMD20154, SCHMD04393, SCHMD13181, SCHMD04392, SCHMD00196, SCHMD16771
OG0001076	YEAST01570	SCHMD11877, SCHMD11878, SCHMD07132, SCHMD07131
OG0001081	YEAST04460	SCHMD03711, SCHMD03710, SCHMD05425
OG0001082	YEAST03919, YEAST02905, YEAST05331	SCHMD14053, SCHMD28613, SCHMD18679, SCHMD25513
OG0001094	YEAST03837	SCHMD01339, SCHMD02841, SCHMD07133, SCHMD16607, SCHMD02809, SCHMD26909, SCHMD21662
OG0001096	YEAST01384	SCHMD11467, SCHMD14874
OG0001101	YEAST03434	SCHMD06917, SCHMD18684
OG0001101	YEAST04701	SCHMD18683, SCHMD23171
OG0001108	YEAST06309	SCHMD08133, SCHMD19593
OG0001113	YEAST05320	SCHMD04717
OG0001113	YEAST00954	SCHMD08665, SCHMD03992
OG0001114	YEAST00036, YEAST05811	SCHMD27710, SCHMD15592, SCHMD14156, SCHMD02552, SCHMD07391, SCHMD18228, SCHMD14100, SCHMD15222
OG0001124	YEAST02719	SCHMD24013
OG0001133	YEAST04296	SCHMD18643
OG0001133	YEAST03271	SCHMD29299, SCHMD19714
OG0001135	YEAST03641	SCHMD28946, SCHMD01011, SCHMD22792
OG0001136	YEAST05047, YEAST02997	SCHMD09640, SCHMD08874, SCHMD07287, SCHMD16997, SCHMD26014, SCHMD23231
OG0001140	YEAST03519	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472
OG0001142	YEAST04001	SCHMD12785, SCHMD19807, SCHMD09379
OG0001148	YEAST01094, YEAST03983	SCHMD21140, SCHMD22837
OG0001164	YEAST03454	SCHMD22065, SCHMD03049, SCHMD03051, SCHMD03050
OG0001171	YEAST04620, YEAST03578	SCHMD07172
OG0001175	YEAST00534	SCHMD29294, SCHMD29072, SCHMD18473
OG0001177	YEAST06137	SCHMD07014, SCHMD07016, SCHMD07017, SCHMD07015
OG0001179	YEAST00368, YEAST04831, YEAST02287	SCHMD26379, SCHMD19758, SCHMD28127, SCHMD24134
OG0001181	YEAST02051	SCHMD21797
OG0001184	YEAST01681	SCHMD09255, SCHMD12752, SCHMD29753, SCHMD15110, SCHMD23640
OG0001185	YEAST04969	SCHMD23236, SCHMD12839
OG0001186	YEAST04605, YEAST01886	SCHMD20610, SCHMD05037
OG0001191	YEAST04707	SCHMD04837, SCHMD00186, SCHMD08591, SCHMD11387
OG0001197	YEAST01499	SCHMD06230, SCHMD16253
OG0001201	YEAST05452	SCHMD18644
OG0001204	YEAST05200	SCHMD08657, SCHMD22624, SCHMD10325
OG0001207	YEAST03225, YEAST00090	SCHMD02145, SCHMD05067, SCHMD08759, SCHMD15345
OG0001207	YEAST04258	SCHMD07731
OG0001210	YEAST05511	SCHMD19442, SCHMD19441
OG0001210	YEAST02318	SCHMD03206, SCHMD03203, SCHMD03204
OG0001212	YEAST03971	SCHMD25299
OG0001214	YEAST00577	SCHMD22221
OG0001216	YEAST00145	SCHMD13349
OG0001219	YEAST03867	SCHMD09614, SCHMD00713, SCHMD24633, SCHMD26316, SCHMD10663
OG0001236	YEAST03325, YEAST02687, YEAST03269	SCHMD08913, SCHMD03442, SCHMD05776, SCHMD14035
OG0001238	YEAST04481	SCHMD09688
OG0001241	YEAST02002	SCHMD04223
OG0001241	YEAST03967, YEAST01074	SCHMD16327
OG0001249	YEAST01062, YEAST02067	SCHMD01150, SCHMD03693, SCHMD01149
OG0001250	YEAST02968, YEAST01339	SCHMD08101, SCHMD04347, SCHMD05096
OG0001251	YEAST01707	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715, SCHMD28936, SCHMD28005, SCHMD12716, SCHMD27549, SCHMD29155, SCHMD19759
OG0001254	YEAST04309	SCHMD14258, SCHMD09217
OG0001262	YEAST00911	SCHMD20011, SCHMD20259
OG0001263	YEAST00172	SCHMD17470
OG0001268	YEAST03495	SCHMD03342, SCHMD05378, SCHMD01057, SCHMD24040
OG0001271	YEAST05227, YEAST00662	SCHMD04304, SCHMD05357
OG0001278	YEAST01893	SCHMD25706, SCHMD22381
OG0001279	YEAST03070	SCHMD06836
OG0001280	YEAST00846	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884, SCHMD00561, SCHMD09707, SCHMD06534
OG0001282	YEAST03744	SCHMD08027, SCHMD08026, SCHMD08025, SCHMD08022
OG0001284	YEAST00567, YEAST01498	SCHMD09316, SCHMD00434
OG0001286	YEAST00588, YEAST01486, YEAST03604	SCHMD05790
OG0001291	YEAST04453, YEAST04334	SCHMD20641, SCHMD11793
OG0001300	YEAST01098	SCHMD00214, SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202
OG0001302	YEAST02328	SCHMD13885
OG0001302	YEAST00299	SCHMD08617, SCHMD27826
OG0001310	YEAST00887	SCHMD22296, SCHMD19422, SCHMD09167
OG0001318	YEAST03712	SCHMD07054, SCHMD16802, SCHMD26166
OG0001319	YEAST01678	SCHMD14764
OG0001321	YEAST02280, YEAST01901	SCHMD23818, SCHMD02049, SCHMD10794
OG0001322	YEAST06128	SCHMD09506
OG0001324	YEAST00078	SCHMD06767
OG0001325	YEAST00793	SCHMD05728
OG0001326	YEAST05395	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423
OG0001327	YEAST03176	SCHMD18386, SCHMD19068, SCHMD08653, SCHMD04846, SCHMD02379
OG0001332	YEAST03929, YEAST02705, YEAST00687	SCHMD04204, SCHMD03025, SCHMD08288, SCHMD29775, SCHMD19949
OG0001333	YEAST00728	SCHMD15673, SCHMD23155
OG0001341	YEAST06006	SCHMD02609, SCHMD12794, SCHMD01188, SCHMD02608
OG0001345	YEAST03613	SCHMD01304, SCHMD10432, SCHMD01305, SCHMD01303, SCHMD21023, SCHMD24520, SCHMD19982, SCHMD16568
OG0001353	YEAST00020, YEAST04041	SCHMD10586
OG0001363	YEAST06180	SCHMD05287, SCHMD16288, SCHMD05291, SCHMD05173
OG0001364	YEAST06038, YEAST00402	SCHMD00323, SCHMD27572, SCHMD21273
OG0001367	YEAST04688	SCHMD04624
OG0001368	YEAST01821	SCHMD12524, SCHMD12925, SCHMD10124, SCHMD12523, SCHMD08134, SCHMD19303, SCHMD02343
OG0001370	YEAST04067, YEAST05195, YEAST00897	SCHMD12004, SCHMD18225, SCHMD11963
OG0001371	YEAST00532, YEAST03976	SCHMD02523, SCHMD02524
OG0001372	YEAST00070	SCHMD12917, SCHMD12353, SCHMD23970
OG0001372	YEAST02226, YEAST04198, YEAST02307	SCHMD29815
OG0001375	YEAST05499, YEAST05567	SCHMD18333
OG0001378	YEAST02300	SCHMD11687, SCHMD12504, SCHMD07107
OG0001379	YEAST04155	SCHMD15234
OG0001386	YEAST05114	SCHMD24943, SCHMD20670, SCHMD14052, SCHMD07967, SCHMD00663, SCHMD14821, SCHMD21484, SCHMD16845, SCHMD00665, SCHMD00661, SCHMD00664, SCHMD14822, SCHMD16844
OG0001397	YEAST05731	SCHMD08548, SCHMD08095
OG0001400	YEAST02931	SCHMD26317
OG0001409	YEAST00885, YEAST04659	SCHMD20637, SCHMD16856, SCHMD04792
OG0001410	YEAST05046	SCHMD09832, SCHMD09687
OG0001411	YEAST04834	SCHMD13417, SCHMD19317, SCHMD13416, SCHMD19137
OG0001412	YEAST04490	SCHMD13223
OG0001413	YEAST04294	SCHMD02827, SCHMD02718
OG0001414	YEAST06070, YEAST01920	SCHMD11042, SCHMD06335, SCHMD19649
OG0001415	YEAST00964	SCHMD01522, SCHMD16066, SCHMD16500, SCHMD15947
OG0001421	YEAST05252	SCHMD14208
OG0001422	YEAST05588, YEAST01363	SCHMD20752, SCHMD21796, SCHMD18897, SCHMD04981, SCHMD04982
OG0001424	YEAST01127	SCHMD23260, SCHMD24676
OG0001427	YEAST01885	SCHMD04595, SCHMD03939, SCHMD00575
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	SCHMD09370, SCHMD15075, SCHMD06126, SCHMD06125
OG0001430	YEAST01712	SCHMD15108, SCHMD00026, SCHMD10321, SCHMD18811
OG0001434	YEAST03991	SCHMD28633, SCHMD11795, SCHMD28634
OG0001437	YEAST01264, YEAST02900	SCHMD15768, SCHMD19785
OG0001437	YEAST05391	SCHMD10576
OG0001445	YEAST01715	SCHMD04082
OG0001449	YEAST03188	SCHMD11900
OG0001449	YEAST05764	SCHMD21822
OG0001452	YEAST05900	SCHMD18703, SCHMD12394, SCHMD18702
OG0001454	YEAST01495, YEAST00573	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145
OG0001456	YEAST00365	SCHMD21417, SCHMD21418, SCHMD22269, SCHMD26154
OG0001459	YEAST03073, YEAST03464	SCHMD26904, SCHMD06959
OG0001461	YEAST05255	SCHMD05456, SCHMD05457, SCHMD13257
OG0001468	YEAST03875, YEAST03904	SCHMD00390, SCHMD12591
OG0001469	YEAST02070	SCHMD09394
OG0001469	YEAST02765	SCHMD21311, SCHMD29089, SCHMD24067, SCHMD10449
OG0001470	YEAST00369, YEAST05375	SCHMD02319, SCHMD02322, SCHMD02321, SCHMD02318, SCHMD02316, SCHMD02317
OG0001472	YEAST03031	SCHMD12948, SCHMD13936, SCHMD13397, SCHMD27432
OG0001474	YEAST01416, YEAST05312	SCHMD07416, SCHMD07415, SCHMD11576, SCHMD26877
OG0001478	YEAST01984	SCHMD22576, SCHMD26017
OG0001479	YEAST01132	SCHMD08556, SCHMD08688, SCHMD12413, SCHMD08686
OG0001503	YEAST03032	SCHMD25279, SCHMD19928
OG0001503	YEAST02920	SCHMD25148
OG0001504	YEAST05406	SCHMD05964
OG0001505	YEAST03361	SCHMD11449, SCHMD14373, SCHMD09878, SCHMD13864, SCHMD07951, SCHMD16094
OG0001508	YEAST04143	SCHMD22201, SCHMD18843, SCHMD16325, SCHMD15374, SCHMD25241, SCHMD10291, SCHMD10290
OG0001515	YEAST03320	SCHMD18483
OG0001524	YEAST03912	SCHMD08154, SCHMD08155, SCHMD28352, SCHMD06432
OG0001525	YEAST00757	SCHMD22768, SCHMD18999, SCHMD19000, SCHMD08330
OG0001527	YEAST01395	SCHMD05435, SCHMD08837
OG0001530	YEAST00643	SCHMD09338, SCHMD11853, SCHMD11854, SCHMD11855, SCHMD09337
OG0001546	YEAST03111	SCHMD23905, SCHMD27205, SCHMD23904
OG0001551	YEAST04817	SCHMD21975
OG0001553	YEAST05147, YEAST01586	SCHMD15846, SCHMD15532, SCHMD10896, SCHMD19069, SCHMD06566
OG0001557	YEAST04551	SCHMD13972
OG0001558	YEAST04449	SCHMD18412, SCHMD28405
OG0001559	YEAST00445, YEAST02434	SCHMD02521
OG0001561	YEAST06176	SCHMD21318
OG0001570	YEAST04678	SCHMD29260, SCHMD04583
OG0001578	YEAST01872	SCHMD10414, SCHMD23824, SCHMD02601, SCHMD16379, SCHMD03341, SCHMD25094, SCHMD28767, SCHMD22237, SCHMD21742, SCHMD12822, SCHMD27984, SCHMD17160, SCHMD15359, SCHMD08800, SCHMD28092, SCHMD27354, SCHMD29512, SCHMD10415, SCHMD26437, SCHMD25857, SCHMD28284, SCHMD09368, SCHMD10413
OG0001580	YEAST06270	SCHMD08362, SCHMD08361, SCHMD16167, SCHMD15393
OG0001590	YEAST03476, YEAST00717, YEAST03955	SCHMD09239, SCHMD09240
OG0001594	YEAST03418	SCHMD14548, SCHMD07059, SCHMD10235
OG0001597	YEAST01702	SCHMD15780, SCHMD26075
OG0001603	YEAST02584	SCHMD09507, SCHMD10551, SCHMD29423, SCHMD29329
OG0001604	YEAST01428	SCHMD02109
OG0001605	YEAST04101	SCHMD09782
OG0001609	YEAST02739	SCHMD16467, SCHMD16231, SCHMD10959, SCHMD10960
OG0001610	YEAST02062	SCHMD03213
OG0001612	YEAST01109	SCHMD18390, SCHMD18635, SCHMD18636, SCHMD18391, SCHMD14255, SCHMD22594, SCHMD22464
OG0001635	YEAST00156, YEAST01988, YEAST02833	SCHMD29724
OG0001653	YEAST01151	SCHMD11720, SCHMD13944, SCHMD11719, SCHMD13945, SCHMD13946
OG0001655	YEAST03354	SCHMD06776
OG0001657	YEAST00101, YEAST00944	SCHMD07705, SCHMD10000, SCHMD12957
OG0001676	YEAST02848	SCHMD07166, SCHMD13666
OG0001685	YEAST01147	SCHMD20869, SCHMD15163, SCHMD14291, SCHMD14561, SCHMD03324, SCHMD25640, SCHMD02880, SCHMD13866, SCHMD13867, SCHMD17545, SCHMD20045, SCHMD19660, SCHMD24220, SCHMD28371, SCHMD22627, SCHMD12886, SCHMD21854, SCHMD19999, SCHMD27827, SCHMD23046, SCHMD22626
OG0001691	YEAST01315	SCHMD00990, SCHMD08142, SCHMD00989
OG0001706	YEAST03424	SCHMD23697, SCHMD10453
OG0001707	YEAST06049, YEAST00407, YEAST04739	SCHMD28717, SCHMD29464, SCHMD20857
OG0001708	YEAST05744, YEAST05745	SCHMD28849, SCHMD14466, SCHMD06180, SCHMD15863, SCHMD27570
OG0001713	YEAST04039	SCHMD11479
OG0001718	YEAST01537	SCHMD15790
OG0001721	YEAST04881, YEAST05253, YEAST00698	SCHMD13571, SCHMD02927, SCHMD02924, SCHMD01779, SCHMD07361, SCHMD01469, SCHMD01470, SCHMD13572, SCHMD02923, SCHMD02926
OG0001723	YEAST01435	SCHMD01945
OG0001727	YEAST04543	SCHMD10475, SCHMD05882, SCHMD07424, SCHMD10474, SCHMD11556, SCHMD07425
OG0001728	YEAST03347	SCHMD17374, SCHMD05716, SCHMD05712, SCHMD05715, SCHMD17375, SCHMD05717, SCHMD17376
OG0001730	YEAST00177	SCHMD11237, SCHMD15709, SCHMD28186, SCHMD15708
OG0001739	YEAST03760	SCHMD14266, SCHMD04721
OG0001745	YEAST01431	SCHMD03643, SCHMD12507, SCHMD09820, SCHMD13748, SCHMD12508, SCHMD16928, SCHMD20075, SCHMD15679, SCHMD29088
OG0001750	YEAST03628	SCHMD09704, SCHMD21648, SCHMD21002, SCHMD22592, SCHMD22591
OG0001754	YEAST03682	SCHMD16498, SCHMD12272, SCHMD04555, SCHMD01477
OG0001755	YEAST05131	SCHMD00304
OG0001769	YEAST04726	SCHMD03951
OG0001770	YEAST02590	SCHMD22893, SCHMD22374
OG0001774	YEAST05166	SCHMD06607
OG0001775	YEAST05594	SCHMD11489, SCHMD03765, SCHMD10862
OG0001780	YEAST03768	SCHMD19255, SCHMD20118, SCHMD28379
OG0001781	YEAST01882	SCHMD14650, SCHMD07439, SCHMD28287, SCHMD11700, SCHMD23557, SCHMD23630
OG0001782	YEAST02421	SCHMD09752, SCHMD10716
OG0001785	YEAST02713	SCHMD21396, SCHMD16367, SCHMD26545, SCHMD26015, SCHMD21397, SCHMD16368
OG0001787	YEAST03546	SCHMD15982
OG0001792	YEAST04331, YEAST02075	SCHMD00384
OG0001793	YEAST02466	SCHMD00952, SCHMD26216
OG0001805	YEAST05496, YEAST01242	SCHMD01576
OG0001807	YEAST05464	SCHMD01495, SCHMD01494
OG0001808	YEAST01298	SCHMD04780
OG0001818	YEAST05902, YEAST04712	SCHMD29750, SCHMD10633, SCHMD28336, SCHMD12682, SCHMD16904, SCHMD13473, SCHMD29528, SCHMD15135
OG0001822	YEAST04378, YEAST01659	SCHMD21605, SCHMD12240
OG0001826	YEAST04777, YEAST01697, YEAST05781	SCHMD25796, SCHMD02997
OG0001828	YEAST04676	SCHMD22292, SCHMD16899, SCHMD18304, SCHMD22290
OG0001829	YEAST01613, YEAST00136, YEAST02008	SCHMD09587, SCHMD23709, SCHMD26086
OG0001831	YEAST00024	SCHMD08523, SCHMD08524, SCHMD08522, SCHMD09304, SCHMD16172
OG0001832	YEAST05376	SCHMD09061
OG0001846	YEAST05067	SCHMD09485, SCHMD09924
OG0001850	YEAST01913	SCHMD14974, SCHMD17053
OG0001852	YEAST03121	SCHMD15247, SCHMD01397, SCHMD24019, SCHMD01396
OG0001853	YEAST05176	SCHMD08419, SCHMD00353
OG0001857	YEAST04741	SCHMD00487, SCHMD00486, SCHMD00485
OG0001860	YEAST00188	SCHMD12431, SCHMD14532, SCHMD14531, SCHMD12432
OG0001861	YEAST05779, YEAST04773	SCHMD02441, SCHMD00846, SCHMD13519, SCHMD03031
OG0001863	YEAST03017	SCHMD26126, SCHMD07330, SCHMD14322, SCHMD28681
OG0001865	YEAST06037, YEAST00399	SCHMD16071
OG0001865	YEAST02919	SCHMD25434, SCHMD17858, SCHMD12501
OG0001866	YEAST05095, YEAST05570	SCHMD23003, SCHMD17047
OG0001867	YEAST01669	SCHMD21507, SCHMD15353, SCHMD06151, SCHMD06149
OG0001873	YEAST00981, YEAST00267	SCHMD09003
OG0001875	YEAST04137	SCHMD29147, SCHMD28237, SCHMD11568
OG0001877	YEAST04134	SCHMD14827
OG0001886	YEAST03260	SCHMD00538
OG0001888	YEAST05749, YEAST01573	SCHMD08491, SCHMD15697, SCHMD15696, SCHMD08492, SCHMD15698
OG0001894	YEAST00433	SCHMD11512
OG0001900	YEAST05969	SCHMD01255
OG0001903	YEAST06020	SCHMD21188, SCHMD20979, SCHMD22850, SCHMD27584, SCHMD18188
OG0001913	YEAST05520	SCHMD08198, SCHMD01162
OG0001915	YEAST04791	SCHMD25861, SCHMD26425, SCHMD11585, SCHMD06004
OG0001917	YEAST01859	SCHMD07933
OG0001923	YEAST05881	SCHMD05921
OG0001926	YEAST02948	SCHMD20309, SCHMD16846
OG0001932	YEAST03770, YEAST03179	SCHMD07454, SCHMD17903, SCHMD00368
OG0001935	YEAST00431	SCHMD23048
OG0001938	YEAST03931	SCHMD19401, SCHMD25673, SCHMD23826, SCHMD24292, SCHMD20224, SCHMD15510
OG0001940	YEAST04188, YEAST05646	SCHMD06251
OG0001943	YEAST02393, YEAST05966	SCHMD03979
OG0001945	YEAST01671	SCHMD07577
OG0001947	YEAST02570	SCHMD00740
OG0001951	YEAST00941, YEAST05396	SCHMD10937, SCHMD17652, SCHMD16242
OG0001952	YEAST04673, YEAST01990, YEAST00155	SCHMD08803, SCHMD19932, SCHMD20340
OG0001965	YEAST04582	SCHMD15198
OG0001968	YEAST04910	SCHMD12918
OG0001969	YEAST06173	SCHMD08414, SCHMD09063
OG0001972	YEAST05954	SCHMD29676
OG0001972	YEAST01822, YEAST03363	SCHMD07972, SCHMD26110
OG0001985	YEAST04959	SCHMD04898, SCHMD04899
OG0001992	YEAST02679	SCHMD23667, SCHMD10680, SCHMD10681, SCHMD10679
OG0001998	YEAST00890	SCHMD02357, SCHMD19391
OG0002001	YEAST00502, YEAST03944	SCHMD04245
OG0002003	YEAST02826, YEAST03671	SCHMD25539
OG0002008	YEAST00768	SCHMD06021
OG0002013	YEAST03040	SCHMD05928, SCHMD05926
OG0002015	YEAST05525	SCHMD07213, SCHMD12123
OG0002026	YEAST01247	SCHMD11077, SCHMD01664
OG0002029	YEAST02646	SCHMD29754, SCHMD28570, SCHMD15250, SCHMD18190, SCHMD17283
OG0002031	YEAST02752	SCHMD17673, SCHMD21628, SCHMD14088
OG0002032	YEAST01221	SCHMD15998, SCHMD17430
OG0002042	YEAST02880	SCHMD29492
OG0002043	YEAST04003	SCHMD03148
OG0002059	YEAST05893, YEAST04718	SCHMD13857
OG0002062	YEAST05454	SCHMD21893, SCHMD21892, SCHMD10982, SCHMD10983, SCHMD06072
OG0002063	YEAST00838	SCHMD21953, SCHMD12086, SCHMD11388
OG0002073	YEAST04552	SCHMD06478, SCHMD03514, SCHMD01450, SCHMD20304, SCHMD22775, SCHMD03169
OG0002076	YEAST02206	SCHMD28301, SCHMD28436, SCHMD10610, SCHMD08813, SCHMD28435, SCHMD28300
OG0002078	YEAST06232	SCHMD11691, SCHMD24719, SCHMD11692, SCHMD24733, SCHMD25810
OG0002079	YEAST05765, YEAST00483	SCHMD04817, SCHMD07771, SCHMD11302, SCHMD04787
OG0002080	YEAST05220, YEAST04736	SCHMD22931, SCHMD26608, SCHMD17823, SCHMD17826, SCHMD20969, SCHMD28760, SCHMD17820
OG0002087	YEAST05702	SCHMD07766
OG0002093	YEAST02255	SCHMD12873, SCHMD16751, SCHMD14180
OG0002097	YEAST02697	SCHMD26720, SCHMD27803, SCHMD17588, SCHMD19424
OG0002101	YEAST03902	SCHMD15902
OG0002103	YEAST05974	SCHMD03652
OG0002106	YEAST03654	SCHMD29823, SCHMD29437
OG0002107	YEAST05313	SCHMD26178, SCHMD28787
OG0002107	YEAST04340	SCHMD29590
OG0002108	YEAST03715	SCHMD09134, SCHMD15631, SCHMD01006, SCHMD16981, SCHMD05153
OG0002123	YEAST02444	SCHMD07146
OG0002125	YEAST05183	SCHMD01906
OG0002131	YEAST04275	SCHMD04890, SCHMD13328, SCHMD15542
OG0002138	YEAST02406	SCHMD22260, SCHMD05603, SCHMD05605, SCHMD05602, SCHMD13986, SCHMD23985
OG0002144	YEAST02673	SCHMD08032
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	SCHMD03633, SCHMD03634
OG0002147	YEAST04532, YEAST01219	SCHMD20896, SCHMD24159
OG0002148	YEAST02060	SCHMD12817, SCHMD13024, SCHMD06006
OG0002152	YEAST05624	SCHMD18533, SCHMD18027, SCHMD20477
OG0002156	YEAST03007	SCHMD11093
OG0002160	YEAST03960	SCHMD03531, SCHMD05686, SCHMD13784, SCHMD24695, SCHMD12476, SCHMD27951, SCHMD03338
OG0002168	YEAST00516	SCHMD00757
OG0002169	YEAST02258	SCHMD19182, SCHMD07925
OG0002175	YEAST04956	SCHMD09343, SCHMD14948, SCHMD24043, SCHMD19181
OG0002184	YEAST00242	SCHMD08543, SCHMD08541, SCHMD08545
OG0002185	YEAST05212	SCHMD21333, SCHMD22216, SCHMD29197, SCHMD24560, SCHMD27585, SCHMD24649, SCHMD25294, SCHMD27000, SCHMD26724, SCHMD10687, SCHMD07408, SCHMD07407, SCHMD13558
OG0002188	YEAST04638, YEAST03913	SCHMD07090
OG0002189	YEAST02882, YEAST04447	SCHMD03295
OG0002197	YEAST04045	SCHMD29200, SCHMD27627, SCHMD27724, SCHMD10880, SCHMD06788, SCHMD12924
OG0002213	YEAST01241, YEAST05495	SCHMD01017, SCHMD01018
OG0002216	YEAST06040	SCHMD20521
OG0002222	YEAST03240	SCHMD15372, SCHMD28641, SCHMD28642, SCHMD18509, SCHMD17607, SCHMD07921, SCHMD24182, SCHMD26245
OG0002224	YEAST01574	SCHMD07940, SCHMD07939
OG0002225	YEAST04939	SCHMD03290
OG0002226	YEAST00948	SCHMD00937
OG0002233	YEAST00277	SCHMD13734
OG0002239	YEAST03509	SCHMD29729
OG0002239	YEAST01621	SCHMD00548
OG0002241	YEAST02005	SCHMD14786, SCHMD19113, SCHMD04776, SCHMD20592
OG0002243	YEAST04599, YEAST03601, YEAST04600	SCHMD06353
OG0002244	YEAST02768	SCHMD24135, SCHMD25723, SCHMD23365, SCHMD25722
OG0002252	YEAST00826	SCHMD16344
OG0002261	YEAST00472	SCHMD28964, SCHMD15654, SCHMD22485
OG0002264	YEAST01705	SCHMD24103, SCHMD13661
OG0002279	YEAST05800	SCHMD01548, SCHMD01547, SCHMD01549, SCHMD01546
OG0002282	YEAST00881	SCHMD02902, SCHMD23794
OG0002288	YEAST01591, YEAST05154	SCHMD19642, SCHMD22333, SCHMD13464
OG0002292	YEAST00152	SCHMD12492
OG0002297	YEAST01217	SCHMD06067, SCHMD11073, SCHMD06071, SCHMD08919, SCHMD15076, SCHMD15831, SCHMD16587, SCHMD01599
OG0002316	YEAST01805	SCHMD00954, SCHMD00365, SCHMD09509
OG0002318	YEAST02923	SCHMD07487, SCHMD07486, SCHMD07473
OG0002319	YEAST00329	SCHMD04977, SCHMD04978, SCHMD03166, SCHMD04979
OG0002321	YEAST02461	SCHMD19583, SCHMD14835
OG0002324	YEAST02615, YEAST06287	SCHMD17868, SCHMD20490, SCHMD09738
OG0002326	YEAST00310, YEAST02699	SCHMD16849, SCHMD06779
OG0002327	YEAST00346, YEAST06217	SCHMD04037, SCHMD11011
OG0002331	YEAST01653	SCHMD05745, SCHMD05746, SCHMD05744
