Orthogroup	YEAST	APOSC_ok
OG0000038	YEAST04422, YEAST04379	APOSC_27834, APOSC_23718, APOSC_06537, APOSC_16047, APOSC_06107, APOSC_14280, APOSC_05817, APOSC_20988, APOSC_17092, APOSC_26556, APOSC_03113, APOSC_10282, APOSC_28935, APOSC_28699, APOSC_05456, APOSC_13411, APOSC_17001, APOSC_06556, APOSC_03890, APOSC_04299, APOSC_17727, APOSC_26790, APOSC_06670, APOSC_12872, APOSC_10359, APOSC_20091, APOSC_10945, APOSC_22530, APOSC_05746, APOSC_25222, APOSC_10656, APOSC_08888
OG0000043	YEAST00224, YEAST01200	APOSC_10405, APOSC_20159, APOSC_07558, APOSC_12898
OG0000048	YEAST05707	APOSC_08378, APOSC_06436, APOSC_03154, APOSC_05588, APOSC_11695, APOSC_04736, APOSC_11238, APOSC_20195, APOSC_19960, APOSC_08567, APOSC_07074, APOSC_07656, APOSC_11343, APOSC_03220
OG0000054	YEAST01385	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151, APOSC_12589
OG0000055	YEAST01199, YEAST00225	APOSC_17351, APOSC_22457
OG0000058	YEAST02989	APOSC_09888
OG0000058	YEAST02120	APOSC_06035, APOSC_20919, APOSC_12335, APOSC_12752, APOSC_07162, APOSC_24215, APOSC_12336, APOSC_22832, APOSC_21555, APOSC_22361, APOSC_16962, APOSC_27470, APOSC_25169, APOSC_25682
OG0000069	YEAST03661	APOSC_25357, APOSC_25356
OG0000069	YEAST05172	APOSC_27459, APOSC_09914, APOSC_04180, APOSC_28736
OG0000079	YEAST05330	APOSC_15669, APOSC_14016, APOSC_18637, APOSC_09201, APOSC_14696, APOSC_10552, APOSC_10551, APOSC_06744, APOSC_18934, APOSC_10580
OG0000082	YEAST03287	APOSC_14161
OG0000082	YEAST04267, YEAST01834, YEAST03359	APOSC_20096
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	APOSC_05443, APOSC_27848, APOSC_13154, APOSC_11148, APOSC_10803, APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806, APOSC_23423, APOSC_11149, APOSC_04906, APOSC_05380, APOSC_05381
OG0000082	YEAST04992, YEAST00735	APOSC_00026, APOSC_17996, APOSC_15864, APOSC_18149, APOSC_09850
OG0000095	YEAST02993	APOSC_15000, APOSC_11760, APOSC_06417, APOSC_17239, APOSC_19404, APOSC_13013, APOSC_05229, APOSC_05033, APOSC_14575, APOSC_16159, APOSC_18748, APOSC_18747
OG0000096	YEAST02643	APOSC_05085, APOSC_03162, APOSC_04023
OG0000096	YEAST00638	APOSC_25015
OG0000096	YEAST05104, YEAST05564	APOSC_00869, APOSC_16859, APOSC_21738, APOSC_21519
OG0000103	YEAST02873	APOSC_08194, APOSC_19265
OG0000107	YEAST05173	APOSC_21347
OG0000113	YEAST00378, YEAST01351, YEAST05581	APOSC_22087, APOSC_26451, APOSC_05289, APOSC_24456, APOSC_21846, APOSC_16966, APOSC_27198, APOSC_04616, APOSC_09550, APOSC_06453, APOSC_14352
OG0000116	YEAST04456	APOSC_28097, APOSC_09224, APOSC_00704, APOSC_01102, APOSC_11205, APOSC_11206, APOSC_14684, APOSC_14683, APOSC_14682, APOSC_14685, APOSC_09018, APOSC_06098, APOSC_07593, APOSC_26578, APOSC_06625, APOSC_18287, APOSC_18993, APOSC_12379, APOSC_28096, APOSC_06978, APOSC_11861, APOSC_02575
OG0000122	YEAST04928	APOSC_15847, APOSC_25177, APOSC_11178, APOSC_05959
OG0000124	YEAST05021	APOSC_29022
OG0000124	YEAST01581, YEAST05113, YEAST03767	APOSC_08819
OG0000124	YEAST04122	APOSC_03695
OG0000127	YEAST06208	APOSC_24103, APOSC_09690, APOSC_02788, APOSC_16052, APOSC_16050, APOSC_16051, APOSC_04103, APOSC_16975
OG0000132	YEAST06016	APOSC_20151, APOSC_15845, APOSC_15846, APOSC_13028, APOSC_01542, APOSC_27288, APOSC_18201, APOSC_28955, APOSC_10689, APOSC_24064, APOSC_09777, APOSC_09775, APOSC_09776
OG0000137	YEAST01851, YEAST00637	APOSC_04370, APOSC_14845, APOSC_20394, APOSC_26237, APOSC_01998, APOSC_01981, APOSC_01895, APOSC_21797
OG0000142	YEAST02122	APOSC_24389, APOSC_05931, APOSC_06545, APOSC_21775, APOSC_20241, APOSC_07546, APOSC_00286, APOSC_07201, APOSC_14102, APOSC_15551
OG0000157	YEAST02851	APOSC_27261
OG0000158	YEAST05568	APOSC_22004, APOSC_17391, APOSC_02468
OG0000160	YEAST04194	APOSC_01085, APOSC_17800
OG0000175	YEAST00850, YEAST04327	APOSC_11434, APOSC_18274, APOSC_04788, APOSC_04789, APOSC_01015, APOSC_18455, APOSC_27959, APOSC_10607, APOSC_02663, APOSC_15663, APOSC_16993, APOSC_02106, APOSC_04816
OG0000179	YEAST01123, YEAST04430	APOSC_21690, APOSC_12111, APOSC_21863, APOSC_17377, APOSC_21864
OG0000179	YEAST02911, YEAST01281	APOSC_01350, APOSC_01107
OG0000179	YEAST04108, YEAST03346	APOSC_01246
OG0000181	YEAST00824, YEAST00771	APOSC_02361, APOSC_18007, APOSC_09899, APOSC_22437, APOSC_01446, APOSC_07714, APOSC_21154, APOSC_23852, APOSC_04711, APOSC_19141
OG0000186	YEAST00336	APOSC_16659, APOSC_28113, APOSC_05570, APOSC_02026, APOSC_05569, APOSC_09256, APOSC_05572, APOSC_05481, APOSC_17386, APOSC_05571, APOSC_24483
OG0000194	YEAST01410	APOSC_08244, APOSC_28959, APOSC_12079, APOSC_02139, APOSC_23179, APOSC_16403, APOSC_17541, APOSC_23977, APOSC_23755
