Orthogroup	YEAST	APOSC_ok
OG0000955	YEAST04295	APOSC_04505
OG0000963	YEAST03685, YEAST00482, YEAST01749	APOSC_02511, APOSC_02848
OG0000964	YEAST04606	APOSC_14870, APOSC_13280, APOSC_13279, APOSC_13425, APOSC_28264
OG0000965	YEAST02552	APOSC_23312, APOSC_23311
OG0000965	YEAST02050	APOSC_09972
OG0000967	YEAST05075	APOSC_19736, APOSC_16830, APOSC_16829, APOSC_28756
OG0000970	YEAST04028	APOSC_21804, APOSC_22645
OG0000982	YEAST01182	APOSC_05256, APOSC_05255
OG0000984	YEAST01493, YEAST00575	APOSC_25696, APOSC_17895, APOSC_25912, APOSC_05077, APOSC_01560
OG0000986	YEAST01481, YEAST04073	APOSC_14086, APOSC_10314, APOSC_22933, APOSC_16486, APOSC_14087, APOSC_17601
OG0000987	YEAST04734, YEAST02734	APOSC_18102
OG0000994	YEAST02360	APOSC_21838, APOSC_16646
OG0000996	YEAST00033	APOSC_26134, APOSC_26133
OG0001001	YEAST00341	APOSC_09664
OG0001003	YEAST00644	APOSC_02292
OG0001006	YEAST04513	APOSC_03092, APOSC_20430, APOSC_16381
OG0001016	YEAST00830	APOSC_19695, APOSC_06741
OG0001018	YEAST01172	APOSC_00082, APOSC_00204
OG0001024	YEAST01024, YEAST00308	APOSC_15001, APOSC_13882, APOSC_23658
OG0001033	YEAST02124	APOSC_27603
OG0001066	YEAST06311	APOSC_28501, APOSC_18530
OG0001075	YEAST05636	APOSC_01609
OG0001076	YEAST01570	APOSC_12173
OG0001081	YEAST04460	APOSC_07539
OG0001082	YEAST03919, YEAST02905, YEAST05331	APOSC_13677
OG0001094	YEAST03837	APOSC_16150, APOSC_26607, APOSC_01941, APOSC_20471, APOSC_27561, APOSC_22898
OG0001095	YEAST00773	APOSC_09493
OG0001096	YEAST01384	APOSC_12731
OG0001101	YEAST03434	APOSC_01614
OG0001108	YEAST06309	APOSC_04910, APOSC_18668
OG0001111	YEAST06003	APOSC_27166, APOSC_15386, APOSC_13725, APOSC_01327
OG0001113	YEAST05320	APOSC_04032
OG0001113	YEAST00954	APOSC_23610
OG0001114	YEAST00036, YEAST05811	APOSC_06726
OG0001124	YEAST02719	APOSC_05655, APOSC_14707
OG0001132	YEAST05421	APOSC_22214
OG0001133	YEAST04296	APOSC_09462
OG0001133	YEAST03271	APOSC_26387
OG0001134	YEAST05015	APOSC_03277
OG0001135	YEAST03641	APOSC_26040, APOSC_23817, APOSC_07139, APOSC_21672, APOSC_23479
OG0001136	YEAST05047, YEAST02997	APOSC_27527
OG0001140	YEAST03519	APOSC_21510
OG0001142	YEAST04001	APOSC_21303, APOSC_21299, APOSC_21301, APOSC_21304, APOSC_21300, APOSC_21302
OG0001163	YEAST02433	APOSC_00653, APOSC_10789, APOSC_08646, APOSC_08645, APOSC_17340, APOSC_13361
OG0001164	YEAST03454	APOSC_13012
OG0001171	YEAST04620, YEAST03578	APOSC_10831, APOSC_07607
OG0001175	YEAST00534	APOSC_04096, APOSC_21521
OG0001177	YEAST06137	APOSC_05829, APOSC_27862, APOSC_09067
OG0001179	YEAST00368, YEAST04831, YEAST02287	APOSC_24042, APOSC_00450
OG0001181	YEAST02051	APOSC_08671
OG0001184	YEAST01681	APOSC_28467, APOSC_19647
OG0001185	YEAST04969	APOSC_20961, APOSC_20963, APOSC_20960, APOSC_20962, APOSC_20964, APOSC_02697
OG0001186	YEAST04605, YEAST01886	APOSC_22932, APOSC_07366
OG0001191	YEAST04707	APOSC_00329, APOSC_16893
OG0001197	YEAST01499	APOSC_08428, APOSC_08492, APOSC_20448
OG0001201	YEAST05452	APOSC_09437, APOSC_09439, APOSC_09438, APOSC_03781, APOSC_23148, APOSC_21279, APOSC_09441, APOSC_09436, APOSC_09435, APOSC_09440, APOSC_12369, APOSC_21883, APOSC_22185, APOSC_21884, APOSC_05515, APOSC_24393, APOSC_24392
OG0001204	YEAST05200	APOSC_02297, APOSC_24480
OG0001207	YEAST04258	APOSC_12551
OG0001210	YEAST05511	APOSC_23126
OG0001210	YEAST02318	APOSC_24521, APOSC_24519, APOSC_24520
OG0001212	YEAST03971	APOSC_25574, APOSC_05728, APOSC_05536, APOSC_01506, APOSC_20573
OG0001214	YEAST00577	APOSC_14933, APOSC_14935, APOSC_14934
OG0001216	YEAST00145	APOSC_27402, APOSC_27401, APOSC_24924, APOSC_07564, APOSC_01787
OG0001219	YEAST03867	APOSC_17654
OG0001236	YEAST03325, YEAST02687, YEAST03269	APOSC_08290, APOSC_12875, APOSC_20320, APOSC_04327
OG0001237	YEAST04380	APOSC_10087
OG0001238	YEAST04481	APOSC_09179
OG0001241	YEAST02002	APOSC_23343
OG0001241	YEAST03967, YEAST01074	APOSC_04462
OG0001243	YEAST00739, YEAST05004	APOSC_18938
OG0001249	YEAST01062, YEAST02067	APOSC_06543
OG0001250	YEAST02968, YEAST01339	APOSC_01792
OG0001251	YEAST01707	APOSC_09632
OG0001253	YEAST03998	APOSC_11036
OG0001254	YEAST04309	APOSC_13372
OG0001262	YEAST00911	APOSC_09805, APOSC_09807, APOSC_09806, APOSC_09804, APOSC_24190
OG0001263	YEAST00172	APOSC_14146, APOSC_14147
OG0001268	YEAST03495	APOSC_21922, APOSC_07653
OG0001270	YEAST01703	APOSC_07392
OG0001270	YEAST02398	APOSC_26062
OG0001271	YEAST05227, YEAST00662	APOSC_28116
OG0001278	YEAST01893	APOSC_09194, APOSC_22330, APOSC_06499, APOSC_17287
OG0001279	YEAST03070	APOSC_10702, APOSC_10701
OG0001280	YEAST00846	APOSC_27519, APOSC_27518
OG0001282	YEAST03744	APOSC_02603, APOSC_02605, APOSC_02604
OG0001284	YEAST00567, YEAST01498	APOSC_07511, APOSC_23659
OG0001286	YEAST00588, YEAST01486, YEAST03604	APOSC_05067
OG0001291	YEAST04453, YEAST04334	APOSC_25701
OG0001300	YEAST01098	APOSC_28359, APOSC_24410, APOSC_00939
OG0001302	YEAST02328	APOSC_13642
OG0001302	YEAST00299	APOSC_27436
OG0001310	YEAST00887	APOSC_08777, APOSC_16039, APOSC_12794
OG0001318	YEAST03712	APOSC_20047, APOSC_08207
OG0001319	YEAST01678	APOSC_07704
OG0001321	YEAST02280, YEAST01901	APOSC_09384
OG0001322	YEAST06128	APOSC_08768, APOSC_06842
OG0001324	YEAST00078	APOSC_00820
OG0001325	YEAST00793	APOSC_01729
OG0001326	YEAST05395	APOSC_23911
OG0001327	YEAST03176	APOSC_03248, APOSC_16461
OG0001332	YEAST03929, YEAST02705, YEAST00687	APOSC_22470, APOSC_17203, APOSC_16944, APOSC_26743
OG0001333	YEAST00728	APOSC_19820, APOSC_18829
OG0001341	YEAST06006	APOSC_25206
OG0001345	YEAST03613	APOSC_20488
OG0001353	YEAST00020, YEAST04041	APOSC_06612, APOSC_25721, APOSC_14654, APOSC_27272
OG0001363	YEAST06180	APOSC_13047, APOSC_04146, APOSC_25033
OG0001364	YEAST06038, YEAST00402	APOSC_16425, APOSC_10770, APOSC_01652
OG0001367	YEAST04688	APOSC_02909
OG0001368	YEAST01821	APOSC_19224
OG0001370	YEAST04067, YEAST05195, YEAST00897	APOSC_20803, APOSC_20802, APOSC_05081, APOSC_27098, APOSC_10358, APOSC_27099
OG0001371	YEAST00532, YEAST03976	APOSC_04765, APOSC_24656, APOSC_24655, APOSC_12215
OG0001372	YEAST00070	APOSC_13607
OG0001372	YEAST02226	APOSC_07222
OG0001375	YEAST05499, YEAST05567	APOSC_04608, APOSC_01077
OG0001378	YEAST02300	APOSC_25235
OG0001379	YEAST04155	APOSC_16176
OG0001386	YEAST05114	APOSC_07383, APOSC_07382
OG0001397	YEAST05731	APOSC_16804, APOSC_15929
OG0001400	YEAST02931	APOSC_16578, APOSC_16577
OG0001409	YEAST00885, YEAST04659	APOSC_14068, APOSC_14069
OG0001410	YEAST05046	APOSC_04943, APOSC_18435, APOSC_02633
OG0001411	YEAST04834	APOSC_10503, APOSC_27904
OG0001412	YEAST04490	APOSC_01814, APOSC_01813, APOSC_01812
OG0001413	YEAST04294	APOSC_20512, APOSC_06316
OG0001414	YEAST06070, YEAST01920	APOSC_07127, APOSC_08515
OG0001415	YEAST04230	APOSC_25795
OG0001415	YEAST00964	APOSC_18593
OG0001421	YEAST05252	APOSC_15996
OG0001422	YEAST05588, YEAST01363	APOSC_14929
OG0001424	YEAST01127	APOSC_09916, APOSC_21376
OG0001427	YEAST01885	APOSC_07659, APOSC_07658
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	APOSC_06360, APOSC_19650, APOSC_18933, APOSC_19652, APOSC_19651
OG0001430	YEAST01712	APOSC_10425
OG0001434	YEAST03991	APOSC_21365, APOSC_06186, APOSC_02988, APOSC_12550
OG0001437	YEAST01264, YEAST02900	APOSC_06789
OG0001445	YEAST01715	APOSC_01766
OG0001449	YEAST03188	APOSC_12099
OG0001452	YEAST05900	APOSC_06149
OG0001454	YEAST01495, YEAST00573	APOSC_10077
OG0001456	YEAST00365	APOSC_10360, APOSC_00503
OG0001459	YEAST03073, YEAST03464	APOSC_03007, APOSC_19515, APOSC_11819
OG0001461	YEAST05255	APOSC_22593, APOSC_22594
OG0001468	YEAST03875, YEAST03904	APOSC_26571
OG0001469	YEAST02070	APOSC_21558
OG0001469	YEAST02765	APOSC_12521
OG0001470	YEAST00369, YEAST05375	APOSC_15496
OG0001472	YEAST03031	APOSC_03478, APOSC_26882
OG0001473	YEAST05711	APOSC_25378, APOSC_24554
OG0001474	YEAST01416, YEAST05312	APOSC_00391, APOSC_28339
OG0001478	YEAST01984	APOSC_12978
OG0001478	YEAST02078	APOSC_11937
OG0001479	YEAST01132	APOSC_29168
OG0001503	YEAST03032	APOSC_07503
OG0001503	YEAST02920	APOSC_29093
OG0001504	YEAST05406	APOSC_05548
OG0001505	YEAST03361	APOSC_22405, APOSC_28266, APOSC_14626, APOSC_02151, APOSC_07032, APOSC_21083, APOSC_06533
OG0001508	YEAST04143	APOSC_21339, APOSC_21338
OG0001515	YEAST03320	APOSC_23285
OG0001520	YEAST03872	APOSC_18603
OG0001524	YEAST03912	APOSC_18612, APOSC_18631
OG0001525	YEAST00757	APOSC_11644, APOSC_13960
OG0001527	YEAST01395	APOSC_26650, APOSC_04022
OG0001529	YEAST01143	APOSC_17321, APOSC_03920
OG0001530	YEAST00643	APOSC_25625
OG0001546	YEAST03111	APOSC_12494
OG0001550	YEAST02405, YEAST05953	APOSC_07390, APOSC_17696, APOSC_09615, APOSC_26524
OG0001551	YEAST04817	APOSC_25143
OG0001553	YEAST05147, YEAST01586	APOSC_17818, APOSC_17817, APOSC_17816, APOSC_05111
OG0001557	YEAST04671	APOSC_03713, APOSC_10213
OG0001557	YEAST04551	APOSC_21247
OG0001558	YEAST04449	APOSC_12692, APOSC_18352
OG0001559	YEAST00445, YEAST02434	APOSC_06915
OG0001561	YEAST06176	APOSC_03964
OG0001564	YEAST05390	APOSC_06037, APOSC_06038
OG0001570	YEAST04678	APOSC_24458, APOSC_29138, APOSC_24457
OG0001573	YEAST03285	APOSC_24147, APOSC_24146
OG0001578	YEAST01872	APOSC_25871
OG0001580	YEAST06270	APOSC_04582, APOSC_04583
OG0001590	YEAST03476, YEAST00717, YEAST03955	APOSC_05334, APOSC_06008, APOSC_06664
OG0001594	YEAST03418	APOSC_14190, APOSC_13045, APOSC_16430, APOSC_20977
OG0001597	YEAST01702	APOSC_09081, APOSC_18499
OG0001603	YEAST02584	APOSC_19684, APOSC_08042
OG0001604	YEAST01428	APOSC_20538, APOSC_08984
OG0001605	YEAST04101	APOSC_08927, APOSC_24537
OG0001609	YEAST02739	APOSC_15382, APOSC_18863
OG0001610	YEAST00596	APOSC_11669, APOSC_11668, APOSC_17468
OG0001612	YEAST01109	APOSC_20257
OG0001628	YEAST04790	APOSC_13343, APOSC_17522
OG0001653	YEAST01151	APOSC_25182, APOSC_08056, APOSC_08321
OG0001655	YEAST03354	APOSC_19955
OG0001657	YEAST00101, YEAST00944	APOSC_20037
OG0001663	YEAST05642	APOSC_14512, APOSC_14513, APOSC_19966, APOSC_00664
OG0001676	YEAST02848	APOSC_11977
OG0001676	YEAST06155	APOSC_18551
OG0001679	YEAST05302, YEAST02334, YEAST02449, YEAST01523	APOSC_20310, APOSC_22953, APOSC_12720, APOSC_11611, APOSC_27365, APOSC_06847
OG0001680	YEAST01119, YEAST04022	APOSC_05052
OG0001685	YEAST01147	APOSC_17276, APOSC_03873
OG0001687	YEAST05279	APOSC_25333, APOSC_09970, APOSC_10763
OG0001691	YEAST01315	APOSC_09746, APOSC_09745, APOSC_09749, APOSC_09748
OG0001704	YEAST01293	APOSC_20746, APOSC_00421
OG0001706	YEAST03424	APOSC_11809, APOSC_11808
OG0001707	YEAST06049, YEAST00407, YEAST04739	APOSC_26684
OG0001708	YEAST05744, YEAST05745	APOSC_07420
OG0001709	YEAST04440	APOSC_04296, APOSC_04297, APOSC_04295, APOSC_19317
OG0001713	YEAST04039	APOSC_19043, APOSC_26360
OG0001718	YEAST01537	APOSC_01586, APOSC_06428
OG0001721	YEAST04881, YEAST05253, YEAST00698	APOSC_23771
OG0001723	YEAST01435	APOSC_21374
OG0001727	YEAST04543	APOSC_18118
OG0001728	YEAST03347	APOSC_21718, APOSC_21719, APOSC_21717
OG0001730	YEAST00177	APOSC_18068, APOSC_18069
OG0001736	YEAST04588	APOSC_23753
OG0001739	YEAST03760	APOSC_04485
OG0001750	YEAST03628	APOSC_05785
OG0001754	YEAST03682	APOSC_02170
OG0001755	YEAST05131	APOSC_01191
OG0001756	YEAST00620	APOSC_02548, APOSC_08277
OG0001769	YEAST04726	APOSC_25926, APOSC_03841
OG0001770	YEAST02590	APOSC_21836, APOSC_21835
OG0001774	YEAST05166	APOSC_20306, APOSC_14597
OG0001775	YEAST05594	APOSC_26681, APOSC_26577, APOSC_22869, APOSC_22870, APOSC_26576
OG0001780	YEAST03768	APOSC_18675
OG0001781	YEAST01882	APOSC_12405, APOSC_25815
OG0001782	YEAST02421	APOSC_24182, APOSC_15653
OG0001785	YEAST02713	APOSC_05919, APOSC_05920
OG0001787	YEAST03546	APOSC_00374
OG0001792	YEAST02075	APOSC_04470
OG0001792	YEAST04595	APOSC_10659
OG0001793	YEAST02466	APOSC_11265, APOSC_12984, APOSC_12986, APOSC_12985
OG0001805	YEAST05496, YEAST01242	APOSC_14981
OG0001807	YEAST05464	APOSC_17157, APOSC_17156
OG0001808	YEAST01298	APOSC_21460
OG0001818	YEAST05902, YEAST04712	APOSC_28601, APOSC_28600, APOSC_28602, APOSC_18594
OG0001822	YEAST04378, YEAST01659	APOSC_18765, APOSC_02285
OG0001826	YEAST04777, YEAST01697, YEAST05781	APOSC_12940
OG0001828	YEAST04676	APOSC_04726
OG0001829	YEAST01613, YEAST00136, YEAST02008	APOSC_07372
OG0001831	YEAST00024	APOSC_23596
OG0001832	YEAST05376	APOSC_14000
OG0001846	YEAST05067	APOSC_12218
OG0001850	YEAST01913	APOSC_24800, APOSC_00640
OG0001852	YEAST03121	APOSC_08845
OG0001853	YEAST05176	APOSC_26386, APOSC_12727
OG0001857	YEAST04741	APOSC_18896
OG0001860	YEAST00188	APOSC_14509
OG0001861	YEAST05779, YEAST04773	APOSC_06627
OG0001863	YEAST03017	APOSC_10423, APOSC_10422, APOSC_26636
OG0001866	YEAST05095, YEAST05570	APOSC_28306, APOSC_28307
OG0001867	YEAST01669	APOSC_02450
OG0001873	YEAST00981, YEAST00267	APOSC_24589, APOSC_02615, APOSC_02614
OG0001875	YEAST04137	APOSC_28674, APOSC_02272
OG0001877	YEAST04134	APOSC_00171
OG0001886	YEAST03260	APOSC_24954
OG0001888	YEAST05749, YEAST01573	APOSC_16509, APOSC_16510
OG0001893	YEAST01023	APOSC_28513, APOSC_28512, APOSC_24696
OG0001894	YEAST00433	APOSC_00243, APOSC_00244
OG0001899	YEAST01210, YEAST04466	APOSC_20088, APOSC_20089
OG0001903	YEAST06020	APOSC_14862, APOSC_01387
OG0001913	YEAST05520	APOSC_27752, APOSC_27753, APOSC_27754
OG0001915	YEAST04791	APOSC_20247, APOSC_07947
OG0001917	YEAST01859	APOSC_15433
OG0001923	YEAST05881	APOSC_09651
OG0001926	YEAST02948	APOSC_03347
OG0001932	YEAST03770, YEAST03179	APOSC_17044, APOSC_21184, APOSC_21185
OG0001934	YEAST00877	APOSC_08263
OG0001935	YEAST00431	APOSC_26841, APOSC_26842, APOSC_11624
OG0001938	YEAST03931	APOSC_25351, APOSC_25350
OG0001940	YEAST04188, YEAST05646	APOSC_10905, APOSC_14288, APOSC_14537, APOSC_10863, APOSC_14287
OG0001943	YEAST02393, YEAST05966	APOSC_02483
OG0001945	YEAST01671	APOSC_02753
OG0001947	YEAST02570	APOSC_08756, APOSC_08755
OG0001951	YEAST00941, YEAST05396	APOSC_14703
OG0001952	YEAST04673, YEAST01990, YEAST00155	APOSC_03402, APOSC_22985
OG0001965	YEAST04582	APOSC_21927
OG0001968	YEAST04910	APOSC_15282, APOSC_28315, APOSC_15708
OG0001969	YEAST06173	APOSC_03017, APOSC_04453
OG0001972	YEAST01822, YEAST03363	APOSC_24260, APOSC_24259, APOSC_24261, APOSC_24262
OG0001985	YEAST04959	APOSC_05664
OG0001992	YEAST02679	APOSC_16707
OG0001998	YEAST00890	APOSC_15820
OG0002001	YEAST00502, YEAST03944	APOSC_06835, APOSC_29087
OG0002003	YEAST02826, YEAST03671	APOSC_24514, APOSC_24513, APOSC_11225, APOSC_24019
OG0002008	YEAST00768	APOSC_03844, APOSC_03845
OG0002010	YEAST00609	APOSC_14891
OG0002013	YEAST03040	APOSC_00249
OG0002014	YEAST02422	APOSC_11193
OG0002015	YEAST05525	APOSC_10940, APOSC_02399, APOSC_18090, APOSC_20828, APOSC_09531, APOSC_10941, APOSC_24268, APOSC_23791, APOSC_17290, APOSC_09532, APOSC_04898
OG0002026	YEAST01247	APOSC_06220, APOSC_15641
OG0002029	YEAST02646	APOSC_07521, APOSC_06710, APOSC_06711
OG0002031	YEAST02752	APOSC_24523
OG0002032	YEAST01221	APOSC_00301
OG0002042	YEAST02880	APOSC_25585, APOSC_23059, APOSC_23060
OG0002043	YEAST04003	APOSC_16723, APOSC_16722
OG0002059	YEAST05893, YEAST04718	APOSC_11900
OG0002062	YEAST05454	APOSC_08611, APOSC_08610
OG0002063	YEAST00838	APOSC_06813, APOSC_01004
OG0002067	YEAST03444	APOSC_27713
OG0002069	YEAST05962	APOSC_01667
OG0002073	YEAST04552	APOSC_01747
OG0002076	YEAST02206	APOSC_18963, APOSC_18964
OG0002078	YEAST06232	APOSC_28182, APOSC_28181
OG0002079	YEAST05765, YEAST00483	APOSC_02703
OG0002080	YEAST05220, YEAST04736	APOSC_01291
OG0002084	YEAST04529	APOSC_14942, APOSC_01681
OG0002087	YEAST05702	APOSC_01971, APOSC_01970, APOSC_22480
OG0002090	YEAST02246	APOSC_06255
OG0002093	YEAST02255	APOSC_18156
OG0002097	YEAST02697	APOSC_25092
OG0002101	YEAST03902	APOSC_15179
OG0002103	YEAST05974	APOSC_03682
OG0002108	YEAST03715	APOSC_26646
OG0002123	YEAST02444	APOSC_05309
OG0002125	YEAST05183	APOSC_25900
OG0002131	YEAST04275	APOSC_27598, APOSC_06286
OG0002137	YEAST04320	APOSC_13036
OG0002138	YEAST02406	APOSC_19073
OG0002144	YEAST02673	APOSC_04499, APOSC_04500
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	APOSC_03650, APOSC_03649
OG0002147	YEAST04532, YEAST01219	APOSC_27971
OG0002148	YEAST02060	APOSC_21542, APOSC_14322
OG0002152	YEAST05624	APOSC_19987
OG0002156	YEAST03007	APOSC_16118
OG0002160	YEAST03960	APOSC_19331, APOSC_11192, APOSC_02113, APOSC_08854, APOSC_02505, APOSC_23874, APOSC_04273, APOSC_11575, APOSC_20222, APOSC_11922, APOSC_22980
OG0002165	YEAST04504	APOSC_17467, APOSC_20598, APOSC_01903
OG0002168	YEAST00516	APOSC_02871, APOSC_28824
OG0002169	YEAST02258	APOSC_17032, APOSC_17033
OG0002175	YEAST04956	APOSC_21787
OG0002184	YEAST00242	APOSC_13034
OG0002185	YEAST05212	APOSC_21767, APOSC_21768, APOSC_21766
OG0002188	YEAST04638, YEAST03913	APOSC_27110
OG0002189	YEAST02882, YEAST04447	APOSC_22959, APOSC_22958
OG0002197	YEAST04045	APOSC_25829, APOSC_25531
OG0002213	YEAST01241, YEAST05495	APOSC_26472
OG0002216	YEAST06040	APOSC_12957, APOSC_00875, APOSC_17041
OG0002217	YEAST06033	APOSC_23307
OG0002222	YEAST03240	APOSC_00538
OG0002224	YEAST01574	APOSC_18776, APOSC_18777
OG0002225	YEAST04939	APOSC_22427
OG0002226	YEAST00948	APOSC_01552
OG0002228	YEAST04154, YEAST05632	APOSC_24187
OG0002233	YEAST00277	APOSC_06864
OG0002239	YEAST01621	APOSC_02757
OG0002241	YEAST02005	APOSC_00224, APOSC_15886
OG0002243	YEAST04599, YEAST03601, YEAST04600	APOSC_01692
OG0002244	YEAST02768	APOSC_24276
OG0002252	YEAST00826	APOSC_08233, APOSC_10259, APOSC_01721
OG0002261	YEAST00472	APOSC_09973, APOSC_01375, APOSC_01376
OG0002264	YEAST01705	APOSC_17999, APOSC_29160, APOSC_20572
OG0002279	YEAST05800	APOSC_19817
OG0002282	YEAST00881	APOSC_27761, APOSC_13750, APOSC_13749
OG0002288	YEAST01591, YEAST05154	APOSC_11294, APOSC_11293
OG0002312	YEAST06295	APOSC_23301
OG0002316	YEAST01805	APOSC_08356
OG0002318	YEAST02923	APOSC_17713
OG0002319	YEAST00329	APOSC_16802, APOSC_18537
OG0002321	YEAST02461	APOSC_10913
OG0002324	YEAST02615, YEAST06287	APOSC_16211
OG0002326	YEAST00310, YEAST02699	APOSC_17684
OG0002327	YEAST00346, YEAST06217	APOSC_06995, APOSC_18373
OG0002331	YEAST01653	APOSC_25291
OG0002332	YEAST01606, YEAST05184, YEAST00285	APOSC_12740
OG0002341	YEAST03640, YEAST04562	APOSC_11019
OG0002344	YEAST02312, YEAST02019	APOSC_25480
OG0002346	YEAST02012	APOSC_07336
OG0002348	YEAST01845	APOSC_18750
OG0002355	YEAST00016	APOSC_10159, APOSC_08399, APOSC_27751, APOSC_27413
OG0002356	YEAST00259	APOSC_03388
OG0002361	YEAST01027	APOSC_15741
OG0002367	YEAST01179	APOSC_15926, APOSC_21224
OG0002369	YEAST03766	APOSC_26993, APOSC_26992, APOSC_17971
OG0002374	YEAST02010, YEAST00133	APOSC_11797
OG0002377	YEAST05000	APOSC_15267
OG0002406	YEAST05509	APOSC_03559, APOSC_03558
OG0002407	YEAST00012	APOSC_23871, APOSC_19539, APOSC_09967, APOSC_09969, APOSC_09968
OG0002409	YEAST02027	APOSC_27400
OG0002411	YEAST05950, YEAST02407	APOSC_04009
OG0002412	YEAST06171	APOSC_01507
OG0002413	YEAST01196	APOSC_23972, APOSC_01682
OG0002415	YEAST01271	APOSC_02142, APOSC_02143, APOSC_16711
OG0002421	YEAST02982	APOSC_00076, APOSC_18272
OG0002422	YEAST02443	APOSC_14600
OG0002422	YEAST05026	APOSC_11565, APOSC_06825, APOSC_24123, APOSC_24124
OG0002426	YEAST00184	APOSC_03921
OG0002441	YEAST00068, YEAST02278, YEAST05821	APOSC_21966
OG0002442	YEAST05932	APOSC_07036
OG0002443	YEAST04906	APOSC_05095, APOSC_06655
OG0002446	YEAST04254	APOSC_18266
OG0002448	YEAST00626	APOSC_23526, APOSC_18984
OG0002450	YEAST04575	APOSC_13991
OG0002453	YEAST00512	APOSC_12294
OG0002476	YEAST05799	APOSC_08544, APOSC_06061
OG0002486	YEAST01433	APOSC_24086
OG0002492	YEAST01624	APOSC_26144, APOSC_26143
OG0002494	YEAST02402	APOSC_27422
OG0002495	YEAST02772	APOSC_23227
OG0002497	YEAST02747	APOSC_12496
OG0002500	YEAST05648	APOSC_26581, APOSC_26845, APOSC_03483
OG0002505	YEAST02959	APOSC_20422
OG0002510	YEAST04753	APOSC_08174, APOSC_22448
OG0002516	YEAST00066	APOSC_18582
OG0002518	YEAST02890	APOSC_11783
OG0002520	YEAST05256	APOSC_09886, APOSC_05221
OG0002523	YEAST06234	APOSC_20366
OG0002527	YEAST01639	APOSC_26177
OG0002528	YEAST00372	APOSC_06214
OG0002530	YEAST05530, YEAST03790	APOSC_20517, APOSC_20516
OG0002532	YEAST03235	APOSC_00073
OG0002533	YEAST04525	APOSC_16025
OG0002543	YEAST00527	APOSC_10448
OG0002557	YEAST06243	APOSC_06271, APOSC_06270
OG0002561	YEAST04438, YEAST02106	APOSC_22772
OG0002562	YEAST03992	APOSC_23061
OG0002564	YEAST02186	APOSC_10079
OG0002565	YEAST04224, YEAST02499	APOSC_12348, APOSC_12347
OG0002570	YEAST00592	APOSC_04158
OG0002574	YEAST05657	APOSC_18559, APOSC_14927
OG0002594	YEAST06174	APOSC_20282
OG0002598	YEAST04621, YEAST03577	APOSC_00806
OG0002605	YEAST06332	APOSC_03297, APOSC_03298
OG0002608	YEAST03716, YEAST02846	APOSC_19157, APOSC_19158, APOSC_19156
OG0002609	YEAST01355	APOSC_09800
OG0002610	YEAST01078, YEAST03973	APOSC_14574
OG0002612	YEAST03508	APOSC_14336, APOSC_00532, APOSC_25869
OG0002617	YEAST00866	APOSC_17874
OG0002618	YEAST06247	APOSC_15078
OG0002621	YEAST05551	APOSC_16138
OG0002629	YEAST05919	APOSC_24143, APOSC_28514
OG0002630	YEAST05943, YEAST02413	APOSC_13427, APOSC_22808, APOSC_27733, APOSC_03547
OG0002632	YEAST02755	APOSC_11736, APOSC_11737
OG0002633	YEAST04206	APOSC_07809
OG0002636	YEAST01664, YEAST06215	APOSC_20531
OG0002638	YEAST00919, YEAST04703	APOSC_22253
OG0002643	YEAST01938	APOSC_17590, APOSC_27275, APOSC_02359
OG0002644	YEAST00724	APOSC_09983
OG0002645	YEAST01436	APOSC_20192, APOSC_14467
OG0002646	YEAST01946	APOSC_09824
OG0002651	YEAST02247	APOSC_05782
OG0002651	YEAST02868	APOSC_05783
OG0002652	YEAST04937	APOSC_02334, APOSC_02332, APOSC_02331, APOSC_02333
OG0002656	YEAST05701	APOSC_28100
OG0002659	YEAST06290	APOSC_14721
OG0002666	YEAST02507	APOSC_16626
OG0002668	YEAST02324	APOSC_14298
OG0002677	YEAST05210	APOSC_13230, APOSC_13231
OG0002683	YEAST03676	APOSC_17393
OG0002705	YEAST00553	APOSC_27917
OG0002713	YEAST00413, YEAST06057	APOSC_05280, APOSC_03071
OG0002715	YEAST01174, YEAST04131	APOSC_07749
OG0002717	YEAST02430	APOSC_26112
OG0002718	YEAST03380, YEAST03502	APOSC_17928
OG0002720	YEAST01914	APOSC_27936, APOSC_01575, APOSC_25207, APOSC_01930, APOSC_01574
OG0002722	YEAST04059	APOSC_24653
OG0002726	YEAST02958	APOSC_05201, APOSC_05202, APOSC_05200
OG0002729	YEAST01155	APOSC_17120, APOSC_21036
OG0002737	YEAST02827	APOSC_20148
OG0002739	YEAST01877	APOSC_21522
OG0002740	YEAST01658	APOSC_21986
OG0002742	YEAST03713	APOSC_06473
OG0002743	YEAST01824, YEAST03362	APOSC_08187, APOSC_09455, APOSC_20408
OG0002745	YEAST04244	APOSC_11793
OG0002746	YEAST04902, YEAST05332	APOSC_01643, APOSC_01382, APOSC_01381, APOSC_13976, APOSC_02478, APOSC_20032
OG0002747	YEAST05617	APOSC_09247, APOSC_09246
OG0002749	YEAST02810	APOSC_19739
OG0002750	YEAST04952	APOSC_07858
OG0002752	YEAST03686	APOSC_17025
OG0002753	YEAST03742	APOSC_14782, APOSC_01613
OG0002754	YEAST03620	APOSC_00654
OG0002756	YEAST04058	APOSC_00629
