Orthogroup	PFLAV	BRAFL
OG0000005	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1	bflo_16145, bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838, bflo_00488, bflo_17720, bflo_17905, bflo_09935, bflo_16770
OG0000005	TCONS_00020907.p1	bflo_13407
OG0000005	TCONS_00000145.p1, TCONS_00000206.p1, TCONS_00000207.p1, TCONS_00033023.p1, TCONS_00000205.p1, TCONS_00030166.p1, TCONS_00001299.p1, TCONS_00000147.p1, TCONS_00000148.p1, TCONS_00000146.p1, TCONS_00001300.p1, TCONS_00001301.p1, TCONS_00001373.p1, TCONS_00001651.p1, TCONS_00001649.p1, TCONS_00002069.p1, TCONS_00001653.p1, TCONS_00001650.p1, TCONS_00000614.p1, TCONS_00000615.p1, TCONS_00000478.p1, TCONS_00000616.p1, TCONS_00000763.p1, TCONS_00000762.p1, TCONS_00016309.p1, TCONS_00016308.p1, TCONS_00016304.p1, TCONS_00016313.p1, TCONS_00016314.p1, TCONS_00016315.p1, TCONS_00016303.p1, TCONS_00016305.p1, TCONS_00016301.p1, TCONS_00016293.p1, TCONS_00004018.p1	bflo_08461, bflo_08460, bflo_07020, bflo_07656, bflo_07021, bflo_13613, bflo_13706, bflo_13036, bflo_00914, bflo_00505, bflo_00504, bflo_00482, bflo_00815, bflo_19551, bflo_26509
OG0000005	TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1	bflo_10917
OG0000006	TCONS_00038043.p1	bflo_03612
OG0000006	TCONS_00023170.p1, TCONS_00025030.p1	bflo_10484
OG0000006	TCONS_00048904.p1	bflo_06221
OG0000006	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1	bflo_07660
OG0000006	TCONS_00042787.p1	bflo_14856, bflo_15258
OG0000006	TCONS_00021207.p1	bflo_22120
OG0000006	TCONS_00016646.p1	bflo_16305
OG0000006	TCONS_00021581.p1	bflo_22526
OG0000006	TCONS_00023551.p1	bflo_10066, bflo_10065
OG0000006	TCONS_00003496.p1	bflo_12576
OG0000006	TCONS_00012810.p1	bflo_23572
OG0000006	TCONS_00013984.p1	bflo_23665
OG0000006	TCONS_00012809.p1	bflo_23603
OG0000006	TCONS_00021507.p1	bflo_22579
OG0000006	TCONS_00027932.p1	bflo_06220
OG0000006	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1	bflo_08237
OG0000006	TCONS_00028953.p1	bflo_06222
OG0000006	TCONS_00030792.p1	bflo_08431
OG0000006	TCONS_00011489.p1	bflo_22598
OG0000006	TCONS_00011491.p1	bflo_15412
OG0000006	TCONS_00011052.p1	bflo_10980
OG0000007	TCONS_00008966.p1	bflo_13266
OG0000007	TCONS_00029574.p1	bflo_05651
OG0000007	TCONS_00009611.p1	bflo_16444, bflo_15598
OG0000007	TCONS_00029143.p1	bflo_06255
OG0000007	TCONS_00052518.p1	bflo_25603
OG0000007	TCONS_00052512.p1	bflo_25903
OG0000007	TCONS_00026068.p1	bflo_10207
OG0000007	TCONS_00051149.p1	bflo_23632
OG0000007	TCONS_00007744.p1	bflo_13742
OG0000007	TCONS_00008968.p1	bflo_13892
OG0000007	TCONS_00008967.p1	bflo_13084
