Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	54	37
OG0000318	106	91
OG0000319	58	35
OG0000320	72	59
OG0000321	38	31
OG0000322	69	61
OG0000323	60	52
OG0000324	85	73
OG0000325	72	65
OG0000326	70	55
OG0000327	85	71
OG0000328	73	65
OG0000329	77	72
OG0000330	95	93
OG0000331	82	72
OG0000332	70	60
OG0000333	80	77
OG0000334	104	100
OG0000335	93	86
OG0000336	69	44
OG0000337	94	80
OG0000338	51	47
OG0000339	84	76
OG0000340	80	70
OG0000341	91	88
OG0000342	72	49
OG0000343	93	88
OG0000344	60	45
OG0000345	59	49
OG0000346	72	61
OG0000347	71	55
OG0000348	93	80
OG0000349	80	68
OG0000350	31	26
OG0000351	49	41
OG0000352	49	39
OG0000353	84	77
OG0000354	92	91
OG0000355	78	54
OG0000356	65	56
OG0000357	51	38
OG0000358	41	33
OG0000359	50	47
OG0000360	57	51
OG0000361	127	127
OG0000362	88	78
OG0000363	48	39
OG0000364	78	73
OG0000365	58	48
OG0000366	99	90
OG0000367	61	51
OG0000368	126	126
OG0000369	85	64
OG0000370	82	74
OG0000371	51	44
OG0000372	35	26
OG0000373	53	43
OG0000374	42	39
OG0000375	57	51
OG0000376	125	125
OG0000377	76	67
OG0000378	52	46
OG0000379	41	36
OG0000380	69	51
OG0000381	71	62
OG0000382	51	41
OG0000383	86	64
OG0000384	67	61
OG0000385	70	58
OG0000386	74	62
OG0000387	123	123
OG0000388	123	123
OG0000389	76	72
OG0000390	71	65
OG0000391	53	44
OG0000392	84	77
OG0000393	49	41
OG0000394	99	91
OG0000395	89	84
OG0000396	57	45
OG0000397	78	73
OG0000398	121	121
OG0000399	31	19
OG0000400	53	33
OG0000401	80	78
OG0000402	51	45
OG0000403	61	54
OG0000404	37	27
OG0000405	74	61
OG0000406	85	82
OG0000407	116	115
OG0000408	95	90
OG0000409	56	43
OG0000410	69	62
OG0000411	53	45
OG0000412	44	35
OG0000413	41	34
OG0000414	83	65
OG0000415	58	51
OG0000416	79	74
OG0000417	62	49
OG0000418	75	64
OG0000419	60	50
OG0000420	62	51
OG0000421	63	59
OG0000422	71	67
OG0000423	75	67
OG0000424	76	71
OG0000425	51	43
OG0000426	47	40
OG0000427	58	46
OG0000428	114	114
OG0000429	67	64
OG0000430	61	55
OG0000431	45	41
OG0000432	57	49
OG0000433	50	43
OG0000434	71	67
OG0000435	52	43
OG0000436	77	67
OG0000437	79	71
OG0000438	114	114
OG0000439	112	112
OG0000440	90	80
OG0000441	79	48
OG0000442	30	25
OG0000443	64	60
OG0000444	60	59
OG0000445	69	56
OG0000446	35	22
OG0000447	67	61
OG0000448	61	55
OG0000449	66	59
OG0000450	47	38
OG0000451	103	100
OG0000452	79	74
OG0000453	76	70
OG0000454	65	56
OG0000455	112	112
OG0000456	69	50
OG0000457	89	76
OG0000458	39	35
OG0000459	76	69
OG0000460	61	55
OG0000461	52	47
OG0000462	45	40
OG0000463	52	44
OG0000464	83	66
OG0000465	46	36
OG0000466	68	63
OG0000467	57	52
OG0000468	58	50
OG0000469	32	22
OG0000470	57	54
OG0000471	57	40
OG0000472	55	50
OG0000473	59	53
OG0000474	51	42
OG0000475	52	37
OG0000476	43	30
OG0000477	57	49
OG0000478	61	53
OG0000479	38	33
OG0000480	50	47
OG0000481	27	16
OG0000482	45	37
OG0000483	72	59
OG0000484	62	52
OG0000485	52	47
OG0000486	48	45
OG0000487	52	46
OG0000488	56	47
OG0000489	56	47
OG0000490	59	42
OG0000491	66	62
OG0000492	85	73
OG0000493	107	107
OG0000494	61	58
OG0000495	69	64
OG0000496	35	28
OG0000497	54	47
OG0000498	61	59
OG0000499	64	57
OG0000500	82	80
OG0000501	74	64
OG0000502	70	62
OG0000503	47	40
OG0000504	49	38
OG0000505	47	42
OG0000506	56	42
OG0000507	105	105
OG0000508	35	30
OG0000509	75	65
OG0000510	56	52
OG0000511	55	35
OG0000512	71	63
OG0000513	62	52
OG0000514	63	61
OG0000515	63	63
OG0000516	59	56
OG0000517	60	54
OG0000518	79	75
OG0000519	54	48
OG0000520	39	28
OG0000521	46	42
OG0000522	50	44
OG0000523	48	42
OG0000524	76	72
OG0000525	40	28
OG0000526	46	42
OG0000527	58	51
OG0000528	41	37
OG0000529	42	33
OG0000530	67	65
OG0000531	63	52
OG0000532	57	49
OG0000533	63	54
OG0000534	47	40
OG0000535	57	53
OG0000536	68	61
OG0000537	37	35
OG0000538	62	60
OG0000539	73	69
OG0000540	49	47
OG0000541	74	68
OG0000542	45	38
OG0000543	76	59
OG0000544	37	26
OG0000545	37	35
OG0000546	60	56
OG0000547	56	45
OG0000548	28	19
OG0000549	56	43
OG0000550	51	38
OG0000551	71	65
OG0000552	40	29
OG0000553	30	28
OG0000554	42	29
OG0000555	77	62
OG0000556	89	86
OG0000557	73	69
OG0000558	76	74
OG0000559	101	101
OG0000560	43	32
OG0000561	47	45
OG0000562	53	45
OG0000563	58	40
OG0000564	29	23
OG0000565	62	60
OG0000566	38	29
OG0000567	41	37
OG0000568	63	49
OG0000569	65	59
OG0000570	46	41
OG0000571	55	36
OG0000572	42	32
OG0000573	34	22
OG0000574	36	30
OG0000575	56	54
OG0000576	57	50
OG0000577	69	62
OG0000578	53	50
OG0000579	54	44
OG0000580	50	39
OG0000581	24	14
OG0000582	53	47
OG0000583	49	38
OG0000584	66	64
OG0000585	52	44
OG0000586	57	46
OG0000587	39	33
OG0000588	42	39
OG0000589	56	55
OG0000590	36	26
OG0000591	34	25
OG0000592	42	37
OG0000593	38	32
OG0000594	33	25
OG0000595	69	58
OG0000596	53	41
OG0000597	36	29
OG0000598	62	58
OG0000599	45	32
OG0000600	40	26
OG0000601	45	39
OG0000602	33	30
OG0000603	58	50
OG0000604	48	43
OG0000605	97	97
OG0000606	96	96
OG0000607	59	55
OG0000608	72	66
OG0000609	34	30
OG0000610	47	42
OG0000611	38	32
OG0000612	32	20
OG0000613	41	39
OG0000614	51	46
OG0000615	51	46
OG0000616	59	53
OG0000617	62	56
OG0000618	68	62
OG0000619	55	44
OG0000620	56	55
OG0000621	44	36
OG0000622	73	71
OG0000623	42	39
OG0000624	47	43
OG0000625	42	32
OG0000626	61	59
OG0000627	53	47
OG0000628	38	29
OG0000629	37	31
OG0000630	67	60
OG0000631	35	29
OG0000632	70	58
OG0000633	56	50
OG0000634	54	44
OG0000635	54	51
OG0000636	61	60
OG0000637	37	18
OG0000638	66	49
OG0000639	32	28
OG0000640	77	71
OG0000641	53	48
OG0000642	48	44
OG0000643	47	43
OG0000644	63	57
OG0000645	42	37
OG0000646	35	29
OG0000647	52	44
OG0000648	34	28
OG0000649	57	50
OG0000650	38	36
OG0000651	57	54
OG0000652	45	34
OG0000653	33	25
OG0000654	49	45
OG0000655	93	93
OG0000656	60	52
OG0000657	38	28
OG0000658	66	59
OG0000659	69	66
OG0000660	29	20
OG0000661	83	83
OG0000662	30	17
OG0000663	49	42
OG0000664	39	38
OG0000665	45	40
OG0000666	51	46
OG0000667	52	41
OG0000668	88	65
OG0000669	92	92
OG0000670	45	41
OG0000671	36	34
OG0000672	37	31
OG0000673	56	43
OG0000674	39	32
OG0000675	50	45
OG0000676	26	20
OG0000677	72	67
OG0000678	50	42
