Orthogroup	BRAFL	XENTR
OG0000006	bflo_06222	XENTR15729, XENTR08627
OG0000006	bflo_08431	XENTR04854, XENTR07280, XENTR07527
OG0000006	bflo_22598	XENTR07719
OG0000006	bflo_15412	XENTR12339, XENTR03854, XENTR12781
OG0000007	bflo_13266	XENTR04989, XENTR07641
OG0000007	bflo_05651	XENTR10435
OG0000007	bflo_16444, bflo_15598	XENTR12787, XENTR08906, XENTR06676
OG0000007	bflo_25603	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041
OG0000007	bflo_25903	XENTR00040
OG0000007	bflo_10207	XENTR10333, XENTR09768, XENTR09769, XENTR02009
OG0000007	bflo_23632	XENTR03222
OG0000007	bflo_13761	XENTR07642
OG0000007	bflo_13742	XENTR11347, XENTR18406
OG0000007	bflo_13892	XENTR04991
OG0000007	bflo_13084	XENTR04990, XENTR05942
OG0000007	bflo_12369	XENTR09461, XENTR01137
OG0000007	bflo_23309	XENTR03031, XENTR06562
OG0000007	bflo_23091	XENTR16583
OG0000007	bflo_23283	XENTR07405, XENTR01816
OG0000007	bflo_24497	XENTR09232, XENTR15271
OG0000008	bflo_24920	XENTR11531, XENTR11530, XENTR00356
OG0000008	bflo_04328	XENTR06130
OG0000008	bflo_18246, bflo_18438, bflo_17494, bflo_17234, bflo_17491, bflo_17495, bflo_05246, bflo_16441, bflo_26042, bflo_18070, bflo_16203, bflo_16234, bflo_16238, bflo_16233, bflo_16235, bflo_16231, bflo_16161, bflo_25263, bflo_24546	XENTR15138, XENTR01868, XENTR01869, XENTR18973, XENTR01867, XENTR06000, XENTR06001, XENTR05999, XENTR06002, XENTR18538, XENTR06119, XENTR06121, XENTR06120, XENTR06118, XENTR06122, XENTR06117, XENTR06116, XENTR06128, XENTR06124, XENTR06123, XENTR06133, XENTR06127, XENTR06131, XENTR06132, XENTR06129, XENTR06126, XENTR06125
OG0000008	bflo_12140	XENTR00105
OG0000008	bflo_11080	XENTR02826
OG0000008	bflo_20071	XENTR14482
OG0000008	bflo_17599	XENTR15536
OG0000010	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857	XENTR06633, XENTR06635, XENTR06634
OG0000010	bflo_25814, bflo_01084	XENTR08285, XENTR08284, XENTR12501, XENTR02618
OG0000010	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213	XENTR15256, XENTR18623, XENTR15257, XENTR19183, XENTR15255, XENTR15237, XENTR11415, XENTR11414, XENTR18631, XENTR16282, XENTR15239, XENTR15238, XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248, XENTR18249
OG0000011	bflo_27088, bflo_03175	XENTR06336, XENTR06335
OG0000012	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370	XENTR00246, XENTR14489, XENTR13810, XENTR10002
