Orthogroup	BRAFL	ASTMX
OG0000007	bflo_10207	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582
OG0000007	bflo_23632	ASTMX21073, ASTMX16179
OG0000007	bflo_13742	ASTMX20070
OG0000007	bflo_13892	ASTMX22376, ASTMX11119
OG0000007	bflo_13084	ASTMX14979, ASTMX11120, ASTMX02564
OG0000007	bflo_12369	ASTMX18062, ASTMX21262
OG0000007	bflo_23309	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	bflo_23091	ASTMX04966, ASTMX11650
OG0000007	bflo_23283	ASTMX18779, ASTMX07711
OG0000007	bflo_24497	ASTMX15846, ASTMX15847, ASTMX10097
OG0000007	bflo_11392	ASTMX10986, ASTMX01681, ASTMX08450
OG0000008	bflo_24920	ASTMX21956, ASTMX05481
OG0000008	bflo_12140	ASTMX13129
OG0000008	bflo_11080	ASTMX09448
OG0000008	bflo_20071	ASTMX05709
OG0000008	bflo_17599	ASTMX03297, ASTMX08955
OG0000010	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209, ASTMX19981
OG0000010	bflo_00973	ASTMX21265
OG0000010	bflo_25814, bflo_01084	ASTMX02979, ASTMX12532, ASTMX19555
OG0000010	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213	ASTMX05524, ASTMX05737, ASTMX05736, ASTMX06728, ASTMX17688, ASTMX18214, ASTMX16219, ASTMX16220, ASTMX05525, ASTMX21918
OG0000011	bflo_20761, bflo_05867	ASTMX21233, ASTMX01926
OG0000012	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370	ASTMX22063, ASTMX16492
OG0000012	bflo_14731, bflo_13607, bflo_24594	ASTMX06265
OG0000013	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702
OG0000014	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941	ASTMX02678, ASTMX08608, ASTMX07233
OG0000014	bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893	ASTMX03213, ASTMX07656
OG0000014	bflo_18525, bflo_05141	ASTMX01801
OG0000014	bflo_04326, bflo_04339, bflo_04331	ASTMX12908, ASTMX11632
OG0000014	bflo_06816	ASTMX01423, ASTMX16397
OG0000015	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473	ASTMX01476, ASTMX13504, ASTMX02112
OG0000015	bflo_14872	ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097
OG0000015	bflo_14874	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333
OG0000015	bflo_24142, bflo_23928, bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727
OG0000016	bflo_22718, bflo_13606, bflo_23097, bflo_23092	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675
OG0000016	bflo_12769	ASTMX02874
OG0000016	bflo_20387	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361
OG0000019	bflo_04871	ASTMX14084, ASTMX03976, ASTMX18923
OG0000019	bflo_26518, bflo_26519, bflo_04870	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156
OG0000020	bflo_12668	ASTMX12654
OG0000020	bflo_19465	ASTMX04834
OG0000020	bflo_19726	ASTMX22432
OG0000020	bflo_17473, bflo_27211	ASTMX12285
OG0000020	bflo_24908	ASTMX15062
OG0000020	bflo_12267	ASTMX14060
OG0000020	bflo_11497	ASTMX00875, ASTMX06734
OG0000020	bflo_01316, bflo_26255, bflo_05601	ASTMX14107, ASTMX08186
OG0000020	bflo_24504, bflo_09206, bflo_24474	ASTMX17613
OG0000020	bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513	ASTMX03725, ASTMX07958, ASTMX18318
OG0000020	bflo_23109	ASTMX16030
OG0000020	bflo_01292	ASTMX16028
OG0000020	bflo_16368	ASTMX17320
OG0000020	bflo_14118	ASTMX04750, ASTMX21042
OG0000020	bflo_07448	ASTMX04710, ASTMX22736
OG0000020	bflo_14450	ASTMX07754
OG0000020	bflo_00687	ASTMX13875
OG0000021	bflo_11723	ASTMX05285, ASTMX16996, ASTMX01998
OG0000021	bflo_11166, bflo_11165, bflo_11164	ASTMX00802, ASTMX04036, ASTMX09468, ASTMX09467, ASTMX09435, ASTMX07052, ASTMX07051, ASTMX06325, ASTMX15788, ASTMX05284
OG0000021	bflo_12821	ASTMX00201, ASTMX09085
OG0000021	bflo_20935	ASTMX02310, ASTMX16342
OG0000021	bflo_20505, bflo_09681	ASTMX09645
OG0000021	bflo_27402, bflo_22537	ASTMX21461
OG0000021	bflo_22539, bflo_22305	ASTMX05545
OG0000021	bflo_14957, bflo_14617, bflo_14568	ASTMX13864
OG0000021	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965	ASTMX09336
OG0000023	bflo_10816, bflo_10061	ASTMX18896
OG0000023	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512	ASTMX07788
OG0000023	bflo_20456	ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414
OG0000023	bflo_20896	ASTMX11687
OG0000023	bflo_10033, bflo_02724, bflo_02807	ASTMX14286, ASTMX19623
OG0000026	bflo_26853, bflo_07376	ASTMX12978
OG0000027	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610	ASTMX01680
OG0000028	bflo_23186, bflo_23170, bflo_06699, bflo_04841	ASTMX11297, ASTMX12202
OG0000028	bflo_14636, bflo_15358	ASTMX18482, ASTMX18778
OG0000028	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506
OG0000028	bflo_06498, bflo_18107	ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886
OG0000028	bflo_25761, bflo_19766, bflo_19099	ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417
OG0000028	bflo_06341	ASTMX01721, ASTMX15155, ASTMX14212
OG0000029	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407	ASTMX19971, ASTMX06514, ASTMX07156
OG0000030	bflo_05230	ASTMX06934
OG0000030	bflo_25955	ASTMX02378, ASTMX18821
OG0000030	bflo_23730	ASTMX22293
OG0000031	bflo_04592, bflo_05889, bflo_05515, bflo_02310, bflo_00531, bflo_15662	ASTMX22504
OG0000031	bflo_02624	ASTMX08659, ASTMX04771
OG0000031	bflo_02501	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571
OG0000031	bflo_02849	ASTMX12572
OG0000031	bflo_06021	ASTMX06525
OG0000031	bflo_25562	ASTMX05128
OG0000031	bflo_06369	ASTMX09693, ASTMX17541
OG0000031	bflo_11397	ASTMX00710, ASTMX00969, ASTMX17640
OG0000031	bflo_15458	ASTMX03912, ASTMX00105
OG0000031	bflo_15459	ASTMX00107, ASTMX04176
