Orthogroup	BRAFL	PFLAV
OG0000015	bflo_24142, bflo_23928	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1
OG0000015	bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701	TCONS_00055081.p1, TCONS_00043497.p1
OG0000015	bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970	TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1
OG0000016	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276	TCONS_00022184.p1
OG0000016	bflo_12769	TCONS_00003602.p1
OG0000016	bflo_02107, bflo_22757, bflo_23260, bflo_02738, bflo_02096, bflo_02737, bflo_02551, bflo_26656	TCONS_00020809.p1
OG0000016	bflo_01790	TCONS_00049735.p1
OG0000016	bflo_20387	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1
OG0000019	bflo_04872, bflo_04871, bflo_24292	TCONS_00042378.p1
OG0000019	bflo_22767, bflo_06001, bflo_05746, bflo_23533	TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1
OG0000019	bflo_10160, bflo_26497, bflo_00628	TCONS_00007298.p1, TCONS_00007301.p1, TCONS_00016343.p1, TCONS_00053172.p1, TCONS_00050837.p1, TCONS_00056903.p1, TCONS_00053134.p1, TCONS_00017582.p1, TCONS_00048059.p1
OG0000019	bflo_06284	TCONS_00007305.p1, TCONS_00009265.p1, TCONS_00009269.p1, TCONS_00009271.p1, TCONS_00008241.p1
OG0000019	bflo_26518, bflo_26519, bflo_04870	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1
OG0000019	bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556	TCONS_00042480.p1
OG0000020	bflo_19465	TCONS_00055662.p1
OG0000020	bflo_19726	TCONS_00041842.p1
OG0000020	bflo_13852	TCONS_00007359.p1
OG0000020	bflo_17473, bflo_27211	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1
OG0000020	bflo_24908	TCONS_00054537.p1
OG0000020	bflo_12267	TCONS_00047850.p1
OG0000020	bflo_24384, bflo_16833, bflo_26236, bflo_20748, bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1
OG0000020	bflo_23109	TCONS_00013032.p1
OG0000020	bflo_01292	TCONS_00019497.p1
OG0000020	bflo_16368	TCONS_00016378.p1
OG0000020	bflo_07448	TCONS_00031077.p1
