Orthogroup	BRAFL	HUMAN
OG0000006	bflo_06221	HUMAN30182, HUMAN30280, HUMAN21060
OG0000006	bflo_07660	HUMAN00944
OG0000006	bflo_14856, bflo_15258	HUMAN22351, HUMAN05133
OG0000006	bflo_22120	HUMAN21718, HUMAN29537
OG0000006	bflo_16305	HUMAN02118, HUMAN29294
OG0000006	bflo_22526	HUMAN29691
OG0000006	bflo_10066, bflo_10065	HUMAN01388, HUMAN06884, HUMAN04380
OG0000006	bflo_12576	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640
OG0000006	bflo_23572	HUMAN25905
OG0000006	bflo_06220	HUMAN23524
OG0000006	bflo_08237	HUMAN03111
OG0000006	bflo_06222	HUMAN14017
OG0000006	bflo_08431	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	bflo_22598	HUMAN08856, HUMAN19716
OG0000006	bflo_15412	HUMAN08442, HUMAN17032, HUMAN15898
OG0000006	bflo_10980	HUMAN24331
OG0000007	bflo_13266	HUMAN24418, HUMAN11538
OG0000007	bflo_05651	HUMAN09570, HUMAN28803
OG0000007	bflo_16444, bflo_15598	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	bflo_25603	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971
OG0000007	bflo_10207	HUMAN24202, HUMAN17278, HUMAN03780
OG0000007	bflo_23632	HUMAN21567
OG0000007	bflo_13761	HUMAN11539
OG0000007	bflo_13742	HUMAN28408
OG0000007	bflo_13892	HUMAN24416
OG0000007	bflo_13084	HUMAN24417, HUMAN11533
OG0000007	bflo_12369	HUMAN12258, HUMAN07103
OG0000007	bflo_21087	HUMAN07102
OG0000007	bflo_23309	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	bflo_23091	HUMAN25936, HUMAN13634
OG0000007	bflo_23283	HUMAN13395
OG0000007	bflo_24497	HUMAN00818, HUMAN00819, HUMAN05935
OG0000007	bflo_11392	HUMAN08248
OG0000008	bflo_24920	HUMAN14538, HUMAN01095
OG0000008	bflo_18246, bflo_18438, bflo_17494, bflo_17234, bflo_17491, bflo_17495, bflo_05246, bflo_16441, bflo_26042, bflo_18070, bflo_16203, bflo_16234, bflo_16238, bflo_16233, bflo_16235, bflo_16231, bflo_16161, bflo_25263, bflo_24546	HUMAN29384, HUMAN29385, HUMAN29383, HUMAN00569
OG0000008	bflo_24820, bflo_25017, bflo_24835, bflo_05883, bflo_24836, bflo_23968, bflo_00088, bflo_24054, bflo_24837, bflo_24839, bflo_24838, bflo_24924	HUMAN14600
OG0000008	bflo_20071	HUMAN00243
OG0000010	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857	HUMAN11412, HUMAN11410, HUMAN11411, HUMAN11268
OG0000010	bflo_00973	HUMAN18382
