Orthogroup	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
OG0050382	AENJA_01248																							
OG0050383	AENJA_01249																							
OG0050384	AENJA_01254																							
OG0050385	AENJA_01268																							
OG0050386	AENJA_01279																							
OG0050387	AENJA_01281																							
OG0050388	AENJA_01284																							
OG0050389	AENJA_01291																							
OG0050390	AENJA_01296																							
OG0050391	AENJA_01297																							
OG0050392	AENJA_01315																							
OG0050393	AENJA_01323																							
OG0050394	AENJA_01328																							
OG0050395	AENJA_01353																							
OG0050396	AENJA_01355																							
OG0050397	AENJA_01356																							
OG0050398	AENJA_01379																							
OG0050399	AENJA_01390																							
OG0050400	AENJA_01394																							
OG0050401	AENJA_01403																							
OG0050402	AENJA_01424																							
OG0050403	AENJA_01435																							
OG0050404	AENJA_01453																							
OG0050405	AENJA_01462																							
OG0050406	AENJA_01465																							
OG0050407	AENJA_01470																							
OG0050408	AENJA_01482																							
OG0050409	AENJA_01490																							
OG0050410	AENJA_01504																							
OG0050411	AENJA_01519																							
OG0050412	AENJA_01525																							
OG0050413	AENJA_01534																							
OG0050414	AENJA_01538																							
OG0050415	AENJA_01544																							
OG0050416	AENJA_01546																							
OG0050417	AENJA_01554																							
OG0050418	AENJA_01557																							
OG0050419	AENJA_01560																							
OG0050420	AENJA_01562																							
OG0050421	AENJA_01565																							
OG0050422	AENJA_01572																							
OG0050423	AENJA_01581																							
OG0050424	AENJA_01607																							
OG0050425	AENJA_01608																							
OG0050426	AENJA_01609																							
OG0050427	AENJA_01617																							
OG0050428	AENJA_01625																							
OG0050429	AENJA_01632																							
OG0050430	AENJA_01639																							
OG0050431	AENJA_01645																							
OG0050432	AENJA_01651																							
OG0050433	AENJA_01652																							
OG0050434	AENJA_01653																							
OG0050435	AENJA_01674																							
OG0050436	AENJA_01686																							
OG0050437	AENJA_01691																							
OG0050438	AENJA_01699																							
OG0050439	AENJA_01700																							
OG0050440	AENJA_01701																							
OG0050441	AENJA_01721																							
OG0050442	AENJA_01725																							
OG0050443	AENJA_01739																							
OG0050444	AENJA_01748																							
OG0050445	AENJA_01749																							
OG0050446	AENJA_01750																							
OG0050447	AENJA_01752																							
OG0050448	AENJA_01754																							
