Orthogroup	SACKO_ok	DANRE
OG0000001	SACKO_04743, SACKO_04719, SACKO_23106	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471, DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812
OG0000001	SACKO_05742, SACKO_22084, SACKO_22103, SACKO_16213, SACKO_30905, SACKO_05719	DANRE16475, DANRE16476, DANRE15519, DANRE42408, DANRE42394, DANRE42395, DANRE42396, DANRE18938, DANRE18937, DANRE18939, DANRE18936, DANRE18935, DANRE42412, DANRE42411, DANRE42410, DANRE42409, DANRE42413, DANRE42407, DANRE42405, DANRE42406
OG0000001	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592	DANRE29550
OG0000002	SACKO_11085, SACKO_21630, SACKO_21632	DANRE16673
OG0000002	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460	DANRE38244, DANRE38242, DANRE38243
OG0000002	SACKO_18684	DANRE28829, DANRE28823, DANRE28819, DANRE28822, DANRE28825, DANRE28824, DANRE28826, DANRE28828, DANRE28827, DANRE17907, DANRE17906, DANRE17905, DANRE17904, DANRE17908, DANRE23589, DANRE23588, DANRE17903, DANRE17912, DANRE17913, DANRE17914, DANRE17918, DANRE17917, DANRE17916, DANRE17915, DANRE17919
OG0000002	SACKO_13458	DANRE28739
OG0000002	SACKO_00245, SACKO_00252	DANRE23574
OG0000004	SACKO_20602, SACKO_18852	DANRE31040
OG0000005	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142	DANRE20576, DANRE20588, DANRE20587, DANRE20586
OG0000005	SACKO_22081, SACKO_22108, SACKO_22102	DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588, DANRE20012, DANRE20011, DANRE20010, DANRE20517, DANRE20518, DANRE17265, DANRE14948, DANRE27010, DANRE24204, DANRE18558, DANRE10777
OG0000005	SACKO_08146	DANRE17266
OG0000006	SACKO_25366, SACKO_23311, SACKO_02952	DANRE07563
OG0000006	SACKO_21953	DANRE02891
OG0000006	SACKO_11503	DANRE40167, DANRE35529, DANRE26614, DANRE26613
OG0000006	SACKO_02616	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940
OG0000006	SACKO_13650	DANRE18291, DANRE26970, DANRE26971, DANRE18292
OG0000006	SACKO_23250	DANRE11213, DANRE11212, DANRE11601
OG0000006	SACKO_15817	DANRE30064, DANRE15483
OG0000006	SACKO_15812	DANRE30060
OG0000006	SACKO_32444	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	SACKO_12590, SACKO_14761, SACKO_02017	DANRE05395
OG0000006	SACKO_32500	DANRE20981, DANRE28318, DANRE19321
OG0000006	SACKO_06429	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	SACKO_32477	DANRE11156, DANRE11155
OG0000006	SACKO_20803	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000006	SACKO_32388	DANRE04654, DANRE04655
OG0000007	SACKO_33112	DANRE26275, DANRE17982
OG0000007	SACKO_16486	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	SACKO_25751	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
OG0000007	SACKO_17363	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143
OG0000007	SACKO_07507	DANRE16014, DANRE16015, DANRE40142
OG0000007	SACKO_03410	DANRE07035, DANRE20085, DANRE04871, DANRE04210
OG0000007	SACKO_33128	DANRE12664
OG0000007	SACKO_15684	DANRE03447
