Orthogroup	CAEEL	PFLAV
OG0000684	CAEEL11185	TCONS_00009346.p1
OG0000685	CAEEL19728	TCONS_00023333.p1, TCONS_00023203.p1
OG0000690	CAEEL02355, CAEEL16430	TCONS_00046093.p1
OG0000690	CAEEL05043	TCONS_00001720.p1
OG0000691	CAEEL17188	TCONS_00007126.p1
OG0000692	CAEEL05111, CAEEL03292	TCONS_00052734.p1
OG0000692	CAEEL01603	TCONS_00006462.p1, TCONS_00006453.p1, TCONS_00006460.p1
OG0000694	CAEEL18784, CAEEL02081, CAEEL02961	TCONS_00014772.p1
OG0000696	CAEEL19612	TCONS_00011598.p1, TCONS_00047236.p1
OG0000697	CAEEL10883	TCONS_00048562.p1
OG0000699	CAEEL07103, CAEEL17353, CAEEL15074, CAEEL14285	TCONS_00021271.p1
OG0000700	CAEEL12398	TCONS_00036206.p1
OG0000702	CAEEL01313	TCONS_00020216.p1
OG0000703	CAEEL12761	TCONS_00030196.p1
OG0000708	CAEEL04786, CAEEL04785	TCONS_00052744.p1
OG0000708	CAEEL12722	TCONS_00049295.p1
OG0000709	CAEEL11350, CAEEL18734, CAEEL12228, CAEEL16334, CAEEL20586, CAEEL11767	TCONS_00011621.p1
OG0000710	CAEEL20648, CAEEL19117, CAEEL19785	TCONS_00022432.p1
OG0000711	CAEEL04946	TCONS_00036664.p1, TCONS_00036685.p1
OG0000711	CAEEL03027	TCONS_00036548.p1
OG0000712	CAEEL07921	TCONS_00043112.p1, TCONS_00051037.p1, TCONS_00052059.p1, TCONS_00050961.p1, TCONS_00050972.p1, TCONS_00043106.p1
OG0000713	CAEEL15727	TCONS_00020883.p1
OG0000715	CAEEL07310, CAEEL07309	TCONS_00055218.p1
OG0000717	CAEEL20044, CAEEL07958	TCONS_00016080.p1, TCONS_00016081.p1
OG0000718	CAEEL16052	TCONS_00035589.p1
OG0000720	CAEEL02341	TCONS_00019702.p1, TCONS_00019718.p1
OG0000721	CAEEL07780	TCONS_00006398.p1
OG0000722	CAEEL16439	TCONS_00010253.p1
OG0000724	CAEEL01191, CAEEL05666, CAEEL04724, CAEEL07268, CAEEL09317, CAEEL05086, CAEEL04722, CAEEL04707, CAEEL16432, CAEEL08216, CAEEL08788, CAEEL00782, CAEEL05700, CAEEL05106, CAEEL05163, CAEEL15997, CAEEL14388, CAEEL04425, CAEEL10300, CAEEL10254, CAEEL10375, CAEEL12178, CAEEL11651, CAEEL11581, CAEEL15115, CAEEL04753	TCONS_00011523.p1
OG0000725	CAEEL01386	TCONS_00015059.p1
OG0000726	CAEEL08988, CAEEL08987	TCONS_00016601.p1
OG0000730	CAEEL06720	TCONS_00057273.p1, TCONS_00056912.p1
OG0000731	CAEEL18982	TCONS_00021358.p1
OG0000732	CAEEL02711	TCONS_00022768.p1
OG0000732	CAEEL11771	TCONS_00053142.p1
OG0000733	CAEEL17006	TCONS_00011607.p1
OG0000733	CAEEL15524	TCONS_00010891.p1
OG0000734	CAEEL18835	TCONS_00015907.p1
OG0000735	CAEEL14834, CAEEL14835	TCONS_00016800.p1
OG0000736	CAEEL09174	TCONS_00019278.p1
OG0000737	CAEEL19663	TCONS_00041554.p1
OG0000737	CAEEL06154, CAEEL04487, CAEEL04486	TCONS_00026738.p1, TCONS_00041553.p1, TCONS_00026739.p1
OG0000740	CAEEL18076	TCONS_00055839.p1
OG0000742	CAEEL01786	TCONS_00000878.p1
OG0000744	CAEEL01254	TCONS_00008825.p1
OG0000749	CAEEL11624, CAEEL14107	TCONS_00010786.p1
OG0000751	CAEEL09020	TCONS_00056206.p1
OG0000752	CAEEL07346	TCONS_00027586.p1
OG0000752	CAEEL04370	TCONS_00000980.p1
OG0000753	CAEEL17415	TCONS_00033131.p1, TCONS_00034978.p1, TCONS_00033130.p1
OG0000755	CAEEL01302	TCONS_00008247.p1
OG0000756	CAEEL17951	TCONS_00018138.p1
OG0000757	CAEEL20030	TCONS_00006887.p1, TCONS_00006876.p1
OG0000757	CAEEL00176	TCONS_00057276.p1
OG0000759	CAEEL20475, CAEEL16710	TCONS_00002581.p1
OG0000761	CAEEL19698	TCONS_00014693.p1
OG0000762	CAEEL02671	TCONS_00002922.p1
OG0000763	CAEEL01521, CAEEL01520, CAEEL01519	TCONS_00029111.p1
OG0000765	CAEEL08924, CAEEL20292	TCONS_00009967.p1
OG0000765	CAEEL19163	TCONS_00040300.p1
OG0000766	CAEEL01660	TCONS_00028822.p1, TCONS_00032747.p1
OG0000767	CAEEL15327, CAEEL15326	TCONS_00011537.p1
OG0000774	CAEEL03062	TCONS_00052735.p1
OG0000774	CAEEL08377	TCONS_00013141.p1
OG0000774	CAEEL12020, CAEEL14163, CAEEL12021	TCONS_00049083.p1
OG0000775	CAEEL17384, CAEEL14551, CAEEL07888, CAEEL14550	TCONS_00045993.p1, TCONS_00044889.p1, TCONS_00045990.p1, TCONS_00045994.p1, TCONS_00004802.p1, TCONS_00044119.p1, TCONS_00045737.p1
OG0000776	CAEEL11265, CAEEL10969, CAEEL09271, CAEEL01206	TCONS_00046336.p1, TCONS_00030153.p1, TCONS_00030152.p1, TCONS_00009195.p1, TCONS_00030151.p1
OG0000777	CAEEL19291	TCONS_00013796.p1
OG0000778	CAEEL04054	TCONS_00050643.p1
OG0000779	CAEEL01706	TCONS_00015355.p1
OG0000780	CAEEL00305	TCONS_00009656.p1, TCONS_00031921.p2, TCONS_00031946.p1, TCONS_00031922.p1
OG0000780	CAEEL01193	TCONS_00052657.p1
OG0000782	CAEEL01741	TCONS_00028725.p1
OG0000784	CAEEL19472	TCONS_00017272.p1
OG0000786	CAEEL06097	TCONS_00006890.p1, TCONS_00006878.p1, TCONS_00055057.p1
OG0000787	CAEEL10362	TCONS_00030413.p1
OG0000788	CAEEL04328, CAEEL04329, CAEEL04327	TCONS_00037097.p1
OG0000788	CAEEL01175	TCONS_00028163.p1
OG0000791	CAEEL05549	TCONS_00055031.p1
OG0000792	CAEEL06858, CAEEL06859	TCONS_00006053.p1, TCONS_00006055.p1
OG0000793	CAEEL00246	TCONS_00027936.p1
OG0000794	CAEEL14272, CAEEL13170	TCONS_00016640.p1
OG0000796	CAEEL18138	TCONS_00021074.p1
OG0000797	CAEEL11404	TCONS_00030801.p1
OG0000798	CAEEL08562, CAEEL08561	TCONS_00044179.p1, TCONS_00044180.p1
OG0000800	CAEEL15658, CAEEL15660, CAEEL15659, CAEEL15657, CAEEL15661, CAEEL04883, CAEEL16200, CAEEL16199, CAEEL13121, CAEEL11360, CAEEL11396	TCONS_00005527.p1, TCONS_00031622.p1, TCONS_00032650.p1, TCONS_00040715.p1, TCONS_00040709.p1, TCONS_00022234.p1, TCONS_00022235.p1, TCONS_00022236.p1, TCONS_00022113.p1, TCONS_00022115.p1, TCONS_00022114.p1, TCONS_00022116.p1, TCONS_00021049.p1, TCONS_00022034.p1, TCONS_00026387.p1
OG0000801	CAEEL00950	TCONS_00020737.p1
OG0000803	CAEEL18447	TCONS_00025515.p1
OG0000809	CAEEL06250	TCONS_00053785.p1
OG0000810	CAEEL00977	TCONS_00052958.p1
OG0000814	CAEEL07659, CAEEL07658	TCONS_00016541.p1
OG0000814	CAEEL11834, CAEEL05113	TCONS_00050568.p1
OG0000817	CAEEL08608	TCONS_00019272.p1, TCONS_00030970.p1
OG0000817	CAEEL09272	TCONS_00056615.p1
OG0000818	CAEEL08212	TCONS_00012579.p1
OG0000819	CAEEL09262	TCONS_00038938.p1, TCONS_00006793.p1
OG0000826	CAEEL04414	TCONS_00026813.p1, TCONS_00026816.p1, TCONS_00052129.p1, TCONS_00051021.p1, TCONS_00051017.p1, TCONS_00051018.p1, TCONS_00051287.p1, TCONS_00051304.p1, TCONS_00050140.p1, TCONS_00026815.p1, TCONS_00026817.p1, TCONS_00009120.p1
OG0000828	CAEEL01170	TCONS_00020647.p1
OG0000828	CAEEL14806	TCONS_00004770.p1
OG0000833	CAEEL05439	TCONS_00054301.p1
OG0000834	CAEEL00924	TCONS_00002892.p1
OG0000836	CAEEL01665	TCONS_00019427.p1
OG0000837	CAEEL19270, CAEEL07955	TCONS_00017392.p1
OG0000838	CAEEL12737	TCONS_00024752.p1, TCONS_00024664.p1
OG0000842	CAEEL11884	TCONS_00019047.p1
OG0000844	CAEEL04872, CAEEL18631, CAEEL05964, CAEEL05848	TCONS_00051992.p1, TCONS_00051652.p1
OG0000847	CAEEL07299	TCONS_00006142.p1, TCONS_00006162.p1
OG0000848	CAEEL08378	TCONS_00020362.p1
OG0000849	CAEEL04333	TCONS_00039977.p1
OG0000850	CAEEL14176, CAEEL17117, CAEEL14155, CAEEL14177, CAEEL04935	TCONS_00052504.p1, TCONS_00027096.p1
OG0000851	CAEEL08745	TCONS_00044107.p1
OG0000852	CAEEL08255	TCONS_00029058.p1, TCONS_00008486.p1
OG0000853	CAEEL12245	TCONS_00057113.p1
OG0000857	CAEEL04547	TCONS_00038040.p1
OG0000860	CAEEL09321, CAEEL18240	TCONS_00014657.p1
OG0000867	CAEEL18894, CAEEL20247	TCONS_00027005.p1, TCONS_00027464.p1
OG0000869	CAEEL04762	TCONS_00050047.p1
OG0000869	CAEEL04725	TCONS_00052865.p1
OG0000870	CAEEL05330	TCONS_00009924.p1, TCONS_00040301.p1, TCONS_00005013.p1, TCONS_00025391.p1, TCONS_00031457.p1, TCONS_00033480.p1, TCONS_00033482.p1, TCONS_00033475.p1, TCONS_00033476.p1, TCONS_00033474.p1, TCONS_00033481.p1, TCONS_00033479.p1, TCONS_00033473.p1, TCONS_00009925.p1, TCONS_00009928.p1
OG0000871	CAEEL00780	TCONS_00001861.p1, TCONS_00000505.p1, TCONS_00000506.p1, TCONS_00000507.p1, TCONS_00000499.p1, TCONS_00000504.p1
OG0000871	CAEEL00781, CAEEL13789	TCONS_00026834.p1
OG0000873	CAEEL01374	TCONS_00029754.p1
OG0000874	CAEEL03105	TCONS_00042677.p1
OG0000875	CAEEL08184, CAEEL12416	TCONS_00053761.p1, TCONS_00056388.p1, TCONS_00041427.p1
OG0000876	CAEEL00773, CAEEL00774	TCONS_00004348.p1
OG0000877	CAEEL14736, CAEEL01576, CAEEL15069, CAEEL11424, CAEEL10392, CAEEL07961, CAEEL14735, CAEEL06683, CAEEL20717	TCONS_00007900.p1
OG0000879	CAEEL07550	TCONS_00056397.p1
OG0000888	CAEEL00418	TCONS_00029758.p1
OG0000889	CAEEL09857, CAEEL09856	TCONS_00010936.p1
OG0000889	CAEEL07245	TCONS_00004850.p1, TCONS_00004830.p1
OG0000893	CAEEL05208	TCONS_00051111.p1, TCONS_00051112.p1, TCONS_00051078.p1, TCONS_00051076.p1, TCONS_00051110.p1, TCONS_00051075.p1, TCONS_00051077.p1
OG0000894	CAEEL20455	TCONS_00014568.p1
OG0000896	CAEEL17889	TCONS_00012437.p1, TCONS_00012438.p1
OG0000899	CAEEL06745	TCONS_00041663.p1
OG0000904	CAEEL10501	TCONS_00030904.p1
OG0000905	CAEEL09890	TCONS_00036217.p1, TCONS_00037367.p1
OG0000908	CAEEL18895	TCONS_00027161.p1
OG0000908	CAEEL09910	TCONS_00031386.p1
OG0000909	CAEEL00966	TCONS_00001186.p1, TCONS_00001174.p1
OG0000912	CAEEL19084	TCONS_00027823.p1
OG0000913	CAEEL03086, CAEEL09227, CAEEL01751, CAEEL17909, CAEEL04783, CAEEL08435	TCONS_00044188.p1
OG0000914	CAEEL08534, CAEEL08535	TCONS_00048628.p1
OG0000921	CAEEL05986	TCONS_00016117.p1
OG0000923	CAEEL01410	TCONS_00003414.p1, TCONS_00004381.p1
OG0000923	CAEEL00580	TCONS_00003133.p1
OG0000925	CAEEL01239, CAEEL01153, CAEEL00968, CAEEL00439, CAEEL07058	TCONS_00054170.p1, TCONS_00054133.p1
OG0000927	CAEEL20274	TCONS_00018045.p1, TCONS_00007679.p1, TCONS_00022278.p1
OG0000928	CAEEL00085	TCONS_00028224.p1
OG0000929	CAEEL02357	TCONS_00001479.p1
OG0000931	CAEEL20467	TCONS_00027222.p1
OG0000933	CAEEL13637	TCONS_00010516.p1
OG0000934	CAEEL20095, CAEEL02005	TCONS_00001864.p1
OG0000934	CAEEL18567	TCONS_00025359.p1
OG0000935	CAEEL10988, CAEEL18743	TCONS_00054853.p1, TCONS_00054852.p1
OG0000937	CAEEL03545, CAEEL08180, CAEEL18220, CAEEL02758	TCONS_00003169.p1, TCONS_00039611.p1
OG0000944	CAEEL08647, CAEEL08646	TCONS_00043975.p1
OG0000945	CAEEL00537	TCONS_00009344.p1, TCONS_00009343.p1
OG0000946	CAEEL05453	TCONS_00038079.p1
OG0000947	CAEEL07660	TCONS_00031600.p1, TCONS_00019583.p1
OG0000949	CAEEL02872, CAEEL06438	TCONS_00001325.p1, TCONS_00001326.p1, TCONS_00001327.p1, TCONS_00001324.p1
OG0000950	CAEEL06912	TCONS_00006646.p1, TCONS_00006622.p1
OG0000951	CAEEL00056	TCONS_00027921.p1
OG0000954	CAEEL05990	TCONS_00055769.p1, TCONS_00014081.p1
OG0000955	CAEEL05680, CAEEL05073	TCONS_00054603.p1
OG0000955	CAEEL01495	TCONS_00029823.p1
OG0000957	CAEEL00119	TCONS_00029595.p1
OG0000963	CAEEL02132	TCONS_00053983.p1
OG0000963	CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906	TCONS_00054330.p1
OG0000965	CAEEL09524	TCONS_00030366.p1, TCONS_00031078.p1
OG0000965	CAEEL02685	TCONS_00007578.p1
OG0000967	CAEEL09409	TCONS_00041998.p1, TCONS_00031424.p1
OG0000969	CAEEL17140, CAEEL19686	TCONS_00057265.p1
OG0000970	CAEEL12249	TCONS_00006818.p1
OG0000974	CAEEL05136, CAEEL05137	TCONS_00041730.p1, TCONS_00041726.p1, TCONS_00026818.p1, TCONS_00043125.p1, TCONS_00041725.p1
OG0000976	CAEEL12118	TCONS_00027250.p1
OG0000977	CAEEL07521	TCONS_00007023.p1, TCONS_00003519.p1, TCONS_00003517.p1, TCONS_00019704.p1, TCONS_00056465.p1, TCONS_00055290.p1
OG0000978	CAEEL10436, CAEEL10678, CAEEL04915	TCONS_00002212.p1
OG0000979	CAEEL17012, CAEEL08335, CAEEL08336, CAEEL08175, CAEEL06649	TCONS_00033258.p1, TCONS_00033257.p1, TCONS_00033260.p1, TCONS_00055872.p1, TCONS_00055873.p1
OG0000982	CAEEL00871	TCONS_00019685.p1
OG0000984	CAEEL00142	TCONS_00029130.p1, TCONS_00029125.p1
OG0000985	CAEEL11989	TCONS_00031086.p1
OG0000987	CAEEL18448	TCONS_00018810.p1, TCONS_00005846.p1
OG0000988	CAEEL12259, CAEEL12260, CAEEL05294	TCONS_00048232.p1, TCONS_00048229.p1, TCONS_00048228.p1, TCONS_00014768.p1
OG0000992	CAEEL04373	TCONS_00012823.p1
OG0000994	CAEEL01877	TCONS_00017207.p1
OG0000994	CAEEL05339, CAEEL08529	TCONS_00006840.p1, TCONS_00006841.p1
OG0000995	CAEEL01961	TCONS_00014471.p1, TCONS_00014470.p1, TCONS_00014472.p1
OG0000997	CAEEL06202	TCONS_00042985.p1, TCONS_00042984.p1
OG0000998	CAEEL11817	TCONS_00001881.p1, TCONS_00002508.p1, TCONS_00000371.p1, TCONS_00001883.p1, TCONS_00002021.p1, TCONS_00001962.p1, TCONS_00001969.p1
OG0000998	CAEEL01310	TCONS_00024220.p1
OG0000999	CAEEL12779, CAEEL06159	TCONS_00019119.p1, TCONS_00036441.p1
OG0001001	CAEEL19402, CAEEL20405, CAEEL20234, CAEEL19403	TCONS_00021762.p1
OG0001002	CAEEL18911	TCONS_00031369.p1
OG0001004	CAEEL04943	TCONS_00053708.p1
OG0001005	CAEEL01384	TCONS_00024667.p1, TCONS_00024601.p1, TCONS_00047309.p1
OG0001006	CAEEL08218, CAEEL00364, CAEEL10732	TCONS_00055759.p1
OG0001007	CAEEL19587	TCONS_00015703.p1, TCONS_00015701.p1
OG0001009	CAEEL20001	TCONS_00012614.p1, TCONS_00012613.p1, TCONS_00012612.p1, TCONS_00002050.p1
OG0001013	CAEEL16541	TCONS_00012544.p1, TCONS_00012534.p1, TCONS_00012539.p1, TCONS_00012540.p1, TCONS_00012542.p1
OG0001016	CAEEL09313	TCONS_00055345.p1
OG0001016	CAEEL08789, CAEEL11986	TCONS_00032735.p1, TCONS_00032734.p1, TCONS_00032700.p1
OG0001017	CAEEL09308	TCONS_00018963.p1
OG0001018	CAEEL00183	TCONS_00001884.p1
OG0001018	CAEEL07047	TCONS_00010472.p1
OG0001023	CAEEL05078	TCONS_00038094.p1
OG0001024	CAEEL11623	TCONS_00031075.p1
OG0001030	CAEEL11812	TCONS_00029236.p1, TCONS_00012193.p1
OG0001031	CAEEL12448	TCONS_00030299.p1
OG0001032	CAEEL20070, CAEEL15717	TCONS_00015470.p1
OG0001033	CAEEL10717	TCONS_00054950.p1
OG0001034	CAEEL07054, CAEEL07055	TCONS_00015603.p1
OG0001036	CAEEL18611	TCONS_00018638.p1
OG0001037	CAEEL18600	TCONS_00016412.p1
OG0001038	CAEEL20450	TCONS_00026172.p1, TCONS_00026173.p1
OG0001039	CAEEL08415	TCONS_00006812.p1
OG0001039	CAEEL10624	TCONS_00047298.p1
OG0001042	CAEEL09943	TCONS_00048975.p1
OG0001044	CAEEL20285	TCONS_00016913.p1, TCONS_00050490.p1, TCONS_00004674.p1, TCONS_00043379.p1, TCONS_00055549.p1, TCONS_00055534.p1, TCONS_00055547.p1, TCONS_00055535.p1, TCONS_00043380.p2
OG0001046	CAEEL19183	TCONS_00013758.p1
OG0001050	CAEEL14076, CAEEL15706	TCONS_00041057.p1
OG0001052	CAEEL09647	TCONS_00029989.p1
OG0001053	CAEEL09742	TCONS_00030276.p1
OG0001058	CAEEL19015	TCONS_00034488.p1
OG0001059	CAEEL00192	TCONS_00046508.p1
OG0001060	CAEEL15786	TCONS_00027922.p1, TCONS_00027923.p1, TCONS_00042973.p1
OG0001062	CAEEL08101	TCONS_00052698.p1
OG0001063	CAEEL15713, CAEEL15714	TCONS_00012059.p1
OG0001063	CAEEL08167	TCONS_00011029.p1, TCONS_00011028.p1
OG0001066	CAEEL12576	TCONS_00047232.p1
OG0001072	CAEEL08406	TCONS_00004835.p1, TCONS_00004857.p1
OG0001075	CAEEL11648, CAEEL18873	TCONS_00018554.p1, TCONS_00056425.p1, TCONS_00056424.p1, TCONS_00056414.p1, TCONS_00056417.p1, TCONS_00056418.p1, TCONS_00056419.p1, TCONS_00056421.p1, TCONS_00056428.p1, TCONS_00056427.p1, TCONS_00055256.p1
OG0001076	CAEEL07541	TCONS_00043600.p1
OG0001077	CAEEL18659	TCONS_00057134.p1
OG0001078	CAEEL19295	TCONS_00023347.p1, TCONS_00023220.p1, TCONS_00023380.p1
OG0001079	CAEEL10503	TCONS_00047466.p1
OG0001080	CAEEL08359	TCONS_00055708.p1
OG0001082	CAEEL19080, CAEEL19079, CAEEL09741	TCONS_00056645.p1, TCONS_00056648.p1
OG0001083	CAEEL06682	TCONS_00027737.p1
OG0001084	CAEEL01831	TCONS_00001343.p1
OG0001085	CAEEL09995, CAEEL09996	TCONS_00048306.p1
OG0001091	CAEEL07358	TCONS_00020805.p1
OG0001092	CAEEL07387	TCONS_00043827.p1
OG0001093	CAEEL00638	TCONS_00003654.p1
OG0001095	CAEEL07595	TCONS_00019147.p1
OG0001096	CAEEL04621, CAEEL17752	TCONS_00050847.p1, TCONS_00055602.p1, TCONS_00055601.p1, TCONS_00055600.p1, TCONS_00056769.p1, TCONS_00053954.p1, TCONS_00010116.p1
OG0001098	CAEEL04192	TCONS_00034285.p1, TCONS_00021033.p1, TCONS_00034294.p1, TCONS_00029127.p1, TCONS_00029122.p1, TCONS_00021454.p1, TCONS_00021455.p1, TCONS_00022440.p1, TCONS_00022441.p1, TCONS_00021448.p1, TCONS_00021452.p1, TCONS_00021453.p1, TCONS_00021451.p1, TCONS_00039809.p1, TCONS_00039803.p1, TCONS_00039807.p1, TCONS_00039802.p1, TCONS_00039808.p1, TCONS_00039810.p1, TCONS_00015296.p1, TCONS_00015297.p1, TCONS_00015295.p1, TCONS_00015299.p1, TCONS_00015298.p1, TCONS_00015300.p1, TCONS_00015294.p1, TCONS_00003939.p1, TCONS_00003940.p1, TCONS_00002965.p1, TCONS_00003062.p1, TCONS_00003064.p1, TCONS_00003065.p1, TCONS_00004075.p1, TCONS_00039250.p1, TCONS_00039249.p1, TCONS_00039167.p1, TCONS_00039169.p1, TCONS_00039251.p1, TCONS_00039165.p1
OG0001101	CAEEL11585	TCONS_00047616.p1
OG0001102	CAEEL08853	TCONS_00010405.p1, TCONS_00019241.p1, TCONS_00000169.p1
OG0001103	CAEEL18815	TCONS_00017240.p1
OG0001104	CAEEL09176, CAEEL09177	TCONS_00032893.p1
OG0001104	CAEEL20081	TCONS_00018743.p1, TCONS_00018706.p1
OG0001107	CAEEL18427	TCONS_00022326.p1
OG0001108	CAEEL09307	TCONS_00020684.p1
OG0001109	CAEEL14851, CAEEL20028, CAEEL14852, CAEEL14853, CAEEL13761, CAEEL14859, CAEEL09898, CAEEL19118	TCONS_00043148.p1, TCONS_00041764.p1, TCONS_00043474.p1, TCONS_00043476.p1
OG0001112	CAEEL19902	TCONS_00021573.p1
OG0001113	CAEEL15158	TCONS_00043824.p1
OG0001114	CAEEL11582, CAEEL01758, CAEEL01759	TCONS_00031876.p1
OG0001116	CAEEL04351	TCONS_00038721.p1, TCONS_00000105.p1
OG0001117	CAEEL08762	TCONS_00055590.p1
OG0001122	CAEEL18238	TCONS_00007633.p1
OG0001124	CAEEL08814	TCONS_00014549.p1, TCONS_00020701.p1
OG0001126	CAEEL04859	TCONS_00021077.p1
OG0001130	CAEEL00952, CAEEL00232	TCONS_00028392.p1
OG0001130	CAEEL00767	TCONS_00028134.p1
OG0001131	CAEEL14208	TCONS_00010492.p1
OG0001132	CAEEL04290	TCONS_00028117.p1, TCONS_00028105.p1
OG0001133	CAEEL11294	TCONS_00053218.p1
OG0001137	CAEEL04790	TCONS_00009779.p1
OG0001138	CAEEL07800, CAEEL07799	TCONS_00020566.p1
OG0001139	CAEEL06928, CAEEL15457	TCONS_00021216.p1
OG0001140	CAEEL14389	TCONS_00045555.p1, TCONS_00046926.p1
OG0001141	CAEEL01107, CAEEL01106	TCONS_00028439.p1
OG0001142	CAEEL12657	TCONS_00017195.p1
OG0001143	CAEEL01013	TCONS_00020217.p1
OG0001155	CAEEL13066, CAEEL13586, CAEEL04642, CAEEL13526	TCONS_00053982.p1
OG0001156	CAEEL20728	TCONS_00055858.p1
OG0001158	CAEEL00147	TCONS_00008068.p1, TCONS_00051859.p1
OG0001159	CAEEL07987, CAEEL18966	TCONS_00018547.p1
OG0001160	CAEEL16381, CAEEL20121	TCONS_00025396.p1, TCONS_00025758.p1, TCONS_00025797.p1
OG0001162	CAEEL18096	TCONS_00034837.p1, TCONS_00018831.p1
OG0001163	CAEEL11823, CAEEL14454, CAEEL17374	TCONS_00030259.p1, TCONS_00030251.p1
OG0001164	CAEEL07306	TCONS_00006590.p1
OG0001165	CAEEL19696	TCONS_00018323.p1
OG0001167	CAEEL04546	TCONS_00009697.p1
OG0001168	CAEEL02000	TCONS_00007095.p1
OG0001171	CAEEL20677	TCONS_00046615.p1
OG0001172	CAEEL13596	TCONS_00003400.p1, TCONS_00004388.p1
OG0001172	CAEEL01942	TCONS_00004384.p1
OG0001173	CAEEL15708	TCONS_00036061.p1
OG0001175	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718	TCONS_00018800.p1
OG0001176	CAEEL11466	TCONS_00031061.p1
OG0001177	CAEEL08262, CAEEL18706	TCONS_00031042.p1, TCONS_00043176.p1, TCONS_00016810.p1, TCONS_00031043.p1, TCONS_00031052.p1
OG0001178	CAEEL05306	TCONS_00052837.p1
OG0001179	CAEEL07894, CAEEL04651, CAEEL04194, CAEEL05939	TCONS_00007366.p1, TCONS_00007365.p1, TCONS_00007363.p1, TCONS_00007362.p1, TCONS_00007361.p1, TCONS_00007757.p1
OG0001180	CAEEL00751	TCONS_00029840.p1
OG0001181	CAEEL08327	TCONS_00056617.p1
OG0001184	CAEEL20576	TCONS_00015015.p1, TCONS_00015016.p1
OG0001184	CAEEL19676	TCONS_00027741.p1
OG0001186	CAEEL00480	TCONS_00018904.p1
OG0001186	CAEEL09703	TCONS_00008504.p1
OG0001188	CAEEL14362	TCONS_00009642.p1
OG0001189	CAEEL01928	TCONS_00046683.p1, TCONS_00046682.p1
OG0001191	CAEEL09751, CAEEL20476, CAEEL09505	TCONS_00027129.p1
OG0001197	CAEEL11613	TCONS_00010219.p1
OG0001200	CAEEL05263	TCONS_00011494.p1
OG0001201	CAEEL02666	TCONS_00008587.p1
OG0001204	CAEEL09132	TCONS_00006364.p1
OG0001208	CAEEL10574	TCONS_00019772.p1
OG0001209	CAEEL00442	TCONS_00032359.p1
OG0001210	CAEEL06396	TCONS_00010944.p1
OG0001210	CAEEL06380	TCONS_00052218.p1
OG0001213	CAEEL01138, CAEEL01163, CAEEL01148, CAEEL04429, CAEEL04430	TCONS_00027209.p1
OG0001214	CAEEL08401	TCONS_00033365.p1
OG0001215	CAEEL11249	TCONS_00033488.p1
OG0001216	CAEEL04644	TCONS_00051636.p1
OG0001217	CAEEL08746	TCONS_00000738.p1
OG0001218	CAEEL20131, CAEEL14167	TCONS_00052215.p1
OG0001219	CAEEL20379	TCONS_00017300.p1
OG0001220	CAEEL07890	TCONS_00006085.p1
OG0001221	CAEEL13124	TCONS_00007062.p1, TCONS_00038811.p1, TCONS_00038873.p1, TCONS_00038810.p1, TCONS_00038875.p1, TCONS_00038876.p1, TCONS_00038807.p1, TCONS_00038874.p1, TCONS_00055087.p1, TCONS_00055088.p1, TCONS_00055090.p1, TCONS_00055091.p1
OG0001223	CAEEL02795	TCONS_00007477.p1
OG0001224	CAEEL07196	TCONS_00051554.p1
OG0001225	CAEEL02873	TCONS_00019229.p1
OG0001226	CAEEL02848, CAEEL02849	TCONS_00006753.p1, TCONS_00001303.p1
OG0001231	CAEEL15401	TCONS_00009528.p1
OG0001233	CAEEL03755, CAEEL04189	TCONS_00043251.p1, TCONS_00043252.p1
OG0001234	CAEEL00806	TCONS_00007057.p1
OG0001236	CAEEL18476, CAEEL18477, CAEEL05637, CAEEL05588	TCONS_00050414.p1, TCONS_00050417.p1, TCONS_00050415.p1
OG0001238	CAEEL05166, CAEEL11182	TCONS_00027408.p1, TCONS_00019050.p1
OG0001239	CAEEL12011	TCONS_00048949.p1
OG0001241	CAEEL01749	TCONS_00044745.p1
OG0001241	CAEEL19375	TCONS_00021229.p1
OG0001243	CAEEL01806	TCONS_00032341.p1
OG0001244	CAEEL12407	TCONS_00022232.p1
OG0001247	CAEEL10570	TCONS_00047964.p1
OG0001248	CAEEL08830	TCONS_00020768.p1
OG0001249	CAEEL06406	TCONS_00053927.p1
OG0001250	CAEEL18712	TCONS_00014350.p1
OG0001251	CAEEL10205	TCONS_00019290.p1
OG0001251	CAEEL01802	TCONS_00007951.p1
OG0001252	CAEEL05030	TCONS_00052754.p1
OG0001253	CAEEL10888, CAEEL10887	TCONS_00048644.p1
OG0001254	CAEEL00935	TCONS_00019693.p1, TCONS_00019695.p1
OG0001256	CAEEL01426, CAEEL01244, CAEEL01245, CAEEL09738, CAEEL10917, CAEEL07997	TCONS_00001550.p1
OG0001261	CAEEL07850	TCONS_00043665.p1
OG0001262	CAEEL15249, CAEEL20627	TCONS_00014954.p1, TCONS_00014955.p1, TCONS_00048625.p1
OG0001266	CAEEL20839, CAEEL20838	TCONS_00027074.p1
OG0001266	CAEEL07143	TCONS_00045360.p1
OG0001267	CAEEL14111	TCONS_00005641.p1
