Orthogroup	CAEEL	PFLAV
OG0000005	CAEEL01924	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1
OG0000005	CAEEL13168	TCONS_00020907.p1
OG0000005	CAEEL20591, CAEEL05556, CAEEL19115	TCONS_00033021.p1
OG0000005	CAEEL17405, CAEEL08039, CAEEL04792	TCONS_00028033.p1, TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1
OG0000006	CAEEL20510	TCONS_00023170.p1, TCONS_00025030.p1
OG0000006	CAEEL18976	TCONS_00048904.p1
OG0000006	CAEEL00696	TCONS_00042787.p1
OG0000006	CAEEL19824	TCONS_00056934.p1
OG0000006	CAEEL07700	TCONS_00003496.p1
OG0000006	CAEEL05532	TCONS_00012810.p1, TCONS_00013984.p1, TCONS_00012809.p1
OG0000006	CAEEL01533	TCONS_00028953.p1
OG0000006	CAEEL12101	TCONS_00030792.p1, TCONS_00029994.p1
OG0000006	CAEEL00153	TCONS_00011489.p1
OG0000006	CAEEL17819	TCONS_00011491.p1
OG0000006	CAEEL15182	TCONS_00011052.p1
OG0000007	CAEEL04050	TCONS_00029574.p1
OG0000007	CAEEL17965	TCONS_00009611.p1
OG0000007	CAEEL05829	TCONS_00052518.p1
OG0000007	CAEEL01108	TCONS_00008967.p1
OG0000007	CAEEL01984	TCONS_00029831.p1
OG0000007	CAEEL10238, CAEEL04602	TCONS_00055417.p1, TCONS_00011336.p1
OG0000007	CAEEL18586	TCONS_00009689.p1
OG0000010	CAEEL04259	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1
OG0000012	CAEEL20690	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1
OG0000012	CAEEL14039, CAEEL14036, CAEEL14035, CAEEL14043, CAEEL14262, CAEEL14332, CAEEL14331, CAEEL14330, CAEEL14630, CAEEL00027, CAEEL07052, CAEEL18698	TCONS_00014468.p1
OG0000012	CAEEL19132, CAEEL18995	TCONS_00039920.p1, TCONS_00035664.p1, TCONS_00039928.p1, TCONS_00040816.p1
OG0000013	CAEEL19127	TCONS_00023863.p1, TCONS_00008448.p1, TCONS_00008447.p1, TCONS_00008446.p1, TCONS_00015580.p1, TCONS_00008650.p1, TCONS_00021089.p1, TCONS_00021092.p1, TCONS_00021090.p1, TCONS_00014846.p1, TCONS_00043683.p1, TCONS_00043682.p1, TCONS_00017254.p1, TCONS_00030446.p1, TCONS_00030445.p1, TCONS_00021208.p1
OG0000015	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309	TCONS_00043495.p1
OG0000015	CAEEL15587	TCONS_00042561.p1, TCONS_00043863.p1
