Orthogroup	CAEEL	ORYLA
OG0000944	CAEEL08647, CAEEL08646	ORYLA09043, ORYLA04158, ORYLA01246
OG0000945	CAEEL00537	ORYLA12060, ORYLA00813, ORYLA05640
OG0000946	CAEEL05453	ORYLA14183, ORYLA10918
OG0000947	CAEEL07660	ORYLA08406, ORYLA19529, ORYLA08874, ORYLA15837, ORYLA09649
OG0000949	CAEEL02872, CAEEL06438	ORYLA02756, ORYLA01668, ORYLA00973, ORYLA19847, ORYLA10622, ORYLA11369, ORYLA08705
OG0000950	CAEEL06912	ORYLA04399, ORYLA03233, ORYLA04359, ORYLA02766, ORYLA17857
OG0000951	CAEEL00056	ORYLA06116, ORYLA14933
OG0000954	CAEEL05990	ORYLA20086, ORYLA16756, ORYLA16757, ORYLA16758
OG0000955	CAEEL05680, CAEEL05073	ORYLA17644
OG0000955	CAEEL01495	ORYLA12176
OG0000957	CAEEL00119	ORYLA13659, ORYLA18079
OG0000963	CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906	ORYLA17317, ORYLA13364
OG0000965	CAEEL09524	ORYLA20470
OG0000965	CAEEL02685	ORYLA07478
OG0000967	CAEEL09409	ORYLA04076, ORYLA19755, ORYLA04962
OG0000969	CAEEL17140, CAEEL19686	ORYLA05704
OG0000970	CAEEL12249	ORYLA17254, ORYLA02643
OG0000972	CAEEL01404, CAEEL10528	ORYLA17856
OG0000974	CAEEL05136, CAEEL05137	ORYLA03871
OG0000978	CAEEL10436, CAEEL10678, CAEEL04915	ORYLA08899, ORYLA06773, ORYLA14000, ORYLA15891, ORYLA12640, ORYLA07570
OG0000979	CAEEL17012, CAEEL08335, CAEEL08336, CAEEL08175, CAEEL06649	ORYLA04958, ORYLA04959
OG0000982	CAEEL00871	ORYLA13484, ORYLA06837, ORYLA05721, ORYLA17666, ORYLA02909
OG0000984	CAEEL00142	ORYLA14092
OG0000985	CAEEL11989	ORYLA02598, ORYLA08267, ORYLA04784, ORYLA01425
OG0000987	CAEEL18448	ORYLA08918, ORYLA06392, ORYLA13755, ORYLA15702, ORYLA09779
OG0000988	CAEEL12259, CAEEL12260, CAEEL05294	ORYLA19585, ORYLA02424, ORYLA02425, ORYLA13645
OG0000992	CAEEL04373	ORYLA16313, ORYLA19691
OG0000994	CAEEL01877	ORYLA11419
OG0000994	CAEEL05339, CAEEL08529	ORYLA18398
OG0000995	CAEEL01961	ORYLA00280, ORYLA17021, ORYLA08300, ORYLA16326, ORYLA07992
OG0000999	CAEEL12779, CAEEL06159	ORYLA17143, ORYLA07960, ORYLA15047
OG0001001	CAEEL19402, CAEEL20405, CAEEL20234, CAEEL19403	ORYLA04326, ORYLA07294
OG0001002	CAEEL07056, CAEEL14828, CAEEL19782, CAEEL15732	ORYLA07974, ORYLA08682
OG0001004	CAEEL04943	ORYLA12912, ORYLA07357, ORYLA12944, ORYLA17121, ORYLA00260, ORYLA17120
OG0001005	CAEEL01384	ORYLA19246, ORYLA18530, ORYLA18997, ORYLA13716, ORYLA13692, ORYLA18566, ORYLA18531, ORYLA19208
OG0001006	CAEEL08218, CAEEL00364, CAEEL10732	ORYLA00587
OG0001007	CAEEL19587	ORYLA13224, ORYLA17845
OG0001009	CAEEL20001	ORYLA10070, ORYLA02205
OG0001013	CAEEL16541	ORYLA17033, ORYLA00289, ORYLA00568, ORYLA16911, ORYLA05815, ORYLA01878, ORYLA08175, ORYLA16273
OG0001015	CAEEL16067, CAEEL20263	ORYLA16717, ORYLA08292
OG0001016	CAEEL09313	ORYLA08912
OG0001016	CAEEL08789, CAEEL11986	ORYLA08838
OG0001017	CAEEL09308	ORYLA15745
OG0001018	CAEEL00183	ORYLA04621
OG0001019	CAEEL13859, CAEEL13858	ORYLA01968, ORYLA01969, ORYLA20371, ORYLA16086
OG0001022	CAEEL06254, CAEEL20075, CAEEL20775	ORYLA13121, ORYLA06595, ORYLA08639, ORYLA08638, ORYLA08637, ORYLA09711, ORYLA09710, ORYLA01094, ORYLA01093
OG0001023	CAEEL05078	ORYLA11181, ORYLA12354, ORYLA13986
OG0001024	CAEEL11623	ORYLA01426, ORYLA10777, ORYLA04903, ORYLA17767
OG0001028	CAEEL01212	ORYLA13607, ORYLA13608, ORYLA14880, ORYLA12157, ORYLA17489, ORYLA17310
OG0001029	CAEEL01262	ORYLA15182, ORYLA07577
OG0001030	CAEEL11812	ORYLA06855, ORYLA12212, ORYLA11995, ORYLA10701, ORYLA05220
OG0001031	CAEEL12448	ORYLA05281
OG0001032	CAEEL20070, CAEEL15717	ORYLA06882, ORYLA13285, ORYLA13284, ORYLA06883, ORYLA13286, ORYLA02881, ORYLA02880, ORYLA18152
OG0001033	CAEEL10717	ORYLA13566, ORYLA13207
OG0001034	CAEEL07054, CAEEL07055	ORYLA16497, ORYLA08333, ORYLA09185
OG0001036	CAEEL18611	ORYLA15963, ORYLA02163, ORYLA05632
OG0001037	CAEEL18600	ORYLA18034, ORYLA02947, ORYLA08956
OG0001038	CAEEL20450	ORYLA00365, ORYLA00910, ORYLA05052, ORYLA00017
OG0001039	CAEEL08415	ORYLA17932
OG0001039	CAEEL10624	ORYLA14221
OG0001042	CAEEL09943	ORYLA11092, ORYLA20004, ORYLA16045, ORYLA14257, ORYLA15929, ORYLA14996, ORYLA11093
OG0001046	CAEEL19183	ORYLA16931, ORYLA16932, ORYLA16930, ORYLA00538, ORYLA00652, ORYLA16674, ORYLA00732
OG0001050	CAEEL14076, CAEEL15706	ORYLA15890, ORYLA11461, ORYLA12452, ORYLA15112, ORYLA06038
OG0001052	CAEEL10987	ORYLA18159, ORYLA04669
OG0001053	CAEEL07572	ORYLA18523, ORYLA08049, ORYLA16446, ORYLA07098, ORYLA15733, ORYLA09475
OG0001053	CAEEL09742	ORYLA20458
OG0001058	CAEEL19015	ORYLA02850, ORYLA17789, ORYLA03281, ORYLA03823
OG0001060	CAEEL15786	ORYLA11754
OG0001062	CAEEL08101	ORYLA17093, ORYLA00055, ORYLA13062, ORYLA07081, ORYLA13265
OG0001063	CAEEL15713, CAEEL15714	ORYLA04692
OG0001066	CAEEL12576	ORYLA20216, ORYLA18727, ORYLA15524, ORYLA20141, ORYLA15783
OG0001072	CAEEL08406	ORYLA17591
OG0001075	CAEEL11648, CAEEL18873	ORYLA05471, ORYLA05470, ORYLA05472, ORYLA10387
OG0001076	CAEEL07541	ORYLA04025, ORYLA03193, ORYLA12782
OG0001077	CAEEL18659	ORYLA10005
OG0001078	CAEEL19295	ORYLA11135, ORYLA15991, ORYLA14030, ORYLA16359, ORYLA08030, ORYLA19617
OG0001079	CAEEL10503	ORYLA13958, ORYLA14764, ORYLA20201
OG0001080	CAEEL08359	ORYLA06070
OG0001082	CAEEL19080, CAEEL19079, CAEEL09741	ORYLA16190, ORYLA14374
OG0001083	CAEEL06682	ORYLA08355, ORYLA01216, ORYLA10438
OG0001084	CAEEL01831	ORYLA08418, ORYLA10033, ORYLA10032, ORYLA08417
OG0001085	CAEEL09995, CAEEL09996	ORYLA13813, ORYLA16003, ORYLA14313, ORYLA10899, ORYLA10898, ORYLA14405
OG0001092	CAEEL07387	ORYLA00474, ORYLA04030, ORYLA03185, ORYLA00476
OG0001093	CAEEL00638, CAEEL00637	ORYLA01792, ORYLA08189, ORYLA17127, ORYLA09876
OG0001094	CAEEL13053, CAEEL13054	ORYLA10145, ORYLA01044, ORYLA11275, ORYLA05201
OG0001095	CAEEL07595	ORYLA13938, ORYLA08700, ORYLA02122
OG0001096	CAEEL04621, CAEEL17752	ORYLA08777, ORYLA09557
OG0001101	CAEEL11585	ORYLA10929
OG0001102	CAEEL08853	ORYLA05217, ORYLA05138, ORYLA20024
OG0001103	CAEEL18815	ORYLA08995
OG0001104	CAEEL09176, CAEEL09177	ORYLA12177
OG0001104	CAEEL20081	ORYLA01647, ORYLA11309
OG0001107	CAEEL18427	ORYLA12765, ORYLA03943, ORYLA01001, ORYLA08767, ORYLA09544
OG0001108	CAEEL09307	ORYLA14450, ORYLA18375
OG0001109	CAEEL14851, CAEEL20028, CAEEL14852, CAEEL14853, CAEEL13761, CAEEL14859, CAEEL09898, CAEEL19118	ORYLA16661, ORYLA14078
OG0001112	CAEEL19902	ORYLA12894, ORYLA09914, ORYLA08799
OG0001112	CAEEL19901	ORYLA07255
OG0001113	CAEEL15158	ORYLA16987
OG0001113	CAEEL01128	ORYLA03611
OG0001113	CAEEL07385	ORYLA00138
OG0001114	CAEEL11582, CAEEL01758, CAEEL01759	ORYLA12632, ORYLA12633, ORYLA14795, ORYLA05778
OG0001116	CAEEL04351	ORYLA08841
OG0001123	CAEEL02049	ORYLA17704
OG0001124	CAEEL08814	ORYLA08277, ORYLA02278
OG0001126	CAEEL04859	ORYLA07447
OG0001127	CAEEL07664	ORYLA20099
OG0001131	CAEEL14208	ORYLA00774, ORYLA11383
OG0001132	CAEEL04290	ORYLA15693
OG0001133	CAEEL11294	ORYLA02500
OG0001135	CAEEL02069	ORYLA16838, ORYLA16856
OG0001136	CAEEL02001	ORYLA13203, ORYLA06530, ORYLA12133
OG0001137	CAEEL04790	ORYLA03035, ORYLA00090, ORYLA03842
OG0001138	CAEEL07800, CAEEL07799	ORYLA14334, ORYLA15755, ORYLA09204, ORYLA06399, ORYLA09997
OG0001139	CAEEL06928, CAEEL15457	ORYLA15805
OG0001140	CAEEL14389	ORYLA05368, ORYLA02157, ORYLA10675
OG0001141	CAEEL01107, CAEEL01106	ORYLA02472, ORYLA17498
OG0001142	CAEEL12657	ORYLA07693
OG0001143	CAEEL01013	ORYLA11035, ORYLA12195, ORYLA06058
OG0001155	CAEEL13066, CAEEL13586, CAEEL04642, CAEEL13526	ORYLA02504, ORYLA02505
OG0001156	CAEEL20728	ORYLA14447, ORYLA15424, ORYLA17150, ORYLA10003
OG0001158	CAEEL00147	ORYLA13950, ORYLA15560, ORYLA06290, ORYLA20120, ORYLA13611
OG0001159	CAEEL07987, CAEEL18966	ORYLA10160, ORYLA05356
OG0001160	CAEEL16381, CAEEL20121	ORYLA11144, ORYLA18207
OG0001162	CAEEL18096	ORYLA03278, ORYLA04547, ORYLA08795
OG0001163	CAEEL11823, CAEEL14454, CAEEL17374	ORYLA08093, ORYLA04995
OG0001164	CAEEL07306	ORYLA06374
OG0001165	CAEEL19696	ORYLA11504
OG0001167	CAEEL04546	ORYLA10169, ORYLA12428, ORYLA04713
OG0001168	CAEEL02000	ORYLA14387
OG0001171	CAEEL20677	ORYLA09088, ORYLA11731, ORYLA02030, ORYLA05693, ORYLA15553
OG0001172	CAEEL13596	ORYLA08914, ORYLA06213, ORYLA09461
OG0001175	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718	ORYLA17323, ORYLA17834, ORYLA02704
OG0001177	CAEEL08262, CAEEL18706	ORYLA07071, ORYLA17818
OG0001178	CAEEL05306	ORYLA12858
OG0001179	CAEEL07894, CAEEL04651, CAEEL04194, CAEEL05939	ORYLA12445, ORYLA14131
OG0001180	CAEEL00751	ORYLA18502, ORYLA14974, ORYLA18703, ORYLA18702, ORYLA12603
OG0001181	CAEEL08327	ORYLA09302, ORYLA06967, ORYLA16422
OG0001183	CAEEL12969, CAEEL02318	ORYLA01780
OG0001184	CAEEL20576	ORYLA01867
OG0001184	CAEEL19676	ORYLA12325
OG0001185	CAEEL01778	ORYLA01991, ORYLA19744
OG0001186	CAEEL00480	ORYLA06474, ORYLA12462, ORYLA14584
OG0001186	CAEEL09703	ORYLA12305
OG0001188	CAEEL14362	ORYLA07684, ORYLA03103, ORYLA10083, ORYLA04742
OG0001189	CAEEL01928	ORYLA20265, ORYLA15490, ORYLA10691, ORYLA11979, ORYLA07034
OG0001191	CAEEL09751, CAEEL20476, CAEEL09505	ORYLA00416, ORYLA17734, ORYLA04735, ORYLA08358, ORYLA01217, ORYLA03865
OG0001197	CAEEL11613	ORYLA13277
OG0001201	CAEEL02666	ORYLA15842, ORYLA14298, ORYLA15310
OG0001203	CAEEL09769	ORYLA01043, ORYLA10082, ORYLA00091
OG0001204	CAEEL09132	ORYLA04102, ORYLA03247
OG0001208	CAEEL10574	ORYLA06825, ORYLA09868, ORYLA01795
OG0001209	CAEEL00442	ORYLA07316, ORYLA00319
OG0001210	CAEEL06396	ORYLA11799
OG0001210	CAEEL06380	ORYLA06775
OG0001213	CAEEL01138, CAEEL01163, CAEEL01148, CAEEL04429, CAEEL04430	ORYLA08112
OG0001214	CAEEL08401	ORYLA09019
OG0001215	CAEEL11249	ORYLA06541, ORYLA08559, ORYLA09761, ORYLA09762, ORYLA16114, ORYLA14222
OG0001216	CAEEL04644	ORYLA07420
OG0001217	CAEEL08746	ORYLA04237, ORYLA01368, ORYLA10596, ORYLA10595
OG0001218	CAEEL20131, CAEEL14167	ORYLA05869, ORYLA01891, ORYLA14508, ORYLA07468
OG0001219	CAEEL20379	ORYLA01206, ORYLA04598, ORYLA01690, ORYLA05777
OG0001220	CAEEL07890	ORYLA02345
OG0001221	CAEEL13124	ORYLA07491
OG0001223	CAEEL02795	ORYLA06793, ORYLA07569, ORYLA06727, ORYLA15616, ORYLA13963
OG0001224	CAEEL07196	ORYLA16020, ORYLA14224
OG0001225	CAEEL02873	ORYLA14806, ORYLA12335, ORYLA02910, ORYLA13489, ORYLA13488
OG0001226	CAEEL02848, CAEEL02849	ORYLA03653, ORYLA03655, ORYLA03654, ORYLA03656, ORYLA01461, ORYLA01460, ORYLA11722
OG0001230	CAEEL12987, CAEEL17236, CAEEL15243, CAEEL01949	ORYLA05997
OG0001233	CAEEL03755, CAEEL04189	ORYLA07453
OG0001234	CAEEL00806	ORYLA05594, ORYLA02233, ORYLA19956
OG0001236	CAEEL18476, CAEEL18477, CAEEL05637, CAEEL05588	ORYLA05535, ORYLA05857
OG0001238	CAEEL05166, CAEEL11182	ORYLA01295, ORYLA07056
OG0001239	CAEEL12011	ORYLA14159, ORYLA20197
OG0001241	CAEEL01749	ORYLA15497
OG0001241	CAEEL19375	ORYLA01008
OG0001243	CAEEL01806	ORYLA07317, ORYLA07318, ORYLA12130
OG0001247	CAEEL10570	ORYLA10879, ORYLA15933, ORYLA18030
OG0001248	CAEEL08830	ORYLA08537, ORYLA07036, ORYLA14359, ORYLA16193
OG0001249	CAEEL06406	ORYLA13090, ORYLA00311, ORYLA06571, ORYLA12934, ORYLA13089
OG0001250	CAEEL18712	ORYLA17061, ORYLA00854, ORYLA07782, ORYLA16768
OG0001251	CAEEL01802	ORYLA12301, ORYLA08970
OG0001252	CAEEL05030	ORYLA19528, ORYLA08946, ORYLA13487
OG0001253	CAEEL10888, CAEEL10887	ORYLA10839, ORYLA15354, ORYLA15393, ORYLA18494, ORYLA10838, ORYLA14430, ORYLA15691
OG0001254	CAEEL00935	ORYLA12036, ORYLA14643
OG0001256	CAEEL01426, CAEEL01244, CAEEL01245, CAEEL09738, CAEEL10917, CAEEL07997	ORYLA10228
OG0001261	CAEEL07850	ORYLA07239, ORYLA00479, ORYLA09455
OG0001262	CAEEL15249, CAEEL20627	ORYLA02427
OG0001266	CAEEL07143	ORYLA09233, ORYLA07109, ORYLA14460
OG0001267	CAEEL14111	ORYLA17985, ORYLA00677
OG0001268	CAEEL11342	ORYLA13833, ORYLA00335, ORYLA15813
OG0001270	CAEEL01959	ORYLA07988, ORYLA18804
OG0001271	CAEEL08717, CAEEL00634	ORYLA09251, ORYLA07889, ORYLA14013
OG0001272	CAEEL07720, CAEEL09293	ORYLA07941, ORYLA03248, ORYLA04104, ORYLA01178
OG0001274	CAEEL20835, CAEEL00917, CAEEL15316, CAEEL07981	ORYLA06279, ORYLA00711, ORYLA02589, ORYLA18123
OG0001278	CAEEL20013	ORYLA16678, ORYLA00727
OG0001278	CAEEL10735	ORYLA13327
OG0001279	CAEEL15321, CAEEL15322, CAEEL20353	ORYLA04097, ORYLA03712, ORYLA10544, ORYLA04878, ORYLA00122
OG0001280	CAEEL00726	ORYLA19967, ORYLA06847, ORYLA12954, ORYLA19875, ORYLA00452
OG0001281	CAEEL05459	ORYLA03725, ORYLA20463, ORYLA18306, ORYLA20026, ORYLA07382
OG0001282	CAEEL04296	ORYLA04230, ORYLA10205, ORYLA08831
OG0001284	CAEEL08223	ORYLA09027
OG0001284	CAEEL01272	ORYLA01634, ORYLA14635
OG0001285	CAEEL06501	ORYLA10432, ORYLA05192, ORYLA17636, ORYLA14476
OG0001287	CAEEL16475	ORYLA03902, ORYLA01233, ORYLA09735, ORYLA00961
OG0001288	CAEEL18355	ORYLA02421, ORYLA14902, ORYLA02420
OG0001290	CAEEL12279	ORYLA18055, ORYLA19128, ORYLA12183, ORYLA14552, ORYLA19558, ORYLA18829
OG0001291	CAEEL11483	ORYLA17986, ORYLA07358, ORYLA01427, ORYLA04147
OG0001292	CAEEL07942	ORYLA09364, ORYLA10046
OG0001293	CAEEL07048	ORYLA17295, ORYLA17851, ORYLA02768, ORYLA02767, ORYLA17854, ORYLA04584
OG0001294	CAEEL15893	ORYLA10122, ORYLA11435
OG0001296	CAEEL00003, CAEEL14758	ORYLA07385, ORYLA00095, ORYLA19357, ORYLA19356
OG0001300	CAEEL09562	ORYLA01386, ORYLA10216, ORYLA09658, ORYLA04280
OG0001302	CAEEL01736	ORYLA12923
OG0001302	CAEEL12633	ORYLA05687
OG0001304	CAEEL00728	ORYLA06728, ORYLA06729, ORYLA12651, ORYLA06796, ORYLA13823, ORYLA13822
OG0001305	CAEEL19700	ORYLA18154, ORYLA00057, ORYLA17092, ORYLA02873, ORYLA06351
OG0001306	CAEEL05042	ORYLA06638, ORYLA13454
OG0001310	CAEEL16286	ORYLA10760
OG0001311	CAEEL07271, CAEEL18160	ORYLA02079, ORYLA06081
OG0001315	CAEEL20540	ORYLA16949, ORYLA07817, ORYLA07784, ORYLA16771, ORYLA00635, ORYLA16948, ORYLA00636
OG0001318	CAEEL06153	ORYLA08255
OG0001318	CAEEL02686	ORYLA09731
OG0001319	CAEEL15967	ORYLA04255, ORYLA01358, ORYLA10213, ORYLA09481
OG0001320	CAEEL05842, CAEEL10256, CAEEL08614, CAEEL15241, CAEEL08907	ORYLA11905
OG0001321	CAEEL02303, CAEEL00016	ORYLA06094, ORYLA02144
OG0001325	CAEEL12980	ORYLA18675, ORYLA10649, ORYLA08927
OG0001326	CAEEL18463, CAEEL12672, CAEEL19447	ORYLA00013, ORYLA05047, ORYLA02306, ORYLA02304, ORYLA00758
OG0001327	CAEEL12070	ORYLA11280, ORYLA14397
OG0001329	CAEEL03625, CAEEL07934	ORYLA10954, ORYLA14747
OG0001330	CAEEL07772	ORYLA07932, ORYLA16248, ORYLA04009, ORYLA03267, ORYLA17273
OG0001333	CAEEL08384, CAEEL10397, CAEEL14152, CAEEL14148, CAEEL14153	ORYLA17399, ORYLA07772
OG0001337	CAEEL08858	ORYLA02348, ORYLA17664, ORYLA06931
OG0001339	CAEEL01555	ORYLA11675
OG0001341	CAEEL12273	ORYLA19403, ORYLA14314
OG0001344	CAEEL12166	ORYLA02700
OG0001348	CAEEL20290	ORYLA19323, ORYLA09547, ORYLA09548, ORYLA08775, ORYLA01011, ORYLA01010
OG0001350	CAEEL06068, CAEEL05555	ORYLA06653
OG0001351	CAEEL20071, CAEEL20072	ORYLA04330
OG0001353	CAEEL07231	ORYLA06297, ORYLA20269
OG0001355	CAEEL19633	ORYLA19438, ORYLA00855, ORYLA17810, ORYLA02331
OG0001356	CAEEL10619	ORYLA14068, ORYLA15897, ORYLA14716, ORYLA11021
OG0001357	CAEEL15128	ORYLA07719, ORYLA10513, ORYLA03046
OG0001363	CAEEL12526, CAEEL18947, CAEEL08666, CAEEL12684, CAEEL11272	ORYLA14931, ORYLA06964, ORYLA02934
OG0001364	CAEEL16269	ORYLA07287, ORYLA06962
OG0001366	CAEEL07140	ORYLA19471, ORYLA08891, ORYLA09706
OG0001367	CAEEL16176	ORYLA14461, ORYLA07111, ORYLA09231, ORYLA11747, ORYLA12559
OG0001368	CAEEL15247	ORYLA04793, ORYLA11335, ORYLA10470
OG0001369	CAEEL05836	ORYLA13851, ORYLA13852, ORYLA13773, ORYLA14398
OG0001370	CAEEL19838	ORYLA12598, ORYLA14966
OG0001370	CAEEL11201	ORYLA18543
OG0001372	CAEEL04824, CAEEL16917	ORYLA13141
OG0001374	CAEEL02048	ORYLA12417
OG0001375	CAEEL01718	ORYLA11959, ORYLA01972, ORYLA01971
OG0001376	CAEEL18806	ORYLA03122, ORYLA05570, ORYLA09409, ORYLA08741
OG0001378	CAEEL01898	ORYLA17783, ORYLA02855, ORYLA04943, ORYLA00326, ORYLA01139, ORYLA01326
OG0001379	CAEEL20800, CAEEL08440	ORYLA06942, ORYLA12825, ORYLA01022, ORYLA01021, ORYLA04265
OG0001380	CAEEL07027	ORYLA04452, ORYLA03211, ORYLA01164, ORYLA00371
OG0001381	CAEEL01510	ORYLA13157, ORYLA12338, ORYLA02912, ORYLA18091
OG0001387	CAEEL01449, CAEEL05040, CAEEL06498	ORYLA08421, ORYLA09694, ORYLA15977
OG0001389	CAEEL06582	ORYLA12186, ORYLA07219, ORYLA20465
OG0001394	CAEEL16146	ORYLA01445
OG0001395	CAEEL01604	ORYLA10336, ORYLA12492, ORYLA01370, ORYLA08821
OG0001397	CAEEL05815, CAEEL05422, CAEEL16780, CAEEL05924, CAEEL19916	ORYLA01225, ORYLA05017
OG0001397	CAEEL19290	ORYLA08172
OG0001399	CAEEL00972	ORYLA04243, ORYLA12652, ORYLA18690
OG0001404	CAEEL15778	ORYLA16925
OG0001405	CAEEL00987	ORYLA12568, ORYLA05423
OG0001405	CAEEL02297	ORYLA07257
OG0001408	CAEEL19513	ORYLA02846, ORYLA00579, ORYLA08954
OG0001409	CAEEL02567	ORYLA05905, ORYLA01929, ORYLA09977
OG0001410	CAEEL16277	ORYLA16518
OG0001411	CAEEL07405	ORYLA12881
OG0001413	CAEEL08368	ORYLA17782
OG0001414	CAEEL13823	ORYLA05226, ORYLA18972
OG0001417	CAEEL02921	ORYLA00545
OG0001418	CAEEL11722	ORYLA17080, ORYLA13376, ORYLA13151, ORYLA06383, ORYLA02393
OG0001421	CAEEL14241	ORYLA11990, ORYLA11681
OG0001422	CAEEL06778	ORYLA08800, ORYLA05608, ORYLA05609, ORYLA09888
OG0001423	CAEEL18493	ORYLA06105, ORYLA06106, ORYLA19580, ORYLA13563, ORYLA00859, ORYLA17104
OG0001424	CAEEL12121	ORYLA13598
OG0001425	CAEEL12269, CAEEL12270, CAEEL12268, CAEEL12271	ORYLA11812, ORYLA14660, ORYLA02799, ORYLA17328
OG0001426	CAEEL06005, CAEEL06004	ORYLA13127, ORYLA13128, ORYLA16142, ORYLA14438, ORYLA07443
OG0001428	CAEEL05279	ORYLA15651, ORYLA13762, ORYLA18311, ORYLA05873, ORYLA01893
OG0001429	CAEEL04279	ORYLA11872
OG0001430	CAEEL14236	ORYLA11790, ORYLA01079, ORYLA10149, ORYLA03115, ORYLA03625
OG0001432	CAEEL18746	ORYLA19855, ORYLA16066, ORYLA06470, ORYLA11304
OG0001433	CAEEL01226	ORYLA10563, ORYLA19887, ORYLA02213, ORYLA05137
OG0001436	CAEEL01644, CAEEL01645	ORYLA09342, ORYLA06774
OG0001437	CAEEL01346, CAEEL01345	ORYLA09273, ORYLA06548, ORYLA09274
OG0001440	CAEEL02919	ORYLA06607, ORYLA09297
OG0001445	CAEEL10043, CAEEL10044	ORYLA18556, ORYLA03367, ORYLA03366
OG0001446	CAEEL19040, CAEEL19039	ORYLA03689
OG0001447	CAEEL00798, CAEEL00797	ORYLA01063
OG0001449	CAEEL05216	ORYLA11305
OG0001452	CAEEL02837	ORYLA17672, ORYLA12044, ORYLA18698
OG0001458	CAEEL04619	ORYLA20478, ORYLA20479, ORYLA04251, ORYLA01275, ORYLA09939, ORYLA08813
OG0001459	CAEEL20135, CAEEL17975	ORYLA16343
OG0001460	CAEEL11040, CAEEL11027	ORYLA02314
OG0001461	CAEEL09368	ORYLA19866
OG0001462	CAEEL03309	ORYLA11791
OG0001464	CAEEL07180	ORYLA09804, ORYLA08394, ORYLA05677, ORYLA16104, ORYLA14378
OG0001466	CAEEL00165	ORYLA11704, ORYLA01209
OG0001468	CAEEL01968, CAEEL01966, CAEEL01967	ORYLA08601, ORYLA08600, ORYLA09151, ORYLA06717, ORYLA09660, ORYLA16189, ORYLA16188
OG0001469	CAEEL06147	ORYLA17794
OG0001469	CAEEL06502	ORYLA05419
OG0001472	CAEEL07491	ORYLA05712
OG0001472	CAEEL02663	ORYLA15948
OG0001473	CAEEL15728, CAEEL16017	ORYLA00647, ORYLA16961, ORYLA16960
OG0001474	CAEEL07328	ORYLA07769
OG0001475	CAEEL05298	ORYLA13842, ORYLA15634
OG0001476	CAEEL00667	ORYLA10593, ORYLA03172, ORYLA04062
OG0001478	CAEEL11433	ORYLA11904, ORYLA07755
OG0001479	CAEEL19245	ORYLA13290, ORYLA16589, ORYLA18144, ORYLA02932
OG0001480	CAEEL01047	ORYLA00743, ORYLA01857, ORYLA05529, ORYLA05528
OG0001482	CAEEL08859	ORYLA07921, ORYLA16884, ORYLA02763, ORYLA17970, ORYLA04390
OG0001484	CAEEL01076, CAEEL01075	ORYLA18741, ORYLA15816, ORYLA13829, ORYLA13710
OG0001485	CAEEL01187	ORYLA12718, ORYLA14982, ORYLA17705, ORYLA02318
OG0001486	CAEEL06199	ORYLA13675, ORYLA11156, ORYLA15307, ORYLA16351, ORYLA12057
OG0001489	CAEEL05101	ORYLA12865, ORYLA06627, ORYLA02403, ORYLA13145
OG0001492	CAEEL08792	ORYLA17613
OG0001493	CAEEL11731	ORYLA07182, ORYLA04965
OG0001500	CAEEL11009	ORYLA07552, ORYLA09604
OG0001502	CAEEL06434, CAEEL06435	ORYLA18248, ORYLA18648, ORYLA17056
OG0001503	CAEEL04111	ORYLA13177
OG0001503	CAEEL08520	ORYLA17046, ORYLA17047
OG0001504	CAEEL05392	ORYLA15456
OG0001505	CAEEL05185, CAEEL08607	ORYLA10202, ORYLA08833, ORYLA07422
OG0001506	CAEEL04371	ORYLA07141, ORYLA16222
OG0001508	CAEEL19670	ORYLA12347, ORYLA14625, ORYLA16349, ORYLA16350
OG0001510	CAEEL19165	ORYLA17456, ORYLA16556, ORYLA16557, ORYLA13247
OG0001515	CAEEL07598	ORYLA04533, ORYLA17572
OG0001516	CAEEL05831	ORYLA18645, ORYLA18644
OG0001517	CAEEL20700	ORYLA17447, ORYLA08991, ORYLA13528, ORYLA13529
OG0001522	CAEEL01881	ORYLA11664, ORYLA10662
OG0001523	CAEEL20306	ORYLA11194, ORYLA15086
OG0001524	CAEEL18987, CAEEL00715	ORYLA12443
OG0001525	CAEEL08599, CAEEL13978, CAEEL13977, CAEEL14698, CAEEL08600	ORYLA17631
OG0001526	CAEEL19873	ORYLA17247, ORYLA02495, ORYLA16611
OG0001527	CAEEL08026	ORYLA02867
OG0001527	CAEEL02029	ORYLA20388, ORYLA20389
OG0001528	CAEEL20795	ORYLA07415, ORYLA09313, ORYLA06618
OG0001529	CAEEL01822, CAEEL20748, CAEEL06896	ORYLA13719, ORYLA14481
OG0001532	CAEEL04337, CAEEL04338, CAEEL04294, CAEEL05090	ORYLA18344
OG0001533	CAEEL01048, CAEEL19033, CAEEL11552	ORYLA09911, ORYLA08628, ORYLA09442
OG0001536	CAEEL11259, CAEEL20066, CAEEL20058	ORYLA05223, ORYLA02265
OG0001538	CAEEL15530	ORYLA05212
OG0001546	CAEEL14468	ORYLA05229
OG0001549	CAEEL18956	ORYLA14761, ORYLA11227, ORYLA13790, ORYLA15912, ORYLA13679
OG0001550	CAEEL12391, CAEEL06493	ORYLA04848
OG0001551	CAEEL13359	ORYLA10506, ORYLA10505
OG0001552	CAEEL09513	ORYLA13846
