Orthogroup	CAEEL	ORYLA
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623, ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414, ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547
OG0000029	CAEEL20612	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	ORYLA01628, ORYLA19626, ORYLA02922
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	ORYLA08220
OG0000031	CAEEL17953	ORYLA04590
OG0000031	CAEEL02023	ORYLA09861, ORYLA15740, ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771, ORYLA18563
OG0000031	CAEEL04718	ORYLA06561, ORYLA14932
OG0000031	CAEEL07076	ORYLA04591, ORYLA04917
OG0000032	CAEEL19615	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	ORYLA15502, ORYLA06416
OG0000034	CAEEL07900	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781
OG0000034	CAEEL13037	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558
OG0000034	CAEEL01132	ORYLA07312
OG0000034	CAEEL03140, CAEEL03141	ORYLA12339, ORYLA14860
OG0000035	CAEEL01943	ORYLA16101
