Orthogroup	CAEEL	DROME
OG0000826	CAEEL04414	DROME12091
OG0000828	CAEEL01170	DROME20305
OG0000828	CAEEL14806	DROME19137
OG0000833	CAEEL05439	DROME00525, DROME00524, DROME00526, DROME20451, DROME20452, DROME18499, DROME18498
OG0000834	CAEEL00924	DROME13922
OG0000836	CAEEL01665	DROME02582, DROME02579, DROME02580, DROME02581
OG0000837	CAEEL19270, CAEEL07955	DROME05419, DROME18149
OG0000838	CAEEL20556	DROME18797
OG0000842	CAEEL11884	DROME10888, DROME10889
OG0000844	CAEEL04872, CAEEL18631, CAEEL05964, CAEEL05848	DROME14407, DROME14403, DROME14406, DROME14408, DROME14404, DROME14409, DROME14405
OG0000847	CAEEL04304, CAEEL04305, CAEEL19991	DROME16726
OG0000847	CAEEL07299	DROME03898, DROME03895, DROME03896, DROME03897
OG0000848	CAEEL08378	DROME19683
OG0000849	CAEEL04333	DROME20644, DROME20643, DROME20641, DROME20642, DROME20640, DROME20638, DROME20637, DROME20639
OG0000850	CAEEL14176, CAEEL17117, CAEEL14155, CAEEL14177, CAEEL04935	DROME12440, DROME20308, DROME12322
OG0000851	CAEEL08745	DROME20685, DROME20686
OG0000852	CAEEL08255	DROME03192, DROME03193, DROME03191, DROME08938, DROME08937
OG0000854	CAEEL03021	DROME12664, DROME12665, DROME13117, DROME13118
OG0000857	CAEEL04547	DROME20946, DROME20950, DROME20948, DROME20947, DROME20949, DROME20951
OG0000860	CAEEL09321, CAEEL18240	DROME09397, DROME09396, DROME09404, DROME09403, DROME09399, DROME09402, DROME09401, DROME09400, DROME09405, DROME09398
OG0000863	CAEEL06033, CAEEL00018, CAEEL04473, CAEEL06248	DROME11655, DROME11652, DROME11654, DROME11653, DROME11650, DROME11651
OG0000867	CAEEL18894, CAEEL20247	DROME14166
OG0000869	CAEEL04725	DROME06391
OG0000870	CAEEL05330	DROME20283
OG0000871	CAEEL00780	DROME14585
OG0000871	CAEEL00781, CAEEL13789	DROME03028
OG0000873	CAEEL01374	DROME18354, DROME18352
OG0000874	CAEEL03105	DROME04338
OG0000875	CAEEL08184, CAEEL12416	DROME01940, DROME01939, DROME06587
OG0000876	CAEEL00773, CAEEL00774	DROME08528, DROME08526, DROME08524, DROME08527, DROME08525
OG0000879	CAEEL07550	DROME00001, DROME21621, DROME11009
OG0000882	CAEEL04669	DROME12593, DROME12592, DROME12589, DROME12588, DROME12591, DROME12590
OG0000887	CAEEL20268, CAEEL06748	DROME18142, DROME18141
OG0000888	CAEEL00418	DROME13818
OG0000889	CAEEL09857, CAEEL09856	DROME20531, DROME20532
OG0000889	CAEEL07245	DROME20008
OG0000890	CAEEL12661	DROME03618, DROME03621, DROME03619, DROME03616, DROME03617, DROME03620
OG0000894	CAEEL20455	DROME08778, DROME08777
OG0000904	CAEEL10501	DROME14411, DROME14410
OG0000905	CAEEL09890	DROME11749
OG0000907	CAEEL04446, CAEEL04445	DROME01472, DROME01473, DROME01474, DROME01471
OG0000908	CAEEL18895	DROME05842, DROME05841
OG0000908	CAEEL09910	DROME15683
OG0000909	CAEEL00966	DROME21889, DROME21890, DROME21873, DROME21876, DROME21877, DROME21875, DROME19901, DROME19900
OG0000911	CAEEL15173, CAEEL12593	DROME15954, DROME15951, DROME15953, DROME15956, DROME15955, DROME15952, DROME15957
OG0000913	CAEEL03086, CAEEL09227, CAEEL01751, CAEEL17909, CAEEL04783, CAEEL08435	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275
OG0000914	CAEEL08534, CAEEL08535	DROME20954, DROME12686, DROME12687, DROME12688, DROME12689, DROME12694, DROME12693, DROME12692, DROME12691, DROME12690, DROME06233, DROME06234, DROME06235
OG0000921	CAEEL05986	DROME21958
OG0000921	CAEEL00714	DROME09824
OG0000923	CAEEL01410	DROME19914
OG0000923	CAEEL00580	DROME04554, DROME04553
OG0000925	CAEEL01239, CAEEL01153, CAEEL00968	DROME02762
OG0000925	CAEEL00439, CAEEL07058	DROME02761
OG0000927	CAEEL20274	DROME13545, DROME15912, DROME15911, DROME13544, DROME01290
OG0000929	CAEEL02357	DROME02144, DROME02147, DROME02145, DROME02146, DROME02148, DROME02143
OG0000931	CAEEL20467	DROME06107, DROME06103, DROME06106, DROME06105, DROME06104
OG0000932	CAEEL07026, CAEEL07025	DROME19600, DROME19599, DROME19601, DROME19598
OG0000933	CAEEL13637	DROME00363
OG0000934	CAEEL20095, CAEEL02005	DROME18021
OG0000934	CAEEL18567	DROME12197, DROME12198
OG0000935	CAEEL10988, CAEEL18743	DROME19387
OG0000944	CAEEL08647, CAEEL08646	DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000
OG0000945	CAEEL00537	DROME11635, DROME10522
OG0000947	CAEEL07660	DROME14910, DROME14909
OG0000949	CAEEL02872	DROME20631
OG0000950	CAEEL06912	DROME15080, DROME15081, DROME15075, DROME15077, DROME15078, DROME15076, DROME15082, DROME15083, DROME15079
OG0000952	CAEEL07628	DROME18132
OG0000954	CAEEL05990	DROME12405, DROME12406, DROME12407
OG0000955	CAEEL05680, CAEEL05073	DROME04991, DROME04992, DROME04993, DROME04990
OG0000955	CAEEL01495	DROME02414
OG0000957	CAEEL00119	DROME11550, DROME11548, DROME11549
OG0000960	CAEEL00749	DROME04151, DROME04150, DROME04154, DROME04153, DROME04158, DROME04156, DROME04161, DROME04149, DROME04152, DROME04155, DROME04157, DROME04160, DROME04159
OG0000963	CAEEL02132, CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906	DROME09182, DROME09184, DROME09183, DROME07082
OG0000965	CAEEL09524	DROME10303
OG0000965	CAEEL02685	DROME10622
OG0000967	CAEEL09409	DROME01950, DROME01951, DROME01952
OG0000969	CAEEL17140, CAEEL19686	DROME17496
OG0000972	CAEEL01404, CAEEL10528	DROME02149, DROME02155, DROME02156
OG0000974	CAEEL05136, CAEEL05137	DROME20587, DROME20537, DROME20538
OG0000976	CAEEL12118	DROME15676
OG0000978	CAEEL10436, CAEEL10678, CAEEL04915	DROME08128, DROME08129, DROME08130, DROME08127, DROME08125, DROME08126
OG0000979	CAEEL17012, CAEEL08335, CAEEL08336, CAEEL08175, CAEEL06649	DROME10162, DROME10163, DROME10160, DROME10161, DROME10164
OG0000982	CAEEL00871	DROME07397, DROME07866, DROME07869, DROME07868, DROME07870, DROME07867
OG0000984	CAEEL00142, CAEEL20825, CAEEL07596, CAEEL10900	DROME12019, DROME07638
OG0000985	CAEEL11989	DROME16403, DROME16400, DROME16401, DROME16404, DROME16402
OG0000986	CAEEL10478, CAEEL10407, CAEEL10408, CAEEL19984	DROME00033, DROME00029, DROME00034
OG0000987	CAEEL18448	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036
OG0000988	CAEEL12259, CAEEL12260, CAEEL05294	DROME19158
OG0000992	CAEEL04373	DROME02382, DROME02383
OG0000994	CAEEL01877	DROME20689
OG0000994	CAEEL05339, CAEEL08529	DROME05396
OG0000995	CAEEL01961	DROME02709, DROME02710, DROME02712, DROME02711
OG0000997	CAEEL06202	DROME00173
OG0000999	CAEEL12779, CAEEL06159	DROME05157, DROME05156
OG0001001	CAEEL19402, CAEEL20405, CAEEL20234, CAEEL19403	DROME01963, DROME01964, DROME01966, DROME01965
OG0001002	CAEEL08041	DROME16267, DROME12122, DROME12123, DROME12119, DROME12118, DROME12121, DROME12120, DROME17836, DROME17837
OG0001004	CAEEL04943	DROME18265, DROME18264
OG0001005	CAEEL01384	DROME16898
OG0001006	CAEEL08218, CAEEL00364, CAEEL10732	DROME12303
OG0001008	CAEEL05786	DROME03430, DROME03431, DROME03434, DROME03433, DROME03432, DROME03436, DROME03435, DROME03437, DROME03438
OG0001009	CAEEL20001	DROME10731
OG0001013	CAEEL16541	DROME18675, DROME18672, DROME18676, DROME18674, DROME18673
OG0001015	CAEEL16067	DROME02246
OG0001016	CAEEL09313	DROME03793
OG0001016	CAEEL08789, CAEEL11986	DROME04453
OG0001017	CAEEL09308	DROME18747, DROME18746
OG0001018	CAEEL00183	DROME08789
OG0001018	CAEEL07047	DROME19524
OG0001019	CAEEL13859, CAEEL13858	DROME18178
OG0001022	CAEEL06254, CAEEL20075, CAEEL20775	DROME02393, DROME02395, DROME02392, DROME02397, DROME02396, DROME02398, DROME02391, DROME02394, DROME02390
OG0001023	CAEEL05078	DROME07472, DROME07471
OG0001024	CAEEL11623	DROME14925
OG0001028	CAEEL01212	DROME17206, DROME17210, DROME17209, DROME17205, DROME17207, DROME17208
OG0001029	CAEEL01262	DROME15897, DROME08324
OG0001030	CAEEL11812	DROME15420, DROME15421, DROME15419
OG0001031	CAEEL12448	DROME02372
OG0001032	CAEEL20070, CAEEL15717	DROME10930, DROME10931, DROME10932
OG0001033	CAEEL10717	DROME01958
OG0001034	CAEEL07054, CAEEL07055	DROME18698, DROME18697, DROME18692, DROME18699, DROME18696, DROME18690, DROME18691, DROME18695, DROME18700, DROME18694, DROME18693
OG0001036	CAEEL18611	DROME21959
OG0001037	CAEEL18600	DROME07145, DROME07148, DROME07147, DROME07146
OG0001038	CAEEL20450	DROME06346, DROME06343, DROME06345, DROME06344
OG0001039	CAEEL08415	DROME19717, DROME19715, DROME19716, DROME12713
OG0001042	CAEEL09943	DROME12465, DROME12464, DROME12463, DROME12462
OG0001046	CAEEL19183	DROME05889
OG0001050	CAEEL14076, CAEEL15706	DROME09499, DROME09500
OG0001052	CAEEL09647	DROME00167
OG0001052	CAEEL10987	DROME01922
OG0001053	CAEEL07572, CAEEL09742	DROME11830
OG0001054	CAEEL05567	DROME21929
OG0001058	CAEEL19015	DROME00756, DROME00761, DROME00757, DROME00759, DROME00758, DROME00755, DROME00762, DROME00760, DROME00763
OG0001059	CAEEL00192	DROME05567, DROME05571, DROME05569, DROME05566, DROME05568, DROME05572, DROME05570
OG0001060	CAEEL15786	DROME06478, DROME01930
OG0001062	CAEEL08101	DROME12175, DROME12172
OG0001063	CAEEL15713, CAEEL15714	DROME16034, DROME16033
OG0001063	CAEEL08167	DROME14111
OG0001064	CAEEL18665, CAEEL17997, CAEEL05359, CAEEL16315, CAEEL04825, CAEEL15110, CAEEL20751	DROME20769
OG0001066	CAEEL12576	DROME06399
OG0001072	CAEEL08406	DROME08170
OG0001075	CAEEL11648, CAEEL18873	DROME05007, DROME05008
OG0001076	CAEEL07541	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432
OG0001077	CAEEL18659	DROME15216, DROME15217, DROME15215, DROME15218
OG0001078	CAEEL19295	DROME16039, DROME16040
OG0001079	CAEEL10503	DROME12134, DROME12135, DROME12136
OG0001082	CAEEL19080, CAEEL19079, CAEEL09741	DROME16087, DROME16088, DROME16090, DROME16089
OG0001083	CAEEL06682	DROME07895, DROME07890, DROME07893, DROME07892, DROME07896, DROME07887, DROME07888, DROME07889, DROME07891, DROME07885, DROME07886, DROME07894
OG0001084	CAEEL01831	DROME15262, DROME15263
OG0001085	CAEEL09995, CAEEL09996	DROME18407, DROME18408, DROME18409
OG0001086	CAEEL07731	DROME03964, DROME03962, DROME03963, DROME03961
OG0001091	CAEEL07358	DROME08376, DROME08378, DROME08377
OG0001092	CAEEL07387	DROME19209, DROME19207, DROME19204, DROME19205, DROME19206, DROME19208, DROME19203
OG0001093	CAEEL00637	DROME09012, DROME09005, DROME09009, DROME09004, DROME09007, DROME09010, DROME09011, DROME09006, DROME09008
OG0001094	CAEEL13053, CAEEL13054	DROME08185, DROME21556
OG0001095	CAEEL07595	DROME09258, DROME09254, DROME09255, DROME09256, DROME09257, DROME09253
OG0001096	CAEEL04621, CAEEL17752	DROME20588, DROME20589, DROME02389
OG0001101	CAEEL11585	DROME01099
OG0001102	CAEEL08853	DROME11539, DROME20883
OG0001104	CAEEL09176, CAEEL09177	DROME04004
OG0001104	CAEEL20081	DROME02777, DROME02778, DROME02350, DROME02351
OG0001108	CAEEL09307	DROME12857, DROME12858, DROME12856, DROME12855, DROME21101, DROME21100, DROME21098, DROME21099, DROME21102, DROME18011
OG0001109	CAEEL14851, CAEEL20028, CAEEL14852, CAEEL14853, CAEEL13761, CAEEL14859, CAEEL09898, CAEEL19118	DROME00590, DROME00591, DROME00592, DROME00589, DROME19273, DROME19275, DROME19274
OG0001112	CAEEL19901	DROME13039, DROME13038, DROME13037, DROME13036
OG0001113	CAEEL15158	DROME08567, DROME18531, DROME18532
OG0001113	CAEEL01128	DROME05388
OG0001113	CAEEL07385	DROME01680
OG0001114	CAEEL11582, CAEEL01758, CAEEL01759	DROME00496, DROME16340, DROME16339, DROME14934, DROME16341
OG0001116	CAEEL08324	DROME11717, DROME11714, DROME11715, DROME11716
OG0001118	CAEEL18824	DROME14402, DROME14401
OG0001119	CAEEL14710	DROME17259, DROME17271, DROME17273, DROME17270, DROME17257, DROME17260, DROME17272, DROME17265, DROME17267, DROME17258, DROME17266, DROME17262, DROME17261, DROME17268, DROME17263, DROME17264, DROME17269
OG0001123	CAEEL02049	DROME20601
OG0001124	CAEEL08814	DROME13810
OG0001126	CAEEL04859	DROME07144
OG0001127	CAEEL07664	DROME21295, DROME21293, DROME21294, DROME21292
OG0001130	CAEEL00232	DROME08159
OG0001130	CAEEL00767	DROME08055
OG0001131	CAEEL14208	DROME00544
OG0001132	CAEEL04290	DROME12585, DROME12584, DROME12583, DROME12582
OG0001133	CAEEL11641	DROME16631
OG0001133	CAEEL11294	DROME02832
OG0001135	CAEEL02069	DROME18153, DROME18152
OG0001137	CAEEL04790	DROME07212, DROME07220, DROME07223, DROME07218, DROME07213, DROME07221, DROME07215, DROME07214, DROME07216, DROME07226, DROME07219, DROME07222, DROME07224, DROME07227, DROME07229, DROME07217, DROME07228, DROME07225
OG0001138	CAEEL07800, CAEEL07799	DROME16831, DROME16832, DROME16830, DROME16829
OG0001139	CAEEL06928, CAEEL15457	DROME11285, DROME11284, DROME20784
OG0001140	CAEEL14389	DROME04492, DROME04491
OG0001141	CAEEL01107, CAEEL01106	DROME07353, DROME07352, DROME07355, DROME07354, DROME07356
OG0001142	CAEEL12657	DROME15460, DROME15458, DROME15459
OG0001143	CAEEL01013	DROME17973, DROME17969, DROME17968, DROME17972, DROME17970, DROME17971, DROME17975, DROME17976, DROME17974, DROME17978, DROME17977
OG0001148	CAEEL13935, CAEEL13934, CAEEL01993	DROME04431, DROME04432
OG0001156	CAEEL20728	DROME20509, DROME20508, DROME20507, DROME20506, DROME20511, DROME20510
OG0001158	CAEEL00147	DROME08138, DROME08137
OG0001159	CAEEL07987, CAEEL18966	DROME00704, DROME00657, DROME00658
OG0001160	CAEEL16381, CAEEL20121	DROME05833, DROME05832, DROME05835, DROME05834
OG0001161	CAEEL00221	DROME10169, DROME10171, DROME10167, DROME10168, DROME10170
OG0001162	CAEEL18096	DROME19105, DROME19103, DROME19101, DROME19104, DROME19102, DROME19106, DROME19107
OG0001163	CAEEL11823, CAEEL14454, CAEEL17374	DROME10630, DROME14555, DROME14557, DROME14693, DROME17901, DROME17899
OG0001164	CAEEL07306	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759
OG0001165	CAEEL19696	DROME20938, DROME07288
OG0001167	CAEEL04546	DROME17311
OG0001168	CAEEL02000	DROME02336
OG0001172	CAEEL13596	DROME12074, DROME12075
OG0001172	CAEEL01942	DROME11227, DROME11226
OG0001173	CAEEL15708	DROME08477, DROME08476, DROME08478, DROME08741
OG0001175	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718	DROME10674
OG0001177	CAEEL08262, CAEEL18706	DROME01933, DROME01934, DROME21906
OG0001180	CAEEL13860, CAEEL19829, CAEEL12500, CAEEL16391	DROME10923, DROME10922
OG0001180	CAEEL00751	DROME01245, DROME01246
OG0001184	CAEEL20576	DROME03279
OG0001184	CAEEL19676	DROME17805
OG0001186	CAEEL00480	DROME11811, DROME11812
OG0001186	CAEEL09703	DROME18932
OG0001188	CAEEL14362	DROME07119, DROME07117, DROME07120, DROME07116, DROME07118
OG0001191	CAEEL09751, CAEEL20476, CAEEL09505	DROME15546, DROME15547, DROME15549, DROME15548
OG0001197	CAEEL11613	DROME14364
OG0001201	CAEEL02666	DROME20824, DROME20825, DROME20823, DROME20822
OG0001203	CAEEL12408, CAEEL09769	DROME16841
OG0001204	CAEEL09132	DROME15252
OG0001208	CAEEL10574	DROME21826, DROME21829, DROME21823, DROME21824, DROME21830, DROME21827, DROME21819, DROME21821, DROME21825, DROME21822, DROME21820, DROME21828, DROME21813, DROME21818, DROME21814, DROME21817, DROME21815, DROME21816
OG0001209	CAEEL00442	DROME03307
OG0001210	CAEEL06396	DROME01292
OG0001210	CAEEL06380	DROME21654, DROME21653
OG0001211	CAEEL08708, CAEEL01747, CAEEL04910, CAEEL02891, CAEEL08232, CAEEL07906	DROME14817, DROME14816, DROME14814, DROME14815
OG0001213	CAEEL01138, CAEEL01163, CAEEL01148, CAEEL04429, CAEEL04430	DROME12028
OG0001214	CAEEL08401	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226
OG0001215	CAEEL11249	DROME05613, DROME05611, DROME05612
OG0001216	CAEEL04644	DROME20096, DROME20097, DROME20095, DROME15498
OG0001217	CAEEL08746	DROME06701
OG0001218	CAEEL20131, CAEEL14167	DROME12108, DROME12211, DROME12213, DROME12212
OG0001219	CAEEL20379	DROME17625, DROME17624, DROME17623, DROME17626, DROME17619, DROME17620, DROME17618, DROME17621, DROME17622, DROME17627, DROME17628
OG0001220	CAEEL07890	DROME02744, DROME20493, DROME20492
OG0001221	CAEEL13124	DROME09514
OG0001223	CAEEL02795	DROME08781, DROME08780
OG0001225	CAEEL02873	DROME13797, DROME13796, DROME13795, DROME13790, DROME13789, DROME13791, DROME13793, DROME13792, DROME13788, DROME13794
OG0001226	CAEEL02848, CAEEL02849	DROME09885, DROME09884, DROME09883, DROME09882
OG0001231	CAEEL15401	DROME17241, DROME17722, DROME17723, DROME17725, DROME17724
OG0001234	CAEEL00806	DROME10228, DROME10226, DROME10225, DROME10229, DROME10230, DROME10227, DROME10232, DROME10231
OG0001236	CAEEL18476, CAEEL18477, CAEEL05637, CAEEL05588	DROME06609, DROME04424, DROME20964
OG0001238	CAEEL05166, CAEEL11182	DROME21058, DROME14293, DROME05136, DROME05137, DROME05138, DROME14291, DROME14292
OG0001239	CAEEL12011	DROME18412, DROME18411, DROME18415, DROME18413, DROME18414
OG0001241	CAEEL01749	DROME02596
OG0001241	CAEEL19375	DROME03537
OG0001243	CAEEL01806	DROME15537, DROME15539, DROME15534, DROME15540, DROME15538, DROME15536, DROME15535
OG0001244	CAEEL12407	DROME15047
OG0001244	CAEEL20165, CAEEL12480, CAEEL20162, CAEEL20164, CAEEL11488, CAEEL15771, CAEEL15366	DROME00314, DROME03813, DROME14424, DROME00499, DROME03809, DROME02175, DROME02174, DROME08742, DROME03464, DROME17576, DROME01734, DROME01735, DROME01736, DROME16041, DROME10132, DROME10131
OG0001247	CAEEL10570	DROME18852
OG0001248	CAEEL08830	DROME02625, DROME02624, DROME02623
OG0001249	CAEEL06406	DROME05745, DROME05744, DROME04456, DROME04455
OG0001250	CAEEL18712	DROME10391, DROME10390, DROME10392
OG0001251	CAEEL10205	DROME08364
OG0001251	CAEEL01802	DROME04532
OG0001253	CAEEL10888, CAEEL10887	DROME16727, DROME02601
OG0001254	CAEEL00935	DROME22031, DROME22029, DROME22030, DROME22035, DROME22032, DROME22034, DROME22036, DROME22038, DROME22037, DROME22033
OG0001256	CAEEL01426, CAEEL01244, CAEEL01245, CAEEL09738, CAEEL10917, CAEEL07997	DROME16302, DROME16304, DROME16303, DROME16300, DROME16301
OG0001261	CAEEL07850	DROME00542, DROME00543, DROME00540, DROME00541
OG0001262	CAEEL15249, CAEEL20627	DROME20437, DROME01661
OG0001266	CAEEL07143	DROME19377
OG0001267	CAEEL14111	DROME13068
OG0001268	CAEEL11342	DROME04920, DROME04921
OG0001270	CAEEL01959	DROME12379, DROME02961
OG0001271	CAEEL08717, CAEEL00634	DROME20484
OG0001272	CAEEL07720, CAEEL09293	DROME17237, DROME17236, DROME17235, DROME17243
OG0001274	CAEEL20835, CAEEL00917, CAEEL15316, CAEEL07981	DROME06585, DROME06586, DROME06584
OG0001278	CAEEL10735	DROME15730
OG0001279	CAEEL15321, CAEEL15322, CAEEL20353	DROME15211, DROME15210
OG0001280	CAEEL00726	DROME15706
OG0001281	CAEEL05459	DROME19100
OG0001282	CAEEL04296	DROME04060, DROME04059, DROME04058
OG0001284	CAEEL01272	DROME05418
OG0001286	CAEEL20246	DROME11490, DROME11489, DROME11491
OG0001287	CAEEL16475	DROME15976, DROME15975, DROME04476
OG0001288	CAEEL18355	DROME19787, DROME09388, DROME09389
OG0001290	CAEEL12279	DROME13148, DROME13147, DROME10925, DROME10926, DROME10924
OG0001291	CAEEL11483	DROME21166, DROME21165, DROME18055, DROME18056
OG0001292	CAEEL07942	DROME20956
OG0001293	CAEEL07048	DROME19380, DROME19378, DROME19379
OG0001294	CAEEL15893	DROME19278
OG0001296	CAEEL00003, CAEEL14758	DROME21670, DROME21668, DROME21671, DROME21667, DROME21666, DROME21669
OG0001297	CAEEL07748, CAEEL07749	DROME13456, DROME08203, DROME08204
OG0001300	CAEEL09562	DROME21326, DROME21325, DROME21324
OG0001302	CAEEL01736	DROME00539
OG0001304	CAEEL00728	DROME00069, DROME00065, DROME00070, DROME00066, DROME00067, DROME00068
OG0001305	CAEEL19700	DROME04834, DROME04832, DROME04829, DROME04830, DROME04835, DROME04836, DROME04825, DROME04826, DROME04833, DROME04837, DROME04827, DROME04838, DROME04828, DROME04839, DROME04831
OG0001306	CAEEL06741	DROME08751, DROME08752
OG0001310	CAEEL16286	DROME15600
OG0001311	CAEEL07271, CAEEL18160	DROME20740, DROME20738, DROME20739, DROME20741
OG0001315	CAEEL20540	DROME16592
OG0001318	CAEEL06153	DROME17213
OG0001318	CAEEL02686	DROME09513
OG0001319	CAEEL15967	DROME01307
OG0001323	CAEEL15888	DROME18781, DROME18779, DROME18782, DROME18780
OG0001325	CAEEL12980	DROME14232
OG0001326	CAEEL18463, CAEEL12672, CAEEL19447	DROME03927
OG0001330	CAEEL07772	DROME21688, DROME21687, DROME21684, DROME21685, DROME21686, DROME21683
OG0001332	CAEEL00462	DROME01823
OG0001332	CAEEL04986, CAEEL04987	DROME19220, DROME11272
OG0001333	CAEEL08384, CAEEL10397, CAEEL14152, CAEEL14148, CAEEL14153	DROME11917, DROME07724, DROME09080, DROME09081, DROME11916, DROME20312, DROME20313, DROME18937
OG0001335	CAEEL01950	DROME08039, DROME08040, DROME08041, DROME08038, DROME08042
OG0001337	CAEEL08858	DROME20158
OG0001339	CAEEL01555	DROME19223, DROME16443, DROME14812, DROME07497, DROME07496
OG0001341	CAEEL12273	DROME00588, DROME19896, DROME19897, DROME19895
OG0001344	CAEEL12166	DROME04657, DROME04656
OG0001348	CAEEL20290	DROME03492, DROME03491, DROME03495, DROME03494, DROME03493, DROME03496
OG0001350	CAEEL06068	DROME03240, DROME03239
OG0001350	CAEEL05555	DROME20607
OG0001351	CAEEL20071, CAEEL20072	DROME16250, DROME16247, DROME16248, DROME16245, DROME16246, DROME16249
OG0001353	CAEEL07231	DROME12504, DROME12505
OG0001354	CAEEL18385	DROME19155, DROME19156
OG0001355	CAEEL19633	DROME18115
OG0001356	CAEEL10619	DROME04210, DROME04209, DROME04208, DROME04203, DROME04201, DROME04202
OG0001359	CAEEL02703	DROME20396, DROME20399, DROME20398, DROME20397
OG0001360	CAEEL17002, CAEEL19681, CAEEL19680	DROME16475, DROME16474, DROME01288, DROME01289
OG0001361	CAEEL05269, CAEEL05268	DROME10441
OG0001363	CAEEL12526, CAEEL18947, CAEEL08666, CAEEL12684, CAEEL11272	DROME20227, DROME20225, DROME20226, DROME20228, DROME00044
OG0001364	CAEEL16269	DROME18347, DROME18348
OG0001366	CAEEL07140	DROME19931, DROME19932, DROME19933, DROME19934
OG0001367	CAEEL16176	DROME04540, DROME04542, DROME04539, DROME04538, DROME04541, DROME04537, DROME04535, DROME04534, DROME04536
OG0001368	CAEEL15247	DROME00518, DROME00521, DROME00519, DROME00520
OG0001370	CAEEL11201	DROME10125, DROME10122, DROME10123, DROME10124, DROME10126
OG0001372	CAEEL04824, CAEEL16917	DROME06987
OG0001373	CAEEL18831	DROME15869, DROME15867, DROME15866, DROME15868
OG0001375	CAEEL01718	DROME12544
OG0001376	CAEEL18806	DROME18505, DROME18503, DROME18507, DROME18504, DROME18508, DROME18506
OG0001378	CAEEL01898	DROME14090, DROME14089
OG0001379	CAEEL20800, CAEEL08440	DROME02340
OG0001381	CAEEL01510	DROME21356, DROME21357, DROME21358, DROME21359, DROME20082, DROME20083, DROME20084
OG0001383	CAEEL18479	DROME08849, DROME08848, DROME08850, DROME08851
OG0001386	CAEEL05969, CAEEL04816	DROME03356
OG0001387	CAEEL01449, CAEEL05040, CAEEL06498	DROME05645, DROME05642, DROME05649, DROME05647, DROME05648, DROME05643, DROME05641, DROME05646, DROME05644, DROME05640
OG0001388	CAEEL06695	DROME19691
OG0001389	CAEEL06582	DROME08448, DROME08449, DROME08447
OG0001394	CAEEL16146	DROME15845, DROME15844, DROME15847, DROME15846, DROME15843, DROME15848
OG0001395	CAEEL01604	DROME22042
OG0001397	CAEEL05815, CAEEL05422, CAEEL16780, CAEEL05924, CAEEL19916	DROME12938
OG0001397	CAEEL19290	DROME12061
OG0001398	CAEEL14339	DROME00533
OG0001399	CAEEL00972	DROME18551, DROME15177
OG0001402	CAEEL04844, CAEEL04850	DROME21039
OG0001404	CAEEL15778	DROME05603
OG0001405	CAEEL00987	DROME06373
OG0001405	CAEEL02297	DROME02126
OG0001408	CAEEL19513	DROME21635, DROME21636, DROME21634
OG0001409	CAEEL02567	DROME18923, DROME18920, DROME18919, DROME18918, DROME18921, DROME18927, DROME18922, DROME18926, DROME18925, DROME18924, DROME18107
OG0001410	CAEEL16277	DROME00626
OG0001411	CAEEL07405	DROME13591, DROME09768, DROME09769
OG0001413	CAEEL08368	DROME21681, DROME21682
OG0001413	CAEEL04716	DROME17078
OG0001414	CAEEL13823	DROME16698, DROME16697, DROME00599
OG0001417	CAEEL02921	DROME04528
OG0001418	CAEEL11722	DROME11411
OG0001421	CAEEL14241	DROME08210
OG0001422	CAEEL06778	DROME19262, DROME19263
OG0001423	CAEEL18493	DROME11161, DROME11163, DROME11162
OG0001424	CAEEL12121	DROME10397
OG0001424	CAEEL10850	DROME21291
OG0001425	CAEEL12269, CAEEL12270, CAEEL12268, CAEEL12271	DROME10455
OG0001426	CAEEL06005, CAEEL06004	DROME16504, DROME16505
OG0001428	CAEEL05279	DROME00299, DROME00300
OG0001429	CAEEL04279	DROME15859, DROME15858
OG0001430	CAEEL14236	DROME14607, DROME14606
OG0001431	CAEEL01932, CAEEL07478	DROME08311, DROME08313, DROME08312
OG0001432	CAEEL18746	DROME12684, DROME12683, DROME12682, DROME12685
OG0001433	CAEEL01226	DROME07801, DROME07778, DROME07641, DROME07752, DROME07757, DROME06719, DROME06720, DROME07755, DROME07754, DROME07756, DROME07764
OG0001436	CAEEL01644, CAEEL01645	DROME09793, DROME09790, DROME09795, DROME09794, DROME09791, DROME09792, DROME09796, DROME09798, DROME09802, DROME09801, DROME09800, DROME09799, DROME09803, DROME09797, DROME09805, DROME09804
OG0001437	CAEEL01346, CAEEL01345	DROME11504, DROME11507, DROME11506, DROME11505, DROME12503, DROME12502
OG0001440	CAEEL02919	DROME00857, DROME00860, DROME00861, DROME00859, DROME00858
