Orthogroup	CAEEL	DROME
OG0000015	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329
OG0000015	CAEEL09145	DROME20983
OG0000015	CAEEL15587	DROME11913
OG0000015	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	CAEEL18647	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000019	CAEEL19797	DROME02971
OG0000019	CAEEL15403	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	CAEEL00627	DROME11466, DROME11467
OG0000020	CAEEL05927	DROME07045, DROME07043, DROME07044, DROME07042, DROME03151, DROME03150
OG0000020	CAEEL09273	DROME14454, DROME14455
OG0000021	CAEEL15603	DROME18320, DROME18321
OG0000021	CAEEL08491	DROME06512, DROME06511
OG0000021	CAEEL00422	DROME08269
OG0000021	CAEEL00784, CAEEL15377	DROME08091
OG0000026	CAEEL07477	DROME19866, DROME19867
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076	DROME09420
OG0000028	CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000029	CAEEL11851	DROME19091
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	DROME15149
OG0000030	CAEEL04353	DROME11112, DROME11110, DROME11113, DROME11111, DROME02191, DROME02193, DROME02192, DROME12173, DROME12176
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	DROME12965
OG0000031	CAEEL02023	DROME19945, DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	CAEEL07076	DROME09230
OG0000032	CAEEL19615	DROME02386
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	DROME01213
OG0000034	CAEEL07900	DROME20092, DROME20090, DROME20091
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	CAEEL01132	DROME13496
OG0000034	CAEEL03140, CAEEL03141	DROME18268, DROME18267, DROME18266, DROME18269
OG0000035	CAEEL01943	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	CAEEL04743, CAEEL01696, CAEEL19995, CAEEL19624	DROME18635
OG0000036	CAEEL18405, CAEEL11240	DROME18108, DROME18109
OG0000036	CAEEL15057	DROME02324, DROME17378, DROME11305
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	CAEEL03654	DROME13887, DROME14759, DROME14760
OG0000037	CAEEL05341, CAEEL09278, CAEEL15847, CAEEL18667, CAEEL08354, CAEEL04132, CAEEL01670, CAEEL16210, CAEEL20299	DROME20237
OG0000037	CAEEL17375, CAEEL15833, CAEEL14419, CAEEL11118, CAEEL19473, CAEEL15437, CAEEL08950, CAEEL19908, CAEEL17993	DROME07468, DROME07469
OG0000037	CAEEL09012	DROME08695
OG0000037	CAEEL08645	DROME15640, DROME04516
OG0000038	CAEEL01554	DROME10442
OG0000038	CAEEL07106	DROME13993
OG0000039	CAEEL01485	DROME20809, DROME20808, DROME20806, DROME20807
OG0000039	CAEEL18993	DROME03375, DROME03374, DROME03372, DROME03373
OG0000040	CAEEL07223, CAEEL10049, CAEEL07225, CAEEL07224, CAEEL07229, CAEEL20365, CAEEL20227, CAEEL05468, CAEEL05498, CAEEL09191, CAEEL09190, CAEEL05505, CAEEL05502, CAEEL05503, CAEEL05501, CAEEL05504, CAEEL05500, CAEEL05506, CAEEL18896	DROME20303
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121	DROME00693, DROME00694, DROME00695, DROME00691, DROME00692, DROME01788, DROME01789
OG0000041	CAEEL05494	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445
OG0000043	CAEEL15122	DROME03726, DROME03741, DROME03696, DROME03781, DROME03716, DROME03731, DROME03721, DROME03706, DROME03711, DROME03751, DROME03746, DROME03678, DROME03736, DROME03701, DROME03687, DROME03756, DROME03776, DROME03766, DROME03761, DROME03771
OG0000044	CAEEL19801	DROME15544, DROME11199
OG0000044	CAEEL08025	DROME00597
OG0000048	CAEEL16396	DROME15613
OG0000051	CAEEL19606, CAEEL18565	DROME06654, DROME06655
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	CAEEL16985, CAEEL06374, CAEEL13227, CAEEL14665, CAEEL12767, CAEEL15574, CAEEL15151	DROME00973, DROME00974, DROME00972, DROME04820, DROME04821, DROME04822
OG0000055	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738, CAEEL14858	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000058	CAEEL06550	DROME14598
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000059	CAEEL06767	DROME04929, DROME02944, DROME02943
OG0000060	CAEEL08516	DROME07035, DROME07034, DROME07036, DROME07859, DROME07858, DROME04014, DROME07857, DROME07856, DROME07855, DROME07854, DROME18200, DROME07037, DROME07038, DROME04458, DROME04457, DROME19175, DROME06539, DROME06538, DROME20480, DROME07291, DROME06112, DROME00867, DROME00220
OG0000060	CAEEL20840	DROME15948
OG0000060	CAEEL08749, CAEEL08751, CAEEL08470	DROME00430
OG0000061	CAEEL08422	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	CAEEL07898	DROME18900, DROME18901, DROME18899
OG0000062	CAEEL02955	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	CAEEL05773	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406
OG0000063	CAEEL04400	DROME10983, DROME10982
OG0000065	CAEEL04467	DROME22058
OG0000068	CAEEL09504	DROME18366, DROME18368, DROME18367
OG0000068	CAEEL06439	DROME18209
OG0000069	CAEEL14766, CAEEL06233	DROME03713
OG0000069	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699	DROME03718
OG0000070	CAEEL02606	DROME04912
OG0000070	CAEEL19861	DROME17588, DROME17589, DROME19032
OG0000071	CAEEL12109	DROME13274, DROME13275
OG0000071	CAEEL07848, CAEEL20562, CAEEL18107	DROME14965, DROME21550, DROME16775, DROME16543, DROME02809, DROME02810, DROME02811, DROME02814, DROME02808, DROME02812
OG0000072	CAEEL07368	DROME12247, DROME12248
OG0000075	CAEEL11291	DROME04883, DROME04882
OG0000077	CAEEL18883	DROME15696, DROME15698, DROME15697
OG0000077	CAEEL06904	DROME07079, DROME07077, DROME07078
OG0000077	CAEEL18420	DROME18051
OG0000077	CAEEL20549, CAEEL20548	DROME15502, DROME15501, DROME12670
OG0000078	CAEEL18404	DROME15695
OG0000079	CAEEL18822	DROME14752
OG0000079	CAEEL09849	DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316
OG0000079	CAEEL10489	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	CAEEL07248	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000082	CAEEL18954, CAEEL04897	DROME20298
OG0000082	CAEEL13927	DROME05998
OG0000082	CAEEL12687	DROME11174, DROME11173, DROME15008
OG0000082	CAEEL01784, CAEEL05942, CAEEL05941	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705
OG0000084	CAEEL19682, CAEEL11723, CAEEL19532, CAEEL12802, CAEEL16493, CAEEL20091, CAEEL20155, CAEEL18755	DROME12251
OG0000084	CAEEL10610, CAEEL18185	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	CAEEL10264	DROME09544
OG0000084	CAEEL10989	DROME17344, DROME17343, DROME17345
OG0000084	CAEEL08514, CAEEL10452	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833
OG0000085	CAEEL07542	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	CAEEL03085	DROME00999, DROME00998, DROME01000
OG0000085	CAEEL08077	DROME19740
OG0000087	CAEEL16056	DROME08842
OG0000090	CAEEL18451	DROME02752
OG0000090	CAEEL10114	DROME00161, DROME00160, DROME00159, DROME00158, DROME16241, DROME16240, DROME16239
OG0000091	CAEEL16358, CAEEL07359	DROME20804
OG0000091	CAEEL05045	DROME00247, DROME16587, DROME05722, DROME16586, DROME16589, DROME16588, DROME21691, DROME21692, DROME21693, DROME16133, DROME19941
OG0000094	CAEEL10719	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	CAEEL18425	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	CAEEL16530	DROME09894
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	DROME01438
OG0000095	CAEEL03536	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771
OG0000096	CAEEL16555	DROME08195, DROME08196
OG0000096	CAEEL11088	DROME08870
OG0000096	CAEEL08533	DROME13163
OG0000096	CAEEL11776	DROME13915
OG0000096	CAEEL06051	DROME09341
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000099	CAEEL07999, CAEEL08340	DROME10335, DROME10334, DROME09743
OG0000099	CAEEL05000, CAEEL01295	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000103	CAEEL01469, CAEEL18445	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000104	CAEEL04070	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	CAEEL18800	DROME16895, DROME16894, DROME16546, DROME16548, DROME16547, DROME16549, DROME17321, DROME17322
OG0000106	CAEEL20256	DROME19783
OG0000106	CAEEL19130, CAEEL20701	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000110	CAEEL18731, CAEEL15167	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727
OG0000111	CAEEL20845	DROME11971, DROME11972, DROME11973, DROME11975
OG0000113	CAEEL13863	DROME13618
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000114	CAEEL03306, CAEEL13040	DROME08662, DROME08648, DROME08661, DROME08653, DROME08652, DROME08663, DROME08649, DROME08654, DROME08664, DROME08658, DROME08655, DROME08660, DROME08657, DROME08659, DROME08656
OG0000114	CAEEL18136	DROME04013, DROME04512, DROME04513
OG0000116	CAEEL14875	DROME05231
OG0000117	CAEEL07433	DROME17123
OG0000119	CAEEL08480	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	CAEEL08396	DROME21220, DROME21219
OG0000120	CAEEL10779, CAEEL14431	DROME15700
OG0000120	CAEEL15157	DROME00682
OG0000120	CAEEL10840	DROME04710
OG0000122	CAEEL01544	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000124	CAEEL19897	DROME17463
OG0000124	CAEEL04963	DROME21734
OG0000126	CAEEL08841, CAEEL04611	DROME01805, DROME01804
OG0000126	CAEEL09101	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804
OG0000126	CAEEL10194	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471
OG0000127	CAEEL20452	DROME11205, DROME11204
OG0000127	CAEEL00838	DROME08158
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	DROME07177, DROME07176, DROME07178, DROME10520
OG0000131	CAEEL08663	DROME18073, DROME18075, DROME18074
OG0000141	CAEEL09688	DROME20863, DROME21161
OG0000142	CAEEL15831	DROME09730
OG0000142	CAEEL19259	DROME08254, DROME08253
OG0000142	CAEEL08844, CAEEL07256, CAEEL07175	DROME17530, DROME17531
OG0000147	CAEEL04811	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556
OG0000147	CAEEL18488	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266
OG0000148	CAEEL09804	DROME19762, DROME19761, DROME19763
OG0000149	CAEEL15543, CAEEL15991, CAEEL08694	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236
OG0000154	CAEEL02932	DROME12872, DROME12871
OG0000157	CAEEL00241	DROME05618, DROME05617, DROME05616
OG0000157	CAEEL20182	DROME11709
OG0000157	CAEEL01390	DROME05150, DROME05149
OG0000158	CAEEL20117, CAEEL08684	DROME06825, DROME06824
OG0000159	CAEEL02031	DROME09571, DROME09570
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	DROME18430, DROME18431, DROME18429, DROME21524, DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353
OG0000163	CAEEL08313	DROME12520
OG0000163	CAEEL20194, CAEEL08850	DROME06781, DROME06782, DROME13860, DROME19834, DROME00819, DROME01561, DROME16444
OG0000164	CAEEL17300, CAEEL20334, CAEEL08421, CAEEL05391, CAEEL18768, CAEEL06090, CAEEL13575, CAEEL06317, CAEEL13576, CAEEL13551, CAEEL06316, CAEEL13587, CAEEL13550, CAEEL06318, CAEEL20325, CAEEL20324, CAEEL06001, CAEEL06002, CAEEL09114, CAEEL05510, CAEEL06315	DROME13554, DROME13556, DROME13557, DROME13558, DROME13555, DROME13562, DROME13560, DROME14237, DROME13430, DROME13559, DROME14238, DROME13561
OG0000167	CAEEL02846	DROME04018, DROME04019
OG0000167	CAEEL00196	DROME09457, DROME09458
OG0000168	CAEEL10744, CAEEL09425, CAEEL11389, CAEEL18543, CAEEL05482	DROME00156, DROME00157
OG0000168	CAEEL19018	DROME01783
OG0000171	CAEEL00910, CAEEL20651, CAEEL11480	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495
OG0000172	CAEEL04412	DROME05153, DROME05152, DROME05600, DROME14157, DROME11999, DROME15739, DROME15740, DROME07019, DROME09308
OG0000173	CAEEL04156	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315
OG0000175	CAEEL19241	DROME19671, DROME02329, DROME16486, DROME16483
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	DROME03593, DROME00840
OG0000179	CAEEL13640	DROME11221, DROME21050
OG0000179	CAEEL02965, CAEEL06713	DROME07796
OG0000179	CAEEL19466, CAEEL07193	DROME10428
OG0000180	CAEEL03002, CAEEL02981, CAEEL03753	DROME12336
OG0000181	CAEEL07684	DROME12775
OG0000181	CAEEL10858	DROME18397
OG0000181	CAEEL12632	DROME06226
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193
OG0000183	CAEEL18435	DROME07008, DROME18789
OG0000185	CAEEL14200	DROME12225, DROME12226
OG0000186	CAEEL00795, CAEEL05654	DROME18591
OG0000186	CAEEL13010	DROME05503, DROME05502
OG0000188	CAEEL20699	DROME16886, DROME16887
OG0000192	CAEEL12807, CAEEL08571, CAEEL01050, CAEEL02365	DROME21955, DROME21954, DROME21953, DROME11894
OG0000193	CAEEL18944	DROME21697, DROME21696, DROME21698
OG0000193	CAEEL09482, CAEEL14826	DROME10361, DROME10367, DROME10365, DROME10363, DROME01919, DROME10366, DROME10368, DROME10364, DROME09981
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	DROME14335, DROME14334, DROME14336
OG0000198	CAEEL03057, CAEEL05629, CAEEL09718	DROME17687
OG0000200	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144
OG0000201	CAEEL07587	DROME19450
OG0000202	CAEEL20283	DROME14920, DROME14921
OG0000202	CAEEL09165	DROME20996, DROME21000, DROME20998, DROME20995, DROME20999, DROME20994, DROME20997, DROME21001
OG0000203	CAEEL09812	DROME17201, DROME17204, DROME17194, DROME17195, DROME17203, DROME17199, DROME17193, DROME21480, DROME04557, DROME10212, DROME03275
OG0000205	CAEEL13029	DROME20772, DROME20771, DROME20775, DROME20777, DROME20773, DROME20774, DROME20776
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	DROME08187
OG0000207	CAEEL00203	DROME06000
OG0000208	CAEEL08447, CAEEL07330, CAEEL20488, CAEEL08722	DROME12015, DROME12014, DROME15899, DROME15900, DROME15901
OG0000210	CAEEL19469	DROME14047, DROME11376
OG0000211	CAEEL15290	DROME17290
OG0000211	CAEEL02311	DROME21074, DROME21072, DROME21073, DROME21071, DROME17069, DROME17072, DROME17070, DROME17071, DROME17068
OG0000220	CAEEL07565, CAEEL08758	DROME16094, DROME16093, DROME16092, DROME21087, DROME21089, DROME21088
OG0000225	CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	DROME11929
OG0000226	CAEEL12318	DROME14660
OG0000226	CAEEL10068, CAEEL15041	DROME15107, DROME15108, DROME15106, DROME15105
OG0000227	CAEEL19645	DROME20242, DROME06362, DROME06368, DROME06369, DROME06365, DROME04927, DROME04926
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	DROME04047
OG0000230	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825	DROME03186
OG0000230	CAEEL13030	DROME09028, DROME09029
OG0000231	CAEEL08481	DROME06449, DROME06448
OG0000231	CAEEL01724	DROME07628, DROME07629
OG0000231	CAEEL09666, CAEEL09673	DROME20858
OG0000232	CAEEL18532, CAEEL19887	DROME02286, DROME02285, DROME02281, DROME02282
OG0000234	CAEEL02295	DROME11138, DROME11135, DROME11141, DROME11133, DROME11139, DROME11144, DROME11137, DROME11134, DROME11136, DROME11140, DROME11145, DROME11132, DROME11143
OG0000234	CAEEL03013, CAEEL03014	DROME02357, DROME02356, DROME02359, DROME02355, DROME02358, DROME02367, DROME02366, DROME02368, DROME02364, DROME02365
OG0000235	CAEEL10795, CAEEL07012	DROME11735
OG0000236	CAEEL19835	DROME03355
OG0000238	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387, CAEEL15431	DROME01901, DROME01902
OG0000239	CAEEL14926	DROME19712, DROME19710, DROME19709, DROME19707, DROME19705, DROME19704, DROME19703, DROME19706, DROME19702, DROME19701, DROME19711, DROME19708
OG0000239	CAEEL00570	DROME03549, DROME03548, DROME03550, DROME03551
OG0000242	CAEEL05302	DROME19192, DROME19194, DROME19193, DROME19191, DROME20266, DROME20267, DROME20264, DROME20265
OG0000243	CAEEL13597, CAEEL13598	DROME04743, DROME04742, DROME04744
OG0000245	CAEEL20391, CAEEL19086, CAEEL18097	DROME16573, DROME16572, DROME16571, DROME16570, DROME16517, DROME16515, DROME16518, DROME16516, DROME16514
OG0000246	CAEEL00493, CAEEL00494	DROME18580
OG0000248	CAEEL17077	DROME05927, DROME05926, DROME05929, DROME05928
OG0000249	CAEEL02928	DROME06788, DROME01687, DROME01688, DROME01683, DROME01684, DROME01686, DROME01685
OG0000249	CAEEL00206	DROME06506, DROME06505, DROME06488, DROME06489, DROME06490
OG0000250	CAEEL11963	DROME14382
OG0000250	CAEEL07261	DROME11256, DROME11255, DROME11257
OG0000251	CAEEL03667	DROME19364
OG0000251	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207	DROME12998, DROME12997
OG0000255	CAEEL05168	DROME15943
OG0000255	CAEEL05715	DROME20722, DROME05791, DROME18596
OG0000256	CAEEL11937, CAEEL19468	DROME08251, DROME08252, DROME07911, DROME07910, DROME02059, DROME02058
OG0000257	CAEEL01910, CAEEL15386	DROME01840, DROME01838, DROME01839, DROME01837
OG0000258	CAEEL19537	DROME06596, DROME06597, DROME06595, DROME06598, DROME06594
OG0000258	CAEEL09342	DROME20383
OG0000258	CAEEL15770	DROME17641, DROME17639, DROME17640
OG0000260	CAEEL11482	DROME17607, DROME17608, DROME17606, DROME16635, DROME16636
OG0000261	CAEEL20767	DROME06684, DROME06680, DROME06690, DROME06687, DROME06691, DROME06685, DROME06688, DROME06681, DROME06686, DROME06689, DROME06679, DROME06682, DROME06683
OG0000265	CAEEL20581	DROME20971, DROME20976, DROME20973, DROME20972, DROME20977, DROME20974, DROME20975
OG0000265	CAEEL10364	DROME00452
OG0000266	CAEEL02705, CAEEL19379, CAEEL09158	DROME07807
OG0000268	CAEEL08931	DROME06261, DROME06262
OG0000268	CAEEL09209	DROME06544, DROME06542, DROME06543
OG0000268	CAEEL08164	DROME00943, DROME00944
OG0000268	CAEEL07325	DROME04196
OG0000270	CAEEL16185, CAEEL17969, CAEEL17970	DROME17880
OG0000271	CAEEL07236	DROME19668, DROME19667
OG0000272	CAEEL11804, CAEEL19905	DROME05031, DROME05029, DROME05030
