Orthogroup	CAEEL	NEMVE
OG0000005	CAEEL01924	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445
OG0000005	CAEEL17405, CAEEL08039, CAEEL04792	NEMVE05730
OG0000006	CAEEL20510	NEMVE02889
OG0000006	CAEEL18976	NEMVE10951
OG0000006	CAEEL19824	NEMVE06918
OG0000006	CAEEL07700	NEMVE02590
OG0000006	CAEEL05532	NEMVE03392, NEMVE06316
OG0000006	CAEEL01533	NEMVE14647
OG0000006	CAEEL19718	NEMVE02879
OG0000006	CAEEL12101	NEMVE04712
OG0000006	CAEEL00153	NEMVE13538
OG0000006	CAEEL17819	NEMVE09477, NEMVE18497, NEMVE09475
OG0000006	CAEEL15182	NEMVE08464
OG0000007	CAEEL04050	NEMVE14764
OG0000007	CAEEL17965	NEMVE13570
OG0000007	CAEEL05829	NEMVE06210
OG0000007	CAEEL01108	NEMVE16064
OG0000007	CAEEL01984	NEMVE02349
OG0000007	CAEEL10238, CAEEL04602	NEMVE09056, NEMVE09467, NEMVE03824
OG0000007	CAEEL18586	NEMVE05677
OG0000008	CAEEL19465, CAEEL14382	NEMVE10754
OG0000010	CAEEL10534	NEMVE02447, NEMVE13495
OG0000010	CAEEL04259	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063
OG0000010	CAEEL10902	NEMVE02242, NEMVE11743, NEMVE12341, NEMVE07633, NEMVE13907, NEMVE21895, NEMVE07143, NEMVE08133, NEMVE19437, NEMVE19436, NEMVE21842, NEMVE09816, NEMVE06238, NEMVE08032, NEMVE05308, NEMVE21754, NEMVE07621, NEMVE09784, NEMVE21928, NEMVE07022, NEMVE00173, NEMVE08008, NEMVE22478, NEMVE16037, NEMVE06770, NEMVE17848
OG0000012	CAEEL14039, CAEEL14036, CAEEL14035, CAEEL14043, CAEEL14262, CAEEL14332, CAEEL14331, CAEEL14330, CAEEL14630, CAEEL00027, CAEEL07052, CAEEL18698	NEMVE01141, NEMVE23855, NEMVE18011, NEMVE02074
OG0000012	CAEEL19132, CAEEL18995	NEMVE10753
OG0000013	CAEEL19127	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977
