Orthogroup	CAEEL	SCHMD
OG0000007	CAEEL18586	SCHMD02246
OG0000010	CAEEL10902	SCHMD02594, SCHMD02592
OG0000011	CAEEL08004	SCHMD25643
OG0000012	CAEEL06401, CAEEL06400, CAEEL00461, CAEEL20690	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000014	CAEEL20221	SCHMD22676, SCHMD26730
OG0000014	CAEEL18775, CAEEL20303, CAEEL13313, CAEEL13287, CAEEL04834, CAEEL20733	SCHMD25903, SCHMD23025, SCHMD25904, SCHMD07386, SCHMD27174, SCHMD27072, SCHMD26433, SCHMD26360, SCHMD08949, SCHMD06657, SCHMD08950, SCHMD10401, SCHMD15215, SCHMD08948, SCHMD27260, SCHMD22821, SCHMD18998, SCHMD27894, SCHMD21669, SCHMD28940, SCHMD25178, SCHMD18458, SCHMD17107, SCHMD17106, SCHMD04686, SCHMD16431, SCHMD18460, SCHMD25052, SCHMD18459, SCHMD25054, SCHMD25184, SCHMD28601, SCHMD23423, SCHMD23923, SCHMD18997, SCHMD16115
OG0000015	CAEEL15587	SCHMD18317, SCHMD16528, SCHMD16031
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	SCHMD13029, SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350
OG0000016	CAEEL18647	SCHMD16694
OG0000019	CAEEL19797	SCHMD23009
OG0000020	CAEEL07399	SCHMD01272
OG0000020	CAEEL00627	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	CAEEL08491	SCHMD14458
OG0000021	CAEEL00784	SCHMD09793
OG0000021	CAEEL15377	SCHMD07893
OG0000023	CAEEL13426	SCHMD05376
OG0000023	CAEEL20104	SCHMD14075
OG0000026	CAEEL07477	SCHMD02068, SCHMD03522
OG0000026	CAEEL09711	SCHMD00612
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076	SCHMD06702, SCHMD02905, SCHMD16738
OG0000028	CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000029	CAEEL20320	SCHMD15862
