Orthogroup	CAEEL	SCHMD
OG0001018	CAEEL00183	SCHMD08153
OG0001019	CAEEL13859, CAEEL13858	SCHMD15171
OG0001023	CAEEL05078	SCHMD07708, SCHMD18630, SCHMD28291, SCHMD19902
OG0001026	CAEEL04538	SCHMD14301
OG0001028	CAEEL01212	SCHMD01474, SCHMD11482
OG0001029	CAEEL01262	SCHMD04839, SCHMD00804, SCHMD00805
OG0001030	CAEEL11812	SCHMD08463, SCHMD08462, SCHMD08464
OG0001031	CAEEL12448	SCHMD14040, SCHMD09371, SCHMD16991, SCHMD19644
OG0001032	CAEEL20070, CAEEL15717	SCHMD15671, SCHMD16553, SCHMD24305, SCHMD20230, SCHMD05282
OG0001033	CAEEL10717	SCHMD10492
OG0001036	CAEEL18611	SCHMD20768, SCHMD09235
OG0001037	CAEEL18600	SCHMD23424, SCHMD16427, SCHMD02530, SCHMD07259
OG0001038	CAEEL20450	SCHMD26628, SCHMD09164, SCHMD14733, SCHMD14734
OG0001039	CAEEL08415	SCHMD01765
OG0001039	CAEEL10624	SCHMD01764
OG0001042	CAEEL09943	SCHMD05094, SCHMD04032, SCHMD11839
OG0001046	CAEEL19183	SCHMD05104, SCHMD02045, SCHMD11124
OG0001050	CAEEL14076, CAEEL15706	SCHMD03458
OG0001052	CAEEL10987	SCHMD09988
OG0001053	CAEEL07572	SCHMD25503, SCHMD22630
OG0001054	CAEEL05567	SCHMD24047
OG0001059	CAEEL00192	SCHMD17881, SCHMD18020, SCHMD18021
OG0001060	CAEEL15786	SCHMD12337, SCHMD14762, SCHMD05051
OG0001062	CAEEL08101	SCHMD24440, SCHMD23600, SCHMD17910
OG0001063	CAEEL08167	SCHMD00703
OG0001064	CAEEL18665	SCHMD28345
OG0001072	CAEEL08406	SCHMD24459, SCHMD27893
OG0001073	CAEEL07965	SCHMD00479, SCHMD05949
OG0001075	CAEEL11648, CAEEL18873	SCHMD20153, SCHMD20154, SCHMD04393, SCHMD13181, SCHMD04392, SCHMD00196, SCHMD16771
OG0001076	CAEEL07541	SCHMD07131
OG0001077	CAEEL18659	SCHMD18407, SCHMD17122
OG0001078	CAEEL19295	SCHMD20731, SCHMD25766
OG0001079	CAEEL10503	SCHMD27223
OG0001080	CAEEL08359	SCHMD08586
OG0001083	CAEEL06682	SCHMD07690
OG0001084	CAEEL01831	SCHMD10718
OG0001085	CAEEL09995, CAEEL09996	SCHMD03894
OG0001086	CAEEL07731	SCHMD22447, SCHMD28850, SCHMD24214
OG0001091	CAEEL07358	SCHMD13206, SCHMD15908
OG0001092	CAEEL07387	SCHMD18000, SCHMD17999, SCHMD18945, SCHMD28277, SCHMD28278, SCHMD18946
OG0001093	CAEEL00637	SCHMD16772
OG0001094	CAEEL13053, CAEEL13054	SCHMD01339, SCHMD02841, SCHMD07133, SCHMD16607, SCHMD02809, SCHMD26909, SCHMD21662
OG0001096	CAEEL04621, CAEEL17752	SCHMD11467, SCHMD14874
OG0001101	CAEEL11585	SCHMD06917, SCHMD18684, SCHMD23170, SCHMD18685
OG0001102	CAEEL08853	SCHMD06311
OG0001104	CAEEL20081	SCHMD11885, SCHMD14895, SCHMD18516, SCHMD03705
OG0001108	CAEEL09307	SCHMD08133
OG0001112	CAEEL19902	SCHMD26529, SCHMD08447
OG0001112	CAEEL19901	SCHMD12345, SCHMD07656, SCHMD07657, SCHMD23860, SCHMD19548, SCHMD19654, SCHMD19655
OG0001113	CAEEL15158	SCHMD04717
OG0001113	CAEEL01128	SCHMD10085
OG0001113	CAEEL07385	SCHMD08665, SCHMD03992
OG0001114	CAEEL11582, CAEEL01758, CAEEL01759	SCHMD27710, SCHMD15592, SCHMD14156, SCHMD02552, SCHMD07391, SCHMD18228, SCHMD14100, SCHMD15222
OG0001116	CAEEL04351	SCHMD19491
OG0001117	CAEEL08762	SCHMD18856
OG0001118	CAEEL18824	SCHMD16905
OG0001119	CAEEL14710	SCHMD23323
OG0001123	CAEEL02049	SCHMD02755, SCHMD22573, SCHMD28528, SCHMD01636, SCHMD08373
OG0001124	CAEEL08814	SCHMD24013
OG0001126	CAEEL04859	SCHMD17193, SCHMD24674, SCHMD17192
OG0001127	CAEEL07664	SCHMD06664
OG0001128	CAEEL12985	SCHMD12319
OG0001130	CAEEL00952, CAEEL00232	SCHMD04030
OG0001130	CAEEL00767	SCHMD13287
OG0001133	CAEEL11641	SCHMD18643
OG0001133	CAEEL11294	SCHMD29299, SCHMD19714, SCHMD28825, SCHMD19713, SCHMD02113
OG0001135	CAEEL02069	SCHMD28946, SCHMD01011, SCHMD22792
OG0001136	CAEEL02001	SCHMD09640
OG0001137	CAEEL04790	SCHMD17448, SCHMD26312, SCHMD05464, SCHMD01243
OG0001138	CAEEL07800, CAEEL07799	SCHMD00170
OG0001139	CAEEL06928, CAEEL15457	SCHMD00334
OG0001140	CAEEL14389	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472
OG0001141	CAEEL01107, CAEEL01106	SCHMD02981, SCHMD09902, SCHMD11211, SCHMD15344, SCHMD18658
OG0001142	CAEEL12657	SCHMD12785, SCHMD19807, SCHMD09379
OG0001143	CAEEL01013	SCHMD05178
OG0001148	CAEEL13935, CAEEL13934, CAEEL01993	SCHMD02133, SCHMD02134, SCHMD22264, SCHMD25588
OG0001155	CAEEL13066, CAEEL13586, CAEEL04642, CAEEL13526, CAEEL10113, CAEEL05596, CAEEL04102, CAEEL10015, CAEEL12717, CAEEL10146	SCHMD01897
OG0001156	CAEEL20728	SCHMD11390
OG0001158	CAEEL00147	SCHMD00377, SCHMD06105, SCHMD01514, SCHMD06104, SCHMD00376
OG0001159	CAEEL07987, CAEEL18966	SCHMD15611, SCHMD21936
OG0001160	CAEEL16381, CAEEL20121	SCHMD20666
OG0001161	CAEEL00221	SCHMD10427, SCHMD25982, SCHMD11638
OG0001162	CAEEL18096	SCHMD04355, SCHMD04356
OG0001164	CAEEL07306	SCHMD22065
OG0001165	CAEEL19696	SCHMD11819
OG0001167	CAEEL04546	SCHMD08043, SCHMD04406
OG0001168	CAEEL02000	SCHMD13073
OG0001172	CAEEL13596	SCHMD19335
OG0001172	CAEEL01942	SCHMD00291
OG0001175	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718	SCHMD29294, SCHMD29072, SCHMD18473
OG0001177	CAEEL08262, CAEEL18706	SCHMD07014, SCHMD07016, SCHMD07017, SCHMD07015
OG0001178	CAEEL05306	SCHMD07684
OG0001179	CAEEL07894, CAEEL04651, CAEEL04194, CAEEL05939	SCHMD26379
OG0001180	CAEEL13860, CAEEL19829, CAEEL12500, CAEEL16391	SCHMD06758, SCHMD11099, SCHMD23467, SCHMD27444, SCHMD17396
OG0001181	CAEEL08327	SCHMD21797
OG0001183	CAEEL12969	SCHMD25354
OG0001183	CAEEL02318	SCHMD18351, SCHMD24868, SCHMD15726, SCHMD18352, SCHMD01499, SCHMD23054, SCHMD29166, SCHMD15725
OG0001184	CAEEL20576	SCHMD09255, SCHMD12752
OG0001184	CAEEL19676	SCHMD29753, SCHMD15110, SCHMD23640
OG0001185	CAEEL01778	SCHMD23236
OG0001186	CAEEL00480	SCHMD20610
OG0001186	CAEEL09703	SCHMD05037
OG0001188	CAEEL14362	SCHMD18590, SCHMD05961, SCHMD05963, SCHMD14167
OG0001189	CAEEL01928	SCHMD17573, SCHMD27159, SCHMD05552, SCHMD23844
OG0001191	CAEEL09751, CAEEL20476, CAEEL09505	SCHMD11387
OG0001197	CAEEL11613	SCHMD06230
OG0001201	CAEEL02666	SCHMD18644
OG0001203	CAEEL12408	SCHMD00135, SCHMD00546, SCHMD10565, SCHMD27661, SCHMD10341
OG0001204	CAEEL09132	SCHMD08657, SCHMD22624, SCHMD10325
OG0001208	CAEEL10574	SCHMD11671, SCHMD13440, SCHMD22806
OG0001209	CAEEL00442	SCHMD22043, SCHMD28492
OG0001210	CAEEL06396	SCHMD19442, SCHMD19441
OG0001210	CAEEL06380	SCHMD03206, SCHMD03203, SCHMD03204
OG0001211	CAEEL08708	SCHMD16385, SCHMD14428
OG0001211	CAEEL01747, CAEEL04910	SCHMD25192
OG0001211	CAEEL02891, CAEEL08232, CAEEL07906	SCHMD09586
OG0001213	CAEEL01138, CAEEL01163, CAEEL01148, CAEEL04429, CAEEL04430	SCHMD01086
OG0001214	CAEEL08401	SCHMD22221
OG0001215	CAEEL11249	SCHMD25774
OG0001217	CAEEL08746	SCHMD18537
OG0001218	CAEEL20131, CAEEL14167	SCHMD03255
OG0001219	CAEEL20379	SCHMD09614, SCHMD00713
OG0001221	CAEEL13124	SCHMD16690
OG0001223	CAEEL02795	SCHMD08671
OG0001226	CAEEL02848, CAEEL02849	SCHMD21222
OG0001230	CAEEL12987, CAEEL17236, CAEEL15243	SCHMD04385, SCHMD04382
OG0001231	CAEEL15401	SCHMD05786, SCHMD07759, SCHMD03181, SCHMD13940, SCHMD03182
OG0001234	CAEEL00806	SCHMD01688, SCHMD19363
OG0001236	CAEEL18476, CAEEL18477, CAEEL05637, CAEEL05588	SCHMD08913, SCHMD03442, SCHMD05776, SCHMD14035
OG0001238	CAEEL05166, CAEEL11182	SCHMD09688
OG0001239	CAEEL12011	SCHMD22060, SCHMD22059, SCHMD04401, SCHMD16791
OG0001241	CAEEL01749	SCHMD04757, SCHMD04223
OG0001241	CAEEL19375	SCHMD16327
OG0001247	CAEEL10570	SCHMD01541, SCHMD06119, SCHMD06121
OG0001248	CAEEL08830	SCHMD28672, SCHMD29190, SCHMD17657
OG0001248	CAEEL08829	SCHMD07279, SCHMD05075, SCHMD24460
OG0001249	CAEEL06406	SCHMD01150, SCHMD03693, SCHMD01149
OG0001250	CAEEL18712	SCHMD08101, SCHMD04347
OG0001251	CAEEL01802	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715
OG0001251	CAEEL04380, CAEEL04381, CAEEL10206	SCHMD28936, SCHMD28005, SCHMD12716, SCHMD27549, SCHMD29155, SCHMD19759
OG0001254	CAEEL00935	SCHMD14258, SCHMD09217
OG0001256	CAEEL09738, CAEEL10917	SCHMD16774
OG0001256	CAEEL07997	SCHMD00239, SCHMD25518
OG0001261	CAEEL07850	SCHMD13436
OG0001262	CAEEL15249, CAEEL20627	SCHMD20011, SCHMD20259
OG0001266	CAEEL20839, CAEEL20838	SCHMD00016, SCHMD26654
OG0001266	CAEEL07143	SCHMD10438
OG0001267	CAEEL14111	SCHMD05399
OG0001268	CAEEL11342	SCHMD03342, SCHMD05378, SCHMD01057, SCHMD24040
OG0001270	CAEEL01959	SCHMD27534, SCHMD20425, SCHMD23309, SCHMD13653
OG0001271	CAEEL08717, CAEEL00634	SCHMD05357
OG0001272	CAEEL07720, CAEEL09293	SCHMD22716, SCHMD09459
OG0001274	CAEEL20835, CAEEL00917, CAEEL15316, CAEEL07981	SCHMD04927, SCHMD06016
OG0001279	CAEEL15321, CAEEL15322, CAEEL20353	SCHMD06836
OG0001280	CAEEL00726	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884
OG0001281	CAEEL05459	SCHMD05572
OG0001282	CAEEL04296	SCHMD08025
OG0001284	CAEEL08223	SCHMD09316
OG0001284	CAEEL01272	SCHMD00434
OG0001285	CAEEL06501	SCHMD13791
OG0001286	CAEEL20246	SCHMD05790
OG0001287	CAEEL16475	SCHMD07530
OG0001288	CAEEL18355	SCHMD25110, SCHMD25219, SCHMD07329, SCHMD24194, SCHMD28204
OG0001291	CAEEL11483	SCHMD20641, SCHMD11793
OG0001294	CAEEL15893	SCHMD26145, SCHMD28915, SCHMD26181, SCHMD17649, SCHMD26146, SCHMD20417, SCHMD20418
OG0001296	CAEEL00003, CAEEL14758	SCHMD20454, SCHMD11060
OG0001300	CAEEL09562	SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202
OG0001302	CAEEL01736	SCHMD13885
OG0001302	CAEEL12633	SCHMD08617, SCHMD27826
OG0001304	CAEEL00728	SCHMD00876, SCHMD13840
OG0001306	CAEEL05042	SCHMD04516
OG0001310	CAEEL16286	SCHMD19422
OG0001311	CAEEL07271, CAEEL18160	SCHMD05801
OG0001318	CAEEL06153	SCHMD07054
OG0001318	CAEEL02686	SCHMD16802
OG0001319	CAEEL15967	SCHMD14764
OG0001320	CAEEL02958	SCHMD01321, SCHMD01324, SCHMD01322
OG0001320	CAEEL05842, CAEEL10256, CAEEL08614, CAEEL15241, CAEEL08907	SCHMD05527
OG0001323	CAEEL15888	SCHMD18380, SCHMD28053
OG0001325	CAEEL12980	SCHMD05728
OG0001326	CAEEL18463, CAEEL12672, CAEEL19447	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423
OG0001327	CAEEL12070	SCHMD08653, SCHMD04846
OG0001329	CAEEL03625, CAEEL07934	SCHMD15324
OG0001332	CAEEL09523	SCHMD03025
OG0001332	CAEEL04986, CAEEL04987	SCHMD08288
OG0001333	CAEEL08384, CAEEL10397, CAEEL14152, CAEEL14148, CAEEL14153	SCHMD15673, SCHMD23155
OG0001335	CAEEL01950	SCHMD26447
OG0001337	CAEEL08858	SCHMD11229, SCHMD01704, SCHMD14444
OG0001339	CAEEL01555	SCHMD08909
OG0001341	CAEEL12273	SCHMD02609, SCHMD12794, SCHMD01188, SCHMD02608
OG0001348	CAEEL20290	SCHMD24331, SCHMD29399
OG0001350	CAEEL06068	SCHMD16735, SCHMD15485
OG0001350	CAEEL05555	SCHMD17071, SCHMD29804, SCHMD10618
OG0001351	CAEEL20071, CAEEL20072	SCHMD20739, SCHMD24185
OG0001353	CAEEL07231	SCHMD10586
OG0001354	CAEEL18385	SCHMD11475, SCHMD26080
OG0001355	CAEEL19633	SCHMD23781
OG0001356	CAEEL10619	SCHMD21598, SCHMD19916
OG0001357	CAEEL15128	SCHMD16921
OG0001359	CAEEL02703	SCHMD14841
OG0001361	CAEEL05269, CAEEL05268	SCHMD25345
OG0001363	CAEEL12526, CAEEL18947, CAEEL08666, CAEEL12684, CAEEL11272	SCHMD05287, SCHMD16288, SCHMD05291, SCHMD05173
OG0001364	CAEEL16269	SCHMD27572, SCHMD21273
OG0001367	CAEEL16176	SCHMD04624
OG0001368	CAEEL15247	SCHMD02343
OG0001369	CAEEL05836	SCHMD15727, SCHMD16208, SCHMD22520, SCHMD04521
OG0001370	CAEEL19838	SCHMD12004
OG0001370	CAEEL11201	SCHMD18225, SCHMD11963
OG0001372	CAEEL04824, CAEEL16917	SCHMD12917, SCHMD12353, SCHMD23970
OG0001372	CAEEL01785	SCHMD29815
OG0001374	CAEEL02048	SCHMD12937
OG0001375	CAEEL01718	SCHMD18333
OG0001376	CAEEL18806	SCHMD14191, SCHMD01800
OG0001378	CAEEL01898	SCHMD11687, SCHMD12504, SCHMD07107
OG0001379	CAEEL20800, CAEEL08440	SCHMD15234
OG0001381	CAEEL01510	SCHMD02869, SCHMD02871, SCHMD02870
OG0001383	CAEEL18479	SCHMD28197, SCHMD18572
OG0001386	CAEEL05969, CAEEL04816	SCHMD14821
OG0001386	CAEEL08301	SCHMD21484, SCHMD16845, SCHMD00665, SCHMD00661, SCHMD00664, SCHMD14822, SCHMD16844
OG0001387	CAEEL01449, CAEEL05040, CAEEL06498	SCHMD01336
OG0001389	CAEEL06582	SCHMD02031, SCHMD17776
OG0001394	CAEEL16146	SCHMD23211, SCHMD24249
OG0001395	CAEEL01604	SCHMD08832
OG0001397	CAEEL05815, CAEEL05422, CAEEL16780, CAEEL05924, CAEEL19916	SCHMD08548, SCHMD08095
OG0001399	CAEEL00972	SCHMD20091, SCHMD16432
OG0001402	CAEEL04844, CAEEL04850	SCHMD06853
OG0001404	CAEEL15778	SCHMD14856, SCHMD14854
OG0001405	CAEEL02297	SCHMD16175
OG0001408	CAEEL19513	SCHMD23659, SCHMD15840, SCHMD15841
OG0001409	CAEEL02567	SCHMD20637, SCHMD16856, SCHMD04792
OG0001410	CAEEL16277	SCHMD09832
OG0001411	CAEEL07405	SCHMD13417, SCHMD19317, SCHMD13416, SCHMD19137
OG0001412	CAEEL09044	SCHMD13223
OG0001413	CAEEL08368	SCHMD02827
OG0001413	CAEEL04716	SCHMD02718
OG0001414	CAEEL15043	SCHMD11042
OG0001414	CAEEL15044	SCHMD06335
OG0001414	CAEEL13823	SCHMD19649
OG0001421	CAEEL14241	SCHMD14208
OG0001422	CAEEL06778	SCHMD04982
OG0001424	CAEEL10850	SCHMD23260, SCHMD24676
OG0001425	CAEEL12269, CAEEL12270, CAEEL12268, CAEEL12271	SCHMD16287, SCHMD09188, SCHMD09187
OG0001426	CAEEL06005, CAEEL06004	SCHMD02033
OG0001427	CAEEL05861	SCHMD04595
OG0001428	CAEEL05279	SCHMD09370, SCHMD15075, SCHMD06126, SCHMD06125
OG0001429	CAEEL04279	SCHMD14419, SCHMD19373
OG0001430	CAEEL14236	SCHMD00026
OG0001432	CAEEL18746	SCHMD05242, SCHMD02065, SCHMD08255, SCHMD22173
OG0001433	CAEEL01226	SCHMD13899, SCHMD22723, SCHMD08627, SCHMD01242
OG0001437	CAEEL01346, CAEEL01345	SCHMD15768, SCHMD19785
OG0001439	CAEEL14010	SCHMD09059
OG0001439	CAEEL19443	SCHMD07462, SCHMD14352
OG0001440	CAEEL02919	SCHMD08958, SCHMD08957
OG0001442	CAEEL02131, CAEEL02130, CAEEL02129	SCHMD22956, SCHMD25864
OG0001445	CAEEL10043, CAEEL10044	SCHMD04082
OG0001449	CAEEL05216	SCHMD11900
OG0001450	CAEEL12602	SCHMD06490, SCHMD05057
OG0001454	CAEEL07513	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145
OG0001455	CAEEL04493	SCHMD09779, SCHMD21676, SCHMD21247, SCHMD23564, SCHMD17786, SCHMD27690, SCHMD19082, SCHMD00110
OG0001456	CAEEL15148	SCHMD22269, SCHMD26154
OG0001458	CAEEL04619	SCHMD07871
OG0001459	CAEEL20135, CAEEL17975	SCHMD26904, SCHMD06959
OG0001460	CAEEL11040, CAEEL11027	SCHMD10311, SCHMD23647
OG0001461	CAEEL09368	SCHMD05456, SCHMD05457, SCHMD13257
OG0001464	CAEEL07180	SCHMD20463
OG0001466	CAEEL00165	SCHMD12996, SCHMD13074, SCHMD25318, SCHMD17860, SCHMD03273
OG0001467	CAEEL08160, CAEEL08126	SCHMD25578, SCHMD23876, SCHMD14454, SCHMD14218, SCHMD09966
OG0001468	CAEEL01968, CAEEL01966, CAEEL01967	SCHMD00390
OG0001469	CAEEL06147	SCHMD09394
OG0001469	CAEEL06502	SCHMD21311, SCHMD29089, SCHMD24067, SCHMD10449
OG0001472	CAEEL07491	SCHMD12948
OG0001472	CAEEL02663	SCHMD13936, SCHMD13397, SCHMD27432
OG0001474	CAEEL07328	SCHMD11576, SCHMD26877
OG0001475	CAEEL05298	SCHMD01990, SCHMD01568, SCHMD01569, SCHMD13677, SCHMD05348
OG0001478	CAEEL11433	SCHMD22576, SCHMD26017
OG0001479	CAEEL19246	SCHMD08688
OG0001479	CAEEL19245	SCHMD12413, SCHMD08686
OG0001480	CAEEL01047	SCHMD13493
OG0001482	CAEEL08859	SCHMD02244, SCHMD09593, SCHMD10073, SCHMD09185, SCHMD02242
OG0001484	CAEEL01076, CAEEL01075	SCHMD14277
OG0001490	CAEEL16486	SCHMD08286, SCHMD07637
OG0001492	CAEEL08792	SCHMD23516, SCHMD26961, SCHMD25275, SCHMD13787, SCHMD04408, SCHMD08526, SCHMD03207, SCHMD22383, SCHMD21998, SCHMD05531, SCHMD02901, SCHMD18008, SCHMD25870, SCHMD01545, SCHMD02176, SCHMD21595, SCHMD22373, SCHMD22752, SCHMD09908, SCHMD16982, SCHMD26364, SCHMD01591
OG0001493	CAEEL18137, CAEEL03082, CAEEL11731	SCHMD11122
OG0001501	CAEEL00103	SCHMD02704
OG0001502	CAEEL06434, CAEEL06435	SCHMD06696
OG0001503	CAEEL04111	SCHMD25279, SCHMD19928
OG0001503	CAEEL08520	SCHMD25148
OG0001504	CAEEL05392	SCHMD05964
OG0001505	CAEEL05185, CAEEL08607	SCHMD11449, SCHMD14373, SCHMD09878, SCHMD13864, SCHMD07951, SCHMD16094
OG0001506	CAEEL04371	SCHMD27200, SCHMD04881
OG0001507	CAEEL02101	SCHMD00991
OG0001508	CAEEL19670	SCHMD22201, SCHMD18843, SCHMD16325, SCHMD15374
OG0001510	CAEEL19165	SCHMD18904, SCHMD27815, SCHMD18903, SCHMD28854, SCHMD19074
OG0001512	CAEEL01283	SCHMD25662, SCHMD20631, SCHMD17238, SCHMD26046, SCHMD14306, SCHMD08743, SCHMD08744, SCHMD14305, SCHMD08415, SCHMD00450
OG0001513	CAEEL08114	SCHMD16029
OG0001514	CAEEL18917	SCHMD13607, SCHMD17180
OG0001515	CAEEL07598	SCHMD18483
OG0001516	CAEEL05831	SCHMD07784
OG0001517	CAEEL20700	SCHMD13953, SCHMD02103, SCHMD04959, SCHMD27460
OG0001520	CAEEL18914	SCHMD19221
OG0001522	CAEEL01881	SCHMD06814
OG0001524	CAEEL20737, CAEEL20736	SCHMD08155
OG0001524	CAEEL18987, CAEEL00715	SCHMD06432
OG0001525	CAEEL08599, CAEEL13978, CAEEL13977, CAEEL14698, CAEEL08600	SCHMD22768, SCHMD18999, SCHMD19000, SCHMD08330
OG0001526	CAEEL19873	SCHMD16304
OG0001527	CAEEL08026	SCHMD05435
OG0001527	CAEEL02029	SCHMD08837
OG0001530	CAEEL11993	SCHMD09337
OG0001531	CAEEL08503	SCHMD25753
OG0001532	CAEEL04337, CAEEL04338, CAEEL04294, CAEEL05090	SCHMD11604
OG0001533	CAEEL01048, CAEEL19033, CAEEL11552	SCHMD16757, SCHMD04796
OG0001536	CAEEL11259, CAEEL20066, CAEEL20058	SCHMD04145, SCHMD04146
OG0001538	CAEEL15530	SCHMD03674
OG0001538	CAEEL14286	SCHMD03672
OG0001551	CAEEL13359	SCHMD21975
OG0001552	CAEEL09513	SCHMD26668
OG0001553	CAEEL10745	SCHMD15846, SCHMD15532, SCHMD10896, SCHMD19069, SCHMD06566
OG0001554	CAEEL00812	SCHMD11035
OG0001555	CAEEL17420, CAEEL04181	SCHMD09018, SCHMD10477, SCHMD09019, SCHMD19851, SCHMD25726, SCHMD07148, SCHMD29622, SCHMD10887, SCHMD10886, SCHMD09698, SCHMD28090, SCHMD24412, SCHMD21363, SCHMD25892, SCHMD18696, SCHMD09131, SCHMD01581, SCHMD22987
OG0001557	CAEEL09508	SCHMD13972
OG0001558	CAEEL05103, CAEEL08374	SCHMD18412, SCHMD28405
OG0001559	CAEEL16062	SCHMD02521
OG0001560	CAEEL01011	SCHMD19288, SCHMD02478
OG0001561	CAEEL11007	SCHMD21318
OG0001562	CAEEL04167	SCHMD12694, SCHMD20732, SCHMD29309
OG0001565	CAEEL18401	SCHMD26958, SCHMD27759, SCHMD17155
OG0001566	CAEEL17613	SCHMD15713
OG0001567	CAEEL04524	SCHMD03492, SCHMD11013, SCHMD12195
OG0001568	CAEEL15339	SCHMD04206
OG0001569	CAEEL19014, CAEEL18168	SCHMD19450
OG0001570	CAEEL11034	SCHMD04583
OG0001571	CAEEL18118	SCHMD26358
OG0001572	CAEEL00311	SCHMD04033
OG0001575	CAEEL09642	SCHMD13351
OG0001576	CAEEL00120	SCHMD17230, SCHMD23672
OG0001578	CAEEL10814, CAEEL18928	SCHMD10414, SCHMD23824, SCHMD02601, SCHMD16379, SCHMD03341, SCHMD25094, SCHMD28767, SCHMD22237, SCHMD21742, SCHMD12822, SCHMD27984, SCHMD17160, SCHMD15359, SCHMD08800, SCHMD28092, SCHMD27354, SCHMD29512, SCHMD10415, SCHMD26437, SCHMD25857, SCHMD28284, SCHMD09368, SCHMD10413
OG0001580	CAEEL02579	SCHMD08361, SCHMD16167, SCHMD15393
OG0001582	CAEEL07031, CAEEL00211	SCHMD10962, SCHMD17543, SCHMD18112
OG0001583	CAEEL19802	SCHMD16986, SCHMD12401, SCHMD16987, SCHMD12400, SCHMD11526
OG0001584	CAEEL09032	SCHMD00503
OG0001589	CAEEL18417	SCHMD27652, SCHMD23084
OG0001590	CAEEL15262, CAEEL15263	SCHMD09239, SCHMD09240
OG0001593	CAEEL02963, CAEEL13946	SCHMD12117, SCHMD02219, SCHMD12348, SCHMD22687
OG0001594	CAEEL08545	SCHMD14548, SCHMD07059
OG0001596	CAEEL10536	SCHMD09207
OG0001599	CAEEL20479	SCHMD22659, SCHMD24770
OG0001599	CAEEL04103, CAEEL04085, CAEEL04084, CAEEL04105, CAEEL20015, CAEEL16864, CAEEL14815	SCHMD16474
OG0001602	CAEEL18101	SCHMD00024, SCHMD05345, SCHMD00022
OG0001603	CAEEL02713	SCHMD09507
OG0001603	CAEEL14729	SCHMD10551
OG0001604	CAEEL04879	SCHMD02109
OG0001605	CAEEL09382	SCHMD09782
OG0001609	CAEEL19774	SCHMD16467
OG0001609	CAEEL10790	SCHMD16231, SCHMD10959, SCHMD10960
OG0001610	CAEEL02035, CAEEL20252	SCHMD03213
OG0001611	CAEEL15699	SCHMD04102, SCHMD12631
OG0001612	CAEEL02577	SCHMD18636, SCHMD18391
OG0001614	CAEEL01012	SCHMD04001
OG0001615	CAEEL04670	SCHMD11889, SCHMD13066, SCHMD14018
OG0001617	CAEEL10780	SCHMD05140, SCHMD05141
OG0001620	CAEEL18514, CAEEL18862	SCHMD22740, SCHMD18214
OG0001621	CAEEL08615	SCHMD01143, SCHMD22227, SCHMD15718, SCHMD23766, SCHMD07369, SCHMD17584, SCHMD26761, SCHMD18496
OG0001625	CAEEL05727	SCHMD28211, SCHMD26150
OG0001627	CAEEL00684	SCHMD06117
OG0001629	CAEEL19941	SCHMD06466
OG0001630	CAEEL05563	SCHMD04044, SCHMD04169, SCHMD01052
OG0001632	CAEEL16035	SCHMD12105, SCHMD26476
OG0001635	CAEEL08024	SCHMD28223, SCHMD16378, SCHMD06734, SCHMD07919, SCHMD28110, SCHMD29724
OG0001638	CAEEL09133, CAEEL15796, CAEEL12088, CAEEL20172	SCHMD00159, SCHMD00160
OG0001640	CAEEL10788	SCHMD02843
OG0001641	CAEEL00743	SCHMD03047
OG0001642	CAEEL15818	SCHMD20801, SCHMD12647
OG0001651	CAEEL10611	SCHMD15448
OG0001652	CAEEL15807	SCHMD28249
OG0001653	CAEEL03026	SCHMD11720, SCHMD13944, SCHMD11719, SCHMD13945, SCHMD13946
OG0001655	CAEEL05314	SCHMD06776
OG0001656	CAEEL07456	SCHMD22556
OG0001657	CAEEL08928, CAEEL08927	SCHMD07705, SCHMD10000, SCHMD12957
OG0001659	CAEEL00855	SCHMD19168
OG0001662	CAEEL00357	SCHMD13136
OG0001664	CAEEL04260	SCHMD13680, SCHMD17585
OG0001665	CAEEL07716	SCHMD19795
OG0001666	CAEEL07781	SCHMD03955, SCHMD03098, SCHMD26493, SCHMD18331
OG0001668	CAEEL00277	SCHMD04958
OG0001671	CAEEL19781	SCHMD21324
OG0001672	CAEEL08375	SCHMD11260, SCHMD13294, SCHMD11259
OG0001677	CAEEL07860	SCHMD13425
OG0001682	CAEEL17995	SCHMD04768
OG0001683	CAEEL00875	SCHMD09006, SCHMD12944, SCHMD06427
OG0001684	CAEEL08266	SCHMD03069, SCHMD02298, SCHMD09899, SCHMD13535, SCHMD03302, SCHMD02299
