Orthogroup	CAEEL	BRALA
OG0000038	CAEEL01714, CAEEL18498	BRALA00267
OG0000038	CAEEL05762	BRALA32346
OG0000038	CAEEL07106	BRALA27417
OG0000039	CAEEL00466	BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092
OG0000039	CAEEL18993	BRALA19542
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121	BRALA29257
OG0000041	CAEEL05494	BRALA00505, BRALA16473, BRALA00235, BRALA34487, BRALA22373, BRALA12409, BRALA12410, BRALA15735, BRALA29856, BRALA12407, BRALA24919, BRALA22127, BRALA14462, BRALA07763, BRALA29216, BRALA11960, BRALA35158
OG0000041	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	BRALA27215
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	BRALA34838
OG0000044	CAEEL08025	BRALA24587
OG0000046	CAEEL08281	BRALA22862
OG0000049	CAEEL02028	BRALA08952, BRALA08950, BRALA08951
OG0000049	CAEEL19631	BRALA15334
OG0000049	CAEEL10349	BRALA15336, BRALA15335
OG0000050	CAEEL08906	BRALA08623, BRALA31915
OG0000051	CAEEL19606, CAEEL18565	BRALA17952
OG0000051	CAEEL05770	BRALA31109
OG0000051	CAEEL09464	BRALA22978, BRALA25416
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	BRALA02118
OG0000055	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738	BRALA13087
OG0000055	CAEEL14858	BRALA31408, BRALA11246, BRALA06430, BRALA06473, BRALA06477
OG0000056	CAEEL05273	BRALA00682, BRALA22096, BRALA17447, BRALA17448, BRALA17452, BRALA17449
OG0000058	CAEEL06550	BRALA24063
OG0000058	CAEEL09297	BRALA14300, BRALA24917, BRALA27306, BRALA14302
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460
OG0000059	CAEEL08332	BRALA28531, BRALA32778, BRALA23279
OG0000059	CAEEL07152	BRALA15311, BRALA34589, BRALA15310, BRALA15309, BRALA15308
OG0000060	CAEEL20840	BRALA20908
OG0000060	CAEEL08749, CAEEL08751, CAEEL08470	BRALA12851
OG0000061	CAEEL08422	BRALA07400
OG0000061	CAEEL07898, CAEEL20509	BRALA07399, BRALA11283, BRALA07094, BRALA17504
OG0000062	CAEEL02955	BRALA31607
OG0000063	CAEEL04400	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297
OG0000066	CAEEL18679	BRALA00370, BRALA00373, BRALA26242
