Orthogroup	CAEEL	APOSC_ok
OG0000016	CAEEL18647	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907, APOSC_26372, APOSC_26868, APOSC_26028
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	APOSC_15479, APOSC_17249, APOSC_17250, APOSC_21840
OG0000020	CAEEL00627	APOSC_00691
OG0000020	CAEEL05927	APOSC_05461
OG0000020	CAEEL13362	APOSC_14067
OG0000020	CAEEL09273	APOSC_25230
OG0000021	CAEEL15603	APOSC_11990
OG0000021	CAEEL00422	APOSC_02202
OG0000021	CAEEL00784, CAEEL15377	APOSC_23486, APOSC_20200
OG0000023	CAEEL13426	APOSC_23115
OG0000023	CAEEL20104	APOSC_29076
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	APOSC_18684
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	APOSC_17838, APOSC_17839
OG0000028	CAEEL19515, CAEEL07887	APOSC_22919, APOSC_22920
OG0000029	CAEEL11851, CAEEL20612	APOSC_07574, APOSC_20436
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867
OG0000030	CAEEL04353	APOSC_18052, APOSC_19478, APOSC_12431, APOSC_12430
OG0000030	CAEEL12022, CAEEL10844, CAEEL09837, CAEEL06465, CAEEL19862, CAEEL12505	APOSC_21747
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	APOSC_27610
OG0000031	CAEEL02023	APOSC_14687, APOSC_14535
OG0000031	CAEEL04718	APOSC_00328
OG0000031	CAEEL07076	APOSC_17680
