source	target	weight
TCONS_00019578	TCONS_00047352	0.88879937
TCONS_00008967	TCONS_00033138	0.88880014
TCONS_00029143	TCONS_00048445	0.88880056
TCONS_00014206	TCONS_00017948	0.88880056
TCONS_00021998	TCONS_00037079	0.8888007
TCONS_00009689	TCONS_00016708	0.8888009
TCONS_00001951	TCONS_00012797	0.88880104
TCONS_00012754	TCONS_00030567	0.8888016
TCONS_00013726	TCONS_00043444	0.8888018
TCONS_00019578	TCONS_00037334	0.8888021
TCONS_00028502	TCONS_00007950	0.8888028
TCONS_00011491	TCONS_00010837	0.009750339999999968
TCONS_00027932	TCONS_00056254	0.8888044
TCONS_00053533	TCONS_00051526	0.88880473
TCONS_00011491	TCONS_00029782	0.010064720000000027
TCONS_00052518	TCONS_00017762	0.8888053
TCONS_00008734	TCONS_00046850	0.8888058
TCONS_00018209	TCONS_00047505	0.888807
TCONS_00024115	TCONS_00040176	0.8888074
TCONS_00053574	TCONS_00047734	0.8888075
TCONS_00021581	TCONS_00053166	0.88880754
TCONS_00019811	TCONS_00039538	0.888808
TCONS_00018547	TCONS_00008045	0.888808
TCONS_00028163	TCONS_00020167	0.88880813
TCONS_00018547	TCONS_00002411	0.8888113
TCONS_00027932	TCONS_00010246	0.88881195
TCONS_00047299	TCONS_00011149	0.88881254
TCONS_00008967	TCONS_00048205	0.8888132
TCONS_00005144	TCONS_00031847	0.8888133
TCONS_00052518	TCONS_00015750	0.8888142
TCONS_00052518	TCONS_00026465	0.8888143
TCONS_00023551	TCONS_00004451	0.88881445
TCONS_00053533	TCONS_00047360	0.88881457
TCONS_00014206	TCONS_00044218	0.88881475
TCONS_00047299	TCONS_00012333	0.010804150000000012
TCONS_00045354	TCONS_00013706	0.8888154
TCONS_00031049	TCONS_00051594	0.8888155
TCONS_00030624	TCONS_00001241	0.8888162
TCONS_00027931	TCONS_00045186	0.88881665
TCONS_00021202	TCONS_00017543	0.8888172
TCONS_00051631	TCONS_00028213	0.88881737
TCONS_00019617	TCONS_00020100	0.88881755
TCONS_00013726	TCONS_00005605	0.88881767
TCONS_00057143	TCONS_00045868	0.88881797
TCONS_00053533	TCONS_00051254	0.8888185
TCONS_00009611	TCONS_00038941	0.8888189
TCONS_00031049	TCONS_00023662	0.88881975
TCONS_00019617	TCONS_00042741	0.8888199
TCONS_00042488	TCONS_00056953	0.88882005
TCONS_00012881	TCONS_00055802	0.88882035
TCONS_00021994	TCONS_00003927	0.8888208
TCONS_00007046	TCONS_00028196	0.8888209
TCONS_00027932	TCONS_00030197	0.88882107
TCONS_00009611	TCONS_00020566	0.8888211
TCONS_00053708	TCONS_00037487	0.88882124
TCONS_00027931	TCONS_00053174	0.88882166
TCONS_00021581	TCONS_00017186	0.8888217
TCONS_00037097	TCONS_00008045	0.8888222
TCONS_00014206	TCONS_00030018	0.8888235
TCONS_00023551	TCONS_00024697	0.8888237
TCONS_00005618	TCONS_00036739	0.88882387
TCONS_00010310	TCONS_00034795	0.88882446
TCONS_00001049	TCONS_00051594	0.8888251
TCONS_00014249	TCONS_00019680	0.8888252
TCONS_00018547	TCONS_00003929	0.88882583
TCONS_00010310	TCONS_00015247	0.88882595
TCONS_00024115	TCONS_00006818	0.88882655
TCONS_00029830	TCONS_00012593	0.88882786
TCONS_00010310	TCONS_00017420	0.88882786
TCONS_00053431	TCONS_00002874	0.8888279
TCONS_00008966	TCONS_00030947	0.8888284
TCONS_00047299	TCONS_00052848	0.0005105600000000488
TCONS_00028953	TCONS_00031689	0.8888288
TCONS_00052518	TCONS_00006056	0.8888293
TCONS_00056455	TCONS_00046619	0.88882965
TCONS_00057143	TCONS_00008968	0.88882977
TCONS_00037097	TCONS_00022755	0.8888299
TCONS_00012754	TCONS_00011132	0.8888304
TCONS_00023551	TCONS_00013566	0.8888305
TCONS_00054588	TCONS_00014657	0.888831
TCONS_00057143	TCONS_00020978	0.8888315
TCONS_00011478	TCONS_00034976	0.007695499999999966
TCONS_00011491	TCONS_00052964	0.8888326
TCONS_00027108	TCONS_00057060	0.8888327
TCONS_00021202	TCONS_00054353	0.8888331
TCONS_00057143	TCONS_00052461	0.8888332
TCONS_00019620	TCONS_00046850	0.8888333
TCONS_00014206	TCONS_00032840	0.888834
TCONS_00053533	TCONS_00005605	0.8888341
TCONS_00019620	TCONS_00039538	0.8888341
TCONS_00007046	TCONS_00008398	0.8888342
TCONS_00053708	TCONS_00019102	0.88883424
TCONS_00011478	TCONS_00032508	0.88883483
TCONS_00008734	TCONS_00042542	0.8888351
TCONS_00037097	TCONS_00002996	0.8888356
TCONS_00045275	TCONS_00044867	0.0007004500000000746
TCONS_00037097	TCONS_00017590	0.8888362
TCONS_00018209	TCONS_00019035	0.003932200000000052
TCONS_00011478	TCONS_00022723	0.88883656
TCONS_00009689	TCONS_00006660	0.88883674
TCONS_00029143	TCONS_00026270	0.88883686
TCONS_00018547	TCONS_00036519	0.88883746
TCONS_00027108	TCONS_00011656	0.8888378
TCONS_00021994	TCONS_00042801	0.88883793
TCONS_00018547	TCONS_00050571	0.88883805
TCONS_00018547	TCONS_00043704	0.8888381
TCONS_00007046	TCONS_00020805	0.8888381
TCONS_00012754	TCONS_00008499	0.8888388
TCONS_00010310	TCONS_00026784	0.8888389
TCONS_00053431	TCONS_00037881	0.8888396
TCONS_00028163	TCONS_00053213	0.8888397
TCONS_00055417	TCONS_00049059	0.88884056
TCONS_00041695	TCONS_00021590	0.888841
TCONS_00012754	TCONS_00014902	0.8888413
TCONS_00008967	TCONS_00028396	0.88884205
TCONS_00008734	TCONS_00047595	0.88884205
TCONS_00014249	TCONS_00056469	0.8888432
TCONS_00029574	TCONS_00053574	0.8888432
TCONS_00042488	TCONS_00010416	0.8888442
TCONS_00027932	TCONS_00008434	0.8888442
TCONS_00057143	TCONS_00010119	0.8888445
TCONS_00029143	TCONS_00050672	0.8888446
TCONS_00021994	TCONS_00009446	0.8888448
TCONS_00028953	TCONS_00009725	0.88884497
TCONS_00019620	TCONS_00019172	0.888845
TCONS_00010310	TCONS_00015495	0.8888455
TCONS_00037097	TCONS_00030297	0.888846
TCONS_00012881	TCONS_00016049	0.88884634
TCONS_00011489	TCONS_00019372	0.88884664
TCONS_00024115	TCONS_00013618	0.8888475
TCONS_00023551	TCONS_00027569	0.8888476
TCONS_00025066	TCONS_00055346	0.01033700000000004
TCONS_00041694	TCONS_00007569	0.88884854
TCONS_00045275	TCONS_00013141	0.8888486
TCONS_00054588	TCONS_00024002	0.8888487
TCONS_00017780	TCONS_00026365	0.8888487
TCONS_00008967	TCONS_00013728	0.88884884
TCONS_00053708	TCONS_00050775	0.88884884
TCONS_00056455	TCONS_00012252	0.8888492
TCONS_00009689	TCONS_00016640	0.8888495
TCONS_00029143	TCONS_00000425	0.8888495
TCONS_00009611	TCONS_00050785	0.8888499
TCONS_00031046	TCONS_00056526	0.8888503
TCONS_00018547	TCONS_00020225	0.88885146
TCONS_00030624	TCONS_00014093	0.88885146
TCONS_00041695	TCONS_00009289	0.8888517
TCONS_00009611	TCONS_00045955	0.8888522
TCONS_00021998	TCONS_00052137	0.8888526
TCONS_00053574	TCONS_00026420	0.8888531
TCONS_00018209	TCONS_00026631	0.8888541
TCONS_00011489	TCONS_00049673	0.8888541
TCONS_00018209	TCONS_00042205	0.88885427
TCONS_00008967	TCONS_00028953	0.88885456
TCONS_00052518	TCONS_00002083	0.888855
TCONS_00056455	TCONS_00001646	0.88885504
TCONS_00041695	TCONS_00009166	0.88885504
TCONS_00018547	TCONS_00032342	0.8888553
TCONS_00001141	TCONS_00027336	0.8888556
TCONS_00055417	TCONS_00033794	0.88885576
TCONS_00001951	TCONS_00015504	0.006846479999999988
TCONS_00054588	TCONS_00018586	0.8888567
TCONS_00025375	TCONS_00019100	0.8888569
TCONS_00017780	TCONS_00045613	0.8888571
TCONS_00023551	TCONS_00030374	0.88885725
TCONS_00056455	TCONS_00032791	0.88885736
TCONS_00008833	TCONS_00019536	0.88885754
TCONS_00053574	TCONS_00028683	0.88885766
TCONS_00011580	TCONS_00031060	0.8888584
TCONS_00003964	TCONS_00009860	0.8888585
TCONS_00018209	TCONS_00028510	0.8888586
TCONS_00019617	TCONS_00050076	0.8888594
TCONS_00020167	TCONS_00014663	0.8888597
TCONS_00017948	TCONS_00005364	0.88886
TCONS_00001141	TCONS_00045404	0.88886124
TCONS_00021998	TCONS_00031086	0.88886136
TCONS_00008734	TCONS_00026219	0.8888614
TCONS_00018547	TCONS_00013940	0.8888617
TCONS_00052518	TCONS_00024001	0.8888629
TCONS_00011489	TCONS_00052568	0.8888632
TCONS_00045354	TCONS_00009545	0.88886327
TCONS_00023551	TCONS_00022899	0.8888633
TCONS_00045354	TCONS_00013225	0.88886344
TCONS_00042488	TCONS_00002875	0.005984070000000008
TCONS_00011478	TCONS_00031402	0.88886476
TCONS_00021998	TCONS_00026297	0.88886493
TCONS_00027932	TCONS_00050553	0.8888652
TCONS_00020216	TCONS_00037094	0.88886577
TCONS_00009611	TCONS_00037607	0.0013450400000000196
TCONS_00001141	TCONS_00016810	0.8888663
TCONS_00021994	TCONS_00042168	0.88886666
TCONS_00041695	TCONS_00038185	0.8888672
TCONS_00045354	TCONS_00052678	0.88886803
TCONS_00037097	TCONS_00005456	0.8888685
TCONS_00027932	TCONS_00037333	0.8888695
TCONS_00041695	TCONS_00043665	0.88886964
TCONS_00029143	TCONS_00045257	0.8888701
TCONS_00053533	TCONS_00002219	0.888871
TCONS_00027932	TCONS_00045725	0.88887155
TCONS_00056455	TCONS_00055802	0.88887185
TCONS_00037097	TCONS_00022432	0.8888719
TCONS_00006235	TCONS_00029729	0.88887197
TCONS_00020805	TCONS_00053250	0.88887197
TCONS_00027932	TCONS_00002256	0.8888721
TCONS_00008734	TCONS_00024598	0.88887227
TCONS_00053431	TCONS_00000960	0.8888736
TCONS_00023551	TCONS_00019581	0.88887393
TCONS_00023551	TCONS_00012670	0.8888743
TCONS_00018823	TCONS_00012593	0.8888746
TCONS_00009689	TCONS_00042685	0.8888751
TCONS_00057143	TCONS_00028350	0.8888753
TCONS_00041694	TCONS_00012432	0.8888755
TCONS_00021998	TCONS_00055928	0.8888756
TCONS_00028163	TCONS_00009274	0.88887596
TCONS_00047036	TCONS_00019208	0.88887596
