factor	influence_score	influence_score_raw	target_score	target_score_scaled	G_score	G_score_scaled	direct_targets	factor_fc
TCONS_00027932	0.9999999999999999	7448.405481172978	7440.538971853317	0.9999999999999999	7.86650931966173	0.8333333333333333	3953	7.86650931966173
TCONS_00057143	0.9761904761904762	6176.139103906119	6166.048897215284	0.8333333333333333	10.0902066908344	0.9791666666666666	2553	10.0902066908344
TCONS_00011489	0.9523809523809523	5996.637813283789	5984.5922370494245	0.8124999999999999	12.0455762343641	0.9999999999999999	2291	12.0455762343641
TCONS_00009689	0.9285714285714285	6303.852724203541	6294.771469727712	0.8541666666666666	9.08125447582862	0.9166666666666666	2667	9.08125447582862
TCONS_00021202	0.9047619047619047	6611.086676220969	6603.939637790629	0.9166666666666666	7.14703843034018	0.7916666666666666	2998	7.14703843034018
TCONS_00045354	0.8809523809523808	7148.786427956279	7143.564591076174	0.9583333333333333	5.22183688010459	0.6874999999999999	3662	5.22183688010459
TCONS_00018547	0.8571428571428571	5508.842037848	5500.343973326946	0.7499999999999999	8.49806452105329	0.8749999999999999	1779	8.49806452105329
TCONS_00012754	0.8333333333333333	4587.661996752186	4577.664793546555	0.6041666666666666	9.99720320562985	0.9583333333333333	858	9.99720320562985
TCONS_00021998	0.8095238095238094	7206.199199473064	7202.004816999657	0.9791666666666666	4.19438247340695	0.5416666666666666	3911	4.19438247340695
TCONS_00028953	0.7857142857142857	5659.873733122943	5654.054105224628	0.7708333333333333	5.819627898315	0.7083333333333333	1912	5.819627898315
TCONS_00008967	0.7619047619047619	4462.508774683453	4452.672191418096	0.5208333333333333	9.83658326535688	0.9374999999999999	745	9.83658326535688
TCONS_00052518	0.738095238095238	4370.335905725422	4363.161851430375	0.49999999999999994	7.17405429504772	0.8124999999999999	663	7.17405429504772
TCONS_00056455	0.7142857142857142	4923.098484164843	4918.3952451525065	0.6666666666666666	4.7032390123364	0.6249999999999999	1152	4.7032390123364
TCONS_00021581	0.6904761904761904	4055.5302362655	4046.591093593619	0.375	8.93914267188137	0.8958333333333333	388	8.93914267188137
TCONS_00012881	0.6666666666666666	4864.842417292152	4860.440759792085	0.6458333333333333	4.40165750006684	0.5833333333333333	1149	4.40165750006684
TCONS_00014206	0.6666666666666666	5094.027087864857	5090.718993275976	0.7083333333333333	3.30809458888183	0.5208333333333333	1308	3.30809458888183
TCONS_00054588	0.6428571428571428	5036.746794012843	5033.482603493417	0.6874999999999999	3.26419051942624	0.49999999999999994	1276	3.26419051942624
TCONS_00029574	0.619047619047619	4200.697517093045	4194.749713375523	0.4375	5.94780371752165	0.7291666666666666	520	5.94780371752165
TCONS_00009611	0.5952380952380952	6635.5646415138835	6634.060002837228	0.9374999999999999	1.50463867665545	0.20833333333333331	3687	1.50463867665545
