Orthogroup	DROME	OWEFU
OG0000014	DROME18828	OFUSG13990.1.p1
OG0000015	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1
OG0000015	DROME20983	OFUSG03121.2.p1, OFUSG03121.1.p1
OG0000015	DROME20981, DROME20982	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000015	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1, OFUSG10402.1.p1, OFUSG06386.1.p1, OFUSG05926.1.p1, OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1, OFUSG03176.1.p1
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	OFUSG06388.1.p1, OFUSG18492.1.p1
OG0000016	DROME01609	OFUSG11848.1.p1
OG0000019	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290	OFUSG14039.1.p1, OFUSG23776.1.p1
OG0000020	DROME22108	OFUSG19131.1.p1
OG0000021	DROME18320, DROME18321	OFUSG18643.1.p1
OG0000021	DROME06512, DROME06511	OFUSG24044.1.p1
OG0000021	DROME08269	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	DROME08091	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000023	DROME04919, DROME04917, DROME04918	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000026	DROME19866, DROME19867	OFUSG02974.1.p1
OG0000027	DROME13849, DROME08050	OFUSG26650.1.p1
OG0000028	DROME00133, DROME09421	OFUSG21057.1.p1, OFUSG21057.2.p1
OG0000028	DROME09420	OFUSG09732.1.p1
OG0000028	DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818	OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000028	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1
OG0000029	DROME18440, DROME18439, DROME18441, DROME09446	OFUSG01397.1.p1, OFUSG01400.1.p1, OFUSG01402.1.p1, OFUSG03457.2.p1, OFUSG03457.1.p1, OFUSG05746.3.p1, OFUSG05746.2.p1, OFUSG05746.1.p1, OFUSG18779.1.p1, OFUSG08105.1.p1, OFUSG09439.1.p1, OFUSG26816.1.p1, OFUSG22757.1.p1, OFUSG11381.1.p1, OFUSG11380.1.p1, OFUSG07090.1.p1, OFUSG07089.1.p1, OFUSG06802.1.p1
OG0000029	DROME19091	OFUSG26611.2.p1, OFUSG26611.1.p1
OG0000029	DROME01527, DROME01529	OFUSG13634.2.p1, OFUSG13634.1.p1, OFUSG01580.1.p1
OG0000030	DROME12966	OFUSG16143.1.p1
OG0000030	DROME07429, DROME07428	OFUSG07789.1.p1, OFUSG07787.1.p1
OG0000030	DROME15149	OFUSG04213.1.p1
OG0000030	DROME11112, DROME11110, DROME11113, DROME11111	OFUSG17928.1.p1
OG0000030	DROME02191, DROME02193, DROME02192	OFUSG18203.1.p1, OFUSG10901.1.p1, OFUSG10241.1.p1
OG0000030	DROME06898	OFUSG17612.1.p1, OFUSG12869.1.p1, OFUSG05001.1.p1
OG0000030	DROME12965	OFUSG14128.1.p1, OFUSG14128.2.p1
OG0000031	DROME19945	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	DROME19947, DROME19946, DROME19949, DROME19948	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	DROME09230	OFUSG02210.1.p1
OG0000031	DROME05246	OFUSG17671.1.p1
OG0000032	DROME01806, DROME01807	OFUSG13377.1.p1, OFUSG13377.2.p1
OG0000032	DROME02386	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1
OG0000032	DROME01213	OFUSG26521.2.p1, OFUSG26521.1.p1
OG0000034	DROME20092, DROME20090, DROME20091	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000034	DROME13496	OFUSG08780.1.p1
