Orthogroup	DROME	APOSC_ok
OG0000067	DROME11908, DROME11924, DROME11927, DROME05633	APOSC_04289, APOSC_00615, APOSC_00616
OG0000068	DROME18209	APOSC_04447, APOSC_04446, APOSC_11083, APOSC_11080, APOSC_11082, APOSC_20989, APOSC_25395, APOSC_02568
OG0000069	DROME03713	APOSC_25357, APOSC_25356
OG0000069	DROME19859, DROME00928	APOSC_27459
OG0000069	DROME03718	APOSC_11021
OG0000070	DROME17588, DROME17589, DROME19032	APOSC_23675
OG0000072	DROME12247, DROME12248	APOSC_14045
OG0000072	DROME00750	APOSC_12820
OG0000072	DROME14913	APOSC_22786, APOSC_22112
OG0000073	DROME14684	APOSC_20982
OG0000074	DROME03014	APOSC_10399, APOSC_08687, APOSC_25382
OG0000075	DROME01374	APOSC_10923
OG0000075	DROME01375	APOSC_07538
OG0000075	DROME04883, DROME04882	APOSC_20859
OG0000077	DROME07079, DROME07077, DROME07078	APOSC_19689
OG0000077	DROME18051	APOSC_21239
OG0000078	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111	APOSC_00200, APOSC_02992, APOSC_10949, APOSC_21464, APOSC_21465
OG0000079	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316	APOSC_14016, APOSC_18637, APOSC_09201
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	APOSC_14696
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	APOSC_10552, APOSC_10551
OG0000079	DROME01298	APOSC_06744
OG0000082	DROME20298	APOSC_14161
OG0000082	DROME05998	APOSC_20096
OG0000082	DROME11174, DROME11173, DROME15008	APOSC_05443, APOSC_27848, APOSC_13154, APOSC_11148, APOSC_10803, APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806, APOSC_23423, APOSC_11149
OG0000082	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705	APOSC_04906, APOSC_05380, APOSC_05381
OG0000083	DROME17112	APOSC_20881
OG0000083	DROME20486, DROME20487	APOSC_12323
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	APOSC_25447
OG0000084	DROME17344, DROME17343, DROME17345	APOSC_11978, APOSC_20094
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	APOSC_00722
OG0000085	DROME00999, DROME00998, DROME01000	APOSC_00825
OG0000085	DROME19740	APOSC_21002
OG0000085	DROME10832, DROME10831	APOSC_25216
OG0000086	DROME14954	APOSC_09013
OG0000087	DROME22088	APOSC_06838, APOSC_06839, APOSC_06840
OG0000087	DROME21450	APOSC_09511
OG0000087	DROME03097	APOSC_26769, APOSC_05507
OG0000087	DROME08842	APOSC_19078, APOSC_21650, APOSC_26553, APOSC_26554
OG0000089	DROME18066, DROME18069, DROME12817	APOSC_22092, APOSC_06490
OG0000090	DROME02752	APOSC_26110
OG0000090	DROME00161, DROME00160, DROME00159, DROME00158	APOSC_13932
OG0000090	DROME16241, DROME16240, DROME16239	APOSC_03937
OG0000091	DROME18437, DROME18438, DROME20481	APOSC_00071, APOSC_26465, APOSC_28469, APOSC_08986, APOSC_19169, APOSC_16352
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	APOSC_02606, APOSC_02607, APOSC_24152
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	APOSC_21896, APOSC_21895
OG0000095	DROME01438	APOSC_19404, APOSC_13013, APOSC_05229
OG0000096	DROME08195, DROME08196	APOSC_05085
OG0000096	DROME08870	APOSC_03162
OG0000096	DROME13163	APOSC_25015
OG0000096	DROME06400	APOSC_00869
OG0000096	DROME13915	APOSC_16859
OG0000096	DROME09341	APOSC_21738
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	APOSC_27629, APOSC_10815
OG0000099	DROME10335, DROME10334, DROME09743	APOSC_25391, APOSC_06951
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	APOSC_01352, APOSC_23267
OG0000100	DROME09951	APOSC_27828
OG0000101	DROME17779	APOSC_10387
OG0000101	DROME05458	APOSC_23688
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	APOSC_08194
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	APOSC_19265
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	APOSC_15082, APOSC_15083, APOSC_15085, APOSC_15084
OG0000104	DROME16895, DROME16894	APOSC_11443, APOSC_11444, APOSC_11442
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	APOSC_16135
OG0000104	DROME17321, DROME17322	APOSC_04087, APOSC_04088
OG0000106	DROME02609	APOSC_22868
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863
OG0000111	DROME11971, DROME11972, DROME11973, DROME11975	APOSC_16477, APOSC_00783, APOSC_25506
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	APOSC_22087, APOSC_26451
OG0000114	DROME08662, DROME08648, DROME08661, DROME08653, DROME08652, DROME08663, DROME08649, DROME08654, DROME08664, DROME08658, DROME08655, DROME08660, DROME08657, DROME08659, DROME08656	APOSC_19632
OG0000114	DROME04013, DROME04512, DROME04513	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416
OG0000116	DROME05231	APOSC_28097, APOSC_09224
OG0000117	DROME17123	APOSC_01933
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	APOSC_11483
OG0000119	DROME21220, DROME21219	APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102
OG0000119	DROME06207, DROME06208, DROME08017, DROME06209	APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238
OG0000120	DROME15164	APOSC_26863
OG0000120	DROME00669, DROME11520, DROME01716, DROME13340, DROME11519, DROME11518, DROME00703, DROME01785	APOSC_04315
OG0000121	DROME10532	APOSC_12629, APOSC_22410, APOSC_16340, APOSC_22409
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	APOSC_25177
OG0000122	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	APOSC_11178, APOSC_05959
OG0000123	DROME17732, DROME17730, DROME17731	APOSC_24903
OG0000124	DROME17463	APOSC_29022
OG0000124	DROME08713, DROME09900	APOSC_26551
OG0000124	DROME21734	APOSC_03695
OG0000125	DROME04039, DROME04040, DROME04038	APOSC_26262, APOSC_07039, APOSC_19200
OG0000126	DROME21081, DROME21082, DROME21083, DROME21080	APOSC_16760
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804	APOSC_21117
OG0000126	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	APOSC_28093
OG0000127	DROME11205, DROME11204	APOSC_09690
OG0000127	DROME08158	APOSC_02788
OG0000127	DROME05986	APOSC_16052, APOSC_16050, APOSC_16051
OG0000127	DROME18062	APOSC_04103
OG0000129	DROME07177, DROME07176, DROME07178, DROME10520	APOSC_12123
OG0000130	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860	APOSC_28750
OG0000131	DROME18073, DROME18075, DROME18074	APOSC_21472, APOSC_03272, APOSC_06150
OG0000132	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774	APOSC_13028, APOSC_01542, APOSC_27288, APOSC_18201, APOSC_28955, APOSC_10689
OG0000142	DROME07188	APOSC_06545, APOSC_21775, APOSC_20241, APOSC_07546, APOSC_00286, APOSC_07201, APOSC_14102
OG0000142	DROME13886	APOSC_15551
OG0000144	DROME21183	APOSC_22522, APOSC_01517, APOSC_21418
